L' F U' R B
L' R F U' R B
D2 L' R2 F U' R
L' R' F U' R B
R' L' F U' R B
R2 L' F U' R B
R L' F U' R B
D2 L' F R2 U' R'
D' L' F U' R B2
D' L' F U' B2 R
L' R2 F U' R B
U2 L2 B' U R' F'
L' U2 L' B' U R'
D2 R2 L' F U' R
L' U2 B' L' U R'
L' D F U' R B
L' D' F U' R B
L' D2 F U' R B
L' F U' R D B
L' F U' R D' B
L' F U' R D2 B
L' F U' R B D
L' F U' R B D'
L' F U' R B D2
L' F U' D R B
L' F U' D' R B
L' F U' D2 R B
L' F U' B R B
L' F U' B' R B
L' F U' B2 R B
D2 F R2 U' R' F'
L' F D U' R B
L' F D' U' R B
L' F D2 U' R B
L' F2 R F' U' R
L' F2 D R F' U'
F D2 R2 U' R' F'
D' R2 L' F U' R B2
D' R2 L' F U' B2 R
D2 R2 L' F' U L' U2
D2 R2 L2 F L U' R
U2 R2 L2 B' U R' F'
L' U2 B L' U D2 R2
L' U2 B L' U' L2 U2
L' U2 B L' D' B2 U
L' U2 B L' D2 U R2
F R2 U' R' D' F' B2
F R2 U' R' D' B2 F'
F R2 U' R' F' D' B2
F R2 U' D' R' F' B2
F R2 U' D' R' B2 F'
L' U2 B' L' U R' D
L' U2 B' L' U R' D'
L' U2 B' L' U R' D2
L' U2 B' L' U D R'
L' U2 B' L' U D' R'
L' U2 B' L' U D2 R'
L' U2 B' L' D U R'
L' U2 B' L' D' U R'
L' U2 B' L' D2 U R'
D2 R2 D L' F U' R
F R2 U2 L2 U R' F'
L' U2 B' D L' U R'
L' U2 B' D' L' U R'
L' U2 B' D2 L' U R'
L' U2 B2 L' B U R'
D2 R2 D' L' F U' R
D2 R2 D2 L' F U' R
F R2 D' U' R' F' B2
F R2 D' U' R' B2 F'
L2 D L F U' R B
D2 R2 F U' R' F' R2
L' D R F U' R B
L' D R' F U' R B
L' D R2 F U' R B
L' D U2 L' B' U R'
L' D U2 B' L' U R'
L' D F U' R D B
L' D F U' R D' B
L' D F U' R D2 B
L' D F U' R B D
L' D F U' R B D'
L' D F U' R B D2
L' D F U' D R B
L' D F U' D' R B
L' D F U' D2 R B
L' D F U' B R B
L' D F U' B' R B
L' D F U' B2 R B
L' D F D U' R B
L' D F D' U' R B
L' D F D2 U' R B
L' D F2 R F' U' R
L' D F2 D R F' U'
F U R D' B2 L F
F' U D F2 U2 R F'
F' U D' L' U2 F B2
F' U D' L' U2 B2 F
F U D F2 L' B' U2
L2 D' L F U' R B
F U D' R B2 L F
R' D' L' F U' R B2
R' D' L' F U' B2 R
R2 D' L' F U' R B2
R2 D' L' F U' B2 R
R D' L' F U' R B2
R D' L' F U' B2 R
L' D' R F U' R B
L' D' R' F U' R B
L' D' R2 F U' R B
L' D' U2 L' B' U R'
L' D' U2 B' L' U R'
L' D' F U' R D B
L' D' F U' R D' B
L' D' F U' R D2 B
L' D' F U' R B D
L' D' F U' R B D'
L' D' F U' R B D2
L' D' F U' D R B
L' D' F U' D' R B
L' D' F U' D2 R B
L' D' F U' B R B
L' D' F U' B' R B
L' D' F U' B2 R B
L' D' F D U' R B
L' D' F D' U' R B
L' D' F D2 U' R B
L' D' F2 R F' U' R
L' D' F2 D R F' U'
F U' R' F' R2 D' B2
F U' D R' F' R2 B
R' D2 L' R2 F U' R
L2 D2 L F U' R B
R' D2 L' F R2 U' R'
F U' D' R' F' R2 B2
F U' D' R' F' B2 R2
F U' D' R' B2 F' R2
R2 D2 L' R2 F U' R
F U' D' B2 R' F' R2
R2 D2 L' F R2 U' R'
R D2 L' R2 F U' R
R D2 L' F R2 U' R'
L' D2 R F U' R B
L' D2 R' F U' R B
R' D2 R2 L' F U' R
L' D2 R2 F U' R B
R2 D2 R2 L' F U' R
R D2 R2 L' F U' R
L' D2 U2 L' B' U R'
L' D2 U2 B' L' U R'
R' D2 F R2 U' R' F'
L' D2 F U' R D B
L' D2 F U' R D' B
L' D2 F U' R D2 B
L' D2 F U' R B D
L' D2 F U' R B D'
L' D2 F U' R B D2
L' D2 F U' D R B
L' D2 F U' D' R B
L' D2 F U' D2 R B
L' D2 F U' B R B
L' D2 F U' B' R B
L' D2 F U' B2 R B
L' D2 F D U' R B
L' D2 F D' U' R B
L' D2 F D2 U' R B
R2 D2 F R2 U' R' F'
R D2 F R2 U' R' F'
L' D2 F2 R F' U' R
F U2 L2 R2 U R' F'
L' D2 F2 D R F' U'
F U2 L2 U R' F' R2
F U2 L2 B' R' U R2
F U2 R2 L2 U R' F'
D2 F L R2 U' R' F'
L2 F L U2 L' U R
D2 F L' R2 U' R' F'
D2 F L2 R2 U' R' F'
L' F R F R U' R'
L F L2 U2 L' U R
L' F R' U' R B R
L' F R' F R U' R
D2 F R2 L U' R' F'
D2 F R2 L' U' R' F'
D2 F R2 L2 U' R' F'
D' F R2 U' R' F' B2
D' F R2 U' R' B2 F'
D2 F R2 U' R' D F'
D2 F R2 U' R' D' F'
D2 F R2 U' R' D2 F'
D2 F R2 U' R' F' D
D2 F R2 U' R' F' D'
D2 F R2 U' R' F' D2
D2 F R2 U' D R' F'
D2 F R2 U' D' R' F'
D2 F R2 U' D2 R' F'
D2 F R2 U' F R' F'
D2 F R2 U' F' R' F'
D2 F R2 U' F2 R' F'
D2 F R2 D U' R' F'
L' F R2 U' R B R2
D2 F R2 D' U' R' F'
D2 F R2 D2 U' R' F'
D2 F R2 F' L' U' R'
L' F R2 F R U' R2
D' F U R B2 L F
L' F U L' U2 R B'
L' F U L' U2 B' R
L' F U F2 L' U2 B'
L' F U' L R B L'
D' F U' R' F' R2 B2
D' F U' R' F' B2 R2
D' F U' R' B2 F' R2
F U2 B' L2 R' U R2
L' F U' L2 R B L2
L' F U' R L B L'
L' F U' R L2 B L2
L' F U' R D B D
L' F U' R D B D'
L' F U' R D B D2
L' F U' R D' B D
L' F U' R D' B D'
L' F U' R D' B D2
L' F U' R D2 B D
L' F U' R D2 B D'
L' F U' R D2 B D2
F U2 B' R' L2 U R2
L' F U' R B2 D B'
L' F U' R B2 D' B'
L' F U' R B2 D2 B'
L' F U' R' B R2 B
L' F U' R' B' R2 B
L' F U' R' B2 R2 B
L' F U' D R D B
L' F U' D R D' B
L' F U' D R D2 B
L' F U' D R B D
L' F U' D R B D'
L' F U' D R B D2
L' F U' D B R B
L' F U' D B' R B
L' F U' D B2 R B
L' F U' D' R D B
L' F U' D' R D' B
L' F U' D' R D2 B
L' F U' D' R B D
L' F U' D' R B D'
L' F U' D' R B D2
L' F U' D' B R B
L' F U' D' B' R B
L' F U' D' B2 R B
L' F U' D2 R D B
L' F U' D2 R D' B
L' F U' D2 R D2 B
L' F U' D2 R B D
L' F U' D2 R B D'
L' F U' D2 R B D2
L' F U' D2 B R B
L' F U' D2 B' R B
L' F U' D2 B2 R B
D' F U' B2 R' F' R2
L' F U' B R D B
L' F U' B R D' B
L' F U' B R D2 B
L' F U' B R B D
L' F U' B R B D'
L' F U' B R B D2
L' F U' B D R B
L' F U' B D' R B
L' F U' B D2 R B
L' F U' B' R D B
L' F U' B' R D' B
L' F U' B' R D2 B
L' F U' B' R B D
L' F U' B' R B D'
L' F U' B' R B D2
L' F U' B' D R B
L' F U' B' D' R B
L' F U' B' D2 R B
L' F U' B2 R D B
L' F U' B2 R D' B
L' F U' B2 R D2 B
L' F U' B2 R B D
L' F U' B2 R B D'
L' F U' B2 R B D2
L' F U' B2 D R B
L' F U' B2 D' R B
L' F U' B2 D2 R B
L' F U2 L U R B
L' F U2 L' U R B
L' F U2 L2 U R B
L' F U2 B L U R
L' F D U' R D B
L' F D U' R D' B
L' F D U' R D2 B
L' F D U' R B D
L' F D U' R B D'
L' F D U' R B D2
L' F D U' B R B
L' F D U' B' R B
L' F D U' B2 R B
D' F D' R2 U' R' F'
L' F D' U' R D B
L' F D' U' R D' B
L' F D' U' R D2 B
L' F D' U' R B D
L' F D' U' R B D'
L' F D' U' R B D2
L' F D' U' B R B
L' F D' U' B' R B
L' F D' U' B2 R B
R' F D2 R2 U' R' F'
L' F D2 U' R D B
L' F D2 U' R D' B
L' F D2 U' R D2 B
L' F D2 U' R B D
L' F D2 U' R B D'
L' F D2 U' R B D2
L' F D2 U' B R B
L' F D2 U' B' R B
L' F D2 U' B2 R B
R2 F D2 R2 U' R' F'
R F D2 R2 U' R' F'
F' D U F2 U2 R F'
L2 F' L D F2 R U'
F D U F2 L' B' U2
F D U' R' F' R2 B
L' F' R F2 U' R B
L' F' R' F2 U' R B
L' F' R2 F2 U' R B
L' F' U D' L' F U2
L' F' D' U L' F U2
F' D' U L' U2 F B2
F' D' U L' U2 B2 F
F D' R2 U' R' F' B2
F D' R2 U' R' B2 F'
F D' U R B2 L F
U' F2 L2 R B U L2
F D' U' R' F' R2 B2
F D' U' R' F' B2 R2
F D' U' R' B2 F' R2
F D' U' B2 R' F' R2
U' F2 R L2 B U L2
L' F2 R U' F' R F
U' F2 R B L2 U L2
L' F2 R F U L' U2
L' F2 R F' U' R D
L' F2 R F' U' R D'
L' F2 R F' U' R D2
L' F2 R F' U' D R
L' F2 R F' U' D' R
L' F2 R F' U' D2 R
L' F2 R F' D U' R
L' F2 R F' D' U' R
L' F2 R F' D2 U' R
F2 D' F2 L' F U' B2
L' F2 R' F' R2 U' R'
L' F2 R2 F' R' U' R2
L' F2 D R D F' U'
L' F2 D R D' F' U'
L' F2 D R D2 F' U'
L' F2 D R F' U' D
L' F2 D R F' U' D'
L' F2 D R F' U' D2
L' F2 D R F' D U'
L' F2 D R F' D' U'
L' F2 D R F' D2 U'
F D2 L R2 U' R' F'
F D2 L' R2 U' R' F'
F D2 L2 R2 U' R' F'
F D2 R2 L U' R' F'
F D2 R2 L' U' R' F'
F D2 R2 L2 U' R' F'
F D2 R2 U' R' D F'
F D2 R2 U' R' D' F'
F D2 R2 U' R' D2 F'
F D2 R2 U' R' F' D
F D2 R2 U' R' F' D'
F D2 R2 U' R' F' D2
F D2 R2 U' D R' F'
F D2 R2 U' D' R' F'
F D2 R2 U' D2 R' F'
F D2 R2 U' F R' F'
F D2 R2 U' F' R' F'
F D2 R2 U' F2 R' F'
F D2 R2 D U' R' F'
F D2 R2 D' U' R' F'
F D2 R2 D2 U' R' F'
F D2 R2 F' L' U' R'
L2 B U2 B' L U' R'
U2 B' L2 U2 L U' R'
