B2 L2 U F2 B' U
B2 L2 U B' F2 U
D R2 U' F L2 U'
B2 U F2 U2 F' U'
D2 U' F B2 U' F
B2 U' D' F U' L2
B2 U' D2 F B2 U'
B2 U' D2 B2 F U'
B2 U' F U2 F U
D2 U' B2 F U' F
U' D2 F B2 U' F
U' D2 B2 F U' F
U' F D L2 B' U'
B2 D R2 U' F U'
F2 D' L2 R2 B U
F2 D' R2 L2 B U
F2 D' R2 B L2 U
B2 D' U' F U' L2
U F2 D' R2 B U
B2 D2 U' F B2 U'
B2 D2 U' B2 F U'
L2 B2 U F2 B U
L2 B2 U B F2 U
U F2 U' B2 U' F' U'
R' F2 D' L2 R2 B U
R' F2 D' R2 L2 B U
R' F2 D' R2 B L2 U
U F2 U2 D L2 F' U'
U F2 U2 D F' L2 U'
U F2 U2 D2 F' U' F'
U F2 U2 F' U B2 U2
U F2 U2 F' U' D2 F2
U F2 U2 F' D L2 U'
U F2 U2 F' D2 U' F2
U2 F2 D' R2 B U B'
L2 F2 D' R2 B' L2 U
B2 D2 R U' F B2 U'
B2 D2 R U' B2 F U'
R2 F2 D' L2 R2 B U
U F2 D U2 L2 F' U'
R2 F2 D' R2 L2 B U
U F2 D U2 F' L2 U'
R2 F2 D' R2 B L2 U
L2 F2 D' B' L2 R2 U
L2 F2 D' B' R2 L2 U
B2 D2 R' U' F B2 U'
B2 D2 R' U' B2 F U'
U F2 D' R2 D B U
U F2 D' R2 D' B U
U F2 D' R2 D2 B U
U F2 D' R2 B U D
U F2 D' R2 B U D'
U F2 D' R2 B U D2
U F2 D' R2 B D U
U F2 D' R2 B D' U
U F2 D' R2 B D2 U
R F2 D' L2 R2 B U
L2 F2 D2 B' U F2 B'
L2 F2 D2 B' U B' F2
R F2 D' R2 L2 B U
R F2 D' R2 B L2 U
U F2 D' B R2 B U
U F2 D' B' R2 B U
U F2 D' B2 R2 B U
B2 D2 R2 U' F B2 U'
B2 D2 R2 U' B2 F U'
U F2 D2 R2 B U F2
U F2 D2 U2 F' U' F'
F2 D2 R2 B U F2 B
F2 D2 R2 B U B F2
L2 F2 B' U' F2 B' U2
L2 F2 B' U' B' F2 U2
L2 F2 B' D' L2 U F
U F2 B R2 B U F'
B2 D2 U' F U' D L2
B2 D2 U' F D U' L2
B2 D2 U' F B2 U' D
B2 D2 U' F B2 U' D'
B2 D2 U' F B2 U' D2
B2 D2 U' F B2 D U'
B2 D2 U' F B2 D' U'
B2 D2 U' F B2 D2 U'
B2 D2 U' B2 D F U'
B2 D2 U' B2 D' F U'
B2 D2 U' B2 D2 F U'
B2 D2 U' B2 F U' D
B2 D2 U' B2 F U' D'
B2 D2 U' B2 F U' D2
B2 D2 U' B2 F D U'
B2 D2 U' B2 F D' U'
B2 D2 U' B2 F D2 U'
F2 D2 U2 F' U' F' B2
F2 D2 U2 F' U' B2 F'
U F2 B2 U2 F' U' F
B' D2 B' U' F B' U'
B' D2 B' U' B' F U'
B D2 B U' F B U'
B D2 B U' B F U'
D B R2 U' F L2 U'
D2 B U' F B U' F
D2 B U' B F U' F
L2 B U2 D' L2 R2 F'
L2 B U2 D' R2 L2 F'
L2 B U2 D' R2 F' L2
L2 B D L2 R2 U2 F'
L2 B D L2 B R2 U2
L2 B D R2 L2 U2 F'
L2 B D B L2 R2 U2
L2 B D B R2 L2 U2
L2 B D' R2 F' L2 B'
L2 B D' U2 L2 R2 F'
L2 B D' U2 R2 L2 F'
L2 B D' U2 R2 F' L2
L B D R2 U2 F' R
L2 B D' B U2 L2 R2
L2 B D' B U2 R2 L2
L B D' B U2 L2 R'
L B D' B U2 R' L2
U B F2 R2 B U F'
D B' R2 U' F L2 U'
D2 B' U' F B' U' F
D2 B' U' B' F U' F
U' B' D' F U' L2 F
U' B' F L2 B' U' F
L B' D' B' L U2 L
L2 B' F2 U' F2 B' U2
L2 B' F2 U' B' F2 U2
L2 B' F2 D' L2 U F
L2 B2 L U F2 B U
L2 B2 L U B F2 U
L' B2 L' U F2 B' U
L' B2 L' U B' F2 U
L2 B2 L' U F2 B U
L2 B2 L' U B F2 U
R' B2 L2 U F2 B' U
R' B2 L2 U B' F2 U
L B2 L U F2 B' U
L B2 L U B' F2 U
L2 B2 L2 U F2 B U
L2 B2 L2 U B F2 U
R2 B2 L2 U F2 B' U
R2 B2 L2 U B' F2 U
R B2 L2 U F2 B' U
R B2 L2 U B' F2 U
R' B2 U F2 U2 F' U'
D B2 R2 U' F L2 U'
L' B2 U F2 B' U R'
L' B2 U B' F2 U R'
L2 B2 U D' B U L2
R' B2 U' D' F U' L2
R' B2 U' D2 F B2 U'
R' B2 U' D2 B2 F U'
R' B2 U' F U2 F U
L2 B2 U F2 D B U
L2 B2 U F2 D' B U
L2 B2 U F2 D2 B U
L2 B2 U F2 B U D
L2 B2 U F2 B U D'
L2 B2 U F2 B U D2
L2 B2 U F2 B D U
L2 B2 U F2 B D' U
L2 B2 U F2 B D2 U
L2 B2 U B U D' L2
L2 B2 U B D' U L2
L2 B2 U B F2 U D
L2 B2 U B F2 U D'
L2 B2 U B F2 U D2
L2 B2 U B F2 D U
L2 B2 U B F2 D' U
L2 B2 U B F2 D2 U
R2 B2 U F2 U2 F' U'
R2 B2 U' D' F U' L2
R2 B2 U' D2 F B2 U'
R2 B2 U' D2 B2 F U'
R2 B2 U' F U2 F U
R' B2 D R2 U' F U'
R B2 U F2 U2 F' U'
L2 B2 D R2 U' F' U'
R B2 U' D' F U' L2
R' B2 D' U' F U' L2
R B2 U' D2 F B2 U'
R B2 U' D2 B2 F U'
R B2 U' F U2 F U
R2 B2 D R2 U' F U'
L2 B2 D' U B U L2
R' B2 D2 U' F B2 U'
R' B2 D2 U' B2 F U'
R2 B2 D' U' F U' L2
U' B2 F U2 F U F'
R B2 D R2 U' F U'
D2 B2 F R2 U' F B
D2 B2 F R2 U' B F
D2 B2 F U F' U2 F2
D2 B2 F U' F D2 B2
R2 B2 D2 U' F B2 U'
R2 B2 D2 U' B2 F U'
R B2 D' U' F U' L2
R B2 D2 U' F B2 U'
R B2 D2 U' B2 F U'
U B2 F2 U2 F' U' F
