U2 R B2 U F2 B'
U2 R B2 U B' F2
L' U' F2 D' R2 B'
L' U' F2 D' B' R2
L U' F2 D' R2 B
L' U2 B2 U F2 B
L' U2 B2 U B F2
L D' L2 U' R2 B'
L D' L2 U' B' R2
U2 B2 R U F2 B
U2 B2 R U B F2
U2 L2 R B2 U B' F2
D' L2 R' D2 U' R' B
D' L2 U L U2 R2 B'
D' L2 U L U2 B' R2
D' L2 U L' F U2 R2
D' L2 U' L R2 B' L'
D' L2 U' L B' L' R2
D' L2 U' L B' R2 L'
D' L2 U' R' D2 R' B
D' L2 U' R2 L B' L'
D' L2 U2 L U R2 B'
D' L2 U2 L U B' R2
U2 L2 B2 R U F2 B
U2 L2 B2 R U B F2
U2 R L B2 U F2 B'
U2 R L B2 U B' F2
U2 R L' B2 U F2 B'
U2 R L' B2 U B' F2
L U F U B2 U F
L U F U2 D' R2 F
L U F U2 D' F R2
L U F U2 F D' R2
L U F D L2 B' U2
L U F D' U2 R2 F
L U F D' U2 F R2
U2 R L2 B2 U F2 B'
U2 R L2 B2 U B' F2
U2 R U F2 D' B R2
D R D F2 L' U' B'
L' U' R F2 D' R2 B'
L' U' R F2 D' B' R2
L U' R F2 D' R2 B
U2 R F2 D' L2 B R2
U2 R F2 D' B L2 R2
U2 R F2 D' B R2 L2
L' U' R' F2 D' R2 B'
L' U' R' F2 D' B' R2
L U' R' F2 D' R2 B
L' U' R2 F2 D' R2 B'
L' U' R2 F2 D' B' R2
L U' R2 F2 D' R2 B
U2 R B2 R U F2 B'
U2 R B2 R U B' F2
U2 R B2 R' U F2 B'
U2 R B2 R' U B' F2
L' U' D' R2 D F2 B'
L' U' D' R2 D B' F2
L' U' D' R2 B' D F2
U2 R B2 R2 U F2 B'
U2 R B2 R2 U B' F2
U2 R B2 U F2 D B'
U2 R B2 U F2 D' B'
U2 R B2 U F2 D2 B'
U2 R B2 U F2 B' D
U2 R B2 U F2 B' D'
U2 R B2 U F2 B' D2
U2 R B2 U B' F2 D
U2 R B2 U B' F2 D'
U2 R B2 U B' F2 D2
U2 R B2 D R2 U B'
L' U' D' B' R2 D F2
L' U' F D' R2 F B'
L' U' F D' R2 B' F
L' U' F D' F R2 B'
L' U' F D' F B' R2
L' U' F D' B' R2 F
L' U' F D' B' F R2
D' R' L2 U' D2 R' B
D' R' L2 D2 U' R' B
L U' F D' F R2 B
L' U' F' D' F' R2 B'
L' U' F' D' F' B' R2
L' U' F' D' B' F' R2
L' U' F2 R D' R2 B'
L' U' F2 R D' B' R2
L' U' F2 R' D' R2 B'
L' U' F2 R' D' B' R2
L' U' F2 R2 D' R2 B'
L' U' F2 R2 D' B' R2
L' U' F2 U' B2 U B
L' U' F2 D B' D2 R2
L' U' F2 D' R B' R
L' U' F2 D' R2 D B'
L' U' F2 D' R2 D' B'
L' U' F2 D' R2 D2 B'
L' U' F2 D' R2 B' D
L' U' F2 D' R2 B' D'
L' U' F2 D' R2 B' D2
L' U' F2 D' B R2 B2
L' U' F2 D' B' R2 D
L' U' F2 D' B' R2 D'
L' U' F2 D' B' R2 D2
L' U' F2 D2 B' D R2
L' U' F2 B' U' B' U
L U' F2 R2 D' B R2
L U' F2 D' R2 D B
L U' F2 D' R2 D' B
L U' F2 D' R2 D2 B
L U' F2 D' R2 B D
L U' F2 D' R2 B D'
L U' F2 D' R2 B D2
L U' F2 D' B R2 B
L U' F2 D' B' R2 B
L U' F2 D' B2 R2 B
L' U' B' U' B' U F2
L' U' B' F2 U' B' U
L2 U2 L B2 U F2 B
L2 U2 L B2 U B F2
R' U2 R B2 U F2 B'
R' U2 R B2 U B' F2
L U2 L2 B2 U F2 B
L U2 L2 B2 U B F2
L' U2 R B2 U F2 B
L' U2 R B2 U B F2
R2 U2 R B2 U F2 B'
R2 U2 R B2 U B' F2
U2 R' F2 D' L2 R2 B'
U2 R' F2 D' L2 B' R2
U2 R' F2 D' R2 L2 B'
L' U2 R' B2 U F2 B
L' U2 R' B2 U B F2
R U2 R B2 U F2 B'
R U2 R B2 U B' F2
L' U2 R2 B2 U F2 B
L' U2 R2 B2 U B F2
U2 R' B2 R2 U F2 B
U2 R' B2 R2 U B F2
U2 R' B2 U' F' U2 F'
U2 R' B2 D R2 U B
L' U2 F2 D' R2 B' L2
L' U2 F2 D' B' L2 R2
L' U2 F2 D' B' R2 L2
L U2 F2 D' L2 R2 B
L U2 F2 D' R2 L2 B
L U2 F2 D' R2 B L2
R' U2 B2 R U F2 B
R' U2 B2 R U B F2
L' U2 B2 L U F2 B
L' U2 B2 L U B F2
L' U2 B2 L' U F2 B
L' U2 B2 L' U B F2
L' U2 B2 L2 U F2 B
L' U2 B2 L2 U B F2
L2 U2 B2 L U F2 B'
L2 U2 B2 L U B' F2
L' U2 B2 U F2 D B
L' U2 B2 U F2 D' B
L' U2 B2 U F2 D2 B
L' U2 B2 U F2 B D
L' U2 B2 U F2 B D'
L' U2 B2 U F2 B D2
L' U2 B2 U B F2 D
L' U2 B2 U B F2 D'
L' U2 B2 U B F2 D2
R2 U2 B2 R U F2 B
R2 U2 B2 R U B F2
L U2 B2 L2 U F2 B'
L U2 B2 L2 U B' F2
R U2 B2 R U F2 B
R U2 B2 R U B F2
L U2 B2 U' F U2 F
U2 R2 B2 R' U F2 B
U2 R2 B2 R' U B F2
L' D' L2 U F U2 R2
L' D' L2 F2 U' R2 B
L D' L2 R U' R B'
L D' L2 R U' B' R
L D' L2 R' U' R' B'
L D' L2 U' R B' R
L D' L2 U' R2 D B'
L D' L2 U' R2 D' B'
L D' L2 U' R2 D2 B'
L D' L2 U' R2 B' D
L D' L2 U' R2 B' D'
L D' L2 U' R2 B' D2
L D' L2 U' B R2 B2
L D' L2 U' B' R2 D
L D' L2 U' B' R2 D'
L D' L2 U' B' R2 D2
L D' L2 D' F2 U' B'
L D' L2 F U' R2 B'
L D' L2 F U' B' R2
L D' L2 F' U' R2 B'
L D' L2 F' U' B' R2
L D' L2 F2 U' R2 B'
L D' L2 F2 U' B' R2
L D' R L2 U' R B'
L D' R L2 U' B' R
L D' R' L2 U' R' B'
L' D' U' R2 D F2 B'
L' D' U' R2 D B' F2
L' D' U' R2 B' D F2
L' D' U' B' R2 D F2
F2 U' L B2 U L' B'
L D' F2 L2 U' R2 B
F' U' F' U' L' B2 U
F' U' F' U' B2 L' U
F2 U' F' B2 L' U L
F2 U' B2 L U L' B'
F2 U' B2 F' L' U L
L' D2 F2 U B2 U2 B
L' D2 F2 U' D2 F2 B'
L' D2 F2 U' D2 B' F2
L' D2 F2 D2 U' F2 B'
L' D2 F2 D2 U' B' F2
B2 U2 R B2 U' F2 B'
B2 U2 R B2 U' B' F2
L D2 F2 U F' B2 U2
L D2 F2 U B2 F' U2
F U2 R B2 U F B'
F U2 R B2 U B' F
B2 U2 B2 R U' F2 B
B2 U2 B2 R U' B F2
L' F U' D' R2 F B'
L' F U' D' R2 B' F
L' F U' D' F R2 B'
L' F U' D' F B' R2
L' F U' D' B' R2 F
L' F U' D' B' F R2
L' F U' F D' R2 B'
L' F U' F D' B' R2
F U2 B2 R U F B
F U2 B2 R U B F
B2 D L' R2 U B' L'
L' F U2 B2 U F B
L' F U2 B2 U B F
L' F D' U' R2 F B'
L' F D' U' R2 B' F
L' F D' U' F R2 B'
L' F D' U' F B' R2
L' F D' U' B' R2 F
L' F D' U' B' F R2
L F U2 B2 U F B2
L F U2 B2 U B2 F
L' F D2 F2 U' F' B'
L' F D2 F2 U' B' F'
B2 D R2 L' U B' L'
U' F' U' L' B2 U F'
U' F' U' B2 L' U F'
L' F' U' D' F' R2 B'
L' F' U' D' F' B' R2
L' F' U' D' B' F' R2
L' F' U' F' D' R2 B'
L' F' U' F' D' B' R2
F' D' L' U' F' R2 B'
F' D' L' U' F' B' R2
F' D' L' U' B' F' R2
L' F' U2 B2 U F' B
L' F' U2 B2 U B F'
L F' U' F' D' R2 B
L' F' D' U' F' R2 B'
L' F' D' U' F' B' R2
L' F' D' U' B' F' R2
L' F' D2 F2 U' F B'
L' F' D2 F2 U' B' F
U' F' B2 L' U L F'
U' F' B2 L' U F' L
L F' D2 F2 U' F B2
L F' D2 F2 U' B2 F
D2 F2 L U F B2 U2
D2 F2 L U B2 F U2
D2 F2 L D L2 U' B'
U' F2 L' D' L R2 B'
U' F2 L' D' L B' R2
D2 F2 L' U B2 U2 B
U' F2 L' D' R2 L B'
D2 F2 L' U' D2 F2 B'
D2 F2 L' U' D2 B' F2
D2 F2 L' D2 U' F2 B'
D2 F2 L' D2 U' B' F2
U2 F2 R D' L2 B R2
U2 F2 R D' B L2 R2
U2 F2 R D' B R2 L2
U2 F2 R' D' L2 R2 B
U2 F2 R' D' R2 L2 B
U2 F2 R' D' R2 B L2
U' F2 D R D2 R2 B
U' F2 D R' D2 B R2
U' F2 D R' B D2 R2
F' D2 L' F2 U' F B'
F' D2 L' F2 U' B' F
U' F2 D' L R2 B' L'
U' F2 D' L B' L' R2
U' F2 D' L B' R2 L'
F2 D2 L' F2 U' F2 B'
F2 D2 L' F2 U' B' F2
U' F2 D' R' D2 R' B
U' F2 D' R2 L B' L'
U2 F2 D' L2 R B R
U2 F2 D' R L2 B R
U2 F2 D' R B L2 R
U2 F2 D' R B R L2
D2 F2 D2 L' U' F2 B'
D2 F2 D2 L' U' B' F2
L' F2 D2 F2 U' F2 B'
L' F2 D2 F2 U' B' F2
F2 D2 F2 L' U' F2 B'
F2 D2 F2 L' U' B' F2
F D2 F2 L' U' F' B'
F D2 F2 L' U' B' F'
U B U L B U F2
U2 B' R B' U F2 B2
U2 B' R B' U B2 F2
U' B2 L U L' F2 B'
U' B2 L U L' B' F2
U2 B2 L R U F2 B
U2 B2 L R U B F2
U2 B2 L' R U F2 B
U2 B2 L' R U B F2
U2 B2 L2 R U F2 B
U2 B2 L2 R U B F2
U2 B2 R L U F2 B
U2 B2 R L U B F2
U2 B2 R L' U F2 B
U2 B2 R L' U B F2
U2 B2 R L2 U F2 B
U2 B2 R L2 U B F2
U2 B2 R U F2 D B
U2 B2 R U F2 D' B
U2 B2 R U F2 D2 B
U2 B2 R U F2 B D
U2 B2 R U F2 B D'
U2 B2 R U F2 B D2
U2 B2 R U B F2 D
U2 B2 R U B F2 D'
U2 B2 R U B F2 D2
U2 B2 R' U' F' U2 F'
U2 B2 R' D R2 U B
L' B2 U F2 D L2 B
L' B2 U F2 D B L2
U2 B2 U2 L' U' F2 B'
U2 B2 U2 L' U' B' F2
L' B2 U2 B2 U' F2 B'
L' B2 U2 B2 U' B' F2
L B2 D R2 U L2 B'
U' B2 F' L' U L F'
U' B2 F' L' U F' L
