D2 L2 R2 F L U
B' L2 U2 L B U
U2 L2 U2 F L U
D2 L2 F L R2 U
D2 L2 F R2 L U
B L2 F B2 R' U'
B L2 B2 R' F U'
B L2 B2 F R' U'
L' U2 L B' L2 U'
L' U2 L' U2 F U
D2 R2 L2 F L U
L' D2 F2 R F' U
F2 U2 R B' L2 U'
L2 F L U2 L' U'
F2 U2 B' L2 R U'
F2 U2 B' R L2 U'
F U2 B' L2 R' U'
F U2 B' R' L2 U'
L2 F' L F2 R U
L' F2 D2 R F' U
U2 B L2 B2 R' U'
U2 B' L2 U2 L U
L' U2 L' U2 F U D
L' U2 L' U2 F U D'
L' U2 L' U2 F U D2
L' U2 L' U2 F D U
L' U2 L' U2 F D' U
L' U2 L' U2 F D2 U
L' U2 L' D U2 F U
L' U2 L' D' U2 F U
L' U2 L' D2 U2 F U
L' U2 L' B U2 F U
L' U2 L' B' U2 F U
L' U2 L' B2 U2 F U
R' U2 L2 U2 F L U
R2 U2 L2 U2 F L U
R U2 L2 U2 F L U
U2 R' B L2 B2 R' U'
F2 R' B' L2 R2 F' U'
U2 R' B' L2 U2 L U
F2 R' B' R2 L2 F' U'
F2 R' B' R2 F' L2 U'
L' U2 D' L' B' U' L
L' U2 D' B' L' U' L2
D2 R2 L' D F U L'
L2 U2 F L U2 F' U'
D2 R2 L2 D F L U
D2 R2 L2 D' F L U
D2 R2 L2 D2 F L U
D2 R2 L2 F L U D
D2 R2 L2 F L U D'
D2 R2 L2 F L U D2
D2 R2 L2 F L D U
D2 R2 L2 F L D' U
D2 R2 L2 F L D2 U
D2 R2 L2 F D L U
D2 R2 L2 F D' L U
D2 R2 L2 F D2 L U
D2 R2 L2 F' L F2 U
D2 R2 L2 F2 L F' U
B' R2 L2 F' U2 L U
U2 R2 L2 U2 F L U
B R2 L2 F B2 R' U'
B R2 L2 B2 R' F U'
B R2 L2 B2 F R' U'
R' U2 B L2 B2 R' U'
L' U2 B L B' L2 U'
L' U2 B L' U2 F U
R2 U2 B L2 B2 R' U'
R' U2 B' L2 U2 L U
L' U2 B' L B' L2 U'
F2 R2 U2 R' B' L2 U'
L' U2 B' L' U2 F U
D2 R2 U2 B' U2 L' U
R U2 B L2 B2 R' U'
D2 R2 D L2 F L U
R2 U2 B' L2 U2 L U
L' U2 B2 L B' L2 U'
L' U2 B2 L' U2 F U
R U2 B' L2 U2 L U
F R2 U2 B' L2 R' U'
F R2 U2 B' R' L2 U'
D2 R2 D' L2 F L U
D2 R2 D2 L2 F L U
D2 R2 F U2 B' R' U'
D2 R2 F' L2 F L' U
B' R2 F2 R F L2 U'
D2 R2 F2 U2 R B' U'
D2 R2 F2 U2 B' R U'
U2 R2 B L2 B2 R' U'
U2 R2 B' L2 U2 L U
L' D F U L F L2
L2 D F L U2 L' U'
L2 D F' L F2 R U
L' D F2 R F' U L'
B U L2 F B2 R' U'
B U L2 B2 R' F U'
B U L2 B2 F R' U'
D U F2 U R B' U'
D U F2 U B' R U'
U D F2 U R B' U'
U D F2 U B' R U'
U2 D B' U2 L' U F2
F2 U B' L2 R U' R'
F2 U B' R L2 U' R'
L' D' U2 L' B' U' L
L' D' U2 B' L' U' L2
L2 D' F L U2 L' U'
L2 D' F' L F2 R U
B U' L2 F B2 R' U'
L' D' F2 D' R F' U
B U' L2 B2 R' F U'
B U' L2 B2 F R' U'
R' D2 L2 R2 F L U
R' D2 L2 F L R2 U
R' D2 L2 F R2 L U
R2 D2 L2 R2 F L U
R2 D2 L2 F L R2 U
R2 D2 L2 F R2 L U
L' D2 R F2 R F U
R D2 L2 R2 F L U
R D2 L2 F L R2 U
R D2 L2 F R2 L U
L' D2 R' U2 L' B U'
L' D2 R' U2 B L' U'
R' D2 R2 L2 F L U
L' D2 R2 U2 L' B' U'
R2 D2 R2 L2 F L U
R D2 R2 L2 F L U
L2 D2 F L U2 L' U'
B' U2 L' B U2 L' U'
L' D2 F' R F' R U
F2 U2 L2 R U2 F U
F' U2 L2 U2 F L' U
L2 D2 F' L F2 R U
L' D2 F2 R D F' U
L' D2 F2 R D' F' U
L' D2 F2 R D2 F' U
L' D2 F2 R F' U D
L' D2 F2 R F' U D'
L' D2 F2 R F' U D2
L' D2 F2 R F' D U
L' D2 F2 R F' D' U
L' D2 F2 R F' D2 U
F2 U2 R L2 U2 F U
B U2 L2 F B2 R' U'
F2 U2 R D B' U' F2
B U2 L2 B2 R' F U'
B U2 L2 B2 F R' U'
F2 U2 R B L2 B2 U'
F2 U2 R B' L2 U' D
F2 U2 R B' L2 U' D'
F2 U2 R B' L2 U' D2
F2 U2 R B' L2 D U'
F2 U2 R B' L2 D' U'
F2 U2 R B' L2 D2 U'
F2 U2 R B' U' D F2
F2 U2 R B' D U' F2
F2 U2 R B2 L2 B U'
F2 U2 R' B' L2 R2 U'
F2 U2 R' B' R2 L2 U'
F U2 R B' L2 R' U'
F U2 R B' R' L2 U'
D2 U2 B' U2 L' R2 U
D2 U2 B' U2 R2 L' U
B' U2 D L' B U F2
U2 D2 B' U2 L' R2 U
U2 D2 B' U2 R2 L' U
F U2 R' B' L2 R' U'
F U2 R' B' R' L2 U'
B' U2 D B L' U F2
F2 U2 D R B' U' F2
D U2 B' U2 L' U F2
F2 U2 D B' R U' F2
F U2 R2 B' L2 R' U'
F U2 R2 B' R' L2 U'
L2 F L R U2 L' U'
L2 F L R' U2 L' U'
L2 F L R2 U2 L' U'
B' U2 D2 L' B R2 U
L2 F L U2 L' U' D
L2 F L U2 L' U' D'
L2 F L U2 L' U' D2
L2 F L U2 L' D U'
L2 F L U2 L' D' U'
L2 F L U2 L' D2 U'
L2 F L U2 D L' U'
L2 F L U2 D' L' U'
L2 F L U2 D2 L' U'
L2 F L D U2 L' U'
L2 F L D' U2 L' U'
L2 F L D2 U2 L' U'
B' U2 D2 B L' R2 U
B' U2 D2 B R2 L' U
F U2 D B' R' U' F2
L2 F L F2 R F2 U
L' F L' F L R U
L' F L' F R L U
L2 F L2 D L' U F2
L2 F L2 D2 L' R2 U
L2 F L2 D2 R2 L' U
L2 F R L U2 L' U'
B' U2 B L' U2 L' U'
L2 F R' L U2 L' U'
F2 U2 B L2 R B2 U'
B' U2 B D L' U F2
F2 U2 B L2 B2 R U'
F2 U2 B R L2 B2 U'
F2 U2 B R B2 L2 U'
B' U2 B D2 L' R2 U
B' U2 B D2 R2 L' U
D2 F R2 U2 B' R' U'
L2 F R2 L U2 L' U'
F2 U2 B' L2 R U' D
F2 U2 B' L2 R U' D'
F2 U2 B' L2 R U' D2
F2 U2 B' L2 R D U'
F2 U2 B' L2 R D' U'
F2 U2 B' L2 R D2 U'
F2 U2 B' L2 D R U'
F2 U2 B' L2 D' R U'
F2 U2 B' L2 D2 R U'
F2 U2 B' R L2 U' D
F2 U2 B' R L2 U' D'
F2 U2 B' R L2 U' D2
F2 U2 B' R L2 D U'
F2 U2 B' R L2 D' U'
F2 U2 B' R L2 D2 U'
F2 U2 B' R U' D F2
F2 U2 B' R D U' F2
L' F U D L F L'
F2 U2 B' D R U' F2
F2 U2 B2 L2 B R U'
F U2 B' L2 R' U' D
F U2 B' L2 R' U' D'
F U2 B' L2 R' U' D2
F U2 B' L2 R' D U'
F U2 B' L2 R' D' U'
F U2 B' L2 R' D2 U'
F U2 B' L2 D R' U'
F U2 B' L2 D' R' U'
F U2 B' L2 D2 R' U'
F U2 B' R' L2 U' D
F U2 B' R' L2 U' D'
F U2 B' R' L2 U' D2
F U2 B' R' L2 D U'
F U2 B' R' L2 D' U'
F U2 B' R' L2 D2 U'
F U2 B' R' U' D F2
F U2 B' R' D U' F2
F U2 B' D R' U' F2
F U2 B2 L2 B R' U'
R' F U2 B' L2 R' U'
R' F U2 B' R' L2 U'
L' F U2 B L B' U'
L' F D U L F L'
L2 F D L U2 L' U'
L' F D F R U L'
R2 F U2 B' L2 R' U'
R2 F U2 B' R' L2 U'
D F U2 B' R' U' F
L2 F D' L U2 L' U'
R F U2 B' L2 R' U'
R F U2 B' R' L2 U'
L2 F D2 L U2 L' U'
L' F D2 F R F' U
B' D U2 L' B U F2
L2 F' L R F2 R U
L2 F' L R' F2 R U
L2 F' L R2 F2 R U
B' D U2 B L' U F2
F2 D U2 R B' U' F2
L2 F' L F2 R U D
L2 F' L F2 R U D'
L2 F' L F2 R U D2
L2 F' L F2 R D U
L2 F' L F2 R D' U
L2 F' L F2 R D2 U
L2 F' L F2 D R U
L2 F' L F2 D' R U
L2 F' L F2 D2 R U
F2 D U2 B' R U' F2
D2 F' L2 R2 F L' U
D2 F' L2 F L' R2 U
D2 F' L2 F R2 L' U
F D U2 B' R' U' F2
L2 F' R L F2 R U
D F' L2 F L' U F2
L2 F' R' L F2 R U
D2 F' R2 L2 F L' U
L2 F' R2 L F2 R U
B D B' L' U L' F2
L' F2 L' R F L U
L2 F2 L F2 R F U
L' F2 R L' F L U
L' F2 R D F U L'
U2 F2 R F2 B' L2 U'
U2 F2 R B' L2 F2 U'
U2 F2 R B' F2 L2 U'
D2 F2 R2 U2 R' B' U'
U' F2 U' R B' L2 U'
U' F2 U' B' L2 R U'
U' F2 U' B' R L2 U'
R' F2 U2 R B' L2 U'
U F2 U R B' L2 U'
D F2 U B' R U' R'
R' F2 U2 B' L2 R U'
R' F2 U2 B' R L2 U'
U F2 U B' L2 R U'
U F2 U B' R L2 U'
L' F2 D R F U L'
R2 F2 U2 R B' L2 U'
R2 F2 U2 B' L2 R U'
R2 F2 U2 B' R L2 U'
R F2 U2 R B' L2 U'
R F2 U2 B' L2 R U'
R F2 U2 B' R L2 U'
L' F2 D2 R D F' U
L' F2 D2 R D' F' U
L' F2 D2 R D2 F' U
L' F2 D2 R F' U D
L' F2 D2 R F' U D'
L' F2 D2 R F' U D2
L' F2 D2 R F' D U
L' F2 D2 R F' D' U
L' F2 D2 R F' D2 U
F2 D2 R2 U2 R' B' U'
U2 F2 B' L2 R F2 U'
U2 F2 B' R L2 F2 U'
U2 F2 B' R F2 L2 U'
F D2 R2 U2 B' R' U'
B D2 R2 B' L' F2 U
U F2 B' L2 R U' R'
U F2 B' R L2 U' R'
B' D2 U2 L' B R2 U
B' D2 U2 B L' R2 U
B' D2 U2 B R2 L' U
R' B L2 F B2 R' U'
U2 B L2 R B2 R' U'
R' B L2 B2 R' F U'
R' B L2 B2 F R' U'
U2 B L2 R' B2 R' U'
U2 B L2 R2 B2 R' U'
U2 B L2 B2 R' U' D
U2 B L2 B2 R' U' D'
U2 B L2 B2 R' U' D2
U2 B L2 B2 R' D U'
U2 B L2 B2 R' D' U'
U2 B L2 B2 R' D2 U'
U2 B L2 B2 D R' U'
U2 B L2 B2 D' R' U'
U2 B L2 B2 D2 R' U'
R2 B L2 F B2 R' U'
U2 B R L2 B2 R' U'
R2 B L2 B2 R' F U'
R2 B L2 B2 F R' U'
U2 B R' L2 B2 R' U'
U B L2 B2 R' U' R
R B L2 F B2 R' U'
R B L2 B2 R' F U'
R B L2 B2 F R' U'
U2 B R2 L2 B2 R' U'
U' B U' L2 B2 R' U'
B D2 B' L' R2 F2 U
B D2 B' L' F2 R2 U
B D2 B' R2 L' F2 U
U B U L2 B2 R' U'
L2 B U2 F B' L U
B' F L2 U2 B L U
L2 B U2 B' F L U
F2 B L2 R F B2 U'
F2 B L2 R B2 F U'
F2 B L2 B2 R F U'
F2 B R L2 F B2 U'
F2 B R L2 B2 F U'
B F L2 F R B2 U'
B F L2 F B2 R U'
B F L2 B2 F R U'
F B L2 F R B2 U'
F B L2 F B2 R U'
F B L2 B2 F R U'
U2 B' L D' L U' B2
U2 B' L D2 L R2 U'
U2 B' L D2 R2 L U'
R' B' L2 U2 L B U
U2 B' L2 R U2 L U
U2 B' L2 R' U2 L U
U2 B' L2 R2 U2 L U
U2 B' L2 U2 L U D
U2 B' L2 U2 L U D'
U2 B' L2 U2 L U D2
U2 B' L2 U2 L D U
U2 B' L2 U2 L D' U
U2 B' L2 U2 L D2 U
U2 B' L2 U2 D L U
U2 B' L2 U2 D' L U
U2 B' L2 U2 D2 L U
U2 B' L2 D U2 L U
U2 B' L2 D' U2 L U
U2 B' L2 D2 U2 L U
R2 B' L2 U2 L B U
U2 B' L2 B2 R' B2 U'
U2 B' R L2 U2 L U
U2 B' R' L2 U2 L U
R B' L2 U2 L B U
U2 B' R2 L2 U2 L U
B' F' L2 R2 F' R U'
F' B' L2 R2 F' R U'
F2 B' L2 R2 F' R' U'
D2 B' U2 L' B R2 U
D2 B' U2 B L' R2 U
D2 B' U2 B R2 L' U
U2 B' U2 L' U2 L' U'
U2 B' U2 D L' U F2
F B' L2 U2 B L U
U2 B' U2 D2 L' R2 U
U2 B' U2 D2 R2 L' U
D B' U2 L' B U F2
B' F' R2 L2 F' R U'
D B' U2 B L' U F2
U2 B' D U2 L' U F2
F' B' R2 L2 F' R U'
B' F' R2 F' L2 R U'
B' F' R2 F' R L2 U'
F2 B' R2 L2 F' R' U'
F' B' R2 F' L2 R U'
F' B' R2 F' R L2 U'
F2 B' R2 F' L2 R' U'
F2 B' R2 F' R' L2 U'
U2 B' D2 U2 L' R2 U
U2 B' D2 U2 R2 L' U
U2 B' F2 L2 R F2 U'
U2 B' F2 R L2 F2 U'
U2 B' F2 R F2 L2 U'
D2 B2 L' R2 F' B2 U
D2 B2 L' R2 B2 F' U
U B' F2 L2 R U' R'
U B' F2 R L2 U' R'
U2 B2 L2 B2 R' B' U'
B' F2 L2 R2 F' R' U'
D2 B2 R2 L' F' B2 U
D2 B2 R2 L' B2 F' U
L2 B2 R' U2 F B2 U
L2 B2 R' U2 B2 F U
D2 B2 R2 B2 L' F' U
B F2 L2 R F B2 U'
B F2 L2 R B2 F U'
B F2 L2 B2 R F U'
B F2 R L2 F B2 U'
B F2 R L2 B2 F U'
B' F2 R2 L2 F' R' U'
B' F2 R2 F' L2 R' U'
B' F2 R2 F' R' L2 U'
L2 B2 U2 F B2 L U
L2 B2 U2 B2 F L U
