L2 R U' F L'
R L2 U' F L'
R U' L2 F L'
L' R U' L' F L'
L' R U' F L' F
L2 R U' F L' D
L2 R U' F L' D'
L2 R U' F L' D2
L2 R U' F D L'
L2 R U' F D' L'
L2 R U' F D2 L'
L2 R B U' F L'
L2 R B' U' F L'
L2 R B2 U' F L'
R L' U' L' F L'
R L' U' F L' F
R L2 U' F L' D
R L2 U' F L' D'
R L2 U' F L' D2
R L2 U' F D L'
R L2 U' F D' L'
R L2 U' F D2 L'
R L2 B U' F L'
R L2 B' U' F L'
R L2 B2 U' F L'
R U D2 B' U2 L
D2 R U B' U2 L
D2 R U B' U2 L
R U' L' F L' F
R U' L2 F L' D
R U' L2 F L' D'
R U' L2 F L' D2
R U' L2 F D L'
R U' L2 F D' L'
R U' L2 F D2 L'
R U' F L2 F L
R D2 U B' U2 L
L2 B R U' F L'
L2 B' R U' F L'
L2 B2 R U' F L'
R L' B2 L' U' F L'
L2 R' B2 R2 U' F L'
R L' B2 U' L' F L'
R L' B2 U' F L' F
R L2 U R U2 F L'
R L2 U R' U2 F L'
R L2 U R2 U2 F L'
R L2 U B U2 F L'
R L2 U B' U2 F L'
R L2 U B2 U2 F L'
R' L2 U' F L' D B2
R L2 U' L F L' F
R' L2 U' F D L' B2
R' L2 U' F D B2 L'
R L2 U' R F L' R'
R L2 U' R F R' L'
R L2 U' R2 F L' R2
R L2 U' R2 F R2 L'
R L2 U' F L2 D L
R L2 U' F L2 D' L
R L2 U' F L2 D2 L
R L2 U' F D L' D
R L2 U' F D L' D'
R L2 U' F D L' D2
R L2 U' F D' L' D
R L2 U' F D' L' D'
R L2 U' F D' L' D2
R L2 U' F D2 L' D
R L2 U' F D2 L' D'
R L2 U' F D2 L' D2
R L2 U' F B' L' B
R L2 U' F B2 L' B2
R L2 U' F' L F2 L'
R L2 U' F' L' F2 L'
R L2 U' F' L2 F2 L'
R L2 U' F2 L F' L'
R L2 U' F2 L' F' L'
R L2 U' F2 L2 F' L'
R L2 U' F2 D F' L'
R L2 U' F2 D' F' L'
R L2 U' F2 D2 F' L'
R L2 U' B' F L' B
R L2 U' B2 F L' B2
R L2 U2 R U F L'
R L2 U2 R' U F L'
R L2 U2 R2 U F L'
R L2 U2 F' U F2 L'
L2 R2 D R' B U' F
R2 L2 D R' B U' F
D2 L2 R U' D2 F L'
D' L2 R U' F' L' F2
U' L2 R U' R' F L'
U' L2 R U' F L' R'
U' L2 R U' F R' L'
D2 L2 R D2 U' F L'
D L2 R U' F D' L2
D L2 R U2 F' U F2
D2 L2 R B' U' F L
R L2 D2 B' U' F L
D L2 R' B R2 U' F
U' L2 U R U' F L'
R' L2 B R2 U' F L'
L2 R2 B U' F L' B'
R2 L2 B U' F L' B'
U2 L2 U2 R U' F L'
R L2 B U' F L' D
R L2 B U' F L' D'
R L2 B U' F L' D2
R L2 B U' F D L'
R L2 B U' F D' L'
R L2 B U' F D2 L'
R' L2 B' R2 U' F L'
R L2 B' U' F L' D
R L2 B' U' F L' D'
R L2 B' U' F L' D2
R L2 B' U' F D L'
R L2 B' U' F D' L'
R L2 B' U' F D2 L'
R' L2 B2 R2 U' F L'
D L2 D' R U' F L'
R L2 B2 U' F L' D
R L2 B2 U' F L' D'
R L2 B2 U' F L' D2
R L2 B2 U' F D L'
R L2 B2 U' F D' L'
R L2 B2 U' F D2 L'
D2 L2 D2 R U' F L'
U' L2 F L2 D' L B'
U' L2 F D' L B' L2
U2 L2 F' U F2 L' B'
F L2 F' R U' L F2
F L2 F' R U' F2 L
R U R U2 L2 F L'
R U R D2 B' U2 L
R U R' U2 L2 F L'
R U R' D2 B' U2 L
D2 L2 B' R U' F L
R U R2 U2 L2 F L'
R U R2 D2 B' U2 L
D' R L B' L U' F
R U D2 R B' U2 L
R U D2 R' B' U2 L
R U D2 R2 B' U2 L
R U D2 B R' B2 U2
R U D2 B' R U2 L
R U D2 B' R' U2 L
R U D2 B' R2 U2 L
R U D2 B' U2 L D
R U D2 B' U2 L D'
R U D2 B' U2 L D2
R U D2 B' U2 D L
R U D2 B' U2 D' L
R U D2 B' U2 D2 L
R U D2 B' D U2 L
R U D2 B' D' U2 L
R U D2 B' D2 U2 L
D2 R L2 U' D2 F L'
D' R L2 U' F' L' F2
U' R L2 U' R' F L'
U' R L2 U' F L' R'
U' R L2 U' F R' L'
D2 R L2 D2 U' F L'
D R L2 U' F D' L2
D R L2 U2 F' U F2
D2 R L2 B' U' F L
D2 R U R B' U2 L
D2 R U R' B' U2 L
D2 R U R2 B' U2 L
D' R U D' B' U2 L
R U F' R F B' U2
R U F' R B' F U2
D2 R U B R' B2 U2
D2 R U B' R U2 L
D2 R U B' R' U2 L
D2 R U B' R2 U2 L
D2 R U B' U2 L D
D2 R U B' U2 L D'
D2 R U B' U2 L D2
D2 R U B' U2 D L
D2 R U B' U2 D' L
D2 R U B' U2 D2 L
D2 R U B' D U2 L
D2 R U B' D' U2 L
D2 R U B' D2 U2 L
D2 R U' L2 D2 F L'
U' R U' L2 R' F L'
R U F' B' R F U2
U' R U' L2 F L' R'
U' R U' L2 F R' L'
D R U B' U F' U
U' R U' R' L2 F L'
D' R U' D L2 F L'
D2 R U' D2 L2 F L'
D R U' L2 F D' L2
B2 R U' F D2 L' F
D R U' F D' L2 F
B R U' F L' D2 F2
B R U' F D2 L' F2
B R U' F' D2 F2 L'
B' R U2 F U L' F'
D R U2 F' U' B' U2
D' R D L2 U' F L'
D' R D U' L2 F L'
R U B' U F U L'
R U B' U2 F L' F'
R U B' F' R F U2
D' R D' U B' U2 L
D2 R D2 L2 U' F L'
R U B2 D2 B R' U2
D2 R D2 U' L2 F L'
R U' L F L F L2
B R D2 B' U' L F2
B R D2 B' U' F2 L
R U' L' F L' D F
R U' L' F L' D' F
R U' L' F L' D2 F
R U' L' F L' F D
R U' L' F L' F D'
R U' L' F L' F D2
R' U' L2 F L' D B2
R' U' L2 F D L' B2
R' U' L2 F D B2 L'
R U' L2 R F L' R'
R U' L2 R F R' L'
R U' L2 R2 F L' R2
R U' L2 R2 F R2 L'
R U' L2 F L2 D L
R U' L2 F L2 D' L
R U' L2 F L2 D2 L
R U' L2 F D L' D
R U' L2 F D L' D'
R U' L2 F D L' D2
R U' L2 F D' L' D
R U' L2 F D' L' D'
R U' L2 F D' L' D2
R U' L2 F D2 L' D
R U' L2 F D2 L' D'
R U' L2 F D2 L' D2
R U' L2 F B' L' B
R U' L2 F B2 L' B2
R U' L2 F' L F2 L'
R U' L2 F' L' F2 L'
R U' L2 F' L2 F2 L'
R U' L2 F2 L F' L'
R U' L2 F2 L' F' L'
R U' L2 F2 L2 F' L'
L2 U' R U' R' F L'
R U' L2 F2 D F' L'
R U' L2 F2 D' F' L'
R U' L2 F2 D2 F' L'
L2 U' R U' F L' R'
L2 U' R U' F R' L'
R U' L2 B' F L' B
R U' L2 B2 F L' B2
R U' R L2 F L' R'
R U' R L2 F R' L'
B' R B L2 U' F L'
D2 R B U R' B2 U2
D2 R B U B2 U2 L
B' R B U' L2 F L'
R U' R2 L2 F L' R2
R U' R2 L2 F R2 L'
B R B' L2 U' F L'
B R B' U' L2 F L'
D R B' U2 F' U F
R U' D L2 D' F L'
R U' D2 L2 D2 F L'
L2 U' F L2 D' L B'
L2 U' F D' L B' L2
R U' F L2 D F L
R U' F L2 D' F L
R U' F L2 D2 F L
R U' F L2 F L D
R U' F L2 F L D'
R U' F L2 F L D2
R U' F L2 F D L
R U' F L2 F D' L
R U' F L2 F D2 L
R U' F L2 F' L F2
R U' F L2 F2 L F'
R U' F U2 B' U2 L'
R U' F D L2 F L
R U' F D' L2 F L
R U' F D2 L2 F L
D R' L2 B R2 U' F
R U' F' L' F2 L' F
R U' F' L2 F2 L' F'
R U' F' U2 R B' U2
R U' F' U2 B' R U2
R U' F2 L' F' L' F
R U' F2 L2 F' L' F2
R U' F2 U2 B' R' U2
R U' B D2 F2 B' L
R U' B D2 B' L F2
R U' B D2 B' F2 L
R U2 R U L2 F L'
R U2 R' U L2 F L'
D R' B R2 U B2 U2
D R' B R2 U' D2 F2
D R' B R2 D L2 U'
D R' B R2 D2 U' F2
D R' B D L2 U' B2
R U2 R2 U L2 F L'
D R' B2 R2 B' U' F'
R U2 F U L2 F L
R U2 F U' B' U2 L'
L2 U2 F' U F2 L' B'
R U2 F' U' R B' U2
R U2 F' U' B' R U2
B R2 D L2 R' B U'
B R2 D R' L2 B U'
B R2 D R' B L2 U'
R2 D L2 R' B U' F
L' D R U2 F' R U
R D L2 U' D' F L'
R D L2 D' U' F L'
L2 D R U' F D' L2
L2 D R U2 F' U F2
R2 D R' L2 B U' F
L2 D R' B R2 U' F
R2 D R' B U B2 U2
R2 D R' B U' D2 F2
R2 D R' B D L2 U'
R2 D R' B D2 U' F2
R D U' L2 D' F L'
L' D' L R B' L U'
L' D' L B' L R U'
L' D' L B' R L U'
L D' L R B' U' F
L D' L B' R U' F
R D' L B' L U' F
L' D' R L B' L U'
D2 U B' U' R U' L
R D' L2 U' F' L' F2
L2 D' R U' D F L'
L' D' R B' L B' U'
L2 D' R D U' F L'
L D' R L B' U' F
B' U' R F U' L' R'
B' U' R F U' R' L'
L' D' B' L R B' U'
L' D' B' L B' R U'
L' D' B' R L B' U'
L2 D2 R U' D2 F L'
L' D2 R B' U' L F'
L' D2 R B' U' F' L
R D2 L2 U' D2 F L'
L2 D2 R D2 U' F L'
R D2 L2 D2 U' F L'
L2 D2 R B' U' F L
R D2 L2 B' U' F L
R2 D2 R' U B' U2 L
R D2 U R B' U2 L
R D2 U R' B' U2 L
R D2 U R2 B' U2 L
R D2 U B R' B2 U2
R D2 U B' R U2 L
R D2 U B' R' U2 L
R D2 U B' R2 U2 L
R D2 U B' U2 L D
R D2 U B' U2 L D'
R D2 U B' U2 L D2
R D2 U B' U2 D L
R D2 U B' U2 D' L
R D2 U B' U2 D2 L
R D2 U B' D U2 L
R D2 U B' D' U2 L
R D2 U B' D2 U2 L
R D2 U' L2 D2 F L'
L' D2 B' R U' L F'
L' D2 B' R U' F' L
L2 D2 B' R U' F L
R D2 B U R' B2 U2
R D2 B U B2 U2 L
U D2 B' U' R U' L
L2 F L' U F' R U'
U' F L2 D' F L B'
U' F L2 F L D' B2
R F L2 F' U' L F2
R F L2 F' U' F2 L
B D L2 R U2 F' U
B' D R U2 F' U F
B D L2 R' B R2 U'
B D R L2 U2 F' U
B D R' L2 B R2 U'
B D R' B L2 R2 U'
B D R' B R2 L2 U'
U2 F' U' R B' U2 B2
U2 F' U' B' R U2 B
U2 F2 L' F' U L' F
R' F2 D B2 R2 F' L'
B D2 R B' U' L F2
B D2 R B' U' F2 L
L' B L' R U' F L'
L B L R U' F L'
D2 B R U R2 B2 U2
D2 B R U B2 R2 U2
L' B R L' U' F L'
D2 B R U' D2 L2 F2
D2 B R U' D2 F2 L2
D2 B R D L2 B2 U'
L' B R U' L' F L'
D2 B R D B2 L2 U'
L' B R U' F L' F
D2 B R D2 U' L2 F2
D2 B R D2 U' F2 L2
L2 B R U' F L' D
L2 B R U' F L' D'
L2 B R U' F L' D2
L2 B R U' F D L'
L2 B R U' F D' L'
L2 B R U' F D2 L'
L2 B R B U' F L'
L2 B R B' U' F L'
L2 B R B2 U' F L'
L B R L U' F L'
D B R' B R2 U' F'
B D2 B' R U' L F2
B D2 B' R U' F2 L
R B U' F L' D2 F2
R B U' F D2 L' F2
R B U' F' D2 F2 L'
R B D2 B' U' L F2
R B D2 B' U' F2 L
L' B' L' R U' F L'
L B' L R U' F L'
L' B' R L' U' F L'
L' B' R U' L' F L'
L' B' R U' F L' F
L2 B' R U' F L' D
L2 B' R U' F L' D'
L2 B' R U' F L' D2
L2 B' R U' F D L'
L2 B' R U' F D' L'
L2 B' R U' F D2 L'
L2 B' R B U' F L'
L2 B' R B' U' F L'
L2 B' R B2 U' F L'
D B' R U2 F' U F
L B' R L U' F L'
D2 B' U' R U' L R'
D2 B' U' R U' R' L
R B' U2 F U L' F'
F2 B' U' F2 R B U'
L' B2 L' R U' F L'
L B2 L R U' F L'
L' B2 R L' U' F L'
L' B2 R U' L' F L'
L' B2 R U' F L' F
L2 B2 R U' F L' D
L2 B2 R U' F L' D'
L2 B2 R U' F L' D2
L2 B2 R U' F D L'
L2 B2 R U' F D' L'
L2 B2 R U' F D2 L'
L2 B2 R B U' F L'
L2 B2 R B' U' F L'
L2 B2 R B2 U' F L'
R' B2 R2 U' F L' F2
L B2 R L U' F L'
R B2 U D2 B R' U2
B' F2 U' F2 R B U'
R B2 D2 U B R' U2
