B2 L F' U' B'
B2 F' L U' B'
F' B2 L U' B'
B2 L R U' B' R'
B2 L D F' U' B'
B2 L D' F' U' B'
B2 L D2 F' U' B'
B2 L F' R U' B'
B2 L F' R' U' B'
B2 L F' R2 U' B'
B2 L F' U' D B'
B2 L F' U' D' B'
B2 L F' U' D2 B'
B2 L F' U' B' D
B2 L F' U' B' D'
B2 L F' U' B' D2
B2 L F' D U' B'
B2 L F' D' U' B'
B2 L F' D2 U' B'
F' L B2 L U' B
B2 R L U' B' R'
B2 D L F' R U'
B2 D F' L R U'
B2 D F' R L U'
U' F' B2 L U' B'
U2 F' B2 L U' B'
L F' B2 L U' B
U F' B2 L U' B'
B2 F L F2 U' B'
B2 F' L R U' B'
B2 F' L R' U' B'
B2 F' L R2 U' B'
B2 F' L U' D B'
B2 F' L U' D' B'
B2 F' L U' D2 B'
B2 F' L U' B' D
B2 F' L U' B' D'
B2 F' L U' B' D2
B2 F' L D U' B'
B2 F' L D' U' B'
B2 F' L D2 U' B'
B2 F' R L U' B'
B2 F' R' L U' B'
B2 F' R2 L U' B'
U' B2 L F' U' B'
U2 B2 L F' U' B'
L B2 L F' U' B
F' B2 L R U' B'
F' B2 L R' U' B'
F' B2 L R2 U' B'
F' B2 L R2 U' B'
F' B2 L U' D B'
F' B2 L U' D' B'
F' B2 L U' D2 B'
F' B2 L U' B' D
F' B2 L U' B' D'
F' B2 L U' B' D2
F' B2 L D U' B'
F' B2 L D' U' B'
F' B2 L D2 U' B'
U B2 L F' U' B'
F' B2 R L U' B'
F B2 L F2 U' B'
F' B2 R' L U' B'
F' B2 R2 L U' B'
F' B2 R2 L U' B'
U' B2 F' L U' B'
U2 B2 F' L U' B'
L B2 F' L U' B
U B2 F' L U' B'
B2 D L' F' R L2 U'
U' F B2 L F2 U' B'
U2 F B2 L F2 U' B'
U' F' L B2 L U' B
U F B2 L F2 U' B'
L F B2 L F2 U' B
U2 F' L B2 L U' B
L2 F' L' B2 L U' B
U F' L B2 L U' B
B2 D F' L R U' D
B2 D F' L R U' D'
B2 D F' L R U' D2
B2 D F' L R D U'
B2 D F' L R D' U'
B2 D F' L R D2 U'
B2 D F' L D R U'
B2 D F' L D' R U'
B2 D F' L D2 R U'
B2 D F' R L U' D
B2 D F' R L U' D'
B2 D F' R L U' D2
B2 D F' R L D U'
B2 D F' R L D' U'
B2 D F' R L D2 U'
B2 D F' R D L U'
B2 D F' R D' L U'
B2 D F' R D2 L U'
B2 D F' D L R U'
B2 D F' D R L U'
B2 D F' D' L R U'
B2 D F' D' R L U'
B2 D F' D2 L R U'
B2 D F' D2 R L U'
L2 F' L2 B2 L U' B'
L F' L' B2 L U' B'
D F' R U' L2 D' F2
B D F' B L R U'
B D F' B R L U'
D F' R U2 R2 U L2
D F' R D' B2 U' F2
B D B L F' R U'
B D B F' L R U'
B D B F' R L U'
B2 D' L D2 F' R U'
D2 F' U2 F' R' U B
D' F' D B2 L U' B'
D F' D' B2 L R U'
D F' D' B2 R L U'
U' F' B2 L R U' B'
U' F' B2 L R' U' B'
U' F' B2 L R2 U' B'
U' F' B2 L U' D B'
U' F' B2 L U' D' B'
U' F' B2 L U' D2 B'
U' F' B2 L U' B' D
U' F' B2 L U' B' D'
U' F' B2 L U' B' D2
U' F' B2 L D U' B'
U' F' B2 L D' U' B'
U' F' B2 L D2 U' B'
U' F' B2 R L U' B'
U' F' B2 R' L U' B'
U' F' B2 R2 L U' B'
L' F' B2 L U F2 U2
L' F' B2 L U' D2 B2
L' F' B2 L D R2 U'
L' F' B2 L D2 U' B2
U2 F' B2 L R U' B'
U2 F' B2 L R' U' B'
U2 F' B2 L R2 U' B'
U2 F' B2 L U' D B'
U2 F' B2 L U' D' B'
U2 F' B2 L U' D2 B'
U2 F' B2 L U' B' D
U2 F' B2 L U' B' D'
U2 F' B2 L U' B' D2
U2 F' B2 L D U' B'
L' F' B2 D L R2 U'
U2 F' B2 L D' U' B'
L2 F' B2 L U F U2
U2 F' B2 L D2 U' B'
L' F' B2 D R2 L U'
L' F' B2 D2 L U' B2
U2 F' B2 R L U' B'
U2 F' B2 R' L U' B'
U2 F' B2 R2 L U' B'
D F' B2 L R U' L
D F' B2 R L U' L
U F' B2 L R U' B'
U F' B2 L R' U' B'
U F' B2 L R2 U' B'
U F' B2 L U' D B'
U F' B2 L U' D' B'
U F' B2 L U' D2 B'
U F' B2 L U' B' D
U F' B2 L U' B' D'
U F' B2 L U' B' D2
U F' B2 L D U' B'
U F' B2 L D' U' B'
U F' B2 L D2 U' B'
L F' B2 L U' D B
L F' B2 L U' D' B
L F' B2 L U' D2 B
L F' B2 L U' B D
L F' B2 L U' B D'
L F' B2 L U' B D2
L F' B2 L D U' B
L F' B2 L D' U' B
L F' B2 L D2 U' B
U F' B2 R L U' B'
U F' B2 R' L U' B'
U F' B2 R2 L U' B'
L F' B2 D L U' B
L F' B2 D' L U' B
L F' B2 D2 L U' B
D2 F2 L2 R' B' U B2
B2 D' F' D L U' B'
D2 F2 R' L2 B' U B2
D2 F2 R' U2 F U' B
B D' F' B L R' U'
B D' F' B R' L U'
B D' B L F' R' U'
B D' B F' L R' U'
B D' B F' R' L U'
B2 D2 L D' F' R U'
B2 D2 L F' R' U' B
F D2 R' F2 B2 U B'
F D2 R' B2 F2 U B'
F' D2 U2 R' F2 U B
F' D2 U2 F2 R' U B
B2 D2 F' L R' U' B
B2 D2 F' R' L U' B
B2 D2 F' D2 L U' B'
F D2 F2 R' B2 U B'
B2 F L R F2 U' B'
B2 F L R' F2 U' B'
B2 F L R2 F2 U' B'
B2 F L U' D R2 B'
B2 F L U' D B' R2
B2 F L U' B' D R2
B2 F L D U' R2 B'
B2 F L D U' B' R2
F' B L B L U' B2
B2 F L F2 R U' B'
B2 F L F2 R' U' B'
B2 F L F2 R2 U' B'
B2 F L F2 U' D B'
B2 F L F2 U' D' B'
B2 F L F2 U' D2 B'
B2 F L F2 U' B' D
B2 F L F2 U' B' D'
B2 F L F2 U' B' D2
B2 F L F2 D U' B'
B2 F L F2 D' U' B'
B2 F L F2 D2 U' B'
B2 F R L F2 U' B'
B2 F R F2 L U' B'
B2 F R' L F2 U' B'
B2 F R' F2 L U' B'
B2 F R2 L F2 U' B'
B2 F R2 F2 L U' B'
F' B D' B L R' U'
F' B D' B R' L U'
B2 F' L R U' D B'
B2 F' L R U' D' B'
B2 F' L R U' D2 B'
B2 F' L R U' B' D
B2 F' L R U' B' D'
B2 F' L R U' B' D2
B2 F' L R D U' B'
B2 F' L R D' U' B'
B2 F' L R D2 U' B'
B2 F' L R' U' D B'
B2 F' L R' U' D' B'
B2 F' L R' U' D2 B'
B2 F' L R' U' B' D
B2 F' L R' U' B' D'
B2 F' L R' U' B' D2
B2 F' L R' D U' B'
B2 F' L R' D' U' B'
B2 F' L R' D2 U' B'
B2 F' L R2 U' D B'
B2 F' L R2 U' D' B'
B2 F' L R2 U' D2 B'
B2 F' L R2 U' B' D
B2 F' L R2 U' B' D'
B2 F' L R2 U' B' D2
B2 F' L R2 D U' B'
B2 F' L R2 D' U' B'
B2 F' L R2 D2 U' B'
B2 F' L U F U2 B'
B2 F' L U F' U2 B'
B2 F' L U F2 U2 B'
B2 F' L U' R' B' R
B2 F' L U' R2 B' R2
B2 F' L U' D B' D
B2 F' L U' D B' D'
B2 F' L U' D B' D2
B2 F' L U' D' B' D
B2 F' L U' D' B' D'
B2 F' L U' D' B' D2
B2 F' L U' D2 B' D
B2 F' L U' D2 B' D'
B2 F' L U' D2 B' D2
B2 F' L U' B2 D B
B2 F' L U' B2 D' B
B2 F' L U' B2 D2 B
B2 F' L D R U' B'
B2 F' L D R' U' B'
B2 F' L D R2 U' B'
B2 F' L D U' B' D
B2 F' L D U' B' D'
B2 F' L D U' B' D2
B2 F' L D' R U' B'
B2 F' L D' R' U' B'
B2 F' L D' R2 U' B'
B2 F' L D' U' B' D
B2 F' L D' U' B' D'
B2 F' L D' U' B' D2
B2 F' L D2 R U' B'
B2 F' L D2 R' U' B'
B2 F' L D2 R2 U' B'
B2 F' L D2 U' B' D
B2 F' L D2 U' B' D'
B2 F' L D2 U' B' D2
B F' L B L U' B2
B2 F' L2 D L' U' B'
B2 F' L2 D' L' U' B'
B2 F' L2 D2 L' U' B'
B2 F' R L U' D B'
B2 F' R L U' D' B'
B2 F' R L U' D2 B'
B2 F' R L U' B' D
B2 F' R L U' B' D'
B2 F' R L U' B' D2
B2 F' R L D U' B'
B2 F' R L D' U' B'
B2 F' R L D2 U' B'
B' F' R B' L U' B'
L B' U F' B' L U'
L B' U B' L F' U'
L B' U B' F' L U'
F' B' R B' L U' B'
B2 F' R' L U' D B'
B2 F' R' L U' D' B'
B2 F' R' L U' D2 B'
B2 F' R' L U' B' D
B2 F' R' L U' B' D'
B2 F' R' L U' B' D2
B2 F' R' L D U' B'
B2 F' R' L D' U' B'
B2 F' R' L D2 U' B'
B' F' R' B' L U' B'
F' B' R' B' L U' B'
B2 F' R2 L U' D B'
B2 F' R2 L U' D' B'
B2 F' R2 L U' D2 B'
B2 F' R2 L U' B' D
B2 F' R2 L U' B' D'
B2 F' R2 L U' B' D2
B2 F' R2 L D U' B'
B2 F' R2 L D' U' B'
B2 F' R2 L D2 U' B'
B' F' R2 B' L U' B'
F' B' R2 B' L U' B'
U' B2 L R U' B' R'
U' B2 L D F' U' B'
U' B2 L D' F' U' B'
U' B2 L D2 F' U' B'
U' B2 L F' R U' B'
U' B2 L F' R' U' B'
U' B2 L F' R2 U' B'
U' B2 L F' U' D B'
U' B2 L F' U' D' B'
U' B2 L F' U' D2 B'
U' B2 L F' U' B' D
U' B2 L F' U' B' D'
U' B2 L F' U' B' D2
U' B2 L F' D U' B'
U' B2 L F' D' U' B'
U' B2 L F' D2 U' B'
L' B2 L D F' R U'
U2 B2 L R U' B' R'
U2 B2 L D F' U' B'
U2 B2 L D' F' U' B'
U2 B2 L D2 F' U' B'
L2 B2 L F' U F2 U2
L2 B2 L F' U' D2 B2
L2 B2 L F' D R2 U'
L2 B2 L F' D2 U' B2
U2 B2 L F' R U' B'
U2 B2 L F' R' U' B'
U2 B2 L F' R2 U' B'
U2 B2 L F' U' D B'
U2 B2 L F' U' D' B'
U2 B2 L F' U' D2 B'
U2 B2 L F' U' B' D
U2 B2 L F' U' B' D'
U2 B2 L F' U' B' D2
U2 B2 L F' D U' B'
U2 B2 L F' D' U' B'
U2 B2 L F' D2 U' B'
B2 F' D2 L R' U' B
D B2 L F' R U' L
B2 F' D2 R' L U' B
U B2 L R U' B' R'
U' B2 R L U' B' R'
L B2 L D F' U' B
U B2 L D F' U' B'
L B2 L D' F' U' B
U B2 L D' F' U' B'
F' B2 L R U' D B'
B F' D' B L R' U'
F' B2 L R U' D' B'
F' B2 L R U' D2 B'
F' B2 L R U' B' D
F' B2 L R U' B' D'
F' B2 L R U' B' D2
F' B2 L R D U' B'
F' B2 L R D' U' B'
F' B2 L R D2 U' B'
B F' D' B R' L U'
L B2 L D2 F' U' B
F' B2 L R' U' D B'
F' B2 L R' U' D' B'
F' B2 L R' U' D2 B'
F' B2 L R' U' B' D
F' B2 L R' U' B' D'
F' B2 L R' U' B' D2
F' B2 L R' D U' B'
F' B2 L R' D' U' B'
U B2 L D2 F' U' B'
F' B2 L R' D2 U' B'
F' B2 L R2 U' D B'
F' B2 L R2 U' D' B'
F' B2 L R2 U' D2 B'
F' B2 L R2 U' B' D
F' B2 L R2 U' B' D'
F' B2 L R2 U' B' D2
F' B2 L R2 D U' B'
F' B2 L R2 D' U' B'
F' B2 L R2 D2 U' B'
L B2 L F' U' D B
L B2 L F' U' D' B
L B2 L F' U' D2 B
L B2 L F' U' B D
L B2 L F' U' B D'
L B2 L F' U' B D2
L B2 L F' D U' B
L B2 L F' D' U' B
L B2 L F' D2 U' B
U B2 L F' R U' B'
U B2 L F' R' U' B'
U B2 L F' R2 U' B'
U B2 L F' U' D B'
U B2 L F' U' D' B'
U B2 L F' U' D2 B'
U B2 L F' U' B' D
U B2 L F' U' B' D'
U B2 L F' U' B' D2
F' B2 L U F U2 B'
U B2 L F' D U' B'
F' B2 L U F' U2 B'
U B2 L F' D' U' B'
F' B2 L U F2 U2 B'
U B2 L F' D2 U' B'
F' B2 L U' R' B' R
F' B2 L U' R2 B' R2
F' B2 L U' D B' D
F' B2 L U' D B' D'
F' B2 L U' D B' D2
F' B2 L U' D' B' D
F' B2 L U' D' B' D'
F' B2 L U' D' B' D2
F' B2 L U' D2 B' D
F' B2 L U' D2 B' D'
F' B2 L U' D2 B' D2
F' B2 L U' B2 D B
F' B2 L U' B2 D' B
F' B2 L U' B2 D2 B
F' B2 L D R U' B'
F' B2 L D R' U' B'
F' B2 L D R2 U' B'
F' B2 L D U' B' D
F' B2 L D U' B' D'
F' B2 L D U' B' D2
F' B2 L D' R U' B'
F' B2 L D' R' U' B'
F' B2 L D' R2 U' B'
F' B2 L D' U' B' D
F' B2 L D' U' B' D'
F' B2 L D' U' B' D2
F' B2 L D2 R U' B'
F' B2 L D2 R' U' B'
F' B2 L D2 R2 U' B'
F' B2 L D2 U' B' D
F' B2 L D2 U' B' D'
F' B2 L D2 U' B' D2
U2 B2 R L U' B' R'
L B2 L' F' L2 U' B
F B2 L R F2 U' B'
F B2 L R' F2 U' B'
F B2 L R2 F2 U' B'
F B2 L U' D R2 B'
F B2 L U' D B' R2
F B2 L U' B' D R2
F B2 L D U' R2 B'
F B2 L D U' B' R2
F' B2 L2 D L' U' B'
F' B2 L2 D' L' U' B'
F' B2 L2 D2 L' U' B'
U B2 R L U' B' R'
F B2 L F2 R U' B'
F B2 L F2 R' U' B'
F B2 L F2 R2 U' B'
F B2 L F2 U' D B'
F B2 L F2 U' D' B'
F B2 L F2 U' D2 B'
F B2 L F2 U' B' D
F B2 L F2 U' B' D'
F B2 L F2 U' B' D2
F B2 L F2 D U' B'
F B2 L F2 D' U' B'
F B2 L F2 D2 U' B'
F' B2 R L U' D B'
F' B2 R L U' D' B'
F' B2 R L U' D2 B'
F' B2 R L U' B' D
F' B2 R L U' B' D'
F' B2 R L U' B' D2
F' B2 R L D U' B'
F' B2 R L D' U' B'
F' B2 R L D2 U' B'
B2 F2 R F L U' B'
F2 B2 R F L U' B'
F' B2 R' L U' D B'
F' B2 R' L U' D' B'
F' B2 R' L U' D2 B'
F' B2 R' L U' B' D
F' B2 R' L U' B' D'
F' B2 R' L U' B' D2
F' B2 R' L D U' B'
F' B2 R' L D' U' B'
F' B2 R' L D2 U' B'
B2 F2 R' F L U' B'
F B2 R L F2 U' B'
F2 B2 R' F L U' B'
F' B2 R2 L U' D B'
F' B2 R2 L U' D' B'
F' B2 R2 L U' D2 B'
F' B2 R2 L U' B' D
F' B2 R2 L U' B' D'
F' B2 R2 L U' B' D2
F' B2 R2 L D U' B'
F' B2 R2 L D' U' B'
F' B2 R2 L D2 U' B'
F B2 R F2 L U' B'
B2 F2 R2 F L U' B'
U' B2 D L F' R U'
F B2 R' L F2 U' B'
F2 B2 R2 F L U' B'
U' B2 D F' L R U'
U' B2 D F' R L U'
F B2 R' F2 L U' B'
F B2 R2 L F2 U' B'
U2 B2 D L F' R U'
F B2 R2 F2 L U' B'
U2 B2 D F' L R U'
U2 B2 D F' R L U'
L B2 D L F' U' B
U B2 D L F' R U'
U' B2 F L F2 U' B'
L B2 D F' L U' B
U B2 D F' L R U'
U B2 D F' R L U'
L B2 D' L F' U' B
U' B2 F' L R U' B'
U' B2 F' L R' U' B'
U' B2 F' L R2 U' B'
U' B2 F' L U' D B'
U' B2 F' L U' D' B'
U' B2 F' L U' D2 B'
U' B2 F' L U' B' D
U' B2 F' L U' B' D'
U' B2 F' L U' B' D2
U' B2 F' L D U' B'
U' B2 F' L D' U' B'
U' B2 F' L D2 U' B'
U' B2 F' R L U' B'
U' B2 F' R' L U' B'
U' B2 F' R2 L U' B'
U2 B2 F L F2 U' B'
L B2 D' F' L U' B
L' B2 F' L U F2 U2
L' B2 F' L U' D2 B2
L' B2 F' L D R2 U'
L' B2 F' L D2 U' B2
L B2 D2 L F' U' B
L' B2 F' D L R2 U'
L' B2 F' D R2 L U'
L2 B2 F' L U F U2
U2 B2 F' L R U' B'
U2 B2 F' L R' U' B'
U2 B2 F' L R2 U' B'
U2 B2 F' L U' D B'
U2 B2 F' L U' D' B'
U2 B2 F' L U' D2 B'
U2 B2 F' L U' B' D
U2 B2 F' L U' B' D'
U2 B2 F' L U' B' D2
L' B2 F' D2 L U' B2
U2 B2 F' L D U' B'
U2 B2 F' L D' U' B'
U2 B2 F' L D2 U' B'
F' B2 D2 L R' U' B
U2 B2 F' R L U' B'
L B2 D2 F' L U' B
U2 B2 F' R' L U' B'
F' B2 D2 R' L U' B
U2 B2 F' R2 L U' B'
L B2 F L F2 U' B
U B2 F L F2 U' B'
D B2 F' L R U' L
D B2 F' R L U' L
L B2 F' L U' D B
L B2 F' L U' D' B
L B2 F' L U' D2 B
L B2 F' L U' B D
L B2 F' L U' B D'
L B2 F' L U' B D2
L B2 F' L D U' B
L B2 F' L D' U' B
L B2 F' L D2 U' B
U B2 F' L R U' B'
U B2 F' L R' U' B'
U B2 F' L R2 U' B'
U B2 F' L U' D B'
U B2 F' L U' D' B'
U B2 F' L U' D2 B'
U B2 F' L U' B' D
U B2 F' L U' B' D'
U B2 F' L U' B' D2
U B2 F' L D U' B'
U B2 F' L D' U' B'
U B2 F' L D2 U' B'
U B2 F' R L U' B'
U B2 F' R' L U' B'
U B2 F' R2 L U' B'
L B2 F' D L U' B
L B2 F' D' L U' B
L B2 F' D2 L U' B
