F2 L' D R' F' B
F2 L' D R' B F'
F2 D L' R' F' B
F2 D L' R' B F'
F2 D R' L' F' B
F2 D R' L' B F'
F2 D R' B L' F'
L2 F2 D R' L' F' B
L2 F2 D R' L' B F'
L2 F2 D R' B L' F'
D F2 D L' R' F' B
D F2 D L' R' B F'
D F2 D R' L' F' B
D F2 D R' L' B F'
D F2 D R' B L' F'
L F2 D L' R' F' B
L F2 D L' R' B F'
L F2 D R' L' F' B
L F2 D R' L' B F'
L F2 D R' B L' F'
U F2 D' L' R' F B'
U F2 D' L' R' B' F
U F2 D' L' F R' B'
U F2 D' R' L' F B'
U F2 D' R' L' B' F
R B U L' U R2 B'
R B U L' U B' R2
R B U' R U' B R
R B F U' R U' R
R B F' U L' U R2
R2 B2 R F' L D' B2
R2 B2 U' L R F' B
R2 B2 U' L R B F'
R2 B2 U' R L F' B
R2 B2 U' R L B F'
R2 B2 U' R F' L B
