D' R F' B' U2 L
D' R B' F' U2 L
D' R' B' U2 L B2
B' U L U2 B' U'
B' U L' F L2 U
U2 D L2 F L' B'
D U2 L2 F L' B'
D' B R' B2 U2 B'
D' B' R F' U2 L
D' B' R' U2 L B
D' B' U2 D2 L B'
D' B' D2 U2 L B'
D' F2 B' R' U2 L B
D' F2 B' U2 D2 L B'
D' F2 B' D2 U2 L B'
D F2 B' U2 B L B'
B' D2 U' B2 R' B U'
B D2 U' R' B U' F2
D' B R F' R2 B2 U2
D' B R F' B2 R2 U2
D' B R B2 R2 U2 B
D' B R B2 F' R2 U2
D' B R' U2 D2 F2 B
D' B R' U2 D2 B F2
D' B R' D2 U2 F2 B
D' B R' D2 U2 B F2
D' B R' F B2 U2 B'
D' B R' F' B2 U2 B'
D' B R' F2 B2 U2 B'
D' B R' B2 U2 D B'
D' B R' B2 U2 D' B'
D' B R' B2 U2 D2 B'
D' B R' B2 U2 B' D
D' B R' B2 U2 B' D'
D' B R' B2 U2 B' D2
D' B R' B2 D U2 B'
D' B R' B2 D' U2 B'
D' B R' B2 D2 U2 B'
D' B R' B2 F U2 B'
D' B R' B2 F' U2 B'
D' B R' B2 F2 U2 B'
D' B R2 B2 R U2 B
U' B D2 R' B U' F2
D' B F R' B2 U2 B'
D' B F' R' B2 U2 B'
B' F U L U2 B' U'
B' F U L' F L2 U
D' B F2 R' B2 U2 B'
D B' L' F L U2 L2
D' B' R D F' U2 L
D' B' R D' F' U2 L
D' B' R D2 F' U2 L
D' B' R F' R U2 L
D' B' R F' R' U2 L
D' B' R F' R2 U2 L
D' B' R F' U2 L D
D' B' R F' U2 L D'
D' B' R F' U2 L D2
D' B' R F' U2 D L
D' B' R F' U2 D' L
D' B' R F' U2 D2 L
D' B' R F' D U2 L
D' B' R F' D' U2 L
D' B' R F' D2 U2 L
D' B' R' U2 L D B
D' B' R' U2 L D' B
D' B' R' U2 L D2 B
D' B' R' U2 L B D
D' B' R' U2 L B D'
D' B' R' U2 L B D2
D' B' R' U2 L' B L2
D' B' R' U2 L2 B L'
D' B' R' U2 D L B
D' B' R' U2 D' L B
D' B' R' U2 D2 L B
D' B' R' D U2 L B
D' B' R' D' U2 L B
D' B' R' D2 U2 L B
D' B' R' F U2 L B
D' B' R' F' U2 L B
D' B' R' F2 U2 L B
D' B' R2 U2 L' B' L2
R' B' U L U2 B' U'
R' B' U L' F L2 U
D' B' U' R' U' L B
R2 B' U L U2 B' U'
R2 B' U L' F L2 U
D' B' U2 L R' B R
D' B' U2 R' L B R
D' B' U2 D2 L D B'
D' B' U2 D2 L D' B'
D' B' U2 D2 L D2 B'
D' B' U2 D2 L B' D
D' B' U2 D2 L B' D'
D' B' U2 D2 L B' D2
R B' U L U2 B' U'
R B' U L' F L2 U
D B' U2 L D2 B' L
B' F' U L U2 B' U'
B' F' U L' F L2 U
D' B' D2 R U2 L B'
F' B' U L U2 B' U'
D' B' D2 R' U2 L B'
F' B' U L' F L2 U
D' B' D2 R2 U2 L B'
D' B' D2 U2 L D B'
D' B' D2 U2 L D' B'
D' B' D2 U2 L D2 B'
D' B' D2 U2 L B' D
D' B' D2 U2 L B' D'
D' B' D2 U2 L B' D2
F2 B' U L U2 B' U'
D' B' D2 F U2 L B'
F2 B' U L' F L2 U
D' B' D2 F' U2 L B'
D' B' D2 F2 U2 L B'
D' B' F R F' U2 L
D' B' F R' U2 L B
D' B' F U2 D2 L B'
D' B' F D2 U2 L B'
F B' U L U2 B' U'
F B' U L' F L2 U
D' B' F' R F' U2 L
D' B' F' R' U2 L B
D' B' F' U2 D2 L B'
D' B' F' D2 U2 L B'
D' B' F2 R F' U2 L
D' B' F2 R' U2 L B
D B' F U2 L B' L2
D' B' F2 U2 D2 L B'
D' B' F2 D2 U2 L B'
D B' F' D2 R F' U2
D B' F2 U2 B L B'
D' B2 R2 U2 F' L' B'
B' F2 U L U2 B' U'
B' F2 U L' F L2 U
D2 B2 D B R' U2 B
D' B2 D2 B U2 L B'
D B2 D2 B R' U2 B
