F R2 U R2 U R
F R2 U2 D' R' F2
F R2 U2 D' F2 R'
U' R2 D' F L' U2
F R2 D B2 L U2
F R2 D' U2 R' F2
F R2 D' U2 F2 R'
R2 D F B2 U2 R
R2 D B2 F U2 R
F' U D2 L2 B2 R'
F' U' L' R2 F2 U2
F' U' L' F2 R2 U2
R2 D' F U2 R F
F' U' R2 L' F2 U2
F' U' R2 F2 U2 R
F2 U' F' R2 U2 R'
F' U' F2 R2 U2 R'
R2 F U R2 U R'
R2 F U2 D' R F2
R2 F D B2 U2 R
R2 F D' U2 R F2
F' D' F2 L2 U R
D' F2 U' F' U2 R
F' D2 U L2 B2 R'
F2 U' F' R2 U2 D' R'
F2 U' F' R2 U2 D2 R'
F2 U' F' R2 D U2 R'
F2 U' F' R2 D' U2 R'
F2 U' F' R2 D2 U2 R'
F2 U' F' U2 D2 L2 R
F2 U' F' U2 D2 R L2
F' U' F2 L R2 U2 R'
F' U' F2 L' R2 U2 R'
F2 U' F' D2 U2 L2 R
F2 U' F' D2 U2 R L2
F' U' F2 L2 R2 U2 R'
F' U' F2 R2 L U2 R'
F' U' F2 R2 L' U2 R'
F' U' F2 R2 L2 U2 R'
F' U' F2 R2 U2 R' D
F' U' F2 R2 U2 R' D'
F' U' F2 R2 U2 R' D2
F' U' F2 R2 U2 D R'
F' U' F2 R2 U2 D' R'
F' U' F2 R2 U2 D2 R'
F' U' F2 R2 D U2 R'
F' U' F2 R2 D' U2 R'
F' U' F2 R2 D2 U2 R'
F' U' F2 U2 D2 L2 R
F' U' F2 U2 D2 R L2
F2 U' F2 R2 F U2 R
F' U' F2 D2 U2 L2 R
F' U' F2 D2 U2 R L2
D2 U2 L2 D F2 B' R'
D2 U2 L2 D B' R' F2
D2 U2 L2 D B' F2 R'
D2 U2 L2 B' R' D F2
D2 U2 L2 B' D R' F2
D2 U2 L2 B' D F2 R'
U2 D2 L2 D F2 B' R'
U2 D2 L2 D B' R' F2
U2 D2 L2 D B' F2 R'
U2 D2 L2 B' R' D F2
U2 D2 L2 B' D R' F2
U2 D2 L2 B' D F2 R'
U D2 L2 D' B R' B2
U D2 L2 B2 D' B R'
R2 D2 U' L2 U' B' R'
L2 D2 F U R B' L2
L2 D2 F U B' L2 R
L2 D2 F U B' R L2
R2 D2 F U' L2 U' R
R2 D2 F U2 R D F2
R2 D2 F U2 D R F2
R2 D2 F D U2 R F2
R2 D2 F D' B2 U2 R
F U2 L2 R D F2 L'
F U2 R L2 D F2 L'
D2 U2 B' U' L2 R' B'
D2 U2 B' U' R' L2 B'
U2 D2 B' U' L2 R' B'
U2 D2 B' U' R' L2 B'
R2 F L U R2 U R'
R2 F L U2 D' R F2
F U2 D B2 U' R B2
F U2 D B2 U' B2 R
R2 F L D B2 U2 R
R2 F L D' U2 R F2
R2 F L' U R2 U R'
R2 F L' U2 D' R F2
F U2 D2 L2 R D F2
R2 F L' D B2 U2 R
F U2 D2 L2 D R F2
R2 F L' D' U2 R F2
F U2 D2 R L2 D F2
R2 F L2 U R2 U R'
R2 F L2 U2 D' R F2
R2 F L2 D B2 U2 R
R2 F L2 D' U2 R F2
D2 F U L2 R D' B2
D2 F U L2 D' R B2
D2 F U L2 D' B2 R
D2 F U R L2 D' B2
D' F U F U F' R
L2 F U D2 R B' L2
L2 F U D2 B' L2 R
L2 F U D2 B' R L2
R2 F U R2 U R' D
R2 F U R2 U R' D'
R2 F U R2 U R' D2
R2 F U R2 U D R'
R2 F U R2 U D' R'
R2 F U R2 U D2 R'
R2 F U R2 D U R'
R2 F U R2 D' U R'
R2 F U R2 D2 U R'
L2 F U B' D2 L2 R
L2 F U B' D2 R L2
R2 F U B R2 U R'
R2 F U B' R2 U R'
R2 F U B2 R2 U R'
L2 F U' R2 U2 R' B'
D2 F U2 L2 R D F2
D2 F U2 L2 D R F2
D2 F U2 R L2 D F2
R2 F U' D2 L2 U' R
R' F D R' U2 R2 F'
R' F D R' B U2 R2
R2 F U2 R U' R U
R2 F U2 D R D2 F2
R2 F U2 D' R F2 D
R2 F U2 D' R F2 D'
R2 F U2 D' R F2 D2
R2 F U2 D' R' F2 R2
R2 F U2 D' R2 F2 R'
R2 F U2 D2 R D F2
R2 F U2 F2 D' F2 R
R2 F D L B2 U2 R
R2 F D L' B2 U2 R
R2 F D L2 B2 U2 R
D F U2 B2 U' R B2
D F U2 B2 U' B2 R
R2 F D U2 R D2 F2
R2 F D B2 L U2 R
R2 F D B2 L' U2 R
R2 F D B2 L2 U2 R
R2 F D B2 U2 R D
R2 F D B2 U2 R D'
R2 F D B2 U2 R D2
R2 F D B2 U2 D R
R2 F D B2 U2 D' R
R2 F D B2 U2 D2 R
R2 F D B2 D U2 R
R2 F D B2 D' U2 R
R2 F D B2 D2 U2 R
R2 F D' L U2 R F2
R2 F D' L' U2 R F2
R2 F D' L2 U2 R F2
R2 F D' U2 R F2 D
R2 F D' U2 R F2 D'
R2 F D' U2 R F2 D2
R2 F D' U2 R' F2 R2
R2 F D' U2 R2 F2 R'
R2 F D' B U2 R F2
R2 F D' B' U2 R F2
R2 F D' B2 U2 R F2
L2 F D2 U R B' L2
L2 F D2 U B' L2 R
L2 F D2 U B' R L2
R2 F D2 U' L2 U' R
R2 F D2 U2 R D F2
R2 F B U R2 U R'
R2 F B U2 D' R F2
R2 F B D B2 U2 R
R2 F B D' U2 R F2
R2 F B' U R2 U R'
R2 F B' U2 D' R F2
R2 F B' D B2 U2 R
R2 F B' D' U2 R F2
R2 F B2 U R2 U R'
R2 F B2 U2 D' R F2
R2 F B2 D B2 U2 R
R2 F B2 D' U2 R F2
R2 F' L' F2 U R2 U
R2 F' L' F2 U2 D' F2
R2 F' L' F2 D B2 U2
R2 F' L' F2 D' U2 F2
F D U2 B2 U' R B2
F D U2 B2 U' B2 R
D2 F' U L2 D2 B2 R'
D2 F' U' L' F2 R U2
D2 F' U' F2 U2 L2 R
D2 F' U' F2 U2 R L2
L F' U' L' R2 F U2
L F' U' L' F R2 U2
L F' U' R2 L' F U2
F' D' L2 F2 U' L U2
F' D' L2 F2 B2 U R'
F' D' L2 B2 F2 U R'
L2 F' D' F2 U R B'
L2 F' D' F2 U B' R
D F' D2 F2 U R B2
D F' D2 F2 U B2 R
D' F2 L U' F' U2 R
D' F2 L' U' F' U2 R
F D' U F2 U F2 R
D' F2 L2 U' F' U2 R
F' D' F' L2 F' U R
F' D' F2 L2 U R D
F' D' F2 L2 U R D'
F' D' F2 L2 U R D2
F' D' F2 L2 U D R
F' D' F2 L2 U D' R
F' D' F2 L2 U D2 R
F' D' F2 L2 D U R
F' D' F2 L2 D' U R
F' D' F2 L2 D2 U R
F' D' F2 L2 B U R
F' D' F2 L2 B' U R
F' D' F2 L2 B2 U R
B' D' F2 U' F' U2 R
F' D' F2 U R D' B2
F' D' F2 U D' R B2
F' D' F2 U D' B2 R
F2 D' F2 L2 U B' R'
F' D' F2 D' U R B2
F' D' F2 D' U B2 R
B2 D' F2 U' F' U2 R
F' D' F2 B L2 U R
F' D' F2 B' L2 U R
F' D' F2 B2 L2 U R
U' F2 R2 U2 D B R'
U' F2 R2 D U2 B R'
B D' F2 U' F' U2 R
F' D' B F2 L2 U R
F D' F2 U' L' F2 U2
F D' F2 U' F2 U2 R
D' F2 U R2 D2 B R'
D' F2 U D2 R2 B R'
F' D' B' F2 L2 U R
D' F2 U' L F' U2 R
D' F2 U' L' F' U2 R
D' F2 U' L2 F' U2 R
D' F2 U' F L' F2 U2
D' F2 U' F' L U2 R
D' F2 U' F' L' U2 R
D' F2 U' F' L2 U2 R
D2 F2 U' F' U2 L2 R
D2 F2 U' F' U2 R L2
F' D' B2 F2 L2 U R
D' F2 U' F' U2 R D
D' F2 U' F' U2 R D'
D' F2 U' F' U2 R D2
D' F2 U' F' U2 D R
D' F2 U' F' U2 D' R
D' F2 U' F' U2 D2 R
D' F2 U' F' D U2 R
D' F2 U' F' D' U2 R
D' F2 U' F' D2 U2 R
F' D2 L U L B2 R'
D' F2 D2 U R2 B R'
D' F2 B U' F' U2 R
D' F2 B' U' F' U2 R
F' D2 U L2 R B2 R'
F' D2 U L2 R' B2 R'
F' D2 U L2 R2 B2 R'
F' D2 U L2 B2 R' D
F' D2 U L2 B2 R' D'
F' D2 U L2 B2 R' D2
F' D2 U L2 B2 D R'
F' D2 U L2 B2 D' R'
F' D2 U L2 B2 D2 R'
F' D2 U R L2 B2 R'
F' D2 U R' L2 B2 R'
F' D2 U R2 L2 B2 R'
D' F2 B2 U' F' U2 R
F2 D2 U L2 R2 B R'
F2 D2 U R2 L2 B R'
F2 D2 U R2 B L2 R'
F2 D2 U R2 B R' L2
F' D2 U' L' U2 L' B2
F' D2 U' L' U2 B2 L'
F D2 U L2 R D' B2
F D2 U L2 D' R B2
F D2 U L2 D' B2 R
F D2 U R L2 D' B2
F D2 U2 L2 R D F2
F D2 U2 L2 D R F2
F D2 U2 R L2 D F2
F' D2 F2 U L2 R B2
F' D2 F2 U L2 B2 R
F' D2 F2 U R L2 B2
F' D2 F2 U R B2 L2
F' D2 F2 U B2 L2 R
F' D2 F2 U B2 R L2
U2 B U R2 F L U2
U2 B U F L R2 U2
U2 B U F R2 L U2
R2 B D F B2 U2 R
R2 B D B2 F U2 R
R2 B D' F U2 R F
B' F R2 U R2 U R
B' F R2 U2 D' R' F2
B' F R2 U2 D' F2 R'
B' F R2 D B2 L U2
B' F R2 D' U2 R' F2
B' F R2 D' U2 F2 R'
B2 F R2 U R2 U R
B2 F R2 U2 D' R' F2
B2 F R2 U2 D' F2 R'
B2 F R2 D B2 L U2
B2 F R2 D' U2 R' F2
B2 F R2 D' U2 F2 R'
R2 B F U R2 U R'
R2 B F U2 D' R F2
R2 B F D B2 U2 R
R2 B F D' U2 R F2
B F R2 U R2 U R
B F R2 U2 D' R' F2
B F R2 U2 D' F2 R'
D' B F2 U' F' U2 R
F' B U D2 L2 B2 R'
B F R2 D B2 L U2
B F R2 D' U2 R' F2
B F R2 D' U2 F2 R'
F B R2 U R2 U R
F B R2 U2 D' R' F2
F B R2 U2 D' F2 R'
F' B U' L' R2 F2 U2
F B R2 D B2 L U2
F' B U' L' F2 R2 U2
F B R2 D' U2 R' F2
F B R2 D' U2 F2 R'
F' B U' R2 L' F2 U2
F' B U' R2 F2 U2 R
F' B U' F2 R2 U2 R'
F2 B U' F' R2 U2 R'
F' B D' F2 L2 U R
D B' L2 F U R B'
D B' L2 F U B' R
F' B D2 U L2 B2 R'
U2 B' U F R2 U2 R
U2 B' U' D2 L2 R' B'
U2 B' U' D2 R' L2 B'
R2 B' D F B2 U2 R
R2 B' D B2 F U2 R
B' F' U D2 L2 B2 R'
F' B' U D2 L2 B2 R'
B' F' U' L' R2 F2 U2
B' F' U' L' F2 R2 U2
R2 B' D' F U2 R F
B2 F' U D2 L2 B2 R'
B' F' U' R2 L' F2 U2
F B' R2 U R2 U R
B' F' U' R2 F2 U2 R
U2 B' D2 U' L2 R' B'
U2 B' D2 U' R' L2 B'
F' B' U' L' R2 F2 U2
F B' R2 U2 D' R' F2
F B' R2 U2 D' F2 R'
F' B' U' L' F2 R2 U2
F B' R2 D B2 L U2
F B' R2 D' U2 R' F2
F B' R2 D' U2 F2 R'
B2 F' U' L' R2 F2 U2
B' F' U' F2 R2 U2 R'
B2 F' U' L' F2 R2 U2
F' B' U' R2 L' F2 U2
F' B' U' R2 F2 U2 R
B2 F' U' R2 L' F2 U2
B2 F' U' R2 F2 U2 R
B F' U D2 L2 B2 R'
F' B' U' F2 R2 U2 R'
B2 F' U' F2 R2 U2 R'
F2 B' U' F' R2 U2 R'
B F' U' L' R2 F2 U2
B F' U' L' F2 R2 U2
R2 B' F U R2 U R'
B F' U' R2 L' F2 U2
B F' U' R2 F2 U2 R
R2 B' F U2 D' R F2
R2 B' F D B2 U2 R
R2 B' F D' U2 R F2
B F' U' F2 R2 U2 R'
D' B' F2 U' F' U2 R
B' F' D' F2 L2 U R
F' B' D' F2 L2 U R
B2 F' D' F2 L2 U R
B' F' D2 U L2 B2 R'
F' B' D2 U L2 B2 R'
B2 F' D2 U L2 B2 R'
B F' D' F2 L2 U R
B F' D2 U L2 B2 R'
F' B2 U D2 L2 B2 R'
F B2 R2 U R2 U R
F' B2 U' L' R2 F2 U2
F' B2 U' L' F2 R2 U2
B' F2 U' F' R2 U2 R'
F B2 R2 U2 D' R' F2
F B2 R2 U2 D' F2 R'
F B2 R2 D B2 L U2
F B2 R2 D' U2 R' F2
F B2 R2 D' U2 F2 R'
F' B2 U' R2 L' F2 U2
F' B2 U' R2 F2 U2 R
F' B2 U' F2 R2 U2 R'
B2 F2 U' F' R2 U2 R'
F2 B2 U' F' R2 U2 R'
R2 B2 D F B2 U2 R
R2 B2 D B2 F U2 R
B F2 U' F' R2 U2 R'
R2 B2 D' F U2 R F
F' B2 D' F2 L2 U R
R2 B2 F U R2 U R'
R2 B2 F U2 D' R F2
R2 B2 F D B2 U2 R
R2 B2 F D' U2 R F2
F' B2 D2 U L2 B2 R'
D' B2 F2 U' F' U2 R
