U2 L D2 B R' U'
F L' U2 L2 B U'
F L' U2 B L2 U'
F L' D2 R2 F' U
U2 D' L B U' B2
U2 D2 L B R' U'
U2 D2 L B R' U'
D2 U2 L B R' U'
D2 U2 L B R' U'
D' U2 L B U' B2
F' U2 L B R U'
R2 F' U2 L R U'
R2 F' U2 R L U'
R2 F' U2 D2 R L U'
F D' L' U2 L2 B U'
F D' L' U2 B L2 U'
R2 F' D U2 L R U'
R2 F' D U2 R L U'
F D' L' D2 R2 F' U
R2 F' D' U2 L R U'
R2 F' D' U2 R L U'
L' F' B L2 R F U'
L' F' B R L2 F U'
R2 F' D2 U2 L R U'
R2 F' D2 U2 R L U'
L F' B R U2 B' U
F' D' U2 L B R U'
L2 F2 R2 F' L' R' U
L2 F2 R2 F' R' L' U
D2 F2 U2 L B R' U'
D' F2 U2 L B U' B2
F D2 L' U2 L2 B U'
F D2 L' U2 B L2 U'
F D2 L' D2 R2 F' U
L' F2 D2 R2 F' L' U
L' F2 B L2 F R U'
F' D2 U2 L B R U'
L' B L2 F U2 L' U
L' B L2 F' R F2 U'
L B U2 D2 B' L U
L' B F' L2 R F U'
L' B F' R L2 F U'
L B D2 U2 B' L U
L' B F2 L2 F R U'
L B F U2 B' L' U
L B F' R U2 B' U
L B' R2 F' R B2 U'
L B' R2 F' B2 R U'
L B' R2 B2 F' R U'
