U' B' U' L R'
U' B' U' R' L
D L U' B' U' R'
D L' U F U R
U2 L' U' B' U L
D' R U F' B U
D' R U B F' U
R U B U' R' U2
R' U' F' B' U' L
L' U' B' U' L R'
L' U' B' U' R' L
D' R' U' F' B U'
D' R' U' B F' U'
R' U' B' F' U' L
L2 U' B' U' L R'
L2 U' B' U' R' L
L U' B' U' L R'
L U' B' U' R' L
B R' B' U' F' U'
D2 U F U L' R
D2 U F U R L'
U D2 F U L' R
U D2 F U R L'
U' F B' U' L R'
U' F B' U' R' L
U F B' U L R
U F B' U R L
U' F' B' U' L R'
U' F' B' U' R' L
U' F2 B' U' L R'
U' F2 B' U' R' L
U' B U L R' U2
U' B U R' L U2
U' B' U' L R' D
U' B' U' L R' D'
U' B' U' L R' D2
U' B' U' L D R'
U' B' U' L D' R'
U' B' U' L D' R'
U' B' U' L D2 R'
U' B' U' R' L D
U' B' U' R' L D'
U' B' U' R' L D2
U' B' U' R' D L
U' B' U' R' D' L
U' B' U' R' D2 L
U' B' U' D L R'
U' B' U' D R' L
U' B' U' D' L R'
U' B' U' D' R' L
U' B' U' D2 L R'
U' B' U' D2 R' L
U' B' D U' L R'
U' B' D U' R' L
U' B' D U' R' L
U' B' D' U' L R'
U' B' D' U' R' L
U' B' D2 U' L R'
U' B' D2 U' R' L
U' B' F U' L R'
U' B' F U' R' L
U' B' F' U' L R'
U' B' F' U' R' L
U' B' F2 U' L R'
U' B' F2 U' R' L
U B' F U L R
U B' F U R L
D' R' U' D F' B U'
D' R' U' D B F' U'
D' R' U' D' F' B U'
D' R' U' D' B F' U'
D' R' U' D2 F' B U'
D' R' U' D2 B F' U'
D2 R' U' F' U R U2
D' R' U' F' D B U'
D' R' U' F' D' B U'
D' R' U' F' D2 B U'
D' R' U' F' B U' D
D' R' U' F' B U' D'
D' R' U' F' B U' D2
D' R' U' F' B D U'
D' R' U' F' B D' U'
D' R' U' F' B D2 U'
B' R' U' F' U' L F
L2 U' F2 B' U' L R'
L2 U' F2 B' U' R' L
D' R' U' B D F' U'
D' R' U' B D' F' U'
D' R' U' B D2 F' U'
D' R' U' B F' U' D
D' R' U' B F' U' D'
D' R' U' B F' U' D2
D' R' U' B F' D U'
D' R' U' B F' D' U'
D' R' U' B F' D2 U'
B R' U' L2 F' U' F2
L' U' B U L R' U2
L' U' B U R' L U2
B' R' U2 L F D R2
L U' F2 B' U' L R'
L U' F2 B' U' R' L
R' U' B F' U R' U2
L2 U' B U L R' U2
L2 U' B U R' L U2
B R' U' F' L2 U' F
B R' U' F' U B' U2
L U' B U L R' U2
L U' B U R' L U2
R U' B U R' U2 R
L' U' B' U' L R' D
L' U' B' U' L R' D'
L' U' B' U' L R' D2
L' U' B' U' L D R'
L' U' B' U' L D' R'
L' U' B' U' L D2 R'
L' U' B' U' R' L D
L' U' B' U' R' L D'
L' U' B' U' R' L D2
L' U' B' U' R' D L
L' U' B' U' R' D' L
L' U' B' U' R' D2 L
L' U' B' U' D L R'
L' U' B' U' D R' L
R' U' B' D F' U' L
L' U' B' U' D' L R'
L' U' B' U' D' R' L
L' U' B' U' D2 L R'
L' U' B' U' D2 R' L
R' U' B' D' F' U' L
R' U' B' D2 F' U' L
L' U' B' D U' L R'
L' U' B' D U' R' L
L' U' B' D' U' L R'
L' U' B' D' U' R' L
R' U' B' F' U' L D
R' U' B' F' U' L D'
R' U' B' F' U' L D2
R' U' B' F' U' D L
R' U' B' F' U' D' L
R' U' B' F' U' D2 L
R' U' B' F' D U' L
R' U' B' F' D' U' L
R' U' B' F' D2 U' L
L' U' B' D2 U' L R'
L' U' B' D2 U' R' L
L' U' B' F U' L R'
L' U' B' F U' R' L
L2 U' B' U' L R' D
L2 U' B' U' L R' D'
L2 U' B' U' L R' D2
L2 U' B' U' L D R'
L2 U' B' U' L D' R'
L2 U' B' U' L D2 R'
L2 U' B' U' R' L D
L2 U' B' U' R' L D'
L2 U' B' U' R' L D2
L2 U' B' U' R' D L
L2 U' B' U' R' D' L
L2 U' B' U' R' D2 L
L2 U' B' U' D L R'
L2 U' B' U' D R' L
L2 U' B' U' D' L R'
L2 U' B' U' D' R' L
L2 U' B' U' D2 L R'
L2 U' B' U' D2 R' L
L' U' B' F' U' L R'
L' U' B' F' U' R' L
L' U' B' F2 U' L R'
L' U' B' F2 U' R' L
D' R' D U' F' B U'
D' R' D U' B F' U'
L2 U' B' D U' L R'
L2 U' B' D U' R' L
L2 U' B' D' U' L R'
L2 U' B' D' U' R' L
L2 U' B' D2 U' L R'
L2 U' B' D2 U' R' L
L2 U' B' F U' L R'
L2 U' B' F U' R' L
L2 U' B' F' U' L R'
L2 U' B' F' U' R' L
L U' B' U' L R' D
L U' B' U' L R' D'
L U' B' U' L R' D2
L U' B' U' L D R'
L U' B' U' L D' R'
L U' B' U' L D2 R'
L2 U' B' F2 U' L R'
L2 U' B' F2 U' R' L
L U' B' U' R' L D
L U' B' U' R' L D'
L U' B' U' R' L D2
L U' B' U' R' D L
L U' B' U' R' D' L
L U' B' U' R' D2 L
L U' B' U' D L R'
L U' B' U' D R' L
L U' B' U' D' L R'
L U' B' U' D' R' L
L U' B' U' D2 L R'
L U' B' U' D2 R' L
R U' B' U' L D' R2
R U' B' U' D' L R2
R U' B' U' D' R2 L
L U' B' D U' L R'
L U' B' D U' R' L
L U' B' D' U' L R'
L U' B' D' U' R' L
L U' B' D2 U' L R'
L U' B' D2 U' R' L
R U' B' D' U' L R2
R U' B' D' U' R2 L
L U' B' F U' L R'
L U' B' F U' R' L
R U' B' D2 F2 U' L
L U' B' F' U' L R'
L U' B' F' U' R' L
L U' B' F2 U' L R'
L U' B' F2 U' R' L
D' R' D' U' F' B U'
D' R' D' U' B F' U'
B R' D B' U' F' U'
D' R' D2 U' F' B U'
D' R' D2 U' B F' U'
B R' D' B' U' F' U'
L' U2 L' U' B' U L
L2 U2 L' U' B' U L
B R' D2 B' U' F' U'
L U2 L' U' B' U L
U' R' B' R U' L R2
U' R' B' R U' R2 L
B R' B' L U' F' U'
B R' B' L' U' F' U'
B R' B' L2 U' F' U'
B R' B' U' D F' U'
B R' B' U' D' F' U'
B R' B' U' D2 F' U'
B R' B' U' F' U' D
B R' B' U' F' U' D'
B R' B' U' F' U' D2
B R' B' U' F' D U'
B R' B' U' F' D' U'
B R' B' U' F' D2 U'
B R' B' D U' F' U'
B R' B' D' U' F' U'
B R' B' D2 U' F' U'
U2 R2 L' U' B' U L
U2 R2 U B' U' L R'
U2 R2 U B' U' R' L
B' R2 U2 L D' F' R
B' R2 U2 D' L F' R
B' R2 U2 D' F' L R
B' R2 U2 D' F' R L
R2 U2 B' L D B R'
R U2 B' L D' B R2
R2 U2 B' D L B R'
B R2 D R B' L U2
R U2 B' D' L B R2
R' D L U' F' B' U'
R' D L U' B' F' U'
B' R2 D' U2 L F' R
B R2 D B' L R U2
B' R2 D' U2 F' L R
B' R2 D' U2 F' R L
B R2 D B' R L U2
L' D L U' B' U' R'
L2 D L U' B' U' R'
L' D L' U F U R
L D L U' B' U' R'
L2 D L' U F U R
R' D L2 U' F' U' L'
L D L' U F U R
R D L' U F B U
R D L' U B F U
R D L2 U B U L
U' R2 B' R2 U' L R
U' R2 B' R2 U' R L
B R2 B' R U' F' U'
U2 D L U F B' U'
U2 D L U B' F U'
U' D L B' L' U' R'
U2 D L' U' F B' U
U2 D L' U' B' F U
D U L' F L U R
U D L' F L U R
D2 U F U L' R D
D2 U F U L' R D'
D2 U F U L' R D2
D2 U F U L' D R
D2 U F U L' D' R
D2 U F U L' D2 R
D2 U F U R L' D
D2 U F U R L' D'
D2 U F U R L' D2
D2 U F U R D L'
D2 U F U R D' L'
D2 U F U R D2 L'
D2 U F U D L' R
D2 U F U D R L'
D2 U F U D' L' R
D2 U F U D' R L'
D2 U F U D2 L' R
D2 U F U D2 R L'
D2 U F D U L' R
D2 U F D U R L'
D2 U F D' U L' R
D2 U F D' U R L'
D2 U F D2 U L' R
D2 U F D2 U R L'
D2 U F B U L' R
D2 U F B U R L'
D2 U F B' U L' R
D2 U F B' U R L'
D2 U F B2 U L' R
D2 U F B2 U R L'
D2 U F' U' L' R U2
D2 U F' U' R L' U2
D2 U B F U L' R
D2 U B F U R L'
L' D' R U F' B U
L' D' R U B F' U
L2 D' R U F' B U
L2 D' R U B F' U
D2 U B' F U L' R
D2 U B' F U R L'
R2 D' R U F' U R
L' D' R' U' F' B U'
L' D' R' U' B F' U'
L D' R U F' B U
L D' R U B F' U
D2 U B2 F U L' R
D2 U B2 F U R L'
L2 D' R' U' F' B U'
L2 D' R' U' B F' U'
L D' R' U' F' B U'
L D' R' U' B F' U'
D U' L B' L' U' R'
D2 U' F B' U' L' R'
D2 U' F B' U' R' L'
D2 U' B' F U' L' R'
D2 U' B' F U' R' L'
R2 D2 L' U' F U' L'
D2 U2 L U F U' L'
U2 D2 L U F U' L'
D U2 L U F B' U'
D U2 L U B' F U'
D U2 L' U' F B' U
D U2 L' U' B' F U
L' D2 U F U L' R
L' D2 U F U R L'
L2 D2 U F U L' R
L2 D2 U F U R L'
R' D2 U' F' U R U2
B' U2 L R2 F' D R2
L D2 U F U L' R
L D2 U F U R L'
B' U2 L F' D R2 F'
R D2 U F B U L'
R D2 U B F U L'
U' D2 F B' U' L' R'
U' D2 F B' U' R' L'
U D2 F U L' R D
U D2 F U L' R D'
U D2 F U L' R D2
U D2 F U L' D R
U D2 F U L' D' R
U D2 F U L' D2 R
U D2 F U R L' D
U D2 F U R L' D'
U D2 F U R L' D2
U D2 F U R D L'
U D2 F U R D' L'
U D2 F U R D2 L'
U D2 F U D L' R
U D2 F U D R L'
U D2 F U D' L' R
U D2 F U D' R L'
U D2 F U D2 L' R
U D2 F U D2 R L'
U D2 F D U L' R
U D2 F D U R L'
U D2 F D' U L' R
U D2 F D' U R L'
U D2 F D2 U L' R
U D2 F D2 U R L'
U D2 F B U L' R
U D2 F B U R L'
U D2 F B' U L' R
U D2 F B' U R L'
U D2 F B2 U L' R
U D2 F B2 U R L'
U D2 F' U' L' R U2
U D2 F' U' R L' U2
B' U2 R2 L F' D R2
U' D2 B' F U' L' R'
U' D2 B' F U' R' L'
U D2 B F U L' R
U D2 B F U R L'
U D2 B' F U L' R
U D2 B' F U R L'
U D2 B2 F U L' R
U D2 B2 F U R L'
U F U R B' L B
U F U B' L B R
U F U2 B' U' L R
U F U2 B' U' R L
U' F B U L R' U2
U' F B U R' L U2
U' F B' U' L R' D
U' F B' U' L R' D'
U' F B' U' L R' D2
U' F B' U' L D R'
U' F B' U' L D' R'
U' F B' U' L D2 R'
U' F B' U' R' L D
U' F B' U' R' L D'
U' F B' U' R' L D2
U' F B' U' R' D L
U' F B' U' R' D' L
U' F B' U' R' D2 L
U' F B' U' D L R'
U' F B' U' D R' L
U' F B' U' D' L R'
U' F B' U' D' R' L
U' F B' U' D2 L R'
U' F B' U' D2 R' L
U' F B' D U' L R'
U' F B' D U' R' L
U' F B' D' U' L R'
U' F B' D' U' R' L
U' F B' D2 U' L R'
U' F B' D2 U' R' L
B D R' B' U' F' U'
U F B U R D2 L2
U F B U' R' U2 R2
U F B' U L R D
U F B' U L R D'
U F B' U L R D2
U F B' U L D R
U F B' U L D' R
U F B' U L D2 R
U F B' U R L D
U F B' U R L D'
U F B' U R L D2
U F B' U R D L
U F B' U R D' L
U F B' U R D2 L
U F B' U D L R
U F B' U D R L
U F B' U D' L R
U F B' U D' R L
U F B' U D2 L R
U F B' U D2 R L
U F B' D U L R
U F B' D U R L
U F B' D' U L R
U F B' D' U R L
U F B' D2 U L R
U F B' D2 U R L
D2 F' R F U B U
U' F' B U L R' U2
U' F' B U R' L U2
U' F' B' U' L R' D
U' F' B' U' L R' D'
U' F' B' U' L R' D2
U' F' B' U' L D R'
U' F' B' U' L D' R'
U' F' B' U' L D2 R'
U' F' B' U' R' L D
U' F' B' U' R' L D'
U' F' B' U' R' L D2
U' F' B' U' R' D L
U' F' B' U' R' D' L
U' F' B' U' R' D2 L
U' F' B' U' D L R'
U' F' B' U' D R' L
U' F' B' U' D' L R'
U' F' B' U' D' R' L
U' F' B' U' D2 L R'
U' F' B' U' D2 R' L
U' F' B' D U' L R'
U' F' B' D U' R' L
U' F' B' D' U' L R'
U' F' B' D' U' R' L
U' F' B' D2 U' L R'
U' F' B' D2 U' R' L
B D' R' B' U' F' U'
U F' B U' L' R' U2
U F' B U' R' L' U2
U F' B' U L D2 R2
U F' B' U' L' U2 L2
U' F2 B U L R' U2
U' F2 B U R' L U2
U' F2 B' U' L R' D
U' F2 B' U' L R' D'
U' F2 B' U' L R' D2
U' F2 B' U' L D R'
U' F2 B' U' L D' R'
U' F2 B' U' L D2 R'
U' F2 B' U' R' L D
U' F2 B' U' R' L D'
U' F2 B' U' R' L D2
U' F2 B' U' R' D L
U' F2 B' U' R' D' L
U' F2 B' U' R' D2 L
U' F2 B' U' D L R'
U' F2 B' U' D R' L
U' F2 B' U' D' L R'
U' F2 B' U' D' R' L
U' F2 B' U' D2 L R'
U' F2 B' U' D2 R' L
U' F2 B' D U' L R'
U' F2 B' D U' R' L
U' F2 B' D' U' L R'
U' F2 B' D' U' R' L
U' F2 B' D2 U' L R'
U' F2 B' D2 U' R' L
B D2 R' B' U' F' U'
R' B R' D B' L U2
F D2 F' R U B U
L' B R' B' U' F' U'
U' B U L R' U2 D
U' B U L R' U2 D'
U' B U L R' U2 D2
U' B U L R' D U2
U' B U L R' D' U2
U' B U L R' D2 U2
U' B U L D R' U2
U' B U L D' R' U2
L2 B R' B' U' F' U'
U' B U L D2 R' U2
U' B U R' L U2 D
U' B U R' L U2 D'
U' B U R' L U2 D2
U' B U R' L D U2
U' B U R' L D' U2
U' B U R' L D2 U2
U' B U R' D L U2
U' B U R' D' L U2
U' B U R' D2 L U2
U' B U D L R' U2
U' B U D R' L U2
R2 B R' B' U B2 U
R2 B R' B' U2 D' R2
U' B U D' L R' U2
R2 B R' B' D L2 U2
R2 B R' B' D' U2 R2
U' B U D' R' L U2
U' B U D2 L R' U2
U' B U D2 R' L U2
L B R' B' U' F' U'
R B R' B' U B U
U' B U' B2 L R' B2
U' B U' B2 R' L B2
U' B U2 B2 U L R'
U' B U2 B2 U R' L
U' B D U L R' U2
U' B D U R' L U2
U B U' R' U' F' U'
U' B D B2 U' L R'
U' B D B2 U' R' L
U' B D' U L R' U2
U' B D' U R' L U2
U' B D' B2 U' L R'
U' B D' B2 U' R' L
R2 B D R' B' L U2
U' B D2 U L R' U2
U' B D2 U R' L U2
U' B D2 B2 U' L R'
U' B D2 B2 U' R' L
U' B F U L R' U2
U' B F U R' L U2
U' B F' U L R' U2
U' B F' U R' L U2
U' B F2 U L R' U2
U' B F2 U R' L U2
U B F U R D2 L2
U B F U' R' U2 R2
U B F' U' L' R' U2
U B F' U' R' L' U2
U2 B' L U F U' B
U2 B' L B U F U'
U2 B' L' B L2 D' R2
U2 B' L2 D' L' B R'
U2 B' L2 D' B L' R'
U2 B' L2 D' B R' L'
U' B' U L' U2 L2 R'
U' B' U L' U2 R' L2
U' B' U L2 U2 L' R'
U' B' U L2 U2 R' L'
U' B' U R U2 L R2
U' B' U R U2 R2 L
U' B' U R2 U2 L R
U' B' U R2 U2 R L
U' B' U' L R2 D R
U' B' U' L R2 D' R
U' B' U' L R2 D2 R
U' B' U' L D R' D
U' B' U' L D R' D'
U' B' U' L D R' D2
U' B' U' L D' R' D
U' B' U' L D' R' D'
U' B' U' L D' R' D2
U' B' U' L D2 R' D
U' B' U' L D2 R' D'
U' B' U' L D2 R' D2
U' B' U' L F' R' F
U' B' U' L F2 R' F2
U' B' U' L2 R' D L'
U' B' U' L2 R' D' L'
U' B' U' L2 R' D2 L'
U' B' U' L2 D L' R'
U' B' U' L2 D R' L'
U' B' U' L2 D' L' R'
U' B' U' L2 D' R' L'
U' B' U' L2 D2 L' R'
U' B' U' L2 D2 R' L'
U' B' U' R' L2 D L'
U' B' U' R' L2 D' L'
U' B' U' R' L2 D2 L'
U' B' U' R' D L D
U' B' U' R' D L D'
U' B' U' R' D L D2
U' B' U' R' D' L D
U' B' U' R' D' L D'
U' B' U' R' D' L D2
U' B' U' R' D2 L D
U' B' U' R' D2 L D'
U' B' U' R' D2 L D2
U' B' U' R' F L F'
U' B' U' R' F2 L F2
U' B' U' R2 L D R
U' B' U' R2 L D' R
U' B' U' R2 L D2 R
U' B' U' R2 D L R
U' B' U' R2 D R L
U' B' U' R2 D' L R
U' B' U' R2 D' R L
U' B' U' R2 D2 L R
U' B' U' R2 D2 R L
U' B' U' D L R' D
U' B' U' D L R' D'
U' B' U' D L R' D2
U' B' U' D L D R'
U' B' U' D L D' R'
U' B' U' D L D2 R'
U' B' U' D R' L D
U' B' U' D R' L D'
U' B' U' D R' L D2
U' B' U' D R' D L
U' B' U' D R' D' L
U' B' U' D R' D2 L
U' B' U' D' L R' D
U' B' U' D' L R' D'
U' B' U' D' L R' D2
U' B' U' D' L D R'
U' B' U' D' L D' R'
U' B' U' D' L D2 R'
U' B' U' D' R' L D
U' B' U' D' R' L D'
U' B' U' D' R' L D2
U' B' U' D' R' D L
U' B' U' D' R' D' L
U' B' U' D' R' D2 L
U' B' U' D2 L R' D
U' B' U' D2 L R' D'
U' B' U' D2 L R' D2
U' B' U' D2 L D R'
U' B' U' D2 L D' R'
U' B' U' D2 L D2 R'
U' B' U' D2 R' L D
U' B' U' D2 R' L D'
U' B' U' D2 R' L D2
U' B' U' D2 R' D L
U' B' U' D2 R' D' L
U' B' U' D2 R' D2 L
U' B' U' F L F' R'
U' B' U' F' R' F L
U' B' U' F2 L R' F2
U' B' U' F2 L F2 R'
U' B' U' F2 R' L F2
U' B' U' F2 R' F2 L
U B' U L U F U'
U' B' U2 F U L R'
U' B' U2 F U R' L
U' B' U2 F' U L R'
U' B' U2 F' U R' L
U' B' U2 F2 U L R'
U' B' U2 F2 U R' L
U' B' D U' L R' D
U' B' D U' L R' D'
U' B' D U' L R' D2
U' B' D U' L D R'
U' B' D U' L D' R'
U' B' D U' L D2 R'
U' B' D U' R' L D
U' B' D U' R' L D'
U' B' D U' R' L D2
U' B' D U' R' D L
U' B' D U' R' D' L
U' B' D U' R' D2 L
U' B' D F U' L R'
U' B' D F U' R' L
U' B' D F' U' L R'
U' B' D F' U' R' L
U' B' D F2 U' L R'
U' B' D F2 U' R' L
U' B' D' U' L R' D
U' B' D' U' L R' D'
U' B' D' U' L R' D2
U' B' D' U' L D R'
U' B' D' U' L D' R'
U' B' D' U' L D2 R'
U' B' D' U' R' L D
U' B' D' U' R' L D'
U' B' D' U' R' L D2
U' B' D' U' R' D L
U' B' D' U' R' D' L
U' B' D' U' R' D2 L
U' B' D' F U' L R'
U' B' D' F U' R' L
U' B' D' F' U' L R'
U' B' D' F' U' R' L
U' B' D' F2 U' L R'
U' B' D' F2 U' R' L
R B' U2 L D' R2 F'
U' B' D2 U' L R' D
U' B' D2 U' L R' D'
U' B' D2 U' L R' D2
U' B' D2 U' L D R'
U' B' D2 U' L D' R'
U' B' D2 U' L D2 R'
U' B' D2 U' R' L D
U' B' D2 U' R' L D'
U' B' D2 U' R' L D2
U' B' D2 U' R' D L
U' B' D2 U' R' D' L
U' B' D2 U' R' D2 L
R B' U2 D' L R2 F'
U' B' D2 F U' L R'
U' B' D2 F U' R' L
R B' U2 D' R2 L F'
R B' U2 D' R2 F' L
U' B' D2 F' U' L R'
U' B' D2 F' U' R' L
U' B' D2 F2 U' L R'
U' B' D2 F2 U' R' L
U B' D F U L R
U B' D F U R L
R B' D L2 B U2 L'
U' B' F U' L R' D
U' B' F U' L R' D'
U' B' F U' L R' D2
U' B' F U' L D R'
U' B' F U' L D' R'
U' B' F U' L D2 R'
U' B' F U' R' L D
U' B' F U' R' L D'
U' B' F U' R' L D2
U' B' F U' R' D L
U' B' F U' R' D' L
U' B' F U' R' D2 L
U' B' F U' D L R'
U' B' F U' D R' L
