F' R B U' F2
F' L R B U' F2
F' L' R B U' F2
F' L2 R B U' F2
F' R L B U' F2
F' R L' B U' F2
F' R L2 B U' F2
F' R D' L2 B U'
F' R D' B L2 U'
F' R B L U' F2
F' R B L' U' F2
F' R B L2 U' F2
F' R B U' F2 D
F' R B U' F2 D'
F' R B U' F2 D2
F' R B D' L2 U'
U F' R U' L' F2
F' D' L2 R B U'
F' D' R L2 B U'
F' D' R B L2 U'
F' B R B U' F2
F' B' R B U' F2
B' F' R B U' F2
B2 F' R B U' F2
B F' R B U' F2
F' B2 R B U' F2
U' F U F2 R B U'
U F U F2 R U' L'
F' D R B U2 R U
L' F' L R B U' F
U2 F' L' R B' U' F2
U F' L R U' L2 F2
U F' L R U' F2 L2
F2 D F R B U' F2
U2 F' L' B' R U' F2
L2 F' L2 R B U' F
L F' L' R B U' F
L' F' R L B U' F
U' F' R B U' L F2
U' F' R B U' F2 L
D2 F' R B R' U' F2
U F' L2 R U' L F2
U F' L2 R U' F2 L
U2 F' R L' B' U' F2
L2 F' R L2 B U' F
L' F' R B L U' F
U2 F' R U' F' L' F'
L2 F' R B U B2 U2
L2 F' R B U' D2 F2
L2 F' R B D L2 U'
L2 F' R B D2 U' F2
U F' R L U' L2 F2
U F' R L U' F2 L2
U F' R L2 U' L F2
U F' R L2 U' F2 L
L F' R L' B U' F
U F' R U' L F2 L2
U F' R U' L' F2 D
U F' R U' L' F2 D'
U F' R U' L' F2 D2
U F' R U' L2 F2 L
U F' R D' L2 U' L
U F' R B U' L' F2
U F' R B' U' L' F2
L F' R B L' U' F
U F' R B2 U' L' F2
D' F' U' F2 B L B'
D' F' U' B L F2 B'
D' F' U' B L B' F2
D' F' U' B F2 L B'
R' F' U2 R F' U' F'
F' D' L' R B L' U'
F' D' L2 R D B U'
F' D' L2 R D' B U'
F' D' L2 R D2 B U'
F' D' L2 R B U' D
F' D' L2 R B U' D'
F' D' L2 R B U' D2
F' D' L2 R B D U'
F' D' L2 R B D' U'
F' D' L2 R B D2 U'
F' D' L2 D R B U'
F' D' L2 D' R B U'
F' D' L2 D2 R B U'
F' D' L2 B R B U'
F' D' L2 B' R B U'
F' D' L2 B2 R B U'
F' D' R L' B L' U'
F' D' R L2 D B U'
F' D' R L2 D' B U'
F' D' R L2 D2 B U'
F' D' R L2 B U' D
F' D' R L2 B U' D'
F' D' R L2 B U' D2
F' D' R L2 B D U'
F' D' R L2 B D' U'
F' D' R L2 B D2 U'
F' D' R D B U' F2
F' D' R B L2 U' D
F' D' R B L2 U' D'
F' D' R B L2 U' D2
F' D' R B L2 D U'
F' D' R B L2 D' U'
F' D' R B L2 D2 U'
F' D' R B U' D F2
F' D' R B D U' F2
F' D' R B' L2 B2 U'
U' F' B R U' L F2
U' F' B R U' F2 L
U F' D' L2 R U' L
U F' D' R L2 U' L
L F' D2 R B U' F'
U F' B R U' L' F2
U F' B' R U' L' F2
U F' B2 R U' L' F2
F2 D' F R B U' F2
F' D' B L2 R B U'
F' D' B R L2 B U'
F' D' B R B L2 U'
F' D' B' L2 R B U'
F' D' B' R L2 B U'
F' D' B' R B L2 U'
F' D' B2 L2 R B U'
F' D' B2 R L2 B U'
F' D' B2 R B L2 U'
F' D2 R D L2 B U'
F' D2 R D B L2 U'
F' D2 R D2 B U' F2
F' D2 R B U B U2
F2 D2 F R B U' F2
R B R' F' R U' F2
F' B L R B U' F2
F' B L' R B U' F2
F' B L2 R B U' F2
F' B R L B U' F2
F' B R L' B U' F2
F' B R L2 B U' F2
F' B R D' L2 B U'
F' B R D' B L2 U'
F' B R B L U' F2
F' B R B L' U' F2
F' B R B L2 U' F2
F' B R B U' F2 D
F' B R B U' F2 D'
F' B R B U' F2 D2
F' B R B D' L2 U'
U' B F' R U' L F2
U' B F' R U' F2 L
U B F' R U' L' F2
F' B D' L2 R B U'
F' B D' R L2 B U'
F' B D' R B L2 U'
B' F' L R B U' F2
F' B' L R B U' F2
B2 F' L R B U' F2
B' F' L' R B U' F2
F' B' L' R B U' F2
B F' L R B U' F2
B2 F' L' R B U' F2
B' F' L2 R B U' F2
F' B' L2 R B U' F2
B F' L' R B U' F2
B2 F' L2 R B U' F2
B' F' R L B U' F2
B' F' R L' B U' F2
B' F' R L2 B U' F2
F' B' R L B U' F2
B' F' R D' L2 B U'
B' F' R D' B L2 U'
F' B' R L' B U' F2
F' B' R L2 B U' F2
B F' L2 R B U' F2
B2 F' R L B U' F2
B2 F' R L' B U' F2
B2 F' R L2 B U' F2
B' F' R B L U' F2
B' F' R B L' U' F2
B' F' R B L2 U' F2
B' F' R B U' F2 D
B' F' R B U' F2 D'
B' F' R B U' F2 D2
B' F' R B D' L2 U'
F' B' R D' L2 B U'
F' B' R D' B L2 U'
B2 F' R D' L2 B U'
B2 F' R D' B L2 U'
F' B' R B L U' F2
F' B' R B L' U' F2
F' B' R B L2 U' F2
F' B' R B U' F2 D
F' B' R B U' F2 D'
F' B' R B U' F2 D2
F' B' R B D' L2 U'
B2 F' R B L U' F2
B2 F' R B L' U' F2
B2 F' R B L2 U' F2
B2 F' R B U' F2 D
B2 F' R B U' F2 D'
B2 F' R B U' F2 D2
B2 F' R B D' L2 U'
B F' R L B U' F2
B F' R L' B U' F2
B F' R L2 B U' F2
B F' R D' L2 B U'
B F' R D' B L2 U'
B F' R B L U' F2
B F' R B L' U' F2
B F' R B L2 U' F2
B F' R B U' F2 D
B F' R B U' F2 D'
B F' R B U' F2 D2
B F' R B D' L2 U'
B' F' D' L2 R B U'
B' F' D' R L2 B U'
B' F' D' R B L2 U'
U B' F' R U' L' F2
F' B' D' L2 R B U'
F' B' D' R L2 B U'
F' B' D' R B L2 U'
B2 F' D' L2 R B U'
B2 F' D' R L2 B U'
B2 F' D' R B L2 U'
B F' D' L2 R B U'
B F' D' R L2 B U'
B F' D' R B L2 U'
F' B2 L R B U' F2
F' B2 L' R B U' F2
F' B2 L2 R B U' F2
F' B2 R L B U' F2
F' B2 R L' B U' F2
F' B2 R L2 B U' F2
F' B2 R D' L2 B U'
F' B2 R D' B L2 U'
F' B2 R B L U' F2
F' B2 R B L' U' F2
F' B2 R B L2 U' F2
F' B2 R B U' F2 D
F' B2 R B U' F2 D'
F' B2 R B U' F2 D2
F' B2 R B D' L2 U'
F' B2 D' L2 R B U'
F' B2 D' R L2 B U'
F' B2 D' R B L2 U'
U B2 F' R U' L' F2
