R D F' R' B2 L
R' D' U' R2 F' R' L2
B2 U' L R F2 U F
B2 U' L F2 R U F'
R D' F L2 R' F2 B'
R D' F L2 R' B' F2
R D' F L2 F2 R' B'
R D' F R' L2 F2 B'
R D' F R' L2 B' F2
B2 U' R L F2 U F
R D' F' L2 R2 B R
R D' F' R2 L2 B R
R D' F' R2 B L2 R
R D' F' R2 B R L2
R D' F2 U2 R' F L2
R D' F2 U2 F L2 R'
R D' F2 U2 F R' L2
R' D' B2 U' L2 R F
R' D' B2 U' R L2 F
B2 U' F2 L R U F'
B2 U' F2 R L U F'
U D2 L' R' B2 U' F
U D2 R' L' B2 U' F
B2 U2 L F2 U R F'
U D2 R' B2 L' U' F
R D2 F' D' R' B2 L
R' D2 B2 L2 U' R F
R' D2 B2 U B' U2 R
D' F L' R' U' L' R
D' F L' R' U' R L'
D' F L2 U L R' U'
D' F L2 U R' L U'
D' F R' L' U' L' R
D' F R' L' U' R L'
D' F U L' R' U' L'
D' F U R' L' U' L'
F2 D B R' U R B
R F' R' U R' B U'
R F' U R2 B U' R
B2 D' L' D' L' F B2
B2 D' L' D' L' B2 F
B2 D' L' D' B2 L' F
R2 F2 L' R' U F' R'
U' F2 R U D F' B2
U' F2 R U D B2 F'
U' F2 R U F' D B2
U' F2 R D U F' B2
U' F2 R D U B2 F'
U' F2 R D2 L2 U F'
U' F2 R' U' B U2 B'
R2 F2 R' L' U F' R'
R' F2 U B L' U2 L
R' F2 U' L' B U2 B'
U' F2 U2 R' U B U2
R F2 U D R' F B2
R F2 U D R' B2 F
R F2 U D F R' B2
R F2 U F D R' B2
B2 D2 L' D F L2 B'
R F2 U2 R2 U' R F
R F2 D U R' F B2
R F2 D U R' B2 F
R F2 D U F R' B2
R' B U2 F2 U F2 R
R' B' D2 B2 U' R F2
D' B2 L' D' L' F B2
D' B2 L' D' L' B2 F
D' B2 L' D' B2 L' F
U2 B2 L F2 U R F'
B2 F2 L R U F' R'
F2 B2 L R U F' R'
B2 F2 R L U F' R'
F2 B2 R L U F' R'
R' B2 U' R D' L2 F
R' B2 U' D' L2 R F
R' B2 U' D' R L2 F
R' B2 D' U' L2 R F
R' B2 D' U' R L2 F
