F2 D' L2 F R
F2 L2 D' F L2 R
F2 L2 D' F R L2
F2 R D' L2 F R
F' R F' D' L2 F
F2 R' D' L2 F R
B2 R2 U F' R B2
B2 R2 U F' B2 R
B2 R2 U B2 F' R
F2 R2 D' L2 F R
B2 U R2 F' R B2
B2 U R2 F' B2 R
B2 U R2 B2 F' R
F2 D' L2 R F R
F2 D' L2 R' F R
F2 D' L2 R2 F R
F2 D' L2 D F R
F2 D' L2 D' F R
F2 D' L2 D2 F R
F2 D' L2 F R D
F2 D' L2 F R D'
F2 D' L2 F R D2
F2 D' L2 F D R
F2 D' L2 F D' R
F2 D' L2 F D2 R
F2 D' R L2 F R
F2 D' R' L2 F R
F2 D' R2 L2 F R
F2 D' F L2 R F
F2 D' F R L2 F
R' F2 D' L2 F R
R2 F2 D' L2 F R
R F2 D' L2 F R
R' F2 D' L2 R F R
R' F2 D' L2 R' F R
R' F2 D' L2 R2 F R
R' F2 D' L2 D F R
R' F2 D' L2 D' F R
R' F2 D' L2 D2 F R
R' F2 D' L2 F R D
R' F2 D' L2 F R D'
R' F2 D' L2 F R D2
R' F2 D' L2 F D R
R' F2 D' L2 F D' R
R' F2 D' L2 F D2 R
R' F2 D' R L2 F R
R' F2 D' R' L2 F R
R' F2 D' R2 L2 F R
L2 F2 D F R F2 L'
F2 D2 L2 D F L2 R
F2 D2 L2 D F R L2
R' F2 D' F L2 R F
R' F2 D' F R L2 F
F2 D2 L2 F R D L2
F2 D2 L2 F D L2 R
F2 D2 L2 F D R L2
L2 F2 D' L2 F R F2
R2 F2 D' L2 R F R
R2 F2 D' L2 R' F R
R2 F2 D' L2 R2 F R
R2 F2 D' L2 D F R
L2 F2 D' F L2 R F2
R2 F2 D' L2 D' F R
L2 F2 D' F R L2 F2
R2 F2 D' L2 D2 F R
L2 F2 D' F R F2 L2
R2 F2 D' L2 F R D
R2 F2 D' L2 F R D'
R2 F2 D' L2 F R D2
R2 F2 D' L2 F D R
R2 F2 D' L2 F D' R
R2 F2 D' L2 F D2 R
F' D2 R F' D' L2 F
R2 F2 D' R L2 F R
F2 D2 R D L2 F R
R2 F2 D' R' L2 F R
R2 F2 D' R2 L2 F R
D F2 D' L2 F' R F2
R2 F2 D' F L2 R F
R2 F2 D' F R L2 F
L F2 D' L F L R
L F2 D' L F R L
D F2 D' F' L2 R F
D F2 D' F' R L2 F
D F2 D' F2 L2 F R
F2 D2 R' D L2 F R
R F2 D' L2 R F R
R F2 D' L2 R' F R
R F2 D' L2 R2 F R
R F2 D' L2 D F R
R F2 D' L2 D' F R
R F2 D' L2 D2 F R
R F2 D' L2 F R D
R F2 D' L2 F R D'
R F2 D' L2 F R D2
R F2 D' L2 F D R
R F2 D' L2 F D' R
R F2 D' L2 F D2 R
R F2 D' R L2 F R
R F2 D' R' L2 F R
R F2 D' R2 L2 F R
R F2 D' F L2 R F
R F2 D' F R L2 F
F2 D2 R2 D L2 F R
B2 D2 U' F2 B U2 R'
B2 D2 U' B F2 U2 R'
B D2 U F2 B R' B2
B D2 U B R' F2 B2
B D2 U B R' B2 F2
B D2 U B F2 R' B2
F2 D2 F R D L2 F
F2 D2 F D L2 R F
F2 D2 F D R L2 F
F' D2 F' D' L2 F R
F D2 F D' L2 F R
D2 B U R' D2 F2 B'
D2 B U R' D2 B' F2
B D2 B U R' F2 B2
B D2 B U R' B2 F2
B D2 B U F2 R' B2
D2 B U D2 R' F2 B'
D2 B U D2 R' B' F2
D2 B U D2 F2 R' B'
L2 B U F' R F2 B'
L2 B U F' R B' F2
L2 B U F' B' R F2
L2 B U B' F' R F2
D2 B U' B2 L U2 B
B' F L' U F' U B
D2 B D' R2 U R B'
D2 B D' R2 U B' R
D2 B D2 U R' F2 B'
D2 B D2 U R' B' F2
D2 B D2 U F2 R' B'
U2 B' R2 U F' U R
L2 B' U D2 F B R'
L2 B' U D2 B R' F
L2 B' U D2 B F R'
L2 B' U F' B R F2
L2 B' U B F' R F2
F B' L' U F' U B
U2 B' U' D2 B U' R'
U2 B' U' F' B U' R
U2 B' U' B F' U' R
U' B' F L' U L U
L2 B' D2 U F B R'
L2 B' D2 U B R' F
L2 B' D2 U B F R'
U2 B' D2 U' B U' R'
F2 B' D R2 F' L' U2
F2 B' D' B L2 F R
R' B2 R2 U F' R B2
R' B2 R2 U F' B2 R
R' B2 R2 U B2 F' R
R' B2 U R2 F' R B2
R' B2 U R2 F' B2 R
R' B2 U R2 B2 F' R
R2 B2 R2 U F' R B2
R2 B2 R2 U F' B2 R
R2 B2 R2 U B2 F' R
L2 B2 U F' R F2 B2
L2 B2 U F' R B2 F2
L2 B2 U F' B2 R F2
L2 B2 U B2 F' R F2
R2 B2 U R2 F' R B2
R2 B2 U R2 F' B2 R
R2 B2 U R2 B2 F' R
U B2 R2 F' D R B2
U B2 R2 F' D B2 R
R B2 R2 U F' R B2
R B2 R2 U F' B2 R
R B2 R2 U B2 F' R
R B2 U R2 F' R B2
R B2 U R2 F' B2 R
R B2 U R2 B2 F' R
B' F2 D R2 F' L' U2
B' F2 D' B L2 F R
