D' L R U L F'
D' L R U F' L
D L U D2 L2 F
D L U' R2 B' U2
D L U' B' R2 U2
F2 L D' R U F'
D L D2 U L2 F
F' L D2 F' R U
F2 L B R' B' U
F2 L2 D L' U F
D' R L U L F'
D' R L U F' L
B R' F2 B' L U
B R' B' L F2 U
B R' B' F2 L U
L D' R U L2 F'
L D' R U F' L2
F2 D L U' B' U2
F2 D' L R U F'
F2 D' R L U F'
L F' D2 F' R U
F' D2 L F' R U
L F2 D' R U F'
L F2 B R' B' U
F' D2 F' L R U
F' D2 F' R L U
L B R' F2 B' U
L B R' B' F2 U
F2 B R' B' L U
L B F2 R' B' U
B F2 R' B' L U
B R' F2 B' L D2 U
B R' F2 B' D L U
B R' F2 B' D' L U
B R' F2 B' D2 L U
F2 R' B R' B' L U
B R' B' L U D' L2
B R' B' L D' U L2
B R' B' L F2 U D
B R' B' L F2 U D'
B R' B' L F2 U D2
B R' B' L F2 D U
B R' B' L F2 D' U
B R' B' L F2 D2 U
B R' B' L' F2 L2 U
B R' B' D' L U L
B R' B' F' L F' U
B R' B' F2 L U D
B R' B' F2 L U D'
B R' B' F2 L U D2
B R' B' F2 L D U
B R' B' F2 L D' U
B R' B' F2 L D2 U
B R' B' F2 D L U
B R' B' F2 D' L U
B R' B' F2 D2 L U
F2 R2 L D' R U F'
F2 R2 L B R' B' U
F2 R2 L2 D L' U F
L U2 B U2 R' F2 U
L U2 B U2 F2 R' U
F2 R2 D L U' B' U2
L U2 B D2 B2 L U'
L U2 B' L U' D' L2
L U2 B' L U2 F2 U
L U2 B' L D' U' L2
L U2 B' L D2 B2 U'
L U2 B' D' L U' L
F2 R2 D' L R U F'
L U2 B' D2 L B2 U'
R' D L U D2 L2 F
R' D L U' R2 B' U2
F2 R2 D' R L U F'
R' D L U' B' R2 U2
R' D L D2 U L2 F
R2 D L U D2 L2 F
R2 D L U' R2 B' U2
R2 D L U' B' R2 U2
R2 D L D2 U L2 F
R D L U D2 L2 F
R D L U' R2 B' U2
R D L U' B' R2 U2
L2 D L' U D2 F L2
L2 D L' U F D2 L2
R D L D2 U L2 F
L2 D L' U' R2 U2 F
L2 D L' D' F2 U F'
L2 D L' D2 U F L2
L D R U F2 L' F
L D R F2 U L' F
F2 R2 B R' B' L U
B R2 B' L R F2 U
B R2 B' R L F2 U
B R2 B' R F2 L U
L D U L D2 L2 F
L D U L' D2 F L2
L D U L' F D2 L2
B U R' F2 B' L U
B U R' B' L F2 U
B U R' B' F2 L U
R' D' L R U L F'
R' D' L R U F' L
R2 D' L R U L F'
R2 D' L R U F' L
R D' L R U L F'
R D' L R U F' L
L2 D' L' R U L' F'
L2 D' L' U D2 L' F
L2 D' L' D2 U L' F
R' D' R L U L F'
R' D' R L U F' L
L' D' R U L2 F' B2
L' D' R U L2 B2 F'
L' D' R U F' L2 B2
L' D' R U F' B2 L2
L' D' R U B2 L2 F'
L' D' R U B2 F' L2
L2 D' R L' U L' F'
R2 D' R L U L F'
R2 D' R L U F' L
L' D' R' U B2 L2 F
R D' R L U L F'
R D' R L U F' L
L D' R U L F' L
L D' R U L2 D F'
L D' R U L2 D' F'
L D' R U L2 D2 F'
L D' R U L2 F' D
L D' R U L2 F' D'
L D' R U L2 F' D2
L D' R U F L2 F2
L D' R U F' L2 D
L D' R U F' L2 D'
L D' R U F' L2 D2
B U F2 R' B' L U
L D' R D F2 U F
L D' R F U L2 F2
L D' R F U F2 L2
L D' R F2 U F L2
L D' R' U' B U2 L2
F2 U B2 U R' U' F'
L D' U L' D2 L' F
L D' U L2 R F' R'
L D' U R L2 F' R'
L D' U R F' L2 R'
L D' U R F' R' L2
L D' U' R U2 L2 F'
L D' U' R U2 F' L2
L D' U' R' B U2 L2
L D' F R U L2 F'
L D' F R U F' L2
L D' F' R U L2 F'
L D' F' R U F' L2
L D' F2 R U L2 F'
L D' F2 R U F' L2
B U' R' F2 B' L U
B U' R' B' L F2 U
B U' R' B' F2 L U
B2 U' F2 B2 L U F
B U' F2 R' B' L U
B2 U' B2 L F2 U F'
B2 U' B2 F2 L U F
L D2 F U2 L' B2 U'
L D2 F U2 B2 L' U'
L D2 F D2 F2 R U
L D2 F' R U D L2
L D2 F' R U2 B2 U'
L D2 F' R D U L2
L D2 F' R D2 F2 U
L D2 F' D R U L2
L D2 F' D2 R F2 U
B U2 R' F2 B' L U
B U2 R' B' L F2 U
B U2 R' B' F2 L U
D' F L R U L F'
D' F L R U F' L
D2 F L U D L2 F2
D2 F L U D F2 L2
D2 F L U2 L2 B2 U'
D2 F L U2 B2 L2 U'
D2 F L D U L2 F2
D2 F L D U F2 L2
D2 F L D2 R2 F2 U
D2 F L D2 F2 R2 U
D F L U D2 L2 F
D F L U' R2 B' U2
D F L U' B' R2 U2
D F L D2 U L2 F
L' F L2 U2 B' L U'
D' F R L U L F'
D' F R L U F' L
B U2 F2 R' B' L U
F2 D L R U' B' U2
F2 D L R' U' B' U2
F2 D L R2 U' B' U2
F2 D L U L2 F L2
F2 D L U' D B' U2
F2 D L U' D' B' U2
F2 D L U' D2 B' U2
F2 D L U' B' U2 D
F2 D L U' B' U2 D'
F2 D L U' B' U2 D2
F2 D L U' B' D U2
F2 D L U' B' D' U2
F2 D L U' B' D2 U2
F2 D L U2 L2 U' F
F2 D L D U' B' U2
F' D L F' U' B' U2
F2 D L D' U' B' U2
F2 D L D2 U' B' U2
D2 F U2 B2 L' R' U'
D2 F U2 B2 R' L' U'
F2 D L' U D' F B2
F2 D L' U D' B2 F
F2 D L' U F D' B2
F' D L' F' L2 U F2
F2 D L' D' U F B2
F2 D L' D' U B2 F
L F U2 L2 B' L U'
F2 D R L U' B' U2
D2 F D2 F2 L R U
D2 F D2 F2 R L U
F2 D R' L U' B' U2
L F D' R F U F2
L F D' F R U F'
F2 D R2 L U' B' U2
L F D2 F U2 L' U'
L F D2 F' R F2 U
L F B R' F B' U
L F B R' B' F U
D' F' L R U L F'
D' F' L R U F' L
D2 F' L R U D L2
D2 F' L R U2 B2 U'
D2 F' L R D U L2
D2 F' L R D2 F2 U
D2 F' L D R U L2
R' F' L D2 F' R U
D2 F' L D2 R F2 U
D F' L U D2 L2 F
D F' L U' R2 B' U2
R2 F' L D2 F' R U
D F' L U' B' R2 U2
D F' L D2 U L2 F
R F' L D2 F' R U
F' D F' L U' B' U2
L' F' L2 D2 F' R U
D2 F' R L U D L2
D' F' R L U L F'
D' F' R L U F' L
D2 F' R L U2 B2 U'
D2 F' R L D U L2
D2 F' R L D2 F2 U
F D F L U' B' U2
D2 F' R U2 B2 R' U'
D2 F' R D L U L
D2 F' R D2 L F2 U
D2 F' R D2 F2 L U
F' D' L R U F' L'
F2 D' L R U D F'
F2 D' L R U D' F'
F2 D' L R U D2 F'
F2 D' L R U F' D
F2 D' L R U F' D'
F2 D' L R U F' D2
F2 D' L R D U F'
F2 D' L R D' U F'
F2 D' L R D2 U F'
F2 D' L R' U' B U2
F' D' L D' F' R U
F2 D' L U R F' R'
F' D' L F' R U F'
D2 F' D L R U L
D2 F' D R L U L
F2 D' L2 D2 L' U F
F' D' R L U F' L'
R' F' D2 L F' R U
D2 F' D2 L R F2 U
F2 D' R L U D F'
F2 D' R L U D' F'
F2 D' R L U D2 F'
F2 D' R L U F' D
F2 D' R L U F' D'
F2 D' R L U F' D2
F2 D' R L D U F'
F2 D' R L D' U F'
F2 D' R L D2 U F'
D2 F' D2 R L F2 U
D2 F' D2 R F2 L U
F2 D' R D L U F'
F2 D' R D' L U F'
R' F' D2 F' L R U
R' F' D2 F' R L U
F2 D' R D2 L U F'
F2 D' R' L U' B U2
L F' D' R U F' L'
R2 F' D2 L F' R U
L F' D' F' R U F'
R2 F' D2 F' L R U
R2 F' D2 F' R L U
F D' R F L U F2
R F' D2 L F' R U
L F' D2 F' R U D
L F' D2 F' R U D'
L F' D2 F' R U D2
L F' D2 F' R D U
L F' D2 F' R D' U
L F' D2 F' R D2 U
L F' D2 F' D R U
L F' D2 F' D' R U
L F' D2 F' D2 R U
B D' R' B' U L2 B2
B D' R' B' U B2 L2
R F' D2 F' L R U
R F' D2 F' R L U
D' F2 L R U L F'
D' F2 L R U F' L
R' F2 L D' R U F'
R' F2 L B R' B' U
L' F2 L' D L' U F
D F2 L U D2 L2 F
R2 F2 L D' R U F'
D F2 L U' R2 B' U2
D F2 L U' B' R2 U2
D F2 L D2 U L2 F
R2 F2 L B R' B' U
R' F2 L2 D L' U F
L F2 L D L' U F
L' F2 L2 D' R U F'
F' D' F' L R U F'
U F2 L B R' U R
R F2 L D' R U F'
F' D' F' R L U F'
L' F2 L2 B R' B' U
D' F2 R L U L F'
D' F2 R L U F' L
R F2 L B R' B' U
F D' F L R U F'
F D' F R L U F'
R2 F2 L2 D L' U F
R F2 L2 D L' U F
L F2 R D' R U F'
L F2 R B R' B' U
L F2 R' D' R U F'
L F2 R' B R' B' U
L F2 R2 D' R U F'
L F2 R2 B R' B' U
L F2 U L D L' F
L F2 U R' D' R F'
F' D2 L F' R U D
F' D2 L F' R U D'
F' D2 L F' R U D2
F' D2 L F' R D U
F' D2 L F' R D' U
F' D2 L F' R D2 U
F' D2 L F' D R U
F' D2 L F' D' R U
F' D2 L F' D2 R U
L F2 U D L' F L
F2 D2 L D R U F'
L F2 U D' R F' R'
F2 D2 L F' R F U
R' F2 D L U' B' U2
D2 F2 D L U L F
L2 F2 U2 D' R U' F'
F' D2 L' F' L2 R U
F' D2 L' F' R L2 U
L F2 U' B U R' U
R' F2 D' L R U F'
L F2 U' B' U' L U'
R' F2 D' R L U F'
R2 F2 D L U' B' U2
L' F2 D' R U F' B2
L' F2 D' R U B2 F'
L F2 U2 D L' U' F
F2 D2 L2 D' L' U F
L F2 U2 B' L B U'
R2 F2 D' L R U F'
L2 F2 D' U2 R U' F'
R2 F2 D' R L U F'
R F2 D L U' B' U2
L F2 D U L' F L
L F2 D U2 L' U' F
R' F2 B R' B' L U
L F2 D' R U D F'
L F2 D' R U D' F'
L F2 D' R U D2 F'
L F2 D' R U F' D
L F2 D' R U F' D'
L F2 D' R U F' D2
L F2 D' R D U F'
L F2 D' R D' U F'
L F2 D' R D2 U F'
L F2 D' R' U' B U2
R F2 D' L R U F'
L F2 D' U R F' R'
L' F2 B R' B' L2 U
R F2 D' R L U F'
R2 F2 B R' B' L U
L F2 D2 F' R F U
L F2 B R B' R2 U
L F2 B R' D B' U
L F2 B R' D' B' U
L F2 B R' D2 B' U
L F2 B R' B' U D
L F2 B R' B' U D'
L F2 B R' B' U D2
L F2 B R' B' D U
L F2 B R' B' D' U
L F2 B R' B' D2 U
L F2 B R2 B' R U
L F2 B D R' B' U
L F2 B D' R' B' U
R F2 B R' B' L U
L F2 B D2 R' B' U
F' D2 F' L R U D
F' D2 F' L R U D'
F' D2 F' L R U D2
F' D2 F' L R D U
F' D2 F' L R D' U
F' D2 F' L R D2 U
F' D2 F' L D R U
F' D2 F' L D' R U
F' D2 F' L D2 R U
F' D2 F' R L U D
F' D2 F' R L U D'
F' D2 F' R L U D2
F' D2 F' R L D U
F' D2 F' R L D' U
F' D2 F' R L D2 U
F' D2 F' R D L U
F' D2 F' R D' L U
F' D2 F' R D2 L U
F2 D2 F' R F L U
F' D2 F' D L R U
F' D2 F' D R L U
F' D2 F' D' L R U
F D2 F L U D F2
F' D2 F' D' R L U
F D2 F L U2 L2 U'
F D2 F L D U F2
F D2 F L D2 R2 U
F' D2 F' D2 L R U
F' D2 F' D2 R L U
F D2 F' L R F2 U
F D2 F' R L F2 U
F D2 F' R F2 L U
R' B R' F2 B' L U
R' B R' B' L F2 U
R' B R' B' F2 L U
L' B R' F2 B' L2 U
L' B R' B' L2 F2 U
L' B R' B' F2 L2 U
L2 B R' B' L' F2 U
L B R F2 R2 B' U
L B R F2 B' R2 U
L B R B' R2 F2 U
L B R B' F2 R2 U
R2 B R' F2 B' L U
R2 B R' B' L F2 U
R2 B R' B' F2 L U
L B R' D' B' U L2
L B R' F2 D B' U
L B R' F2 D' B' U
L B R' F2 D2 B' U
L B R' F2 B' U D
L B R' F2 B' U D'
L B R' F2 B' U D2
L B R' F2 B' D U
L B R' F2 B' D' U
L B R' F2 B' D2 U
L B R' B' U D' L2
L B R' B' D' U L2
L B R' B' F2 U D
L B R' B' F2 U D'
L B R' B' F2 U D2
L B R' B' F2 D U
L B R' B' F2 D' U
L B R' B' F2 D2 U
R B R' F2 B' L U
R B R' B' L F2 U
R B R' B' F2 L U
L B R2 B' R F2 U
F2 B R B' L R2 U
F2 B R B' R2 L U
L B D' R' B' U L2
F2 B R' B' L U D
F2 B R' B' L U D'
F2 B R' B' L U D2
F2 B R' B' L D U
F2 B R' B' L D' U
F2 B R' B' L D2 U
F2 B R' B' D L U
F2 B R' B' D' L U
F2 B R' B' D2 L U
B F R' F B' L U
B F R' B' F L U
F2 B R2 B' L R U
R' B F2 R' B' L U
F2 B R2 B' R L U
F B R' F B' L U
L' B F2 R' B' L2 U
F B R' B' F L U
L B F R' F B' U
L B F R' B' F U
R2 B F2 R' B' L U
L B F2 R B' R2 U
L B F2 R' D B' U
L B F2 R' D' B' U
L B F2 R' D2 B' U
L B F2 R' B' U D
L B F2 R' B' U D'
L B F2 R' B' U D2
L B F2 R' B' D U
L B F2 R' B' D' U
L B F2 R' B' D2 U
L B F2 R2 B' R U
L B F2 D R' B' U
L B F2 D' R' B' U
L B F2 D2 R' B' U
R B F2 R' B' L U
L' B' L2 F2 B R U
L' B' L2 B F2 R U
F2 B D' R' B' U B2
B F2 R B' L R2 U
B F2 R B' R2 L U
B F2 R' B' L U D
B F2 R' B' L U D'
B F2 R' B' L U D2
B F2 R' B' L D U
B F2 R' B' L D' U
B F2 R' B' L D2 U
B F2 R' B' D L U
B F2 R' B' D' L U
B F2 R' B' D2 L U
B F2 R2 B' L R U
B F2 R2 B' R L U
B F2 D' R' B' U B2
