D' L' R2 F2 B U'
D' L' R2 B F2 U'
R2 U L' B U' B
D L2 F' B2 R' U
D L2 B2 F' R' U
R2 U B L' U' B
L' U2 F' U R2 B2
L' U2 F' U B2 R2
D' R2 L' F2 B U'
D' R2 L' B F2 U'
B2 R2 U L' B U'
B2 R2 U B L' U'
D' R2 B L' F2 U'
L' D' R2 F2 B U'
L' D' R2 B F2 U'
R2 B2 U B' L' U'
D' R2 L' B F2 D2 U'
B2 R2 L2 U L B U'
L' U2 F' L U R2 B2
L' U2 F' L U B2 R2
L' U2 F' L' U R2 B2
L' U2 F' L' U B2 R2
D' R2 L2 F2 L B U'
L' U2 F' L2 U R2 B2
L' U2 F' L2 U B2 R2
L' U2 F' U R B2 R
L' U2 F' U R2 B2 D
L' U2 F' U R2 B2 D'
L' U2 F' U R2 B2 D2
L' U2 F' U B' R2 B'
L' U2 F' U B2 R2 D
L' U2 F' U B2 R2 D'
L' U2 F' U B2 R2 D2
U' R2 U L' B U' B
L' U2 F' D L2 B2 U
L' U2 F' D B2 L2 U
B2 R2 U L B L2 U'
B2 R2 U L' D B U'
B2 R2 U L' D' B U'
B2 R2 U L' D2 B U'
B2 R2 U L' B U' D
B2 R2 U L' B U' D'
B2 R2 U L' B U' D2
B2 R2 U L' B D U'
B2 R2 U L' B D' U'
B2 R2 U L' B D2 U'
L' U2 F' B U B R2
L' U2 F' B' U R2 B'
L' U2 F' B' U B' R2
U2 R2 U L' B U' B
B2 R2 U D L' B U'
B2 R2 U D B L' U'
B2 R2 U D' L' B U'
B2 R2 U D' B L' U'
B2 R2 U D2 L' B U'
B2 R2 U D2 B L' U'
B' R2 U B L' U' B2
U' R2 U B L' U' B
B2 R2 U B L' U' D
B2 R2 U B L' U' D'
B2 R2 U B L' U' D2
B2 R2 U B L' D U'
B2 R2 U B L' D' U'
B2 R2 U B L' D2 U'
B2 R2 U B D L' U'
B2 R2 U B D' L' U'
B2 R2 U B D2 L' U'
B2 R2 U B' L' B2 U'
U2 R2 U B L' U' B
U R2 U L' B U' B
F2 R2 U' R' F U B2
F2 R2 U' F R' U B2
U R2 U B L' U' B
L' U2 B F' U B R2
D' R2 D L' B U' R2
L' U2 B' F' U R2 B'
L' U2 B' F' U B' R2
B2 R2 D U L' B U'
B2 R2 D U B L' U'
D' R2 D B L' U' R2
B2 R2 D' U L' B U'
B2 R2 D' U B L' U'
B2 R2 D2 U L' B U'
B2 R2 D2 U B L' U'
F2 R2 F R' U R B2
F2 R2 F R' U B2 R
L D L2 F' B2 U F'
L D L2 B2 F' U F'
D' R2 F2 B U2 R U
D' R2 B L F2 L2 U'
D' R2 B L' U' D R2
D' R2 B L' D U' R2
D' R2 B L' F2 U' D
D' R2 B L' F2 U' D'
D' R2 B L' F2 U' D2
D' R2 B L' F2 D U'
D' R2 B L' F2 D' U'
D' R2 B L' F2 D2 U'
D' R2 B L2 F2 L U'
D' R2 B D L' U' R2
D' R2 B F2 U2 R U
D' R2 B' L' F2 B2 U'
D' R2 B' L' B2 F2 U'
B' R2 B' L D L2 F2
B' R2 B' L D F2 L2
B' R2 B' U L' B2 U'
B' R2 B' U B2 L' U'
U' R2 B2 U B' L' U'
U2 R2 B2 U B' L' U'
L' D U2 L2 F' B2 U
L' D U2 L2 B2 F' U
U R2 B2 U B' L' U'
L' D U2 F' L2 B2 U
L' D U2 F' B2 L2 U
L' D U2 B2 L2 F' U
L' D U2 B2 F' L2 U
D' U L' R2 F2 B U'
D' U L' R2 B F2 U'
B2 U L' U2 F' U R2
U' D L2 F' B2 R' U
U' D L2 B2 F' R' U
U2 D L2 F' B2 R' U
U2 D L2 B2 F' R' U
L D F' L2 B2 U F'
L2 D F' B2 L2 R' U
L2 D F' B2 R' L2 U
D U L2 F' B2 R' U
D U L2 B2 F' R' U
F' U R B2 D R F'
U D L2 F' B2 R' U
L D F' B2 L2 U F'
U D L2 B2 F' R' U
D' U R2 L' F2 B U'
D' U R2 L' B F2 U'
D' U R2 B L' F2 U'
L2 D B2 L2 F' R' U
L2 D B2 F' L2 R' U
L2 D B2 F' R' L2 U
L D B2 L2 F' U F'
L2 D' L R2 F2 B U'
L2 D' L R2 B F2 U'
L D B2 F' L2 U F'
R2 D' L' B R2 U' R2
L' D' R' F2 R' B U'
L' D' R2 D B U' R2
L2 D' R2 L F2 B U'
L2 D' R2 L B F2 U'
L' D' R2 F2 D B U'
L' D' R2 F2 D' B U'
L' D' R2 F2 D2 B U'
L' D' R2 F2 B U' D
L' D' R2 F2 B U' D'
L' D' R2 F2 B U' D2
L' D' R2 F2 B D U'
L' D' R2 F2 B D' U'
L' D' R2 F2 B D2 U'
L' D' R2 B U' D R2
L' D' R2 B D U' R2
L' D' R2 B F2 U' D
L' D' R2 B F2 U' D'
L' D' R2 B F2 U' D2
L' D' R2 B F2 D U'
L' D' R2 B F2 D' U'
L' D' R2 B F2 D2 U'
U' D' L' R2 F2 B U'
D' U' L' R2 F2 B U'
U' D' L' R2 B F2 U'
D' U' L' R2 B F2 U'
L2 D' R2 F2 L B U'
U2 D' L' R2 F2 B U'
U2 D' L' R2 B F2 U'
F' U B2 R D R F'
R2 D' U L' B R2 U'
R2 D' U B L' R2 U'
R2 D' U B R2 L' U'
U D' L' R2 F2 B U'
U D' L' R2 B F2 U'
D U' L2 F' B2 R' U
D U' L2 B2 F' R' U
D' U' R2 L' F2 B U'
U' D' R2 L' F2 B U'
U' D' R2 L' B F2 U'
D' U' R2 L' B F2 U'
D' U' R2 B L' F2 U'
U' D' R2 B L' F2 U'
U2 D' R2 L' F2 B U'
U2 D' R2 L' B F2 U'
L' D' F2 R2 U2 F U
U2 D' R2 B L' F2 U'
U D' R2 L' F2 B U'
U D' R2 L' B F2 U'
L' D' B R2 F2 B U'
L' D' B R2 B F2 U'
U D' R2 B L' F2 U'
R2 D' B L' R2 U' R2
R2 D' B R2 L' U' R2
L' D' B' R2 F2 B U'
L' D' B' R2 B F2 U'
L' D' B2 R2 F2 B U'
L' D' B2 R2 B F2 U'
D' U2 L' R2 F2 B U'
D' U2 L' R2 B F2 U'
D U2 L2 F' B2 R' U
D U2 L2 B2 F' R' U
D' U2 R2 L' F2 B U'
D' U2 R2 L' B F2 U'
D' U2 R2 B L' F2 U'
F' U2 F L' U' R2 B2
F' U2 F L' U' B2 R2
L' F U' R2 B2 D' L2
L' F U' B2 R2 D' L2
L' F U2 F2 U R2 B2
L' F U2 F2 U B2 R2
F' D L2 R B2 U F'
L' F D' R2 F2 U' L2
F' D L2 B2 R U F'
F' D R L2 B2 U F'
L' F D' F2 R2 U' L2
F2 D R F L2 B2 U
F2 D R F B2 L2 U
F' D R B2 L2 U F'
F2 D R B2 F L2 U
F' D R' B2 L2 U F
L' F' R U' R B2 L
L' F' U R2 B2 D2 F2
F' D B2 L2 R U F'
F' D B2 R L2 U F'
L' F' U B' R2 F' B'
L' F' U B' R2 B' F'
L' F' U B2 R2 D2 F2
F2 D B2 R F L2 U
L' F' U' R B2 L R
L' F' U' R B2 R L
L' F' U' R2 B2 D2 L2
L' F' U' B2 R2 D2 L2
L F' U R2 B2 D F2
L2 F' U2 L U' R2 B2
L2 F' U2 L U' B2 R2
L F' U B2 R2 D F2
L F' U2 L2 U' R2 B2
L F' U2 L2 U' B2 R2
L2 F' D B2 L2 R' U
L2 F' D B2 R' L2 U
L F' D L2 B2 U F2
L F' D B2 L2 U F2
L' F' B' U B' R2 F'
R' F2 R F' U R2 B2
R' F2 R F' U B2 R2
F2 D' F2 L' R2 B U'
F2 D' F2 R2 L' B U'
F2 D' F2 R2 B L' U'
L F2 L2 B' U' R2 B'
L F2 L2 B' U' B' R2
D F2 R F L2 B2 U
D F2 R F B2 L2 U
D' F2 R2 U2 R' F U
D' F2 R2 U2 F R' U
D F2 R B2 F L2 U
L' F2 U2 F U R2 B2
L' F2 U2 F U B2 R2
L' F2 D' F2 R2 B U'
D F2 B2 R F L2 U
D' B L' R2 F2 B U'
D' B L' R2 B F2 U'
R2 B L' R U' R' B
R2 B L' R2 U' R2 B
R B L' U' B L R
R B L' U' B R L
R2 B R L' U' R' B
D' B R2 L' F2 B U'
D' B R2 L' B F2 U'
D' B R2 B L' F2 U'
R2 B R2 L' U' R2 B
L' B U2 F' U B R2
D' B' L' R2 F2 B U'
D' B' L' R2 B F2 U'
D' B' R2 L' F2 B U'
D' B' R2 L' B F2 U'
D' B' R2 B L' F2 U'
L' B' U' R2 B' D L2
L B' R2 B' D L2 F2
L B' R2 B' D F2 L2
R2 B' U B2 L' U' B
L' B' U2 F' U R2 B'
L' B' U2 F' U B' R2
L' B' F' U B' R2 F'
D' B2 L' R2 F2 B U'
D' B2 L' R2 B F2 U'
D B2 L2 F' U2 L U'
U' B2 R2 U L' B U'
U' B2 R2 U B L' U'
D' B2 R2 L' F2 B U'
D' B2 R2 L' B F2 U'
D' B2 R2 B L' F2 U'
R B2 R U L' B U'
R B2 R U B L' U'
U2 B2 R2 U L' B U'
U2 B2 R2 U B L' U'
L B2 R2 U L2 B U'
L B2 R2 U B L2 U'
U B2 R2 U L' B U'
U B2 R2 U B L' U'
L' B2 U' F' U R2 F
L' B2 U' F' U F R2
R2 B2 U D B' L' U'
R2 B2 U D' B' L' U'
R2 B2 U D2 B' L' U'
R2 B2 U B L' B2 U'
B2 F2 R2 U' R' F U
B2 F2 R2 U' F R' U
R2 B2 U B' L' U' D
R2 B2 U B' L' U' D'
R2 B2 U B' L' U' D2
R2 B2 U B' L' D U'
R2 B2 U B' L' D' U'
R2 B2 U B' L' D2 U'
R2 B2 U B' D L' U'
R2 B2 U B' D' L' U'
R2 B2 U B' D2 L' U'
R2 B2 U B2 L' B U'
F2 B2 R2 U' R' F U
F2 B2 R2 U' F R' U
L2 B2 U' F' R' U R'
R2 B2 D U B' L' U'
R2 B2 D' U B' L' U'
R2 B2 D2 U B' L' U'
D B2 F2 R F L2 U
