F' L' U F2 R
F' L' R U F2 R
F' L' R' U F2 R
F' L' R2 U F2 R
F' L' U R F2 R
F' L' U R' F2 R
F' L' U R2 F2 R
F' L' U F2 R D
F' L' U F2 R D'
F' L' U F2 R D2
F' L' U F2 D R
F' L' U F2 D' R
F' L' U F2 D2 R
F' L' U' L' U2 F2
F' L' B U F2 R
F' L' B' U F2 R
F' L' B2 U F2 R
F' R L' U F2 R
F' R' L' U F2 R
F' R2 L' U F2 R
D2 F' L' U R2 F2
D2 F' L' U F2 R2
D' F' L' B2 U F2
D' F' B2 L' U F2
F' B L' U F2 R
F' B' L' U F2 R
B' F' L' U F2 R
B2 F' L' U F2 R
B F' L' U F2 R
F' B2 L' U F2 R
D' B2 F' L' U F2
F' R' L' B2 U F2 R
F' R' B L' U F2 R
F' R' B' L' U F2 R
F' R' B2 L' U F2 R
F' R2 L' U R F2 R
F' R2 L' U R' F2 R
F' R2 L' U R2 F2 R
F' R2 L' U F2 R D
F' R2 L' U F2 R D'
F' R2 L' U F2 R D2
F' R2 L' U F2 D R
F' R2 L' U F2 D' R
F' R2 L' U F2 D2 R
F' R2 L' U' L' U2 F2
F' R2 L' B U F2 R
F' R2 L' B' U F2 R
F' R2 L' B2 U F2 R
D2 R2 F U B R U'
F' R2 B L' U F2 R
F' R2 B' L' U F2 R
F' R2 B2 L' U F2 R
F' U L' U F2 L R
F' U L' U F2 R L
F U R D2 B2 U' R2
F U D R F2 U' L'
F2 U F L' U F2 R
F U D2 R B2 U' R
F U D2 B2 R U' R
F' U' L2 U L U F2
F U' L' F2 L' U R
R' D' B2 U F L' B'
F2 U' F L' U F2 R
F U' F2 L' U' L' U2
F U' F2 D' L' B2 U
F U' F2 D' B2 L' U
F U' F2 D2 L' U R2
F U2 L2 U F2 L' U
F2 U2 F L' U F2 R
D2 F R' D R' B2 L
D' F U' F2 L' B2 U
D' F U' F2 B2 L' U
D2 F U' F2 L' U R2
D' F U' B2 F2 L' U
F' D L' R2 U D R2
F' D L' R2 U2 F2 U'
F' D L' R2 D U R2
F' D L' R2 D2 B2 U
F' D R2 L' U D R2
F' D R2 L' U2 F2 U'
F' D R2 L' D U R2
F' D R2 L' D2 B2 U
F D R F2 U' L' F2
F' D R2 U2 F2 R U'
F' D R2 D L' U R2
F' D R2 D2 L' B2 U
F' D R2 D2 B2 L' U
F D R' D B2 L R2
F D R' D B2 R2 L
L2 F B' U F2 L' U
D' F' L B2 L2 U F2
F D U R F2 U' L'
D2 F' L' R U R F2
D' F' L' R B2 U F2
D2 F' L' R' U R' F2
D2 F' L' R' U F2 R'
D' F' L' R' B2 U F2
D' F' L' R2 B2 U F2
D2 F' L' U R' F2 R'
D2 F' L' U R2 F2 D
D2 F' L' U R2 F2 D'
D2 F' L' U R2 F2 D2
D2 F' L' U F R2 F
D' F' L' U F2 D' R2
D2 F' L' U F2 R2 D
D2 F' L' U F2 R2 D'
D2 F' L' U F2 R2 D2
D2 F' L' D R2 B2 U
D2 F' L' D B2 R2 U
D2 F' L' B U R2 F2
D2 F' L' B U F2 R2
D2 F' L' B' U R2 F2
D2 F' L' B' U F2 R2
D' F' L' B2 R U F2
D' F' L' B2 R' U F2
D' F' L' B2 R2 U F2
D2 F' L' B2 U R2 F2
D2 F' L' B2 U F2 R2
D' F' L' B2 U F2 D
D' F' L' B2 U F2 D'
D' F' L' B2 U F2 D2
D' F' L' B2 D R2 U
U2 F' L' U F2 R B
L2 F' L' U' L B' U2
D F' L' R2 B U F2
D F' L' U2 F' U' F'
D F' L' D R2 B U
U F' L' U F2 R B'
U F' L' U F2 B' R
D2 F' R L' U R F2
U F' L' U B' F2 R
D' F' R L' B2 U F2
L F' L' U D2 R2 F
L F' L' U D2 F R2
L F' L' U F D2 R2
L F' L' U' L2 B' U2
L F' L' D' B2 U F
L F' L' D2 U R2 F
L F' L' D2 U F R2
D' F' R B2 L' U F2
D2 F' R' L' U R' F2
D2 F' R' L' U F2 R'
D' F' R' L' B2 U F2
D' F' R' B2 L' U F2
D' F' R2 L' B2 U F2
D' F' R2 B2 L' U F2
D F' R2 L' B U F2
D F' R2 B L' U F2
F' D' L B2 L2 R' U
F' D' L B2 R' L2 U
D2 F' D L' R2 B2 U
D2 F' D L' B2 R2 U
D2 F' D R2 L' B2 U
D2 F' D R2 B2 L' U
F' D' L' B2 U2 L' U'
D2 F' D B2 L' R2 U
D2 F' D B2 R2 L' U
D F' D L' R2 B U
D F' D R2 L' B U
D F' D R2 B L' U
D2 F' B L' U R2 F2
D2 F' B L' U F2 R2
D' F' B L' B U F2
D2 F' B' L' U R2 F2
D2 F' B' L' U F2 R2
D2 F' B2 L' U R2 F2
D2 F' B2 L' U F2 R2
D' F' B2 L' R U F2
D' F' B2 L' R' U F2
D' F' B2 L' R2 U F2
D' F' B2 L' U F2 D
D' F' B2 L' U F2 D'
D' F' B2 L' U F2 D2
D' F' B2 L' D R2 U
D' F' B2 R L' U F2
D' F' B2 R' L' U F2
D' F' B2 R2 L' U F2
L2 F' B' U L' U L
D' F' B2 D L' R2 U
D' F' B2 D R2 L' U
L F' B2 L' U R' F
L F' B2 L' U F R'
B' D' F' L' B2 U F2
B2 D' F' L' B2 U F2
B' D' F' B2 L' U F2
B2 D' F' B2 L' U F2
B D' F' L' B2 U F2
B D' F' B2 L' U F2
F' D' B2 L' U2 L' U'
B' D' B2 F' L' U F2
F' D' B2 D L' U F2
F' D' B2 D2 L' R2 U
F' D' B2 D2 R2 L' U
B2 D' B2 F' L' U F2
B D' B2 F' L' U F2
F' D2 L' U R2 D2 F2
F' D2 L' U' B2 U2 R2
F' D2 L' B U R2 F'
D F2 U2 F L' U F2
F D2 R' D L2 R' B2
F D2 R' D R' L2 B2
F D2 R' D R' B2 L2
L2 F2 B' U F L' U
F D2 R2 U R' B2 U'
F D2 U R B2 U' R
F D2 U B2 R U' R
B' D2 F' L' U R2 F2
B' D2 F' L' U F2 R2
B2 D2 F' L' U R2 F2
B2 D2 F' L' U F2 R2
B D2 F' L' U R2 F2
B D2 F' L' U F2 R2
F' D2 B L' U R2 F'
F' B L' R U F2 R
F' B L' R' U F2 R
F' B L' R2 U F2 R
F' B L' U R F2 R
F' B L' U R' F2 R
F' B L' U R2 F2 R
F' B L' U F2 R D
F' B L' U F2 R D'
F' B L' U F2 R D2
F' B L' U F2 D R
F' B L' U F2 D' R
F' B L' U F2 D2 R
F' B L' U' L' U2 F2
F' B L' B U F2 R
F' B L' B' U F2 R
F' B L' B2 U F2 R
F' B R L' U F2 R
F' B R' L' U F2 R
F' B R2 L' U F2 R
D2 B F' L' U R2 F2
D2 B F' L' U F2 R2
D' B F' L' B U F2
B' F' L' R U F2 R
B' F' L' R' U F2 R
B' F' L' R2 U F2 R
B' F' L' U R F2 R
B' F' L' U R' F2 R
B' F' L' U R2 F2 R
B' F' L' U F2 R D
B' F' L' U F2 R D'
B' F' L' U F2 R D2
B' F' L' U F2 D R
B' F' L' U F2 D' R
B' F' L' U F2 D2 R
B' F' L' U' L' U2 F2
F' B' L' R U F2 R
F' B' L' R' U F2 R
F' B' L' R2 U F2 R
F' B' L' U R F2 R
F' B' L' U R' F2 R
F' B' L' U R2 F2 R
B2 F' L' R U F2 R
F' B' L' U F2 R D
F' B' L' U F2 R D'
F' B' L' U F2 R D2
F' B' L' U F2 D R
F' B' L' U F2 D' R
F' B' L' U F2 D2 R
F' B' L' U' L' U2 F2
B2 F' L' R' U F2 R
B2 F' L' R2 U F2 R
B2 F' L' U R F2 R
B2 F' L' U R' F2 R
B2 F' L' U R2 F2 R
B' F' L' B U F2 R
B2 F' L' U F2 R D
B2 F' L' U F2 R D'
B2 F' L' U F2 R D2
B2 F' L' U F2 D R
B2 F' L' U F2 D' R
B2 F' L' U F2 D2 R
B2 F' L' U' L' U2 F2
B' F' L' B' U F2 R
B' F' L' B2 U F2 R
L2 B' U L' F' U B'
F' B' L' B U F2 R
F' B' L' B' U F2 R
F' B' L' B2 U F2 R
B2 F' L' B U F2 R
B2 F' L' B' U F2 R
B2 F' L' B2 U F2 R
B F' L' R U F2 R
L2 B' U F' L' U B'
B F' L' R' U F2 R
B F' L' R2 U F2 R
B F' L' U R F2 R
B F' L' U R' F2 R
B F' L' U R2 F2 R
B F' L' U F2 R D
B F' L' U F2 R D'
B F' L' U F2 R D2
B F' L' U F2 D R
B F' L' U F2 D' R
B F' L' U F2 D2 R
B F' L' U' L' U2 F2
B' F' R L' U F2 R
L2 B' U' R U' B L
B F' L' B U F2 R
F' B' R L' U F2 R
B F' L' B' U F2 R
B F' L' B2 U F2 R
B2 F' R L' U F2 R
B' F' R' L' U F2 R
F' B' R' L' U F2 R
B F' R L' U F2 R
B2 F' R' L' U F2 R
B' F' R2 L' U F2 R
F' B' R2 L' U F2 R
B F' R' L' U F2 R
B2 F' R2 L' U F2 R
B F' R2 L' U F2 R
D2 B' F' L' U R2 F2
D2 B' F' L' U F2 R2
L2 B' F U F2 L' U
L2 B' F' U L' U L
L2 B' F2 U F L' U
D' B2 L F' L' U F
F' B2 L' R U F2 R
F' B2 L' R' U F2 R
F' B2 L' R2 U F2 R
F' B2 L' U R F2 R
F' B2 L' U R' F2 R
F' B2 L' U R2 F2 R
F' B2 L' U F2 R D
F' B2 L' U F2 R D'
F' B2 L' U F2 R D2
F' B2 L' U F2 D R
F' B2 L' U F2 D' R
F' B2 L' U F2 D2 R
F' B2 L' U' L' U2 F2
F' B2 L' B U F2 R
F' B2 L' B' U F2 R
F' B2 L' B2 U F2 R
F' B2 R L' U F2 R
F' B2 R' L' U F2 R
F' B2 R2 L' U F2 R
D' B2 D F' L' U F2
D' B2 D' F' L' U F2
D' B2 D2 F' L' U F2
D2 B2 F' L' U R2 F2
D2 B2 F' L' U F2 R2
D' B2 F' L' R U F2
D' B2 F' L' R' U F2
D' B2 F' L' R2 U F2
D' B2 F' L' U F2 D
D' B2 F' L' U F2 D'
D' B2 F' L' U F2 D2
D' B2 F' L' D R2 U
D' B2 F' R L' U F2
D' B2 F' R' L' U F2
D' B2 F' R2 L' U F2
D' B2 F' D L' R2 U
D' B2 F' D R2 L' U
L B2 F' L' U R' F
L B2 F' L' U F R'
