B L' R2 F2 U' F'
F2 L' B R2 U' F
B R2 L' F2 U' F'
B R2 F2 L' U' F
L' B R2 F2 U' F'
F2 B L' R2 U' F
F2 B R2 L' U' F
B F2 L' R2 U' F
B F2 R2 L' U' F
U2 B F2 L' R2 U' F
F B R2 D F L' U'
L2 B F2 R2 L U' F
U2 B F2 R2 L' U' F
F B R2 F L' U' F
U B F2 L' R2 U' F
U B F2 R2 L' U' F
L B F2 R2 U B2 U2
L B F2 R2 U' D2 F2
L B F2 R2 D L2 U'
L B F2 R2 D2 U' F2
L B F2 D L2 U' B2
B F D F L' U' B2
F B D F L' U' B2
L' B' R2 F2 B2 U' F'
L' B' R2 B2 F2 U' F'
F2 B' L B2 R2 U' F'
F2 B' L' R2 B2 U' F
F2 B' L' B2 R2 U' F
B F' L' F' R2 U' F2
L' B' D L2 B2 R2 F'
L' B' D R2 F L2 B2
L' B' D R2 F B2 L2
L' B' D R2 B2 F L2
L B' U' R2 F2 B2 U'
L B' U' R2 B2 F2 U'
L' B' D F L2 R2 B2
L' B' D F L2 B2 R2
L' B' D F R2 L2 B2
L' B' D F R2 B2 L2
L' B' D F B2 L2 R2
L' B' D F B2 R2 L2
L B' U' F2 R2 B2 U'
L B' U' F2 B2 R2 U'
L' B' D B2 R2 F L2
L' B' D B2 F L2 R2
L B' U' B2 R2 F2 U'
L' B' D B2 F R2 L2
L B' U' B2 F2 R2 U'
L B' U2 D L2 R2 B2
L B' U2 D L2 B2 R2
L B' U2 D R2 L2 B2
L B' U2 D R2 B2 L2
L B' U2 D B2 L2 R2
L B' U2 D B2 R2 L2
F2 B' R2 L' B2 U' F
F2 B' R2 B2 L' U' F
L B' D U2 L2 R2 B2
L B' D U2 L2 B2 R2
L B' D U2 R2 L2 B2
L B' D U2 R2 B2 L2
L B' D U2 B2 L2 R2
L B' D U2 B2 R2 L2
L B' D' L2 R2 F2 U2
L B' D' L2 F2 R2 U2
L B' D' R2 L2 F2 U2
L B' D' R2 F2 L2 U2
L B' D' F2 L2 R2 U2
L B' D' F2 R2 L2 U2
D2 B2 L2 R F U F2
D2 B2 L2 F R U F'
D2 B2 R L2 F U F2
B' F2 L B2 R2 U' F'
B' F2 L' R2 B2 U' F
B F2 L R2 U B' U2
B' F2 L' B2 R2 U' F
B F2 L' R2 U' D F
B F2 L' R2 U' D' F
B F2 L' R2 U' D2 F
B F2 L' R2 U' F D
B F2 L' R2 U' F D'
B F2 L' R2 U' F D2
B F2 L' R2 D U' F
B F2 L' R2 D' U' F
B F2 L' R2 D2 U' F
B F2 L' U' D F B2
B F2 L' U' D B2 F
B F2 L' U' F D B2
B F2 L' D U' F B2
B F2 L' D U' B2 F
L' B2 R2 F2 B' U' F'
L' B2 R2 B' F2 U' F'
B' F2 R2 L' B2 U' F
B F2 R D2 R U' F'
L B2 R2 F2 B' U' F
B' F2 R2 B2 L' U' F
L B2 R2 B' F2 U' F
B2 F2 R2 D' B' L U'
F2 B2 R2 D' B' L U'
B2 F2 R2 B' L' U' F
B F2 R2 L U B' U2
F2 B2 R2 B' L' U' F
B F2 R2 L' U' D F
B F2 R2 L' U' D' F
B F2 R2 L' U' D2 F
B F2 R2 L' U' F D
B F2 R2 L' U' F D'
B F2 R2 L' U' F D2
B F2 R2 L' D U' F
B F2 R2 L' D' U' F
B F2 R2 L' D2 U' F
B F2 R2 U' L' F L
L B2 F2 R2 B' U' F'
