F' R2 D' B' L
B' L' F' R2 D' L2
F' R D' R B' L
F' R D' B' L R
F' R D' B' R L
F' R' D' R' B' L
F2 R2 D F B' L'
F2 R2 D B' F L'
F' R2 D' B' L D
F' R2 D' B' L D'
F' R2 D' B' L D2
F' R2 D' B' D L
F' R2 D' B' D' L
F' R2 D' B' D2 L
F2 R2 D' F B' L
F2 R2 D' B' F L
F2 R2 F D' B' L
F R2 F2 D' B' L
F2 R2 B' D F L'
R2 D' B' L D2 F2
R2 D' B' D2 L F2
R2 D' B' D2 F2 L
U' F' R2 D' B' L
U2 F' R2 D' B' L
U F' R2 D' B' L
F' D' B' L D R2
F' D' B' D L R2
F' D' B' D R2 L
D' F2 U' F B' L
D' F2 U' B' F L
D' B' L D F' R2
D' B' D L F' R2
D' B' D F' L R2
D' B' D F' R2 L
F2 B' R2 D F L'
B' F2 R2 D F L'
F' R2 D' B2 L2 B L
F' R2 D' B2 D B L
F' R2 D' B2 D' B L
F' R2 D' B2 D2 B L
F2 R2 D' F' B' L F2
F2 R2 D' F2 B' L F'
F2 R2 D' B' D F L
F2 R2 D' B' D' F L
F2 R2 D' B' D2 F L
F2 R2 D' B' F L D
F2 R2 D' B' F L D'
F2 R2 D' B' F L D2
F2 R2 D' B' F D L
F2 R2 D' B' F D' L
F2 R2 D' B' F D2 L
F2 R2 D' B' F' L F2
F2 R2 D' B' F2 L F'
U2 R2 D' B' L D2 F2
U2 R2 D' B' D2 L F2
U2 R2 D' B' D2 F2 L
F R2 D' B' D L F2
F R2 D' B' D F2 L
F2 R2 D2 F D B' L
U R2 D' B' L D2 F2
U R2 D' B' D2 L F2
U R2 D' B' D2 F2 L
F2 R2 D2 B' D' F L'
F' R2 F D' F' B' L
F' R2 F D' B' L F'
F' R2 F D' B' F' L
F2 R2 F D' B' L D
F2 R2 F D' B' L D'
F2 R2 F D' B' L D2
F2 R2 F D' B' D L
F2 R2 F D' B' D' L
F2 R2 F D' B' D2 L
F' R2 F' D F B' L'
F R2 F D F B' L'
F' R2 F' D B' F L'
F R2 F D B' F L'
F' R2 F' D' F B' L
F' R2 F' D' B' F L
F R2 F D' F B' L
F R2 F D' B' F L
F' R2 F' B' D F L'
F R2 F B' D F L'
F R2 F' D' F' B' L
F R2 F' D' B' L F'
F R2 F' D' B' F' L
F2 R2 F2 D' F' B' L
F2 R2 F2 D' B' L F'
F2 R2 F2 D' B' F' L
F R2 F2 D' B' L D
F R2 F2 D' B' L D'
F R2 F2 D' B' L D2
F R2 F2 D' B' D L
F R2 F2 D' B' D' L
F R2 F2 D' B' D2 L
F' R2 B' L U B' U'
F' R2 B' L' U' F U
F' R2 B' D F L' F'
F' R2 B' D' B' L B
F' R2 B' F' D F L'
F2 R2 B' D F L' D
F2 R2 B' D F L' D'
F2 R2 B' D F L' D2
F2 R2 B' D F D L'
F2 R2 B' D F D' L'
F2 R2 B' D F D2 L'
F' R2 B2 L B D L2
F' R2 B2 D' B' L B2
F R2 B' F D F L'
F2 R2 B2 D F L' B
F2 R2 B2 D F B L'
F2 R2 B2 D B F L'
B R2 B2 D L2 F L'
B' U L B' U' F' R2
L' D F L' B2 U F2
L' D F B2 L' U F2
B' U L2 U' F' L' R2
B' U L2 U' F' R2 L'
R2 D F B' L' D2 F2
R2 D F B' D2 L' F2
R2 D F' B' D2 F2 L'
F2 U R2 D F B' L'
F2 U R2 D B' F L'
F2 U R2 D' F B' L
F2 U R2 D' B' F L
F2 U R2 F D' B' L
F2 U R2 B' D F L'
R2 D B' F L' D2 F2
R2 D B' F D2 L' F2
R2 D B' F' D2 F2 L'
L' D B2 F L' U F2
R2 D B2 L2 F L' B
R2 D B2 L2 F B L'
R2 D B2 L2 B F L'
F U R2 F2 D' B' L
F' U D' F2 U' B' L
D' U F2 U' F B' L
D' U F2 U' B' F L
F2 U F R2 D' B' L
D' U B' L D F' R2
D' U B' D L F' R2
D' U B' D F' L R2
D' U B' D F' R2 L
F U F2 R2 D' B' L
R D' R B' L D2 F2
R D' R B' D2 L F2
R D' R B' D2 F2 L
R D' R' F' R2 B' L
F2 U B' R2 D F L'
R D' R' F' B' L R2
R D' R' F' B' R2 L
R D' R' B' L F' R2
R2 D' R2 F' R2 B' L
R D' R' B' F' L R2
R2 D' R2 F' B' L R2
R D' R' B' F' R2 L
R2 D' R2 F' B' R2 L
R2 D' R2 B' L F' R2
R2 D' R2 B' F' L R2
R2 D' R2 B' F' R2 L
R2 D' U2 B R' U2 B2
R2 D' U2 B U2 B2 L
R D' U2 R B' L F
R D' U2 B' L R F
R D' U2 B' R L F
R2 D' F B' L D2 F2
R2 D' F B' D2 L F2
R2 D' F B' D2 F2 L
R2 D' F' B' L D2 F2
R2 D' F' B' D2 L F2
R2 D' F' B' D2 F2 L
R2 D' F2 B' L D2 F2
R2 D' F2 B' D2 L F2
R2 D' F2 B' D2 F2 L
R2 D' B R' U2 R B2
R2 D' B R' U2 B2 R
F' U' R2 D' F2 B' L
F' U' R2 D' B' L F2
F' U' R2 D' B' F2 L
D' U' F2 U' F B' L
U' D' F2 U' F B' L
D' U' F2 U' B' F L
U' D' F2 U' B' F L
F2 U' R2 D F B' L'
F2 U' R2 D B' F L'
R2 D' B' L U2 B2 U2
R2 D' B' L D2 F2 D
R2 D' B' L D2 F2 D'
R2 D' B' L D2 F2 D2
R2 D' B' L F D2 F2
R2 D' B' L F' D2 F2
R2 D' B' L F2 D2 F2
F2 U' R2 D' F B' L
F2 U' R2 D' B' F L
R2 D' B' L2 D2 L' F2
F2 U' R2 F D' B' L
F2 U' R2 B' D F L'
R2 D' B' U2 B2 R' U2
R2 D' B' D' L D' F2
U2 D' F2 U' F B' L
R2 D' B' D2 L F2 D
R2 D' B' D2 L F2 D'
R2 D' B' D2 L F2 D2
R2 D' B' D2 L' F2 L2
U2 D' F2 U' B' F L
R2 D' B' D2 F' L F'
R2 D' B' D2 F2 L D
R2 D' B' D2 F2 L D'
R2 D' B' D2 F2 L D2
R2 D' B' D2 F2 D L
R2 D' B' D2 F2 D' L
R2 D' B' D2 F2 D2 L
R2 D' B' F L D2 F2
R D' B' L R' F' R2
R2 D' B' F D2 L F2
R2 D' B' F D2 F2 L
R2 D' B' F' L D2 F2
R2 D' B' F' D2 L F2
R2 D' B' F' D2 F2 L
R2 D' B' F2 L D2 F2
R2 D' B' F2 D2 L F2
R2 D' B' F2 D2 F2 L
R2 D' B2 L B L F
R D' B' R' L F' R2
R D' B' R' F' L R2
R D' B' R' F' R2 L
R2 D' B2 L2 F B L
R2 D' B2 L2 B F L
U' D' B' L D F' R2
D' U' B' L D F' R2
F U' R2 F2 D' B' L
U D' F2 U' F B' L
U D' F2 U' B' F L
U' D' B' D L F' R2
D' U' B' D L F' R2
U' D' B' D F' L R2
U' D' B' D F' R2 L
D' U' B' D F' L R2
D' U' B' D F' R2 L
U2 D' B' L D F' R2
U2 D' B' D L F' R2
U2 D' B' D F' L R2
U2 D' B' D F' R2 L
U D' B' L D F' R2
F2 U' F R2 D' B' L
U D' B' D L F' R2
U D' B' D F' L R2
U D' B' D F' R2 L
F U' F2 R2 D' B' L
F2 U' B' R2 D F L'
D' U2 F2 U' F B' L
D' U2 F2 U' B' F L
D' U2 B' L D F' R2
D' U2 B' D L F' R2
D' U2 B' D F' L R2
D' U2 B' D F' R2 L
F2 U2 R2 D F B' L'
F2 U2 R2 D B' F L'
F2 U2 R2 D' F B' L
F2 U2 R2 D' B' F L
F2 U2 R2 F D' B' L
F2 U2 R2 B' D F L'
L' F L U R2 F2 B'
L' F L U R2 B' F2
L' F L U F2 R2 B'
L' F L U F2 B' R2
L' F L U B' R2 F2
L' F L U B' F2 R2
F U2 R2 F2 D' B' L
L' F L' U F2 R2 B
F2 U2 F R2 D' B' L
F U2 F2 R2 D' B' L
U' F R2 F2 D' B' L
F2 U2 B' R2 D F L'
U2 F R2 F2 D' B' L
U F R2 F2 D' B' L
R2 F D' B' L D2 F2
R2 F D' B' D2 L F2
R2 F D' B' D2 F2 L
L' F' L R2 D' B' L2
L' F' L R2 B' D' L2
D F B2 U L' F2 B
D F B2 U L' B F2
D F B2 U B L' F2
L' F' L B' R2 D' L2
L' F' L' R2 D' L2 B'
B' D F L' F2 D' R2
F2 D F D' R2 B' L'
F2 D F D' B' L' R2
F2 D F D' B' R2 L'
L F' L' R2 D' B' L
U' F' R D' R B' L
U' F' R D' B' L R
U' F' R D' B' R L
U2 F' R D' R B' L
U' F' R' D' R' B' L
U2 F' R D' B' L R
U2 F' R D' B' R L
B D F' D' R2 B2 L
L' F' R2 L D' B' L2
U2 F' R' D' R' B' L
L' F' R2 L B' D' L2
U' F' R2 D' B' L D
U' F' R2 D' B' L D'
U' F' R2 D' B' L D2
L' F' R2 L' D' L2 B'
U' F' R2 D' B' D L
U' F' R2 D' B' D' L
U' F' R2 D' B' D2 L
U F' R D' R B' L
U F' R D' B' L R
U F' R D' B' R L
D' F' R2 B' L D' R2
D' F' R2 B' D' L R2
D' F' R2 B' D' R2 L
U2 F' R2 D' B' L D
U2 F' R2 D' B' L D'
U2 F' R2 D' B' L D2
U2 F' R2 D' B' D L
U2 F' R2 D' B' D' L
U2 F' R2 D' B' D2 L
U F' R' D' R' B' L
D' F' U F' U' B' L
L F' R2 L' D' B' L
L F' R2 U B' R' U'
U F' R2 D' B' L D
U F' R2 D' B' L D'
U F' R2 D' B' L D2
U F' R2 D' B' D L
U F' R2 D' B' D' L
U F' R2 D' B' D2 L
F2 D B2 U F L' B
F2 D B2 U F B L'
F2 D B2 U B F L'
L F' U B' R' U' R'
D2 F' D B' L D R2
D2 F' D B' D L R2
D2 F' D B' D R2 L
U' F' D' B' L D R2
U' F' D' B' D L R2
U' F' D' B' D R2 L
D2 F' D2 R2 D' B' L
F' D' R B' L D R2
U2 F' D' B' L D R2
F' D' R B' D L R2
F' D' R B' D R2 L
U2 F' D' B' D L R2
U2 F' D' B' D R2 L
D F' D' R2 B2 L B
R2 F' D' B' L D2 F2
R2 F' D' B' D2 L F2
R2 F' D' B' D2 F2 L
D F' D' B R2 B2 L
F' D' R' B' L D R2
F' D' R' B' D L R2
F' D' R' B' D R2 L
U F' D' B' L D R2
U F' D' B' D L R2
U F' D' B' D R2 L
D' F' B' L U F' U'
D' F' B' U F' U' L
F' D' R2 B' L D R2
F' D' R2 B' D L R2
F' D' R2 B' D R2 L
F' D' U F2 U' B' L
D' F2 R U' F B' L
D' F2 R U' B' F L
F' D' F2 U' F2 B' L
F' D' F2 U' B' L F2
F' D' F2 U' B' F2 L
D' F2 R' U' F B' L
D' F2 R' U' B' F L
F2 D' F2 U' F' B' L
F2 D' F2 U' B' L F'
F2 D' F2 U' B' F' L
U' F2 R2 D F B' L'
U' F2 R2 D B' F L'
U' F2 R2 D' F B' L
U' F2 R2 D' B' F L
D' F2 R2 U' F B' L
D' F2 R2 U' B' F L
U' F2 R2 F D' B' L
U' F2 R2 B' D F L'
F' D' B' L R D R2
F' D' B' L R' D R2
F' D' B' L R2 D R2
F' D' B' L U F2 U'
F' D' B' L D R2 D
F' D' B' L D R2 D'
F' D' B' L D R2 D2
F' D' B' L2 D L' R2
F' D' B' L2 D R2 L'
F' D' B' R L D R2
F' D' B' R D L R2
F' D' B' R D R2 L
F' D' B' R' L D R2
F' D' B' R' D L R2
F' D' B' R' D R2 L
F' D' B' R2 L D R2
F' D' B' R2 D L R2
F' D' B' R2 D R2 L
F' D' B' U F2 U' L
U2 F2 R2 D F B' L'
U2 F2 R2 D B' F L'
U2 F2 R2 D' F B' L
U2 F2 R2 D' B' F L
F' D' B' D L R2 D
F' D' B' D L R2 D'
F' D' B' D L R2 D2
F' D' B' D R2 L D
F' D' B' D R2 L D'
F' D' B' D R2 L D2
F' D' B' D R2 D L
F' D' B' D R2 D' L
F' D' B' D R2 D2 L
U2 F2 R2 F D' B' L
F' D' B' D2 L D' R2
U2 F2 R2 B' D F L'
F2 D' B' D R2 F L
F2 D' B' D F L R2
F2 D' B' D F R2 L
L2 F2 U R2 F B L
L2 F2 U R2 B F L
F' D' B2 D B L R2
F' D' B2 D B R2 L
U F2 R2 D F B' L'
U F2 R2 D B' F L'
U F2 R2 D' F B' L
U F2 R2 D' B' F L
D' F2 U' D2 F B' L'
D' F2 U' D2 B' F L'
U F2 R2 F D' B' L
D' F2 U' F B' L D
D' F2 U' F B' L D'
D' F2 U' F B' L D2
D' F2 U' F B' D L
D' F2 U' F B' D' L
D' F2 U' F B' D2 L
D' F2 U' F' B' L F2
D' F2 U' F2 B' L F'
D' F2 U' B' D F L
U F2 R2 B' D F L'
D' F2 U' B' D' F L
D' F2 U' B' D2 F L
D' F2 U' B' F L D
D' F2 U' B' F L D'
D' F2 U' B' F L D2
D' F2 U' B' F D L
D' F2 U' B' F D' L
D' F2 U' B' F D2 L
D' F2 U' B' F' L F2
D' F2 U' B' F2 L F'
F D' B' D L R2 F2
F D' B' D L F2 R2
F D' B' D R2 L F2
F D' B' D R2 F2 L
F D' B' D F2 L R2
F D' B' D F2 R2 L
D' F2 D2 U' F B' L'
D' F2 D2 U' B' F L'
R2 F2 D' B' L D2 F2
R2 F2 D' B' D2 L F2
R2 F2 D' B' D2 F2 L
D' F2 B U' F B2 L
D' F2 B U' B2 F L
U' F2 B' R2 D F L'
U2 F2 B' R2 D F L'
U F2 B' R2 D F L'
B' F R2 F D F L'
F' B R2 B' D' B' L
F2 B R2 B2 D F L'
D' B F2 U' F B2 L
D' B F2 U' B2 F L
D' B' L R2 D R2 F'
D' B' L U F2 U' F
D' B' L D F R2 F2
D' B' L D F' R2 D
D' B' L D F' R2 D'
D' B' L D F' R2 D2
D' B' L D F2 R2 F
D' B' L D' F' D2 R2
D' B' L D2 F' D' R2
D' B' L F' U F' U'
U' B' L' F' R2 D' L2
D' B' L2 D L' F' R2
U2 B' L' F' R2 D' L2
L B' L' U' F' R2 B'
L B' L' U' F' B' R2
L B' L' U' B' F' R2
U B' L' F' R2 D' L2
B' F' L R2 U B' U'
D' B' R2 L D R2 F'
B' F' L U B' U' R2
F' B' L R2 U B' U'
D' B' R2 D L R2 F'
D' B' R2 D R2 L F'
D' B' R2 D R2 F' L
F' B' L U B' U' R2
B' F' L' R2 U' F U
B' F' L' U' F U R2
B2 F' L B R2 D L2
F' B' L' R2 U' F U
F' B' L' U' F U R2
D' B' U F2 U' F L
F2 B' R D R F L'
D' B' D L F R2 F2
D' B' D L F' R2 D
D' B' D L F' R2 D'
D' B' D L F' R2 D2
D' B' D L F2 R2 F
D' B' D L' F' L2 R2
D' B' D L' F' R2 L2
D' B' D F L R2 F2
D' B' D F L F2 R2
D' B' D F R2 L F2
D' B' D F R2 F2 L
D' B' D F' L R2 D
D' B' D F' L R2 D'
D' B' D F' L R2 D2
D' B' D F' R2 L D
D' B' D F' R2 L D'
D' B' D F' R2 L D2
D' B' D F' R2 D L
D' B' D F' R2 D' L
D' B' D F' R2 D2 L
D' B' D F2 R2 F L
B' F' R2 L U B' U'
B' F' R2 L' U' F U
F2 B' R' D R' F L'
F2 B' R' D F L' R'
F2 B' R' D F R' L'
B' F' R2 D F L' F'
F' B' R2 L U B' U'
F' B' R2 L' U' F U
B' F' R2 D' B' L B
B' F' R2 F' D F L'
B' F' R2 B D' B' L
F' B' R2 D F L' F'
D' B' D' F' D2 L R2
D' B' D' F' D2 R2 L
F' B' R2 D' B' L B
F' B' R2 F' D F L'
R2 B' D F D L' F2
F2 B' R2 D F L' D
F2 B' R2 D F L' D'
F2 B' R2 D F L' D2
F2 B' R2 D F D L'
F2 B' R2 D F D' L'
F2 B' R2 D F D2 L'
R2 B' D F' D F2 L'
D' B' D2 L D' F' R2
D' B' D2 L F' D' R2
F' B' R2 B D' B' L
D' B' D2 F' L D' R2
D' B' D2 F' D' L R2
D' B' D2 F' D' R2 L
B F' R2 B' D' B' L
F B' R2 F D F L'
D' B' F' L U F' U'
R2 B' D2 F D' F L'
D' B' F' U F' U' L
U' B' F2 R2 D F L'
U2 B' F2 R2 D F L'
F2 B' D F L' D' R2
F2 B' D F D' L' R2
F2 B' D F D' R2 L'
U B' F2 R2 D F L'
F' B2 L B R2 D L2
B' F2 R D R F L'
B' F2 R' D R' F L'
B' F2 R' D F L' R'
B' F2 R' D F R' L'
B' F2 R2 D F L' D
B' F2 R2 D F L' D'
B' F2 R2 D F L' D2
B' F2 R2 D F D L'
B' F2 R2 D F D' L'
B' F2 R2 D F D2 L'
D B2 U F L' F2 B
D B2 U F L' B F2
D B2 U F B L' F2
D B2 U B F L' F2
D' B2 D F' B L R2
D' B2 D F' B R2 L
D' B2 D B L F' R2
D' B2 D B F' L R2
D' B2 D B F' R2 L
B F2 R2 B2 D F L'
R2 B2 D L2 F L' B
R2 B2 D L2 F B L'
R2 B2 D L2 B F L'
B' F2 D F L' D' R2
B' F2 D F D' L' R2
B' F2 D F D' R2 L'
D B2 F U L' F2 B
D B2 F U L' B F2
D B2 F U B L' F2
