L' R U2 F' B' U
L' R U2 B' F' U
R L' U2 F' B' U
F2 L' R F' B' U
R L' U2 B' F' U
F2 L' R B' F' U
F2 L' B' R F' U
F2 R L' F' B' U
F2 R L' B' F' U
L R' B F L2 R2 U'
L R' B F R2 L2 U'
R' L' B2 R2 F' B' U'
R' L' B2 R2 B' F' U'
L' R' B2 R2 F' B' U'
L' R' B2 R2 B' F' U'
R L' B2 U2 F' B U
R L' B2 U2 B F' U
F2 L' B R F' B2 U
F2 L' B R B2 F' U
F2 L' B' R D F' U
F2 L' B' R D' F' U
F2 L' B' R D2 F' U
F2 L' B' R F' U D
F2 L' B' R F' U D'
F2 L' B' R F' U D2
F2 L' B' R F' D U
F2 L' B' R F' D' U
F2 L' B' R F' D2 U
F2 L2 R F' L B' U
D2 R L F B' L2 U'
D' R L F L2 U' L
D2 R L B' F L2 U'
D2 R L' U2 F B' U
D2 R L' U2 B' F U
B' R L' U2 F' B' U
B' R L' U2 B' F' U
B2 R L' U2 F' B' U
B2 R L' U2 B' F' U
U2 R L' U2 F' B U
U2 R L' U2 B F' U
F2 R L' D F' B' U
F2 R L' D B' F' U
F2 R L' D' F' B' U
F2 R L' D' B' F' U
D R L' U2 B' U L
F2 R L' D2 F' B' U
B R L' U2 F' B' U
F2 R L' D2 B' F' U
B R L' U2 B' F' U
F2 R L' F' D B' U
F2 R L' F' D' B' U
F2 R L' F' D2 B' U
F2 R L' F' B' U D
F2 R L' F' B' U D'
F2 R L' F' B' U D2
F2 R L' F' B' D U
F2 R L' F' B' D' U
F2 R L' F' B' D2 U
F2 R L' B' D F' U
F2 R L' B' D' F' U
F2 R L' B' D2 F' U
F2 R L' B' F' U D
F2 R L' B' F' U D'
F2 R L' B' F' U D2
F2 R L' B' F' D U
F2 R L' B' F' D' U
F2 R L' B' F' D2 U
F2 R L2 F' L B' U
F2 R D L' F' B' U
F2 R D L' B' F' U
F2 R D' L' F' B' U
F2 R D' L' B' F' U
F2 R D2 L' F' B' U
F2 R D2 L' B' F' U
F' R F' L' R B' U
F' R F' L' B' R U
F' R F' R L' B' U
F2 R B L' F' B' U
F2 R B L' B' F' U
F2 R B' L' F' B' U
F2 R B' L' B' F' U
F2 R B2 L' F' B' U
F2 R B2 L' B' F' U
U2 R' L' F' B R2 U'
U2 R' L' B F' R2 U'
R2 U2 L' R' F' B' U'
R2 U2 L' R' B' F' U'
R2 U2 R' L' F' B' U'
R2 U2 R' L' B' F' U'
U2 R' B L' F' R2 U'
R U2 F2 R F B U
R U2 F2 R B F U
R D L' U2 F' B' U
R D L' U2 B' F' U
L' D R U2 B' U L
R D' L' U2 F' B' U
R D' L' U2 B' F' U
L2 D2 L R F' B' U'
L2 D2 L R B' F' U'
L2 D2 L B' R F' U'
R D2 L' U2 F' B' U
R D2 L' U2 B' F' U
L2 D2 R L F' B' U'
L2 D2 R L B' F' U'
L2 D2 R F' L B' U'
F2 U2 L' R F' B U
F2 U2 L' R B F' U
F2 U2 R L' F' B U
F2 U2 R L' B F' U
F2 U2 R B L' F' U
F2 D L' R B' U L
F2 D L' B' R U L
F2 D R L' B' U L
U' F2 L' R F' U R
D2 F2 L' R F B' U
D2 F2 L' R B' F U
U2 F2 L' R F' B U
U2 F2 L' R B F' U
D2 F2 L' B' R F U
D F2 L' R B' U L
U' F2 R L' F' U R
D2 F2 R L' F B' U
D2 F2 R L' B' F U
D F2 L' B' R U L
U2 F2 R L' F' B U
U2 F2 R L' B F' U
D F2 R L' B' U L
U2 F2 R B L' F' U
F2 D2 L' R F B' U
F2 D2 L' R B' F U
F2 D2 L' B' R F U
R F2 U2 R F B U
R F2 U2 R B F U
F2 D2 R L' F B' U
F2 D2 R L' B' F U
R' B L R2 F L2 U'
R' B L F L2 R2 U'
R' B L F R2 L2 U'
R' B L' R2 U2 B' U
L' B R U2 F' B2 U
L' B R U2 B2 F' U
R B L' U2 F' B' U
R B L' U2 B' F' U
R' B R2 L F L2 U'
R' B R2 L' U2 B' U
L' B R' B R2 F' U'
F2 B L' R F' B' U
F2 B L' R B' F' U
F2 B L' B' R F' U
F2 B R L' F' B' U
F2 B R L' B' F' U
R' B' L' B2 R2 F' U'
R B' L' U2 F' B' U
R B' L' U2 B' F' U
F2 B' L' R F' B' U
F2 B' L' R B' F' U
F2 B' L' B' R F' U
F2 B' R L' F' B' U
F2 B' R L' B' F' U
B' F2 L' R F' B' U
B' F2 L' R B' F' U
B2 F2 L' R F' B' U
B2 F2 L' R B' F' U
R B2 L' U2 F' B' U
R B2 L' U2 B' F' U
F2 B2 L' R F' B' U
B' F2 L' B' R F' U
F2 B2 L' R B' F' U
B2 F2 L' B' R F' U
F2 B2 L' B' R F' U
B F2 L' R F' B' U
B F2 L' R B' F' U
B' F2 R L' F' B' U
B' F2 R L' B' F' U
B F2 L' B' R F' U
B2 F2 R L' F' B' U
B2 F2 R L' B' F' U
F2 B2 R L' F' B' U
F2 B2 R L' B' F' U
B F2 R L' F' B' U
B F2 R L' B' F' U
