R2 L' F' B U B2
R2 L' B F' U B2
L' R2 F' B U B2
L' R2 B F' U B2
U' R2 F' L' B U
U' R2 F' B L' U
U R2 F' B L U
U' R2 B F' L' U
U R2 B L F' U
U R2 B F' L U
R2 F' L' B U B2
R2 F' B L' U B'
R2 B L' F' U B'
R2 B F' L' U B'
U R2 F' B L D U
U R2 F' B L D' U
U R2 F' B L D2 U
U' R2 B L F' L' U
U R2 F' B D L U
U R2 F' B D' L U
U R2 F' B D2 L U
U' R2 B L' F' L' U
U' R2 B L2 F' L' U
U' R2 B D F' L' U
U' R2 B D' F' L' U
U' R2 B D2 F' L' U
U' R2 B F' L' U D
U' R2 B F' L' U D'
U' R2 B F' L' U D2
U' R2 B F' L' D U
U' R2 B F' L' D' U
U' R2 B F' L' D2 U
U' R2 B F' D L' U
U' R2 B F' D' L' U
U' R2 B F' D2 L' U
U R2 B L D F' U
U R2 B L D' F' U
U R2 B L D2 F' U
U R2 B L F' U D
U R2 B L F' U D'
U R2 B L F' U D2
U R2 B L F' D U
U R2 B L F' D' U
U R2 B L F' D2 U
U R2 B L' F' L2 U
U R2 B D L F' U
U' R2 B' F' L' B2 U
U R2 B D F' L U
U R2 B D' L F' U
U R2 B D' F' L U
U R2 B D2 L F' U
U R2 B D2 F' L U
U R2 B F L F2 U
U R2 B F' L U D
U R2 B F' L U D'
U R2 B F' L U D2
U R2 B F' L D U
U R2 B F' L D' U
U R2 B F' L D2 U
U R2 B F' D L U
U R2 B F' D' L U
U R2 B F' D2 L U
R2 D F' L' B U B2
R2 D F' B L' U B'
R2 D B L' F' U B'
R2 D B F' L' U B'
R2 D' L' F' B U B2
R2 D' L' B F' U B2
L' D' F' B U' F' B2
L' D' F' B U' B2 F'
R2 D' F' L' B U B2
R2 D' F' B L' U B'
R2 D' B L' F' U B'
L' D' B F' U' F' B2
L' D' B F' U' B2 F'
R2 D' B F' L' U B'
F' U' R2 F' L' U R2
R2 D2 L' F' B U B2
R2 D2 L' B F' U B2
L D2 L2 F' B U' B2
L D2 L2 B F' U' B2
L' D2 F' B L2 U' B2
R2 D2 F' L' B U B2
R2 D2 F' B L' U B'
L' D2 B L2 F' U' B2
L' D2 B F' L2 U' B2
R2 D2 B L' F' U B'
R2 D2 B F' L' U B'
L D2 B L2 F' U' B'
R2 F L' F2 B U B2
R2 F L' B F2 U B2
U' F B R F2 L' U'
R2 F B L' F2 U B'
D2 F' L' B L' U' B2
D' F' L' B U' F' B2
D' F' L' B U' B2 F'
R2 F' L B L2 U B'
R2 F' L B U' F U2
R2 F' L' U B' D' R2
D2 F' L2 D' B R' U'
R2 F' L' D B U B2
R2 F' L' D' B U B2
R2 F' L' D2 B U B2
R2 F' L' B L U B2
R2 F' L' B L' U B2
R2 F' L' B L2 U B2
R2 F' L' B U B2 D
R2 F' L' B U B2 D'
R2 F' L' B U B2 D2
R2 F' L' B D L2 U
R2 F' L2 B L U B'
U' F' U2 L' R2 F' U
U' F' U2 R2 L' F' U
L' F' U2 R2 F' U B'
F' D' L' B U' F2 B2
F' D' L' B U' B2 F2
R2 F' D L' B U B2
U F' U2 R2 F' L' U
B D' L' F' U' F' B'
B D' L' F' U' B' F'
R2 F' D B L' U B'
L' F' D' B U' F2 B2
L' F' D' B U' B2 F2
R2 F' D' L' B U B2
L2 F' D' B R' U' F2
L F' D B R2 U' F'
R2 F' D' B L' U B'
L' F' D2 B L2 U' B2
D' F' B L' U' F' B'
D' F' B L' U' B' F'
U' F' B U2 L' R2 U
R2 F' D2 L' B U B2
U' F' B U2 R2 L' U
L' F' B U' B2 D' F2
L' F' B U2 R2 U B2
L' F' B D' R2 U' F2
R2 F' D2 B L' U B'
L F' D2 L2 B U' B
R2 F' B L U' F U2
R2 F' B L' U D B'
R2 F' B L' U D' B'
R2 F' B L' U D2 B'
R2 F' B L' U B' D
R2 F' B L' U B' D'
R2 F' B L' U B' D2
R2 F' B L' D U B'
R2 F' B L' D' U B'
R2 F' B L' D2 U B'
R2 F' B U2 R U' B
L F' D2 B L2 U' B
R2 F' B D L' U B'
R2 F' B D' L' U B'
R2 F' B D2 L' U B'
R2 F' B' L' B2 U B
U F' B U2 L R2 U
U F' B U2 R2 L U
L F' B D2 L2 U' B2
U F' B' R' B2 L U'
B D' F' L' U' F' B'
B D' F' L' U' B' F'
F' D' B L' U' F2 B'
F' D' B L' U' B' F2
F' D2 L' B L' U' B2
F' D2 L2 D' B R' U'
B D2 L2 D F' R U'
D' B L' F' U' F' B'
D' B L' F' U' B' F'
R2 B L F' U D2 B2
R2 B L F' U' F2 U2
R2 B L F' D' L2 U
R2 B L F' D2 U B2
D2 B L2 D F' R U'
R2 B L' D F' U B'
R2 B L' D' F' U B'
R2 B L' D2 F' U B'
R2 B L' F' U D B'
R2 B L' F' U D' B'
R2 B L' F' U D2 B'
R2 B L' F' U B' D
R2 B L' F' U B' D'
R2 B L' F' U B' D2
R2 B L' F' D U B'
R2 B L' F' D' U B'
R2 B L' F' D2 U B'
R2 B L2 F' L U B'
U' B U2 R2 B L U
F' B L D2 L2 U' B'
L' B U2 R2 B U B
F' B L' U' D' F2 B'
F' B L' U' D' B' F2
F' B L' U' B' D' F2
F' B L' U2 R2 U B'
F' B L' D' U' F2 B'
F' B L' D' U' B' F2
R2 B U2 R U' B L
U B U2 L R2 B U
R2 B D L' F' U B'
U B U2 R2 L B U
R2 B D F' L' U B'
F' B R U2 R U B
R2 B D' L' F' U B'
U' B F R F2 L' U'
R2 B D' F' L' U B'
R2 B D2 L' F' U B'
B F R F2 L' U' B'
D' B F' L' U' F' B'
D' B F' L' U' B' F'
R2 B D2 F' L' U B'
U' B F' U2 L' R2 U
U' B F' U2 R2 L' U
F B R F2 L' U' B'
L B D2 L2 F' U' B'
R2 B F L' F2 U B'
L' B F' U' B2 D' F2
L' B F' U2 R2 U B2
L' B F' D' R2 U' F2
R2 B F' L U' F U2
R2 B F' L' U D B'
R2 B F' L' U D' B'
R2 B F' L' U D2 B'
R2 B F' L' U B' D
R2 B F' L' U B' D'
R2 B F' L' U B' D2
R2 B F' L' D U B'
R2 B F' L' D' U B'
R2 B F' L' D2 U B'
R2 B F' U2 R U' B
R2 B F' D L' U B'
R2 B F' D' L' U B'
R2 B F' D2 L' U B'
U B F' U2 L R2 U
U B F' U2 R2 L U
L B F' D2 L2 U' B2
R2 B' L' F' B2 U B
R2 B' L' B2 F' U B
F' B D' L' U' F2 B'
F' B D' L' U' B' F2
B F' L D2 L2 U' B'
B F' L' U' D' F2 B'
B F' L' U' D' B' F2
B F' L' U' B' D' F2
B F' L' U2 R2 U B'
B F' L' D' U' F2 B'
B F' L' D' U' B' F2
B F' R U2 R U B
R2 B' F' L' B2 U B
U B' F' R' B2 L U'
B F' D' L' U' F2 B'
B F' D' L' U' B' F2
