F2 L' F U' B'
U2 L R B' U B2
U2 L B' R U B
F2 L' R F U' B'
F2 L' R' F U' B'
F2 L' R2 F U' B'
F2 L' D F U' B'
F2 L' D' F U' B'
F2 L' D2 F U' B'
F2 L' F R U' B'
F2 L' F R' U' B'
F2 L' F R2 U' B'
F2 L' F U' D B'
F2 L' F U' D' B'
F2 L' F U' D2 B'
F2 L' F U' B' D
F2 L' F U' B' D'
F2 L' F U' B' D2
F2 L' F D U' B'
F2 L' F D' U' B'
F2 L' F D2 U' B'
U2 R L B' U B2
F2 R L' F U' B'
U2 R U D' B R'
U2 R D' U B R'
F2 R' L' F U' B'
F2 R2 L' F U' B'
U2 D' R U B R'
D' U2 R U B R'
F2 L' D' F U' D' B'
F2 L' D' F U' D2 B'
F2 L' D' F U' B' D
F2 L' D' F U' B' D'
F2 L' D' F U' B' D2
F2 L' D' F D U' B'
F2 L' D' F D' U' B'
F2 L' D' F D2 U' B'
F2 L' D2 R F U' B'
F2 L' D2 R' F U' B'
F2 L' D2 R2 F U' B'
F2 L' D2 F R U' B'
F2 L' D2 F R' U' B'
F2 L' D2 F R2 U' B'
F2 L' D2 F U' D B'
F2 L' D2 F U' D' B'
F2 L' D2 F U' D2 B'
F2 L' D2 F U' B' D
F2 L' D2 F U' B' D'
F2 L' D2 F U' B' D2
F2 L' D2 F D U' B'
F2 L' D2 F D' U' B'
F2 L' D2 F D2 U' B'
F2 L' F R U' D B'
F2 L' F R U' D' B'
F2 L' F R U' D2 B'
F2 L' F R U' B' D
F2 L' F R U' B' D'
F2 L' F R U' B' D2
F2 L' F R D U' B'
F2 L' F R D' U' B'
F2 L' F R D2 U' B'
F2 L' F R' U' D B'
F2 L' F R' U' D' B'
F2 L' F R' U' D2 B'
F2 L' F R' U' B' D
F2 L' F R' U' B' D'
F2 L' F R' U' B' D2
F2 L' F R' D U' B'
F2 L' F R' D' U' B'
F2 L' F R' D2 U' B'
F2 L' F R2 U' D B'
F2 L' F R2 U' D' B'
F2 L' F R2 U' D2 B'
F2 L' F R2 U' B' D
F2 L' F R2 U' B' D'
F2 L' F R2 U' B' D2
F2 L' F R2 D U' B'
F2 L' F R2 D' U' B'
F2 L' F R2 D2 U' B'
F' L' F U2 R U B'
F2 L' F U F U2 B'
F2 L' F U F' U2 B'
F2 L' F U F2 U2 B'
F2 L' F U' R' B' R
F2 L' F U' R2 B' R2
F2 L' F U' D B' D
F2 L' F U' D B' D'
F2 L' F U' D B' D2
F2 L' F U' D' B' D
F2 L' F U' D' B' D'
F2 L' F U' D' B' D2
F2 L' F U' D2 B' D
F2 L' F U' D2 B' D'
F2 L' F U' D2 B' D2
F2 L' F U' B2 D B
F2 L' F U' B2 D' B
F2 L' F U' B2 D2 B
F2 L' F D R U' B'
F2 L' F D R' U' B'
F2 L' F D R2 U' B'
F2 L' F D U' B' D
F2 L' F D U' B' D'
F2 L' F D U' B' D2
F2 L' F D' R U' B'
F2 L' F D' R' U' B'
F2 L' F D' R2 U' B'
F2 L' F D' U' B' D
F2 L' F D' U' B' D'
F2 L' F D' U' B' D2
F2 L' F D2 R U' B'
F2 L' F D2 R' U' B'
F2 L' F D2 R2 U' B'
F2 L' F D2 U' B' D
F2 L' F D2 U' B' D'
F2 L' F D2 U' B' D2
F2 L' F' R F2 U' B'
F2 L' F' R' F2 U' B'
F2 L' F' R2 F2 U' B'
F2 L' F' U' D R2 B'
F2 L' F' U' D B' R2
F2 L' F' U' B' D R2
F2 L' F' D U' R2 B'
F2 L' F' D U' B' R2
F2 L' F2 R U' B' R'
F2 L' F2 D F' U' B'
F2 L' F2 D' F' U' B'
F2 L' F2 D2 F' U' B'
U2 L2 R U B' R' B2
U2 L2 R B2 U B' R'
L' R2 F U2 R' U B'
F2 L2 F L F U' B'
F2 L2 F' L F U' B'
F2 L2 F2 L F U' B'
U2 R L U B D' R2
U2 R L D B' U B2
U2 R L D' B' U B2
U2 R L D2 B' U B2
U' R L B' U L' B'
U2 R L B' L U B2
U2 R L B' L' U B2
U2 R L B' L2 U B2
U2 R L B' U B2 D
U2 R L B' U B2 D'
U2 R L B' U B2 D2
U2 R L B' D L2 U
U2 R L' U2 F U' B
F2 R L' D F U' B'
F2 R L' D' F U' B'
F2 R L' D2 F U' B'
F2 R L' F R U' B'
F2 R L' F R' U' B'
F2 R L' F R2 U' B'
F2 R L' F U' D B'
F2 R L' F U' D' B'
F2 R L' F U' D2 B'
F2 R L' F U' B' D
F2 R L' F U' B' D'
F2 R L' F U' B' D2
F2 R L' F D U' B'
F2 R L' F D' U' B'
F2 R L' F D2 U' B'
U2 R L2 U B' R' B2
U2 R L2 B2 U B' R'
U2 R U D' B R' D
U2 R U D' B R' D'
U2 R U D' B R' D2
U2 R U D' B D R'
U2 R U D' B D' R'
U2 R U D' B D2 R'
U2 R D' L U B R'
U2 R D' L' U B R'
U2 R D' L2 U B R'
U2 R D' U B R' D
U2 R D' U B R' D'
U2 R D' U B R' D2
U2 R D' U B D R'
U2 R D' U B D' R'
U2 R D' U B D2 R'
U2 R D' B' U B2 R'
F R F L' F U' B'
F' R F' L' F U' B'
U2 R B L B' U B
U2 R B' L B' U B'
U2 R' L B' R2 U B
F2 R' L' D F U' B'
F2 R' L' D' F U' B'
F2 R' L' D2 F U' B'
F2 R' L' F R U' B'
F2 R' L' F R' U' B'
F2 R' L' F R2 U' B'
F2 R' L' F U' D B'
F2 R' L' F U' D' B'
F2 R' L' F U' D2 B'
F2 R' L' F U' B' D
F2 R' L' F U' B' D'
F2 R' L' F U' B' D2
F2 R' L' F D U' B'
F2 R' L' F D' U' B'
F2 R' L' F D2 U' B'
L2 U2 L R B U B2
F R' F L' F U' B'
F' R' F' L' F U' B'
L' U2 R U2 F U' B'
L2 U2 R L B U B2
L2 U2 R B L U B'
L U2 R B' L2 U B'
L U2 R B' U' F U2
F2 R2 L' D F U' B'
F2 R2 L' D' F U' B'
F2 R2 L' D2 F U' B'
F2 R2 L' F R U' B'
F2 R2 L' F R' U' B'
F2 R2 L' F R2 U' B'
F2 R2 L' F U' D B'
F2 R2 L' F U' D' B'
F2 R2 L' F U' D2 B'
F2 R2 L' F U' B' D
F2 R2 L' F U' B' D'
F2 R2 L' F U' B' D2
F2 R2 L' F D U' B'
F2 R2 L' F D' U' B'
F2 R2 L' F D2 U' B'
L U2 B' L2 R U B'
L U2 B' R L2 U B'
L U2 B' R U' F U2
F R2 F L' F U' B'
F' R2 F' L' F U' B'
U2 D R U D2 B R'
U2 D R D2 U B R'
U2 D' L R U B R'
U2 D' L' R U B R'
U2 D' L2 R U B R'
U2 D' R L U B R'
U2 D' R L' U B R'
U2 D' R L2 U B R'
U2 D' R U B R' D
U2 D' R U B R' D'
U2 D' R U B R' D2
U2 D' R U B D R'
U2 D' R U B D' R'
U2 D' R U B D2 R'
U2 D' R B' U B2 R'
F2 U' L' F R U' L
U2 D' B R U B R2
D' U2 L R U B R'
D' U2 L' R U B R'
D' U2 L2 R U B R'
D' U2 R L U B R'
D' U2 R L' U B R'
D' U2 R L2 U B R'
D' U2 R U B R' D
D' U2 R U B R' D'
D' U2 R U B R' D2
D' U2 R U B D R'
D' U2 R U B D' R'
D' U2 R U B D2 R'
D2 U2 R U2 F' U' B
D' U2 R B' U B2 R'
U2 D2 R U2 F' U' B
D U2 R U D2 B R'
D U2 R D2 U B R'
D2 U2 R' B R2 U B
U2 D2 R' B R2 U B
D' U2 B R U B R2
L' F D R U' F' B'
L' F D R U' B' F'
F2 D L' F' U' R B'
F2 D L' F' U' B' R
F' D F' L' U' R B'
F' D F' L' U' B' R
D2 F' R F' L' U' B'
F2 D' L' U' B R' B2
D2 F2 L' R F' U' B'
D2 F2 L' R2 U' B' R'
D' F2 L' U' B R' B2
L' F2 L' D F' R U'
D F2 L' F U' R B'
D F2 L' F U' B' R
D2 F2 R L' F' U' B'
D2 F2 R2 L' U' B' R'
F2 D2 L' R F' U' B'
U F2 U' L' F U' B'
D' F2 D L' F U' B'
F2 D2 L' R2 U' B' R'
D2 F2 D2 L' F U' B'
F2 D2 R L' F' U' B'
F' D2 R F' L' U' B'
F2 D2 R2 L' U' B' R'
U2 B L R B' U B2
U2 B L B' R U B
U2 B R L B' U B2
U2 B R U D' B R'
U2 B R D' U B R'
U B U L R B' U
U B U L B' R U
U B U R L B' U
U2 B D' R U B R'
U2 B' L R B' U B2
U2 B' L B' R U B
U2 B' R L B' U B2
U2 B' R U D' B R'
U2 B' R D' U B R'
F2 B' L' F B U' B2
F2 B' L' B F U' B2
U2 B' D' R U B R'
U2 B2 L R B' U B2
U2 B2 L B' R U B
U2 B2 R L B' U B2
B' F2 L' F B U' B2
U2 B2 R U D' B R'
B' F2 L' B F U' B2
U2 B2 R D' U B R'
B2 F2 L' F B2 U' B
F2 B2 L' F B2 U' B
B2 F2 L' B2 F U' B
F2 B2 L' B2 F U' B
U2 B2 D' R U B R'
