B' R' F' U B
B' L R' F' U B
B' L' R' F' U B
B' L2 R' F' U B
B' R' L F' U B
B' R' L' F' U B
B' R' L2 F' U B
B' R' D F' U B
B' R' D' F' U B
B' R' D2 F' U B
B' R' F' L U B
B' R' F' L' U B
B' R' F' L2 U B
B' R' F' U D B
B' R' F' U D' B
B' R' F' U D2 B
B' R' F' U B D
B' R' F' U B D'
B' R' F' U B D2
B' R' F' D U B
B' R' F' D' U B
B' R' F' D2 U B
R' F' B' R' U B2
B' F R' F' U B
D B' L R' F' U
D B' R' L F' U
D B' R' F' L U
F' B' R' F' U B
B' F' R' F' U B
F2 B' R' F' U B
F B' R' F' U B
R' B' F' R' U B2
B' F2 R' F' U B
B2 U2 B R' U B L
B U2 B2 R' U B L
D' F B' L' R' F' U
R' F B' R' F2 U B2
D' F B' R' L' F' U
D F B' L R' F' U
D F B' R' L F' U
D F B' R' F' L U
R' F' R B' R' U B
F' D B' L R' F' U
F' D B' R' L F' U
F2 D B' L R' F' U
F' D B' R' F' L U
F2 D B' R' L F' U
F2 D B' R' F' L U
F D B' L R' F' U
F D B' R' L F' U
F D B' R' F' L U
R' F' D B' R' U B2
R' F' D' B' R' U B2
R' F' D2 B' R' U B2
B' D' R' F L' F2 U
B' D' R' F' U2 R U'
R' F' B' L R' U B2
R' F' B' L' R' U B2
R' F' B' L2 R' U B2
R' F' B' R' L U B2
R' F' B' R' L' U B2
R' F' B' R' L2 U B2
R' F' B' R' U B2 D
R' F' B' R' U B2 D'
R' F' B' R' U B2 D2
R' F' B' R' D L2 U
R' F' B' D L2 R' U
R' F' B' D R' L2 U
D F' B' L R' F' U
D F' B' R' L F' U
D F' B' R' F' L U
B' D' F L' R' F' U
B' D' F R' L' F' U
B' D' F2 R' F' L' U
B' D2 L R' F' U B'
B' D2 R' L F' U B'
B' D2 R' F' L U B'
R' F2 B' R' F U B2
D' F2 B' R' F' L' U
D F2 B' L R' F' U
D F2 B' R' L F' U
D F2 B' R' F' L U
R B L U' D' R2 B
R B L D' U' R2 B
B' F L R' F' U B
R' B U' F' B2 R' U
R' B U' B2 F' R' U
B' F L' R' F' U B
B' F L2 R' F' U B
B' F R' L F' U B
B' F R' L' F' U B
B' F R' L2 F' U B
B' F R' D F' U B
B' F R' D' F' U B
B' F R' D2 F' U B
B' F R' F' L U B
B' F R' F' L' U B
B' F R' F' L2 U B
B' F R' F' U D B
B' F R' F' U D' B
B' F R' F' U D2 B
B' F R' F' U B D
B' F R' F' U B D'
B' F R' F' U B D2
B' F R' F' D U B
B' F R' F' D' U B
B' F R' F' D2 U B
R B D' L U' R2 B
D2 B' L R' F' U B'
R' B' L F' R' U B2
D B' L R' D F' U
D B' L R' D' F' U
D B' L R' D2 F' U
D B' L R' F' U D
D B' L R' F' U D'
D B' L R' F' U D2
D B' L R' F' D U
D B' L R' F' D' U
D B' L R' F' D2 U
R' B' L' F' R' U B2
D B' L D R' F' U
D B' L D' R' F' U
D B' L D2 R' F' U
D B' L F R' F' U
D B' L F' R' F' U
D B' L F2 R' F' U
D B' L' R' F' L2 U
R' B' L2 F' R' U B2
D2 B' R' L F' U B'
D2 B' R' F' L U B'
D' B' R' F L' F2 U
D' B' R' F' U2 R U'
B' F' L R' F' U B
U2 B' R' U B L F
F' B' L R' F' U B
D B' R' L D F' U
D B' R' L D' F' U
D B' R' L D2 F' U
D B' R' L F' U D
D B' R' L F' U D'
D B' R' L F' U D2
D B' R' L F' D U
D B' R' L F' D' U
D B' R' L F' D2 U
D B' R' L' F' L2 U
F2 B' L R' F' U B
D B' R' D L F' U
D B' R' D F' L U
B' F' L' R' F' U B
D B' R' D' L F' U
D B' R' D' F' L U
D B' R' D2 L F' U
D B' R' D2 F' L U
D B' R' F L F2 U
D B' R' F' L U D
D B' R' F' L U D'
D B' R' F' L U D2
D B' R' F' L D U
D B' R' F' L D' U
D B' R' F' L D2 U
D B' R' F' D L U
D B' R' F' D' L U
D B' R' F' D2 L U
F' B' L' R' F' U B
F2 B' L' R' F' U B
B' F' L2 R' F' U B
F B' L R' F' U B
F' B' L2 R' F' U B
F2 B' L2 R' F' U B
F B' L' R' F' U B
B' F' R' L F' U B
B' F' R' L' F' U B
B' F' R' L2 F' U B
R' B' D L2 F' R' U
F B' L2 R' F' U B
B' F' R' D F' U B
F' B' R' L F' U B
B' F' R' D' F' U B
F' B' R' L' F' U B
D' B' D R' F' U B
B' F' R' D2 F' U B
F' B' R' L2 F' U B
B' F' R' F' L U B
B' F' R' F' L' U B
B' F' R' F' L2 U B
B' F' R' F' U D B
B' F' R' F' U D' B
B' F' R' F' U D2 B
B' F' R' F' U B D
B' F' R' F' U B D'
B' F' R' F' U B D2
B' F' R' F' D U B
B' F' R' F' D' U B
B' F' R' F' D2 U B
R' B' D F' L2 R' U
R' B' D F' R' L2 U
F2 B' R' L F' U B
F2 B' R' L' F' U B
F' B' R' D F' U B
F2 B' R' L2 F' U B
F' B' R' D' F' U B
F' B' R' D2 F' U B
F' B' R' F' L U B
F' B' R' F' L' U B
F' B' R' F' L2 U B
F' B' R' F' U D B
F' B' R' F' U D' B
F' B' R' F' U D2 B
F' B' R' F' U B D
F' B' R' F' U B D'
F' B' R' F' U B D2
F' B' R' F' D U B
F' B' R' F' D' U B
F' B' R' F' D2 U B
F2 B' R' D F' U B
F2 B' R' D' F' U B
F2 B' R' D2 F' U B
F2 B' R' F' L U B
F2 B' R' F' L' U B
F2 B' R' F' L2 U B
F2 B' R' F' U D B
F2 B' R' F' U D' B
F2 B' R' F' U D2 B
F2 B' R' F' U B D
F2 B' R' F' U B D'
F2 B' R' F' U B D2
F2 B' R' F' D U B
F2 B' R' F' D' U B
F2 B' R' F' D2 U B
D B' D L R' F' U
D B' D R' L F' U
D B' D R' F' L U
F B' R' L F' U B
F B' R' L' F' U B
F B' R' L2 F' U B
D2 B' D2 R' F' U B
F B' R' D F' U B
F B' R' D' F' U B
D B' D' L R' F' U
F B' R' D2 F' U B
F B' R' F' L U B
F B' R' F' L' U B
F B' R' F' L2 U B
F B' R' F' U D B
F B' R' F' U D' B
F B' R' F' U D2 B
F B' R' F' U B D
F B' R' F' U B D'
F B' R' F' U B D2
F B' R' F' D U B
F B' R' F' D' U B
F B' R' F' D2 U B
D B' D' R' L F' U
D B' D' R' F' L U
D' B' F L' R' F' U
R' B' F R' F2 U B2
D' B' F R' L' F' U
D B' D2 L R' F' U
R' B' F' L R' U B2
R' B' F' L' R' U B2
D B' D2 R' L F' U
D B' D2 R' F' L U
R' B' F' L2 R' U B2
R' B' F' R' L U B2
R' B' F' R' L' U B2
R' B' F' R' L2 U B2
R' B' F' R' U B2 D
R' B' F' R' U B2 D'
R' B' F' R' U B2 D2
R' B' F' R' D L2 U
R' B' F' D L2 R' U
R' B' F' D R' L2 U
D B' F L R' F' U
D B' F R' L F' U
D B' F R' F' L U
R' B' F2 R' F U B2
D' B' F2 R' F' L' U
D B' F' L R' F' U
D B' F' R' L F' U
D B' F' R' F' L U
D B' F2 L R' F' U
D B' F2 R' L F' U
D B' F2 R' F' L U
B' F2 L R' F' U B
B' F2 L' R' F' U B
B' F2 L2 R' F' U B
B' F2 R' L F' U B
B' F2 R' L' F' U B
B' F2 R' L2 F' U B
B' F2 R' D F' U B
B' F2 R' D' F' U B
B' F2 R' D2 F' U B
B' F2 R' F' L U B
B' F2 R' F' L' U B
B' F2 R' F' L2 U B
B' F2 R' F' U D B
B' F2 R' F' U D' B
B' F2 R' F' U D2 B
B' F2 R' F' U B D
B' F2 R' F' U B D'
B' F2 R' F' U B D2
B' F2 R' F' D U B
B' F2 R' F' D' U B
B' F2 R' F' D2 U B
