D L B' U2 L' R2
D L B' U2 R2 L'
D L' U2 R2 F L
D L' U2 F L R2
D L' U2 F R2 L
D L' F L R2 B
D L' F R2 L B
D' L2 R U2 L2 F'
D' L2 R U2 F' L2
D' L2 R' B U2 L2
D' R L2 U2 L2 F'
D' R L2 U2 F' L2
D' R' L2 B U2 L2
D' R' B L2 U2 L2
L U2 D L' R2 F
L U2 D L' F R2
L U2 D R2 L' F
L D L' F R2 B
B' U L F2 R U'
L D U2 L' R2 F
L D U2 L' F R2
L D U2 R2 L' F
B' L' U' F2 L2 U' L'
B' L' U2 D L R2 F2
B' L' U2 D L F2 R2
D L' U2 R' F L R'
D L' U2 R' F R' L
B' L' U2 D R2 L F2
B' L' U2 D R2 F2 L
B' L' U2 D F2 L R2
B' L' U2 D F2 R2 L
D L' U2 R2 D F L
D L' U2 R2 D' F L
D L' U2 R2 D2 F L
D L' U2 R2 F L D
D L' U2 R2 F L D'
D L' U2 R2 F L D2
D L' U2 R2 F D L
D L' U2 R2 F D' L
D L' U2 R2 F D2 L
D L' U2 R2 F' L F2
D L' U2 R2 F2 L F'
D' L' U2 F2 L R F'
D' L' U2 F2 R L F'
D' L' U2 F2 R F' L
D L' U2 F L R2 D
D L' U2 F L R2 D'
D L' U2 F L R2 D2
D L' U2 F R2 L D
D L' U2 F R2 L D'
D L' U2 F R2 L D2
D L' U2 F R2 D L
D L' U2 F R2 D' L
D L' U2 F R2 D2 L
D L' U2 F' L R2 F2
D L' U2 F' L F2 R2
D L' U2 F' R2 L F2
D L' U2 F' R2 F2 L
D L' U2 F2 L F' R2
B' L' D U2 L R2 F2
B' L' D U2 L F2 R2
B' L' D U2 R2 L F2
B' L' D U2 R2 F2 L
B' L' D U2 F2 L R2
B' L' D U2 F2 R2 L
B' L' D' L2 B2 U2 L'
B' L' D' B2 L2 R' U2
B' L' D' B2 R' L2 U2
D' L' D2 L' U2 F L2
D L' D2 L2 B' U2 L'
D L' F L R2 D B
D L' F L R2 D' B
D L' F L R2 D2 B
D L' F L R2 B D
D L' F L R2 B D'
D L' F L R2 B D2
D L' F L B R2 B
D L' F L B' R2 B
D L' F L B2 R2 B
D L' F L' R2 B L2
D L' F L2 R2 B L'
D L' F R2 L D B
D L' F R2 L D' B
D L' F R2 L D2 B
D L' F R2 L B D
D L' F R2 L B D'
D L' F R2 L B D2
D L' F R2 L' B L2
D L' F R2 L2 B L'
D L' F R2 D L B
D L' F R2 D' L B
D L' F R2 D2 L B
D L' F B' R2 B L
D L' F2 L F' R2 B
L R2 U2 D L' R2 F
L R2 U2 D L' F R2
L R2 U2 D R2 L' F
L R2 D L' F R2 B
L R2 D U2 L' R2 F
L R2 D U2 L' F R2
L R2 D U2 R2 L' F
D' L' B2 L' R' B U2
D L' B' F R2 B L
D' L' B2 R' L' B U2
D' L' B2 R' B L' U2
D L' B2 R' U2 R' F
D L' B2 R' U2 F R'
D' L2 R U2 L F' L
D' L2 R U2 L2 D F'
D' L2 R U2 L2 D' F'
D' L2 R U2 L2 D2 F'
D' L2 R U2 L2 F' D
D' L2 R U2 L2 F' D'
D' L2 R U2 L2 F' D2
D' L2 R U2 F L2 F2
D' L2 R U2 F' L2 D
D' L2 R U2 F' L2 D'
D' L2 R U2 F' L2 D2
D' L2 R D2 R2 B U2
D' L2 R B U2 L2 F'
D' L2 R B U2 F' L2
D' L2 R B' U2 L2 F'
D' L2 R B' U2 F' L2
D' L2 R B2 U2 L2 F'
D' L2 R B2 U2 F' L2
D' L2 R' D2 R2 U2 F'
D' L2 R' D2 B R2 U2
D L2 R' U2 L2 R' F'
D L2 R' U2 R' L2 F'
D L2 R' U2 R' F' L2
D' L2 R' B R U2 L2
D' L2 R' B R' U2 L2
D' L2 R' B R2 U2 L2
D' L2 R' B U2 L2 D
D' L2 R' B U2 L2 D'
D' L2 R' B U2 L2 D2
D' L2 R' B D2 R2 U2
D' L2 R' B2 U2 L2 F
D' L2 R2 U2 L F L
D' L2 U R U L2 F'
D' L2 U R U F' L2
D' L2 U2 L' D2 L' F
D' L2 U2 L2 R F' R'
D' L2 U2 R L2 F' R'
D' L2 U2 R F' L2 R'
D' L2 U2 R F' R' L2
D L2 U2 L2 R' F' R'
D L2 U2 R' L2 F' R'
D L2 U2 R' F' L2 R'
D L2 U2 R' F' R' L2
D' L2 B R U2 L2 F'
D' L2 B R U2 F' L2
D' L2 B R' B U2 L2
D' L2 B' R U2 L2 F'
D' L2 B' R U2 F' L2
D' L2 B' R' B U2 L2
D' L2 B2 R U2 L2 F'
D' L2 B2 R U2 F' L2
D' L2 B2 R' B U2 L2
D R L B' U2 L' R
D R L B' U2 R L'
D R L' U2 R F L
D' R L2 U2 L F' L
D' R L2 U2 L2 D F'
D' R L2 U2 L2 D' F'
D' R L2 U2 L2 D2 F'
D' R L2 U2 L2 F' D
D' R L2 U2 L2 F' D'
D' R L2 U2 L2 F' D2
D' R L2 U2 F L2 F2
D' R L2 U2 F' L2 D
D' R L2 U2 F' L2 D'
D' R L2 U2 F' L2 D2
D' R L2 D2 R2 B U2
D' R L2 B U2 L2 F'
D' R L2 B U2 F' L2
D' R L2 B' U2 L2 F'
D' R L2 B' U2 F' L2
D' R L2 B2 U2 L2 F'
D' R L2 B2 U2 F' L2
B' R U L F2 R U'
U2 R D R2 F2 L' F
B R D' L2 U2 L2 F2
B R D' L2 U2 F2 L2
B R D' F2 D2 R2 B2
B R D' F2 D2 B2 R2
D' R D2 F R2 F2 B
D' R D2 F R2 B F2
D' R F' U2 L2 U2 B'
D' R F' U2 F L2 U2
D' R F2 D2 R2 F B2
D' R F2 D2 R2 B2 F
D' R F2 D2 F R2 B2
D' R F2 D2 F B2 R2
D' R F2 D2 B2 R2 F
D' R F2 D2 B2 F R2
D' R B L2 U2 L2 F'
D' R B L2 U2 F' L2
D' R B' L2 U2 L2 F'
D' R B' L2 U2 F' L2
D' R B2 L2 U2 L2 F'
D' R B2 L2 U2 F' L2
D R' L' U2 R' F L
D R' L' U2 F L R'
D R' L' U2 F R' L
D' R' L2 D2 R2 U2 F'
D' R' L2 D2 B R2 U2
D' R' L2 B R U2 L2
D' R' L2 B R' U2 L2
D' R' L2 B R2 U2 L2
D' R' L2 B U2 L2 D
D' R' L2 B U2 L2 D'
D' R' L2 B U2 L2 D2
D' R' L2 B D2 R2 U2
D R' L2 U2 L2 R' F'
D R' L2 U2 R' L2 F'
D R' L2 U2 R' F' L2
D' R' L2 B2 U2 L2 F
B' R' U L F2 R U'
L2 U' F2 B' L U' L
D' R' U2 L2 B U2 B'
D' R' U2 B L2 F U2
D R' U2 R' F2 L' F
L2 U' B' L F2 U' L
L U' B' L F2 U' L2
L2 U' B' F2 L U' L
U2 R' D F2 L' R2 F
U2 R' D F2 L' F R2
U2 R' D F2 R2 L' F
D' R' D2 F R2 F' B
D' R' D2 F R2 B F'
L2 U2 L' D L' R2 F
L2 U2 L' D L' F R2
L2 U2 L' D R2 L' F
D' R' F D2 R2 F' B
D' R' F D2 R2 B F'
L' U2 L2 D L' R2 F
L' U2 L2 D L' F R2
L' U2 L2 D R2 L' F
D' R' F2 D2 R2 F' B2
D' R' F2 D2 R2 B2 F'
L U2 R D L' R2 F
L U2 R D L' F R2
L U2 R D R2 L' F
D' R' B L2 R U2 L2
D' R' B L2 R' U2 L2
D' R' B L2 R2 U2 L2
D' R' B L2 U2 L2 D
D' R' B L2 U2 L2 D'
D' R' B L2 U2 L2 D2
D' R' B L2 D2 R2 U2
D' R' B R L2 U2 L2
D' R' B R' L2 U2 L2
D' R' B R2 L2 U2 L2
L U2 R' D L' R2 F
L U2 R' D L' F R2
L U2 R' D R2 L' F
D' R' B' L2 B2 U2 L2
L' U2 D L' R2 F L2
L' U2 D L' F L2 R2
L' U2 D L' F R2 L2
L U2 R2 D L' R2 F
L U2 R2 D L' F R2
L U2 R2 D R2 L' F
L' U2 D R2 L' F L2
D' R' B2 L2 U2 F L2
L U2 D L' R' F R'
L U2 D L' R2 D F
L U2 D L' R2 D' F
L U2 D L' R2 D2 F
L U2 D L' R2 F D
L U2 D L' R2 F D'
L U2 D L' R2 F D2
L U2 D L' F R2 D
L U2 D L' F R2 D'
L U2 D L' F R2 D2
L U2 D L' F' R2 F2
D R' B2 L B' U2 L'
L U2 D R' L' F R'
L U2 D R2 L' D F
L U2 D R2 L' D' F
L U2 D R2 L' D2 F
L U2 D R2 L' F D
L U2 D R2 L' F D'
L U2 D R2 L' F D2
L U2 D' L' F2 R F'
D' R2 L2 U2 L F L
B' R2 U L F2 R U'
R' D L B' U2 L' R2
R' D L B' U2 R2 L'
R' D L' U2 R2 F L
R' D L' U2 F L R2
R' D L' U2 F R2 L
R' D L' F L R2 B
R' D L' F R2 L B
L' D L' U2 R2 F L2
L' D L' U2 F L2 R2
L' D L' U2 F R2 L2
L D L U2 L2 R2 F
L D L U2 L2 F R2
L D L U2 R2 L2 F
R2 D L B' U2 L' R2
R2 D L B' U2 R2 L'
L' D L' F L2 R2 B
L' D L' F R2 L2 B
L' D L' F R2 B L2
R2 D L' U2 R2 F L
R2 D L' U2 F L R2
R2 D L' U2 F R2 L
L D L B' U2 L2 R2
L D L B' U2 R2 L2
R D L B' U2 L' R2
R D L B' U2 R2 L'
R2 D L' F L R2 B
R2 D L' F R2 L B
R D L' U2 R2 F L
R D L' U2 F L R2
R D L' U2 F R2 L
L D L' F R2 D B
L D L' F R2 D' B
L D L' F R2 D2 B
L D L' F R2 B D
L D L' F R2 B D'
L D L' F R2 B D2
L D L' F B R2 B
L D L' F B' R2 B
L D L' F B2 R2 B
R D L' F L R2 B
R D L' F R2 L B
L D L' B F R2 B
L D L' B' F R2 B
L D L' B2 F R2 B
L D R U2 L' R F
L D R U2 R L' F
L D R' U2 L' R' F
L D R' U2 L' F R'
L D R' U2 R' L' F
B' U L R F2 R U'
B' U L R' F2 R U'
B' U L R2 F2 R U'
L' D U2 L' R2 F L2
L' D U2 L' F L2 R2
L' D U2 L' F R2 L2
L' D U2 R2 L' F L2
U2 D L R2 D2 L2 F
B' U L F2 R U' D
B' U L F2 R U' D'
B' U L F2 R U' D2
B' U L F2 R D U'
B' U L F2 R D' U'
B' U L F2 R D2 U'
B' U L F2 D R U'
B' U L F2 D' R U'
B' U L F2 D2 R U'
U' D L' U F R2 B
U2 D L B' U2 B R2
L D U2 L' R' F R'
L D U2 L' R2 D F
L D U2 L' R2 D' F
L D U2 L' R2 D2 F
L D U2 L' R2 F D
L D U2 L' R2 F D'
L D U2 L' R2 F D2
L D U2 L' F R2 D
L D U2 L' F R2 D'
L D U2 L' F R2 D2
L D U2 L' F' R2 F2
U2 D L' R2 D2 F L2
U2 D L' R2 F D2 L2
L D U2 R' L' F R'
L D U2 R2 L' D F
L D U2 R2 L' D' F
L D U2 R2 L' D2 F
L D U2 R2 L' F D
L D U2 R2 L' F D'
L D U2 R2 L' F D2
U2 D L' U2 F R2 B
U2 D L' F R2 D2 L2
B' U R L F2 R U'
B' U R' L F2 R U'
B' U R2 L F2 R U'
U2 D R' F2 L' R' F
U2 D R' F2 L' F R'
U2 D R' F2 R' L' F
L D B L' F R2 B
U2 D R2 L D2 L2 F
U2 D R2 L' D2 F L2
U2 D R2 L' F D2 L2
L D B U2 L' R2 F
L D B U2 L' F R2
L D B U2 R2 L' F
L D B' L' F R2 B
L D B' U2 L' R2 F
L D B' U2 L' F R2
L D B' U2 R2 L' F
L D B2 L' F R2 B
L D B2 U2 L' R2 F
L D B2 U2 L' F R2
L D B2 U2 R2 L' F
R' D' L2 R U2 L2 F'
R' D' L2 R U2 F' L2
R' D' L2 R' B U2 L2
L' D' L2 R U2 L' F'
L' D' L2 R' B U2 L'
L' D' L2 U2 D2 L' F
L' D' L2 D2 U2 L' F
R2 D' L2 R U2 L2 F'
R2 D' L2 R U2 F' L2
R2 D' L2 R' B U2 L2
R' D' R L2 U2 L2 F'
R' D' R L2 U2 F' L2
L' D' R L2 U2 L' F'
L D' L2 R U2 L F'
L D' L2 R U2 F' L
B' U F2 L U2 L' U
L D' L2 R2 U2 L F
R D' L2 R U2 L2 F'
R D' L2 R U2 F' L2
R D' L2 R' B U2 L2
R2 D' R L2 U2 L2 F'
R2 D' R L2 U2 F' L2
R' D' R' L2 B U2 L2
L' D' R' L2 B U2 L'
L D' L2 B2 R' B U2
L D' R L2 U2 L F'
L D' R L2 U2 F' L
R' D' R' B L2 U2 L2
R D' R L2 U2 L2 F'
R D' R L2 U2 F' L2
R2 D' R' L2 B U2 L2
R2 D' R' B L2 U2 L2
R D' R' L2 B U2 L2
L D' R' B L2 U2 L
R D' R' B L2 U2 L2
L D' R2 L2 U2 L F
D U' L' U F R2 B
B' U' L F2 U' D' L2
B' U' L F2 U2 F2 U
B' U' L F2 D' U' L2
B' U' L F2 D2 B2 U'
L D' U2 L' F2 R F'
B U' R' U2 R F2 U'
L' D' B2 L2 R' B U2
L' D' B2 R' L2 B U2
L' D' B2 R' B L2 U2
B' U' F2 L U' D' L2
B' U' F2 L U2 F2 U
B' U' F2 L D' U' L2
B' U' F2 L D2 B2 U'
D U2 L R2 D2 L2 F
B' U' F2 D' L U' L
B' U' F2 D2 L B2 U'
D U2 L B' U2 B R2
D U2 L' R2 D2 F L2
D U2 L' R2 F D2 L2
D U2 L' U2 F R2 B
D U2 L' F R2 D2 L2
B U' F2 U2 R' F2 U
B U' F2 U2 F2 R' U
B U' F2 D2 B2 L U'
D U2 R' F2 L' R' F
D U2 R' F2 L' F R'
D U2 R' F2 R' L' F
D U2 R2 L D2 L2 F
D U2 R2 L' D2 F L2
D U2 R2 L' F D2 L2
D F L' R2 F L B
D F R D2 R F' B
D F R D2 R B F'
D F R2 L' F L B
D F R2 B L' F L
F2 D L' R2 U' F L
F2 D R2 L' U' F L
U' F' L2 F' B' L U'
U' F' L2 B' L F' U'
U' F' L2 B' F' L U'
D' F' R F' D2 R2 B2
D' F' R F' D2 B2 R2
D2 F' R' D' F2 R2 B
B' D' L2 U' L' U' L'
B D' L2 U R' U L2
D' F2 R D2 F' R2 B2
D' F2 R D2 F' B2 R2
D' F2 R D2 B2 F' R2
D' F2 R F' D2 R2 B
D' F2 R' D2 R2 F' B2
D' F2 R' D2 R2 B2 F'
D F2 R D2 R F' B2
D F2 R D2 R B2 F'
D F2 R D2 B2 R F'
U' F2 B U2 R' F2 U
U' F2 B U2 F2 R' U
U' F2 B D2 B2 L U'
U' F2 B' L U' D' L2
U' F2 B' L U2 F2 U
U' F2 B' L D' U' L2
U' F2 B' L D2 B2 U'
U' F2 B' D' L U' L
U' F2 B' D2 L B2 U'
D' B L2 R U2 L2 F'
D' B L2 R U2 F' L2
D' B L2 R' B U2 L2
D B L B' U2 L' R2
D B L B' U2 R2 L'
D B L' U2 R2 F L
D B L' U2 F L R2
D B L' U2 F R2 L
D B L' F L R2 B
D B L' F R2 L B
D' B R L2 U2 L2 F'
D' B R L2 U2 F' L2
U' B R' U2 R F2 U'
D' B R' L2 B U2 L2
D' B R' B L2 U2 L2
U B R' U2 F2 B' U'
U B R' U2 B' F2 U'
U' B F2 U2 R' F2 U
U' B F2 U2 F2 R' U
U' B F2 D2 B2 L U'
U' B' L F2 U' D' L2
U' B' L F2 U2 F2 U
U' B' L F2 D' U' L2
U' B' L F2 D2 B2 U'
D' B' L2 R U2 L2 F'
D' B' L2 R U2 F' L2
D' B' L2 R' B U2 L2
D B' L B' U2 L' R2
D B' L B' U2 R2 L'
D B' L' U2 R2 F L
D B' L' U2 F L R2
D B' L' U2 F R2 L
U B' L F2 B R U'
U B' L B F2 R U'
D B' L' F L R2 B
D B' L' F R2 L B
D' B' R L2 U2 L2 F'
D' B' R L2 U2 F' L2
D' B' R' L2 B U2 L2
D' B' R' B L2 U2 L2
F2 B' L U F2 R U2
F2 B' L U' L' D2 B2
F2 B' L U' D2 L' B2
F2 B' L U' D2 B2 L'
R' B' U L F2 R U'
F2 B' L D R2 U' L'
F2 B' L D2 U' L' B2
F2 B' L D2 U' B2 L'
R2 B' U L F2 R U'
U' B' U2 L F2 R U'
L2 B' U' L F2 U' L
U2 B' U' L F2 U' B
L2 B' U' F2 L U' L
U2 B' U' F2 L U' B
R B' U L F2 R U'
L B' U' L F2 U' L2
U B' U2 L F2 B U'
U B' U2 L B F2 U'
L B' U2 L' D R2 F2
L B' U2 L' D F2 R2
U B' U2 F2 L B U'
U' B' F2 L U' D' L2
U' B' F2 L U2 F2 U
U' B' F2 L D' U' L2
U' B' F2 L D2 B2 U'
U' B' F2 D' L U' L
U' B' F2 D2 L B2 U'
F2 B' D L R2 U' L'
F2 B' D R2 L U' L'
D' B2 L2 R U2 L2 F'
D' B2 L2 R U2 F' L2
F2 B' D2 L U' L' B2
F2 B' D2 L U' B2 L'
D' B2 L2 R' B U2 L2
D B2 L B' U2 L' R2
D B2 L B' U2 R2 L'
B' F2 L U F2 R U2
B' F2 L U' L' D2 B2
B' F2 L U' D2 L' B2
B' F2 L U' D2 B2 L'
B' F2 L D R2 U' L'
B' F2 L D2 U' L' B2
B' F2 L D2 U' B2 L'
D B2 L' U2 R2 F L
D B2 L' U2 F L R2
D B2 L' U2 F R2 L
D B2 L' F L R2 B
D B2 L' F R2 L B
D' B2 R L2 U2 L2 F'
D' B2 R L2 U2 F' L2
D' B2 R' L2 B U2 L2
D' B2 R' B L2 U2 L2
B' F2 D L R2 U' L'
B' F2 D R2 L U' L'
B' F2 D2 L U' L' B2
B' F2 D2 L U' B2 L'
