D' L U2 F2 B'
D' L U2 B' F2
D B2 U2 R' B
F L U L2 R2 U
F L U R2 L2 U
F L U2 D' F2 B2
F L U2 D' B2 F2
D' L U2 F2 D B'
D' L U2 F2 D' B'
D' L U2 F2 D2 B'
D' L U2 F2 B' D
D' L U2 F2 B' D'
D' L U2 F2 B' D2
D' L U2 B' F2 D
D' L U2 B' F2 D'
D' L U2 B' F2 D2
F L D F2 B2 U2
F L D B2 F2 U2
F L D' U2 F2 B2
F L D' U2 B2 F2
D' L D2 B2 U2 B
D' L F U2 F B'
D' L F U2 B' F
D' L F' U2 F' B'
D' L F' U2 B' F'
D' L B U2 F2 B2
D' L B U2 B2 F2
D' L B2 U2 F2 B
D' L B2 U2 B F2
D' L' F L2 B' U2
D' L2 U2 F2 R B
L2 D' L' F U2 F
L F U L' R2 U
L F U R2 L' U
D' F' L U2 F' B'
D' F' L U2 B' F'
D F B2 U2 R' B
D F' B2 U2 R' B
D F2 B2 U2 R' B
D B2 L U2 R' B
D B2 L' U2 R' B
D B2 L2 U2 R' B
D B2 U2 R' D B
D B2 U2 R' D' B
D B2 U2 R' D2 B
D B2 U2 R' B D
D B2 U2 R' B D'
D B2 U2 R' B D2
D B2 F U2 R' B
D B2 F' U2 R' B
D B2 F2 U2 R' B
D' L F U2 B' F D2
F L F U L2 R2 U
F L F U R2 L2 U
D' L F D U2 F B'
D' L F D U2 B' F
D' L F D' U2 F B'
D' L F D' U2 B' F
F L F U2 D' F2 B2
F L F U2 D' B2 F2
D' L F D2 U2 F B'
D' L F D2 U2 B' F
D' L F B U2 F B2
D' L F B U2 B2 F
F L F D F2 B2 U2
F L F D B2 F2 U2
F L F D' U2 F2 B2
F L F D' U2 B2 F2
D' L F B2 U2 F B
D' L F B2 U2 B F
F2 L F' U L' R2 U
F2 L F' U R2 L' U
D' L F' U2 D F' B'
D' L F' U2 D B' F'
D' L F' U2 D' F' B'
D' L F' U2 D' B' F'
D' L F' U2 D2 F' B'
D' L F' U2 D2 B' F'
D' L F' U2 F' D B'
D' L F' U2 F' D' B'
D' L F' U2 F' D2 B'
D' L F' U2 F' B' D
D' L F' U2 F' B' D'
D' L F' U2 F' B' D2
D' L F' U2 B' D F'
D' L F' U2 B' D' F'
D' L F' U2 B' D2 F'
D' L F' U2 B' F' D
D' L F' U2 B' F' D'
D' L F' U2 B' F' D2
F L F' U L2 R2 U
F L F' U R2 L2 U
D' L F' D U2 F' B'
D' L F' D U2 B' F'
D' L F' D' U2 F' B'
D' L F' D' U2 B' F'
F L F' U2 D' F2 B2
F L F' U2 D' B2 F2
D' L F' D2 U2 F' B'
D' L F' D2 U2 B' F'
D' L F' B U2 F' B2
D' L F' B U2 B2 F'
F L F' D F2 B2 U2
F L F' D B2 F2 U2
F L F' D' U2 F2 B2
F L F' D' U2 B2 F2
D' L F' B2 U2 F' B
D' L F' B2 U2 B F'
F' L F2 U L' R2 U
F' L F2 U R2 L' U
F L F2 U L2 R2 U
F L F2 U R2 L2 U
F L F2 U2 D' F2 B2
F L F2 U2 D' B2 F2
F L F2 D F2 B2 U2
F L F2 D B2 F2 U2
F L F2 D' U2 F2 B2
F L F2 D' U2 B2 F2
D' L B U2 F2 B2 D
D' L B U2 F2 B2 D'
D' L B U2 F2 B2 D2
D' L B U2 B2 F2 D
D' L B U2 B2 F2 D'
D' L B U2 B2 F2 D2
F L B U L2 R2 U
F L B U R2 L2 U
F L B U2 D' F2 B2
F L B U2 D' B2 F2
D' L B D2 F2 B2 U2
D' L B D2 B2 F2 U2
D' L B F U2 F B2
D' L B F U2 B2 F
F L B D F2 B2 U2
F L B D B2 F2 U2
D' L B F' U2 F' B2
D' L B F' U2 B2 F'
F L B D' U2 F2 B2
F L B D' U2 B2 F2
D' L B' U2 F2 D2 B2
F L B' U L2 R2 U
F L B' U R2 L2 U
F L B' U2 D' F2 B2
F L B' U2 D' B2 F2
D' L B' D2 B2 U2 B2
F L B' D F2 B2 U2
F L B' D B2 F2 U2
F L B' D' U2 F2 B2
F L B' D' U2 B2 F2
D L B2 R F' R' U2
D' L B2 U2 F2 D B
D' L B2 U2 F2 D' B
D' L B2 U2 F2 D2 B
D' L B2 U2 F2 B D
D' L B2 U2 F2 B D'
D' L B2 U2 F2 B D2
D' L B2 U2 B F2 D
D' L B2 U2 B F2 D'
D' L B2 U2 B F2 D2
F L B2 U L2 R2 U
D L B2 U' R' U' B
F L B2 U R2 L2 U
D L B2 U2 R' B R
D' L B2 D2 B2 U2 B'
F L B2 U2 D' F2 B2
F L B2 U2 D' B2 F2
D' L B2 F U2 F B
D' L B2 F U2 B F
F L B2 D F2 B2 U2
D' L B2 F' U2 F' B
D' L B2 F' U2 B F'
F L B2 D B2 F2 U2
F L B2 D' U2 F2 B2
F L B2 D' U2 B2 F2
F L' R2 U D2 L2 R2
F L' R2 U D2 R2 L2
F L' R2 U' L2 R2 U2
F L' R2 U' R2 L2 U2
F L' R2 D' F2 B2 U
F L' R2 D' B2 F2 U
F L' R2 D2 U L2 R2
F L' R2 D2 U R2 L2
D' L' U2 F2 D2 R2 B
D' L' D2 F B2 U2 R2
D' L' D2 B2 F U2 R2
D' L' F L2 D B' U2
D' L' F L2 D' B' U2
D' L' F L2 D2 B' U2
D' L' F L2 B' U2 D
D' L' F L2 B' U2 D'
D' L' F L2 B' U2 D2
D' L' F L2 B' D U2
D' L' F L2 B' D' U2
D' L' F L2 B' D2 U2
D' L' F U2 D2 R2 F
D' L' F U2 D2 F R2
D' L' F U2 D2 F R2
D' L' F U2 F D2 R2
D' L' F D2 U2 R2 F
D' L' F D2 U2 F R2
D' L' F B L2 B' U2
D' L' F B' L2 B' U2
D' L' F B2 L2 B' U2
D' L' F' L2 F2 U2 F
D' L' F2 L2 F' U2 F
D' L' B L2 U2 F2 B'
D' L' B L2 U2 B' F2
D' L' B F L2 B' U2
D' L' B' L2 U2 F2 B'
D' L' B' L2 U2 B' F2
D' L' B' F L2 B' U2
D' L' B2 L2 U2 F2 B'
D' L' B2 L2 U2 B' F2
D' L' B2 F L2 B' U2
D' L2 R' F2 L' R B'
D' L2 R' F2 L' B' R
D' L2 R' F2 R L' B'
D' L2 U2 R F2 B R
D' L2 U2 R B F2 R
D' L2 U2 F2 R D B
D' L2 U2 F2 R D' B
D' L2 U2 F2 R D2 B
D' L2 U2 F2 R B D
D' L2 U2 F2 R B D'
D' L2 U2 F2 R B D2
D' L2 U2 F2 D R B
D' L2 U2 F2 D' R B
D' L2 U2 F2 D2 R B
D' L2 U2 F2 B R B
D' L2 U2 F2 B' R B
D' L2 U2 F2 B2 R B
D' L2 U2 B F2 R B
D' L2 U2 B' F2 R B
D' L2 U2 B2 F2 R B
D' L2 D2 L' B2 U2 B
D L2 D2 L' F U2 F
D' L2 D2 B2 L' U2 B'
D' L2 F' U2 F' R B
D' L2 B L' U2 F2 B'
D' L2 B L' U2 B' F2
L U R' D R' U B
D' L2 B U2 F2 R B
D' L2 B' L' U2 F2 B'
D' L2 B' L' U2 B' F2
L U R2 D' L U B'
D' L2 B' U2 F2 R B
L U R2 F L' F' U
D' L2 B2 L' U2 F2 B'
D' L2 B2 L' U2 B' F2
D' L2 B2 U2 F2 R B
L U D' L U F2 B'
L U D' L U B' F2
D L2 B2 D2 L' F U2
D R L F' R' B2 U2
D R L F' B2 U2 L
D R L B2 F' U2 L
L U F L' F' R2 U
D R F' L R' B2 U2
D R F' L B2 U2 L
D R F' R' L B2 U2
D R F' R' B2 U2 R'
D R F' B2 U2 L R'
D R F' B2 U2 R' L
D' R F2 B2 L R' B'
D' R F2 B2 R' L B'
R2 U' R2 D' L U2 B'
D' R B2 L R' F2 B'
D' R B2 L R' B' F2
D' R B2 L F2 R' B'
D' R B2 R' L F2 B'
D' R B2 R' L B' F2
D' R B2 R' F2 L B'
D' R B2 F2 L R' B'
D' R B2 F2 R' L B'
L U' D' L U' F2 B'
L U' D' L U' B' F2
D' R' L U2 F2 B' L'
D' R' L U2 B' F2 L'
D R B2 F' U2 L R'
D R B2 F' U2 R' L
D R' L B2 R U2 B'
D' R' L2 F2 L' R B'
D' R' L2 F2 L' B' R
D' R' L2 F2 R L' B'
L U2 L' D' L F2 B'
L U2 L' D' L B' F2
L U2 L' D' F2 L B'
D R' B2 R U2 R2 B'
D R' B2 R U2 B' R2
R2 U2 D B2 U' R' B
L U2 D' L B' L' F2
L U2 D' F2 L B' L'
F R2 L' U D2 L2 R2
F R2 L' U D2 R2 L2
F R2 L' U' L2 R2 U2
F R2 L' U' R2 L2 U2
F R2 L' D' F2 B2 U
F R2 L' D' B2 F2 U
F R2 L' D2 U L2 R2
F R2 L' D2 U R2 L2
L U2 F U' L' R2 U
L U2 F U' R2 L' U
U R2 U D B2 R' B
U R2 U B2 D R' B
U R2 U' D' L U2 B'
U R2 D U B2 R' B
U R2 D B2 U R' B
U R2 D' U' L U2 B'
D R2 D2 L2 F2 R B
L D L' B2 U2 R' B
L2 D L2 B2 U2 R' B
L D R F' R' B2 U2
L D R F' B2 U2 L
L D R B2 F' U2 L
L D R' B2 R U2 B'
U R2 B2 U D R' B
U R2 B2 D U R' B
R2 D U2 B2 U' R' B
F U L' R2 U D2 R2
F U L' R2 U' L2 U2
F U L' R2 D' B2 U
F U L' R2 D2 U R2
F U L' D' B2 U F2
F' U R2 B2 L U R'
F U R2 L' U D2 R2
F U R2 L' U' L2 U2
F U R2 L' D' B2 U
F U R2 L' D2 U R2
F U R2 B2 L' U R'
L2 D B2 D2 L' F U2
L D B2 R F' R' U2
L D B2 U' R' U' B
L D B2 U2 R' B R
L D' L U2 F2 R B'
L D' L U2 F2 B' R
L D' L U2 B' F2 R
L2 D' L' D2 F B2 U2
L2 D' L' D2 B2 F U2
L2 D' L' F U2 D F
L2 D' L' F U2 D' F
L2 D' L' F U2 D2 F
L2 D' L' F U2 F D
L2 D' L' F U2 F D'
L2 D' L' F U2 F D2
L2 D' L' F D U2 F
L2 D' L' F D' U2 F
L2 D' L' F D2 U2 F
L2 D' L' F B U2 F
L2 D' L' F B' U2 F
L2 D' L' F B2 U2 F
L2 D' L' B F U2 F
L2 D' L' B' F U2 F
L2 D' L' B2 F U2 F
U2 D B R' B R' F'
U2 D' L U2 B' L' F2
L D' U L U F2 B'
L D' U L U B' F2
F U B2 L' R2 U R
F U B2 R2 L' U R
L D' U' L U' F2 B'
L D' U' L U' B' F2
L D' U2 L B' L' F2
L D' U2 F2 L B' L'
L2 D' F2 R B2 L B'
R2 D' F2 U' L U2 B'
L2 D' B L' F U2 F
L2 D' B' L' F U2 F
U2 D' F2 U2 L U2 B'
L2 D' B2 L' F U2 F
U2 D' F2 D2 B2 R' B
U2 D' F2 B2 D2 R' B
D' U2 L U2 B' L' F2
U2 D' B2 F2 D2 R' B
D' U2 F2 U2 L U2 B'
D' U2 F2 D2 B2 R' B
D' U2 F2 B2 D2 R' B
D U2 B R' B R' F'
L D2 B U' L2 R' U'
L D2 B U' R' L2 U'
B2 U2 D R' D2 F2 B
B2 U2 D R' D2 B F2
D' U2 B2 F2 D2 R' B
B2 U2 D' F2 D2 R' B
R2 F L' U D2 L2 R2
R2 F L' U D2 R2 L2
R2 F L' U' L2 R2 U2
R2 F L' U' R2 L2 U2
L' F L2 U L R2 U
L' F L2 U R2 L U
R2 F L' D' F2 B2 U
R2 F L' D' B2 F2 U
R2 F L' D2 U L2 R2
R2 F L' D2 U R2 L2
D' F L2 B' L' U2 B'
L2 F U L' R2 B' U
L2 F U L' B' R2 U
L2 F U R2 L' B' U
F2 U2 B2 D' R' F2 B
F2 U2 B2 D' R' B F2
F2 U2 B2 D' F2 R' B
L F U L' R2 U D
L F U L' R2 U D'
L F U L' R2 U D2
L F U L' R2 D U
L F U L' R2 D' U
L F U L' R2 D2 U
L F U L' U D' F2
L F U L' D' U F2
L F U R2 L' U D
L F U R2 L' U D'
L F U R2 L' U D2
L F U R2 L' D U
L F U R2 L' D' U
L F U R2 L' D2 U
L F U R2 D L' U
L F U R2 D' L' U
L F U R2 D2 L' U
L F U D' L' U F2
F' D L B2 U' R U'
D2 F D L U2 F2 B'
D2 F D L U2 B' F2
F D L B2 U L2 U
F D L B2 U2 D' B2
F D L B2 D F2 U2
F D L B2 D' U2 B2
D2 F D' B2 U2 R' B
L F D B2 U L' U
L F D' U L' U F2
D F D2 L U2 F2 B'
D F D2 L U2 B' F2
B2 D R' D2 F2 L' B
B2 D R' D2 F2 B L'
B2 D R' D2 B F2 L'
L F B U L' R2 U
L F B U R2 L' U
D' F' L U2 D F' B'
D' F' L U2 D B' F'
D' F' L U2 D' F' B'
D' F' L U2 D' B' F'
D' F' L U2 D2 F' B'
D' F' L U2 D2 B' F'
D' F' L U2 F' D B'
D' F' L U2 F' D' B'
D' F' L U2 F' D2 B'
D' F' L U2 F' B' D
D' F' L U2 F' B' D'
D' F' L U2 F' B' D2
D' F' L U2 B' D F'
D' F' L U2 B' D' F'
D' F' L U2 B' D2 F'
D' F' L U2 B' F' D
D' F' L U2 B' F' D'
D' F' L U2 B' F' D2
D' F' L D U2 F' B'
D' F' L D U2 B' F'
D' F' L D' U2 F' B'
D' F' L D' U2 B' F'
D F B2 L U2 R' B
D' F' L D2 U2 F' B'
D' F' L D2 U2 B' F'
D F B2 L' U2 R' B
D' F' L F U2 F2 B'
D' F' L F U2 B' F2
D F B2 L2 U2 R' B
L F B' U L' R2 U
L F B' U R2 L' U
D' F' L F2 U2 F B'
D' F' L F2 U2 B' F
D' F' L B U2 F' B2
D' F' L B U2 B2 F'
D' F' L B2 U2 F' B
D' F' L B2 U2 B F'
D F B2 U2 R' D B
D F B2 U2 R' D' B
D F B2 U2 R' D2 B
D F B2 U2 R' B D
D F B2 U2 R' B D'
D F B2 U2 R' B D2
B2 D U2 R' D2 F2 B
B2 D U2 R' D2 B F2
L F B2 U L' R2 U
L F B2 U R2 L' U
D' F' L' F L2 U2 F2
B' D B2 U2 R' B R'
B' D B2 U2 B R' B
F' D B2 U' R U' R2
F' D B2 U2 R' D B2
B2 D B2 U2 B2 R' B
B2 D B2 D2 L U2 B'
F' D' L U' R U' F2
B2 D' L R' F2 B' L'
B2 D' L R' B' F2 L'
B2 D' L U2 R' F2 B'
B2 D' L U2 R' B' F2
B2 D' L U2 F2 R' B'
L F' U R2 U2 R' U'
B' D' L B' R' F2 L'
F D B2 U L' U R'
D2 F' D L U2 F2 B'
D2 F' D L U2 B' F2
B' D' L' F U2 F R
L F' U' R U2 R U
L F' U' D' R U' F2
F D' L U L2 U F2
L F' U' D2 L2 R U'
L F' U' D2 R L2 U'
B2 D' L' F U2 R' F
B2 D' L' F U2 F R'
F D' L U2 F2 D' B2
B2 D' L2 R' F2 L' B'
D2 F' D' B2 U2 R' B
L F' D B2 U' R U'
B2 D' R' L F2 B' L'
B2 D' R' L B' F2 L'
B2 D' R' L2 F2 L' B'
D F' D2 L U2 F2 B'
D F' D2 L U2 B' F2
L F' D' U' R U' F2
B2 D' R' F2 L B' L2
L F' D2 U' L2 R U'
L F' D2 U' R L2 U'
D F' B2 L U2 R' B
D' F2 L F U2 F' B'
D' F2 L F U2 B' F'
D F' B2 L' U2 R' B
D' F2 L F' U2 F B'
D' F2 L F' U2 B' F
D F' B2 L2 U2 R' B
D' F2 L F2 U2 F2 B'
D' F2 L F2 U2 B' F2
D F' B2 U2 R' D B
D F' B2 U2 R' D' B
D F' B2 U2 R' D2 B
D F' B2 U2 R' B D
D F' B2 U2 R' B D'
D F' B2 U2 R' B D2
D' F2 L' F L2 U2 F'
B2 D' U2 F2 D2 R' B
D' F2 R B2 L R' B'
D' F2 R B2 R' L B'
B' D' B L U2 F2 B'
B' D' B L U2 B' F2
B2 D' B2 L U2 F2 B'
B2 D' B2 L U2 B' F2
F' D2 L U' L R U'
F' D2 L U' R L U'
D' F2 U2 L U2 B' L'
L F2 U L' R2 U B'
L F2 U R2 L' U B'
D2 F2 D L U2 F2 B'
D2 F2 D L U2 B' F2
D2 F2 D' B2 U2 R' B
D F2 D2 L U2 F2 B'
D F2 D2 L U2 B' F2
D F2 B2 L U2 R' B
D F2 B2 L' U2 R' B
D F2 B2 L2 U2 R' B
D F2 B2 U2 R' D B
D F2 B2 U2 R' D' B
D F2 B2 U2 R' D2 B
D F2 B2 U2 R' B D
D F2 B2 U2 R' B D'
D F2 B2 U2 R' B D2
D B L B U2 R' B
D B L' B U2 R' B
D B L2 B U2 R' B
D B U2 R' B R' F'
L2 B D' L' F U2 F
B2 F U L' R2 U R
B2 F U R2 L' U R
L B F U L' R2 U
L B F U R2 L' U
D' B' L B' R' F2 L'
D' B' L' F U2 F R
L2 B' D' L' F U2 F
L B' F U L' R2 U
D' B2 L R' F2 B' L'
D' B2 L R' B' F2 L'
L B' F U R2 L' U
D' B2 L U2 R' F2 B'
D' B2 L U2 R' B' F2
D' B2 L U2 F2 R' B'
D' B2 L' F U2 R' F
D' B2 L' F U2 F R'
D B2 L U2 R' D B
D B2 L U2 R' D' B
D B2 L U2 R' D2 B
D B2 L U2 R' B D
D B2 L U2 R' B D'
D B2 L U2 R' B D2
D' B2 L2 R' F2 L' B'
D B2 L F U2 R' B
D B2 L F' U2 R' B
D B2 L F2 U2 R' B
D B2 L' U2 R' D B
D B2 L' U2 R' D' B
D B2 L' U2 R' D2 B
D B2 L' U2 R' B D
D B2 L' U2 R' B D'
D B2 L' U2 R' B D2
D B2 L' F U2 R' B
D B2 L' F' U2 R' B
D B2 L' F2 U2 R' B
D B2 L2 U2 R' D B
D B2 L2 U2 R' D' B
D B2 L2 U2 R' D2 B
D B2 L2 U2 R' B D
D B2 L2 U2 R' B D'
D B2 L2 U2 R' B D2
D' B2 R' L F2 B' L'
D' B2 R' L B' F2 L'
D B2 L2 F U2 R' B
D' B2 R' L2 F2 L' B'
D B2 L2 F' U2 R' B
D B2 L2 F2 U2 R' B
D' B2 R' F2 L B' L2
D B2 R F' R' U2 R'
R B2 R' D' L F2 B'
R B2 R' D' L B' F2
R B2 R' D' F2 L B'
D B2 U L U R' B
D B2 U L' U R' B
D B2 U L2 U R' B
D B2 U' R U' R2 B
D' B2 U2 F2 D2 R' B
D B2 U' F U' R' B
D B2 U' F' U' R' B
D B2 U' F2 U' R' B
D B2 U2 L R' B L'
D B2 U2 L2 R' B L2
D B2 U2 R B R2 B
D B2 U2 R B' R2 B
D B2 U2 R B2 R2 B
D B2 U2 R' L B L'
D B2 U2 R' L2 B L2
D B2 U2 R' D B D
D B2 U2 R' D B D'
D B2 U2 R' D B D2
D B2 U2 R' D' B D
D B2 U2 R' D' B D'
D B2 U2 R' D' B D2
D B2 U2 R' D2 B D
D B2 U2 R' D2 B D'
D B2 U2 R' D2 B D2
D B2 U2 R' B2 D B'
D B2 U2 R' B2 D' B'
D B2 U2 R' B2 D2 B'
D B2 U2 R2 D R B
D B2 U2 R2 D' R B
D B2 U2 R2 D2 R B
D B2 U2 R2 B R B
D B2 U2 R2 B' R B
D B2 U2 R2 B2 R B
U2 B2 D R' D2 F2 B
U2 B2 D R' D2 B F2
D B2 U2 F' R' F B
D B2 U2 F' R' B F
D B2 U2 F2 R' F2 B
D B2 U2 F2 R' B F2
D B2 U2 B' R' B R'
F B2 U L' R2 U R
L2 B2 D' L' F U2 F
F B2 U R2 L' U R
U2 B2 D' F2 D2 R' B
D B2 D2 L U2 R' B'
D B2 D2 L' F U2 R'
D B2 F L U2 R' B
D B2 F L' U2 R' B
D B2 F L2 U2 R' B
D B2 F U2 R' D B
D B2 F U2 R' D' B
D B2 F U2 R' D2 B
D B2 F U2 R' B D
D B2 F U2 R' B D'
D B2 F U2 R' B D2
D B2 F' L U2 R' B
D B2 F' L' U2 R' B
D B2 F' L2 U2 R' B
L B2 F U L' R2 U
L B2 F U R2 L' U
D B2 F' U2 R' D B
D B2 F' U2 R' D' B
D B2 F' U2 R' D2 B
D B2 F' U2 R' B D
D B2 F' U2 R' B D'
D B2 F' U2 R' B D2
D B2 F2 L U2 R' B
D B2 F2 L' U2 R' B
D B2 F2 L2 U2 R' B
D B2 F2 U2 R' D B
D B2 F2 U2 R' D' B
D B2 F2 U2 R' D2 B
D B2 F2 U2 R' B D
D B2 F2 U2 R' B D'
D B2 F2 U2 R' B D2
