B R' U L2 D2 B2
B R' U' F2 U2 L2
B R' F U L2 B'
F2 U B R' U L2
B D2 R' U B2 L
B F R' U L2 B'
F B R' U L2 B'
U2 B D2 R' U B2 L
F2 B R' U L2 D' B2
F2 B R' F' U L2 B'
B F R' L U L B'
B F R' U L2 D B'
B F R' U L2 D' B'
B F R' U L2 D2 B'
B F R' U L2 B' D
B F R' U L2 B' D'
B F R' U L2 B' D2
B F R' U B L2 B'
B F R' U B' L2 B'
U2 B F R' U L2 B'
B F R' U B2 L2 B'
B F R' U' F U2 L2
F B R' L U L B'
U B D2 R' U B2 L
F B R' U L2 D B'
F B R' U L2 D' B'
F B R' U L2 D2 B'
F B R' U L2 B' D
F B R' U L2 B' D'
F B R' U L2 B' D2
F B R' U B L2 B'
F B R' U B' L2 B'
F B R' U B2 L2 B'
F B R' U' F U2 L2
F2 B U R' U L2 R
F2 B U R' U R L2
U B F R' U L2 B'
F2 B' U B2 R' U L2
B F2 R' U L2 D' B2
B F2 R' F' U L2 B'
B' F2 U B2 R' U L2
B F2 U R' U L2 R
B F2 U R' U R L2
