L' F2 U F R
B' L' F2 U F R
B2 L' F2 U F R
B L' F2 U F R
U2 L' F2 B' U F
U2 L' B' F2 U F
F2 U2 R U' F R
L' F2 R B U F
L' F2 U R F R
L' F2 U R' F R
L' F2 U R2 F R
L' F2 U D F R
L' F2 U D' F R
L' F2 U D2 F R
L' F2 U F R D
L' F2 U F R D'
L' F2 U F R D2
L' F2 U F D R
L' F2 U F D' R
L' F2 U F D2 R
L' F2 D U F R
L' F2 D' U F R
L' F2 D2 U F R
L' F2 B U F R
L' F2 B' U F R
L' F2 B2 U F R
L' B F2 U F R
L' B' F2 U F R
L' B2 F2 U F R
B' L' F2 B U F R
B2 L' F2 D' U F R
U2 L' F2 D' B' U F
B' L' F2 B' U F R
B L' F2 D U F R
U L' F2 U F' R F2
B2 L' F2 D2 U F R
U2 L' F2 D2 B' U F
U' L' F2 B' U R' F
U' L' F2 B' U F R'
B' L' F2 B2 U F R
B L' F2 D' U F R
B2 L' F2 B U F R
U2 L' F2 B' R U F
U2 L' F2 B' R' U F
U2 L' F2 B' R2 U F
B L' F2 D2 U F R
U2 L' F2 B' U D F
U2 L' F2 B' U D' F
U2 L' F2 B' U D2 F
U2 L' F2 B' U F D
U2 L' F2 B' U F D'
U2 L' F2 B' U F D2
U2 L' F2 B' D U F
U2 L' F2 B' D' U F
U2 L' F2 B' D2 U F
B2 L' F2 B' U F R
B L' F2 B U F R
B2 L' F2 B2 U F R
B L' F2 B' U F R
B L' F2 B2 U F R
B' L' B F2 U F R
B2 L' B F2 U F R
B L' B F2 U F R
U2 L' B' U D' L2 F'
U2 L' B' U D' F' L2
U2 L' B' D' U L2 F'
U2 L' B' D' U F' L2
B' L' B' F2 U F R
U' L' B' F2 U R' F
U' L' B' F2 U F R'
B2 L' B' F2 U F R
U2 L' B' F2 R U F
U2 L' B' F2 R' U F
U2 L' B' F2 R2 U F
U2 L' B' F2 U D F
U2 L' B' F2 U D' F
U2 L' B' F2 U D2 F
U2 L' B' F2 U F D
U2 L' B' F2 U F D'
U2 L' B' F2 U F D2
U2 L' B' F2 D U F
U2 L' B' F2 D' U F
U2 L' B' F2 D2 U F
B L' B' F2 U F R
B' L' B2 F2 U F R
B2 L' B2 F2 U F R
B L' B2 F2 U F R
L' U D F R F2 L'
L' U D' L2 F R F2
L' U D' F L2 R F2
L' U D' F R L2 F2
L' U D' F R F2 L2
L U D' F' L2 B2 R'
L' U' D R2 B L U2
L' U' D' F' L2 B' R'
F2 R' U F D R2 B2
F2 R' U F D B2 R2
F2 R' U2 F' R2 U' F2
L' D U F R F2 L'
L' D U' R2 B L U2
F2 U R' D F R B2
F2 U R' D F B2 R
F2 U R' D B2 F R
F2 U R' F D R B2
F2 U R' F D B2 R
F2 U R2 F R D B2
F2 U F R2 D R' B
F2 U F D R' B R2
L' D' U L2 F R F2
L' D' U F L2 R F2
L' D' U F R L2 F2
L' D' U F R F2 L2
L' D' U' F' L2 B' R'
U2 D' L' B' U L' F'
L D' U F' L2 B2 R'
L' D' F2 U F L2 R
L' D' F2 U F R L2
D' U2 L' B' U L' F'
B' U2 L' F2 B' U F
B' U2 L' B' F2 U F
B2 U2 L' F2 B' U F
B2 U2 L' B' F2 U F
B U2 L' F2 B' U F
B U2 L' B' F2 U F
F2 U2 R U' R F R
F2 U2 R U' R' F R
F2 U2 R U' R2 F R
F2 U2 R U' D F R
F2 U2 R U' D' F R
F2 U2 R U' D2 F R
F2 U2 R U' F R D
F2 U2 R U' F R D'
F2 U2 R U' F R D2
F2 U2 R U' F D R
F2 U2 R U' F D' R
F2 U2 R U' F D2 R
F2 U2 R D U' F R
F2 U2 R D' U' F R
F2 U2 R D2 U' F R
F2 U2 D R U' F R
F2 U2 D' R U' F R
F2 U2 D2 R U' F R
L' F R F B U F
L' F R B F U F
F2 D U2 R U' F R
L2 F' L F' U F R
L F' L2 F' U F R
L' F' D F' U F R
L' F' D' F' U F R
L' F' D2 F' U F R
F2 D' U2 R U' F R
L' F2 R D B U F
L' F2 R D' B U F
L' F2 R D2 B U F
L' F2 R B R U F
L' F2 R B R' U F
L' F2 R B R2 U F
L' F2 R B U D F
L' F2 R B U D' F
L' F2 R B U D2 F
L' F2 R B U F D
L' F2 R B U F D'
L' F2 R B U F D2
L' F2 R B D U F
L' F2 R B D' U F
L' F2 R B D2 U F
L F2 L2 U' B' U2 R'
L' F2 R' U F D R2
L' F2 R' U2 F' U' F2
L' F2 U R D F R
L' F2 U R D' F R
L' F2 U R D2 F R
L' F2 U R F R D
L' F2 U R F R D'
L' F2 U R F R D2
L' F2 U R F D R
L' F2 U R F D' R
L' F2 U R F D2 R
L' F2 U R' D F R
L' F2 U R' D' F R
L' F2 U R' D2 F R
L' F2 U R' F R D
L' F2 U R' F R D'
L' F2 U R' F R D2
L' F2 U R' F D R
L' F2 U R' F D' R
L' F2 U R' F D2 R
L' F2 U R2 D F R
L' F2 U R2 D' F R
L' F2 U R2 D2 F R
L' F2 U R2 F R D
L' F2 U R2 F R D'
L' F2 U R2 F R D2
L' F2 U R2 F D R
L' F2 U R2 F D' R
L' F2 U R2 F D2 R
L' F2 U D R F R
L' F2 U D R' F R
L' F2 U D R2 F R
L' F2 U D F R D
L' F2 U D F R D'
L' F2 U D F R D2
L' F2 U D F D R
L' F2 U D F D' R
L' F2 U D F D2 R
L' F2 U D' R F R
L' F2 U D' R' F R
L' F2 U D' R2 F R
L' F2 U D' F R D
L' F2 U D' F R D'
L' F2 U D' F R D2
L' F2 U D' F D R
L' F2 U D' F D' R
L' F2 U D' F D2 R
L' F2 U D2 R F R
L' F2 U D2 R' F R
L' F2 U D2 R2 F R
L' F2 U D2 F R D
L' F2 U D2 F R D'
L' F2 U D2 F R D2
L' F2 U D2 F D R
L' F2 U D2 F D' R
L' F2 U D2 F D2 R
L' F2 U F R2 D R'
L' F2 U F R2 D' R'
L' F2 U F R2 D2 R'
L' F2 U F D R D
L' F2 U F D R D'
L' F2 U F D R D2
L' F2 U F D' R D
L' F2 U F D' R D'
L' F2 U F D' R D2
L' F2 U F D2 R D
L' F2 U F D2 R D'
L' F2 U F D2 R D2
L' F2 U F B R B'
L' F2 U F B2 R B2
L' F2 U F' R F2 R
L' F2 U F' R' F2 R
L' F2 U F' R2 F2 R
L' F2 U B F R B'
L' F2 U B2 F R B2
L' F2 U' L2 B' U2 R'
L' F2 U' B' U2 R' F
L' F2 U' B' U2 F R'
R' F2 U2 R F U' F2
L F2 U D' F R B2
L F2 U D' F B2 R
L F2 U D' B2 F R
L F2 U F R D' B2
L F2 U F D' R B2
L F2 U F D' B2 R
L' F2 D R B U F
L' F2 D U R F R
L' F2 D U R' F R
L' F2 D U R2 F R
L' F2 D U F R D
L' F2 D U F R D'
L' F2 D U F R D2
L' F2 D U F D R
L' F2 D U F D' R
L' F2 D U F D2 R
L' F2 D B U F R
L' F2 D B' U F R
L' F2 D B2 U F R
L' F2 D' R B U F
L' F2 D' U R F R
L' F2 D' U R' F R
L' F2 D' U R2 F R
L' F2 D' U F R D
L' F2 D' U F R D'
L' F2 D' U F R D2
L' F2 D' U F D R
L' F2 D' U F D' R
L' F2 D' U F D2 R
L' F2 D' B U F R
L' F2 D' B' U F R
L' F2 D' B2 U F R
L' F2 D2 R B U F
L' F2 D2 U R F R
L' F2 D2 U R' F R
L' F2 D2 U R2 F R
L' F2 D2 U F R D
L' F2 D2 U F R D'
L' F2 D2 U F R D2
L' F2 D2 U F D R
L' F2 D2 U F D' R
L' F2 D2 U F D2 R
L' F2 D2 B U F R
L' F2 D2 B' U F R
L' F2 D2 B2 U F R
L' F2 B R B U F
L F2 D' U F R B2
L F2 D' U F B2 R
L F2 D' U B2 F R
L' F2 B U R F R
L' F2 B U R' F R
L' F2 B U R2 F R
L' F2 B U D F R
L' F2 B U D' F R
L' F2 B U D2 F R
L' F2 B U F R D
L' F2 B U F R D'
L' F2 B U F R D2
L' F2 B U F D R
L' F2 B U F D' R
L' F2 B U F D2 R
L' F2 B D U F R
L' F2 B D' U F R
L' F2 B D2 U F R
L' F2 B' R B U F
L' F2 B' U R F R
L' F2 B' U R' F R
L' F2 B' U R2 F R
L' F2 B' U D F R
L' F2 B' U D' F R
L' F2 B' U D2 F R
L' F2 B' U F R D
L' F2 B' U F R D'
L' F2 B' U F R D2
L' F2 B' U F D R
L' F2 B' U F D' R
L' F2 B' U F D2 R
L' F2 B' D U F R
L' F2 B' D' U F R
L' F2 B' D2 U F R
L' F2 B2 R B U F
L2 F2 B' U F R B
L' F2 B2 U R F R
L' F2 B2 U R' F R
L' F2 B2 U R2 F R
L' F2 B2 U D F R
L' F2 B2 U D' F R
L' F2 B2 U D2 F R
L' F2 B2 U F R D
L' F2 B2 U F R D'
L' F2 B2 U F R D2
L' F2 B2 U F D R
L' F2 B2 U F D' R
L' F2 B2 U F D2 R
L' F2 B2 D U F R
L' F2 B2 D' U F R
L' F2 B2 D2 U F R
F2 D2 U2 R U' F R
U2 B L' F2 B' U F
U2 B L' B' F2 U F
R B L' R' F2 U F
R B L' F2 R' U F'
L B L2 F2 U F R
R B R' L' F2 U F
L' B F2 R B U F
L' B F2 U R F R
L' B F2 U R' F R
L' B F2 U R2 F R
L' B F2 U D F R
L' B F2 U D' F R
L' B F2 U D2 F R
L' B F2 U F R D
L' B F2 U F R D'
L' B F2 U F R D2
L' B F2 U F D R
L' B F2 U F D' R
L' B F2 U F D2 R
L' B F2 D U F R
L' B F2 D' U F R
L' B F2 D2 U F R
U' B' L' F2 U R' F
U' B' L' F2 U F R'
F2 B U2 R U' F R
U2 B' L' F2 B' U F
U2 B' L' B' F2 U F
L B' L2 F2 U F R
F2 B' U2 R U' F R
L' B' F2 R B U F
L' B' F2 U R F R
L' B' F2 U R' F R
L' B' F2 U R2 F R
L' B' F2 U D F R
L' B' F2 U D' F R
L' B' F2 U D2 F R
L' B' F2 U F R D
L' B' F2 U F R D'
L' B' F2 U F R D2
L' B' F2 U F D R
L' B' F2 U F D' R
L' B' F2 U F D2 R
L' B' F2 D U F R
L' B' F2 D' U F R
L' B' F2 D2 U F R
L2 B' F2 U F R B
U2 B2 L' F2 B' U F
U2 B2 L' B' F2 U F
L B2 L2 F2 U F R
D2 B2 U2 L' B' U F'
B' F2 U2 R U' F R
B2 F2 U2 R U' F R
F2 B2 U2 R U' F R
B F2 U2 R U' F R
L' B2 F2 R B U F
L' B2 F2 U R F R
L' B2 F2 U R' F R
L' B2 F2 U R2 F R
L' B2 F2 U D F R
L' B2 F2 U D' F R
L' B2 F2 U D2 F R
L' B2 F2 U F R D
L' B2 F2 U F R D'
L' B2 F2 U F R D2
L' B2 F2 U F D R
L' B2 F2 U F D' R
L' B2 F2 U F D2 R
L' B2 F2 D U F R
L' B2 F2 D' U F R
L' B2 F2 D2 U F R
