B2 U' D2 R' B
B2 D2 U' R' B
U L U' B2 U' B
U L U2 D B' L2
U L D U2 B' L2
U L D' R2 U2 B'
L U' B2 L' U' B
B2 U L U2 R' B'
B2 U L' F U2 R'
B2 U' L R' B' L'
B2 U' R' L B' L'
B2 U' D2 R' D B
B2 U' D2 R' D' B
B2 U' D2 R' D2 B
B2 U' D2 R' B D
B2 U' D2 R' B D'
B2 U' D2 R' B D2
B2 U2 L U R' B'
B2 D F' R U' R2
B2 D2 R U' R2 B
B2 D2 U' R' D B
B2 D2 U' R' D' B
B2 D2 U' R' D2 B
B2 D2 U' R' B D
B2 D2 U' R' B D'
B2 D2 U' R' B D2
B2 D2 F U' R' B
B2 D2 F' U' R' B
B2 D2 F2 U' R' B
B2 D2 F2 U' R' B
B' D2 B' U' R' B
B2 F U' D2 R' B
B2 F D2 U' R' B
B2 F' U' D2 R' B
B2 F' D2 U' R' B
R' B2 U' D2 R' B
R2 B2 U' D2 R' B
F' B2 U' D2 R' B
R' B2 D2 U' R' B
F2 B2 U' D2 R' B
B2 F2 U' D2 R' B
R B2 U' D2 R' B
R2 B2 D2 U' R' B
F B2 U' D2 R' B
F' B2 D2 U' R' B
B2 F2 D2 U' R' B
F2 B2 D2 U' R' B
R B2 D2 U' R' B
F B2 D2 U' R' B
B2 R U L U2 R2 B'
B2 R U L U2 B' R2
B2 R U L' F U2 R2
B2 R U' L R2 B' L'
B2 R U' L B' L' R2
B2 R U' L B' R2 L'
B2 R U' R' D2 R' B
B2 R U' R2 L B' L'
B2 R U2 L U R2 B'
B2 R U2 L U B' R2
B' R D2 B' U' R' B
L U' R B2 L' U' B
L U' R' B2 L' U' B
B' R B' U' D2 R' B
B' R B' D2 U' R' B
L U' R2 B2 L' U' B
U2 R B2 L U' R' B'
F' R B2 U' D2 R' B
F2 R B2 U' D2 R' B
F' R B2 D2 U' R' B
F2 R B2 D2 U' R' B
F R B2 U' D2 R' B
F R B2 D2 U' R' B
U R' L U' B2 U' B
U R' L U2 D B' L2
U R' L D U2 B' L2
U R' L D' R2 U2 B'
B R' U' B L R' B'
B R' U' B R' L B'
L U' B L' B U' B
B2 R' D F' R U' R'
L U' B2 L' U' D B
L U' B2 L' U' D' B
L U' B2 L' U' D2 B
L U' B2 L' U' B D
L U' B2 L' U' B D'
L U' B2 L' U' B D2
L U' B2 L' D U' B
L U' B2 L' D' U' B
L U' B2 L' D2 U' B
L U' B2 D L' U' B
L U' B2 D' L' U' B
L U' B2 D2 L' U' B
B2 R' D2 R' U' B R
D2 R' D2 B2 U' R' B'
B' R' D2 B' U' R' B
B' R' B' U' D2 R' B
B' R' B' D2 U' R' B
L2 U2 D F2 L2 R B
L2 U2 D F2 R L2 B
L2 U2 D F2 R B L2
F' R' B2 U' D2 R' B
F' R' B2 D2 U' R' B
F2 R' B2 U' D2 R' B
F2 R' B2 D2 U' R' B
F R' B2 U' D2 R' B
F R' B2 D2 U' R' B
U R2 L U' B2 U' B
U R2 L U2 D B' L2
U R2 L D U2 B' L2
U R2 L D' R2 U2 B'
B2 R2 U L U2 R B'
B2 R2 U L U2 B' R
B2 R2 U L2 U2 R B
B2 R2 U F2 L' F U2
B2 R2 U' L R B' L'
B2 R2 U' L B' L' R
B2 R2 U' L B' R L'
B2 R2 U' R L B' L'
B2 R2 U' R2 D2 R' B
B2 R2 U' D2 R' B R2
B2 R2 U2 L U R B'
B2 R2 U2 L U B' R
L U2 B' U B' L' U'
L' D L F2 U' L B'
B2 R2 D2 R' U' B R2
B2 R2 D2 U' R' B R2
B' R2 D2 B' U' R' B
L2 D L' U2 B' L' F2
B2 R2 F2 U L' F U2
B' R2 B' U' D2 R' B
B' R2 B' D2 U' R' B
F' R2 B2 U' D2 R' B
F' R2 B2 D2 U' R' B
F2 R2 B2 U' D2 R' B
F2 R2 B2 D2 U' R' B
F' U L U' B2 U' B
F' U L U2 D B' L2
F' U L D U2 B' L2
F' U L D' R2 U2 B'
B2 U L U2 R B' R2
B2 U L U2 R' D B'
B2 U L U2 R' D' B'
B2 U L U2 R' D2 B'
B2 U L U2 R' B' D
B2 U L U2 R' B' D'
B2 U L U2 R' B' D2
B2 U L U2 R2 B' R
B2 U L U2 D R' B'
B2 U L U2 D' R' B'
B2 U L U2 D2 R' B'
F R2 B2 U' D2 R' B
F2 U L U' B2 U' B
F2 U L U2 D B' L2
B2 U L D U2 R' B'
B2 U L D' U2 R' B'
F2 U L D U2 B' L2
F2 U L D' R2 U2 B'
B2 U L D2 U2 R' B'
B2 U L F U2 R' B'
F R2 B2 D2 U' R' B
B2 U L F' U2 R' B'
B2 U L F2 U2 R' B'
D U L U2 D' L B'
L2 D U2 F2 L2 R B
L2 D U2 F2 R L2 B
L2 D U2 F2 R B L2
D U L D' U2 L B'
F U L U' B2 U' B
F U L U2 D B' L2
F U L D U2 B' L2
F U L D' R2 U2 B'
U D L U2 D' L B'
B2 U L' D F U2 R'
B2 U L' D' F U2 R'
U D L D' U2 L B'
B2 U L' D2 F U2 R'
B2 U L' F L U2 R'
B2 U L' F L' U2 R'
B2 U L' F L2 U2 R'
B2 U L' F U2 R' D
B2 U L' F U2 R' D'
B2 U L' F U2 R' D2
B2 U L' F U2 D R'
B2 U L' F U2 D' R'
B2 U L' F U2 D2 R'
B2 U L' F D U2 R'
B2 U L' F D' U2 R'
B2 U L' F D2 U2 R'
B2 U L2 U2 R B R2
L2 D F2 L' R B' L'
L2 D F2 L' B' L' R
L2 D F2 L' B' R L'
L2 D F2 R L' B' L'
D' U R2 D L U2 B'
B2 U D2 L U2 R' B
B2 U D2 L' U2 R' B
B2 U D2 L2 U2 R' B
B2 U D2 F U2 R' B
B2 U D2 F' U2 R' B
B2 U D2 F2 U2 R' B
B2 U F L U2 R' B'
L2 D' L' R2 B2 U2 B
B2 U F L' F U2 R'
B2 U F U2 D2 R' B
B2 U F D2 U2 R' B
L2 D' L' B2 R2 F' U2
B2 U F' L U2 R' B'
B2 U F' L' F U2 R'
B2 U F' U2 D2 R' B
B2 U F' D2 U2 R' B
B2 U F2 L U2 R' B'
B2 U F2 L' F U2 R'
U' D B2 L2 D R' B
B2 U F2 U2 D2 R' B
B2 U F2 D2 U2 R' B
L2 D' R2 L' B2 U2 B
L2 D' R2 B2 L' U2 B'
B2 U B2 L B2 U2 B
B2 U' L R B' L' R2
B2 U' L R B' R2 L'
B2 U' L R' D B' L'
B2 U' L R' D' B' L'
B2 U' L R' D2 B' L'
B2 U' L R' B L' B2
B2 U' L R' B' L' D
B2 U' L R' B' L' D'
B2 U' L R' B' L' D2
B2 U' L R' B' D L'
B2 U' L R' B' D' L'
B2 U' L R' B' D2 L'
B2 U' L R' B2 L' B
B2 U' L R2 B' L' R
B2 U' L R2 B' R L'
B2 U' L D R' B' L'
B2 U' L D' R' B' L'
B2 U' L D2 R' B' L'
B2 U' R L B' L' R2
B2 U' R L B' R2 L'
U D' R2 D L U2 B'
B2 U' R' L D B' L'
B2 U' R' L D' B' L'
B2 U' R' L D2 B' L'
B2 U' R' L B L' B2
B2 U' R' L B' L' D
B2 U' R' L B' L' D'
B2 U' R' L B' L' D2
B2 U' R' L B' D L'
B2 U' R' L B' D' L'
B2 U' R' L B' D2 L'
B2 U' R' L B2 L' B
B2 U' R' U' L U B'
B2 U' R' D2 R' B R
B2 U' R' B L B' L'
B2 U' R' B' L B' L'
B2 U' R' B2 L B' L'
B2 U' R2 L B' L' R
B2 U' R2 L B' R L'
B2 U' R2 D2 R' B R2
L2 D' B2 L' R2 U2 B'
L2 D' B2 R2 L' U2 B'
B2 U' D2 L R' B L'
B2 U' D2 L2 R' B L2
B2 U' D2 R B R2 B
B2 U' D2 R B' R2 B
B2 U' D2 R B2 R2 B
B2 U' D2 R' L B L'
B2 U' D2 R' L2 B L2
B2 U' D2 R' D B D
B2 U' D2 R' D B D'
B2 U' D2 R' D B D2
B2 U' D2 R' D' B D
B2 U' D2 R' D' B D'
B2 U' D2 R' D' B D2
B2 U' D2 R' D2 B D
B2 U' D2 R' D2 B D'
B2 U' D2 R' D2 B D2
B2 U' D2 R' B2 D B'
B2 U' D2 R' B2 D' B'
B2 U' D2 R' B2 D2 B'
B2 U' D2 R2 D R B
B2 U' D2 R2 D' R B
B2 U' D2 R2 D2 R B
B2 U' D2 R2 B R B
B2 U' D2 R2 B' R B
B2 U' D2 R2 B2 R B
B2 U' D2 F' R' F B
B2 U' D2 F' R' B F
B2 U' D2 F2 R' F2 B
B2 U' D2 F2 R' B F2
B2 U' D2 B' R' B R'
D2 U' B2 R' D' L2 B
D2 U' B2 R' D' B L2
D2 U' B2 R' B D' L2
B2 U' F D2 F' R' B
D U' B2 L2 D R' B
B2 U' F' D2 R' F B
B2 U' F' D2 R' B F
B2 U' F' D2 F R' B
B2 U' B L B' L' R'
B2 U' B L B' R' L'
B2 U' B D2 B' R' B
B2 U' B2 U2 L U2 B'
B2 U' B2 D2 B2 R' B
B2 U2 L U R B' R2
B2 U2 L U R' D B'
B2 U2 L U R' D' B'
B2 U2 L U R' D2 B'
B2 U2 L U R' B' D
B2 U2 L U R' B' D'
B2 U2 L U R' B' D2
B2 U2 L U R2 B' R
B2 U2 L U D R' B'
B2 U2 L U D' R' B'
B2 U2 L U D2 R' B'
B2 U2 L D U R' B'
L D2 U F2 R U B'
B2 U2 L D' U R' B'
B2 U2 L D2 U R' B'
B2 U2 L' U' F U2 R'
D2 U2 F2 U B2 R' B
D2 U2 F2 B2 U R' B
U2 D2 F2 U B2 R' B
U2 D2 F2 B2 U R' B
U' D2 B2 R' D' L2 B
U' D2 B2 R' D' B L2
U' D2 B2 R' B D' L2
D2 U2 B2 F2 U R' B
U2 D2 B2 F2 U R' B
B2 U2 D2 L U R' B
B2 U2 D2 L' U R' B
B2 U2 D2 L2 U R' B
U F L U' B2 U' B
U F L U2 D B' L2
U F L D U2 B' L2
U F L D' R2 U2 B'
L' F L2 U' L' B2 U'
L' F L2 U' B2 L' U'
L' F U' L B2 U' R'
B2 U2 B2 U' L U2 B'
B2 D R F' R U' R
B2 D R' F' R U' R'
R' F B2 U' D2 R' B
R' F B2 D2 U' R' B
R2 F B2 U' D2 R' B
R2 F B2 D2 U' R' B
R F B2 U' D2 R' B
R F B2 D2 U' R' B
U F' L U' B2 U' B
U F' L U2 D B' L2
U F' L D U2 B' L2
U F' L D' R2 U2 B'
B2 D F U2 L' U R'
B' D F' R B' U' R'
B2 D F' R U' R2 D
B2 D F' R U' R2 D'
B2 D F' R U' R2 D2
B2 D F' R D' F2 U'
B2 D F' R F U' R2
B2 D F' R F' U' R2
B2 D F' R F2 U' R2
B' D F' B' R U' R2
B2 D F' U' R' D B2
B2 D F' D R U' R2
B2 D F' D' R U' R2
B2 D F' D2 R U' R2
B2 D F2 R2 U' R B
B2 D F2 U' R B R2
D F' R U L U2 L
D F' R D' B2 U' R'
D F' R B2 U' L2 R'
D F' R B2 U' R' L2
B' D B' U' D R' B
B' D B' D U' R' B
B' D B' F' R U' R2
D F' D' R B2 U' R'
D F' D' B2 R U' R2
R' F' B2 U' D2 R' B
R' F' B2 D2 U' R' B
D F' B2 R U' L2 R2
D F' B2 R U' R2 L2
R2 F' B2 U' D2 R' B
R2 F' B2 D2 U' R' B
R F' B2 U' D2 R' B
U F2 L U' B2 U' B
R F' B2 D2 U' R' B
U F2 L U2 D B' L2
U F2 L D U2 B' L2
U F2 L D' R2 U2 B'
B2 D' F U' D' R' B
B2 D' F D' U' R' B
B2 D' F' U' D' R' B
B2 D' F' D' U' R' B
B2 D' F2 U' D' R' B
B2 D' F2 D' U' R' B
B' D' B R' B2 U' R'
B2 D' B R' B' U' R'
B' D' B' U2 L U R'
B D' B R F' R2 U'
B D' B R' U2 B U
D F2 U L F U2 L
B2 D2 R U F' U2 R2
B2 D2 R U' R2 D B
B2 D2 R U' R2 D' B
B2 D2 R U' R2 D2 B
B2 D2 R U' R2 B D
B2 D2 R U' R2 B D'
B2 D2 R U' R2 B D2
B2 D2 R U' B R2 B
B2 D2 R U' B' R2 B
B2 D2 R U' B2 R2 B
B' D2 R' B' U' R' B2
B2 D2 U L U2 R' B
B2 D2 U L' U2 R' B
R' F2 B2 U' D2 R' B
B2 D2 U L2 U2 R' B
R' F2 B2 D2 U' R' B
B2 D2 U F U2 R' B
B2 D2 U F' U2 R' B
B2 D2 U F2 U2 R' B
B2 D2 U' L R' B L'
B2 D2 U' L2 R' B L2
B2 D2 U' R B R2 B
B2 D2 U' R B' R2 B
B2 D2 U' R B2 R2 B
B2 D2 U' R' L B L'
B2 D2 U' R' L2 B L2
B2 D2 U' R' D B D
B2 D2 U' R' D B D'
B2 D2 U' R' D B D2
B2 D2 U' R' D' B D
B2 D2 U' R' D' B D'
B2 D2 U' R' D' B D2
B2 D2 U' R' D2 B D
B2 D2 U' R' D2 B D'
B2 D2 U' R' D2 B D2
B2 D2 U' R' B2 D B'
B2 D2 U' R' B2 D' B'
B2 D2 U' R' B2 D2 B'
B2 D2 U' R2 D R B
B2 D2 U' R2 D' R B
B2 D2 U' R2 D2 R B
B2 D2 U' R2 B R B
B2 D2 U' R2 B' R B
B2 D2 U' R2 B2 R B
B2 D2 U' F' R' F B
B2 D2 U' F' R' B F
B2 D2 U' F2 R' F2 B
B2 D2 U' F2 R' B F2
R2 F2 B2 U' D2 R' B
B2 D2 U' B' R' B R'
B2 D2 U2 L U R' B
B2 D2 U2 L' U R' B
R2 F2 B2 D2 U' R' B
B2 D2 U2 L2 U R' B
B2 D2 F R U' R2 B
R F2 B2 U' D2 R' B
B' D2 F B' U' R' B
B2 D2 F U' R' D B
B2 D2 F U' R' D' B
B2 D2 F U' R' D2 B
B2 D2 F U' R' B D
B2 D2 F U' R' B D'
B2 D2 F U' R' B D2
R F2 B2 D2 U' R' B
B2 D2 F' R U' R2 B
B' D2 F' B' U' R' B
B2 D2 F' U' R' D B
B2 D2 F' U' R' D' B
B2 D2 F' U' R' D2 B
B2 D2 F' U' R' B D
B2 D2 F' U' R' B D'
B2 D2 F' U' R' B D2
L B L' B U' B R'
B2 D2 F2 R U' R2 B
B' D2 F2 B' U' R' B
B2 D2 F2 U' R' D B
B2 D2 F2 U' R' D' B
B2 D2 F2 U' R' D2 B
B2 D2 F2 U' R' B D
B2 D2 F2 U' R' B D'
B2 D2 F2 U' R' B D2
B' D2 B' R U' R2 B
B' D2 B' U' R' D B
B' D2 B' U' R' D' B
B' D2 B' U' R' D2 B
B' D2 B' U' R' B D
B' D2 B' U' R' B D'
B' D2 B' U' R' B D2
B' D2 B' F U' R' B
B' D2 B' F' U' R' B
B' D2 B' F2 U' R' B
L B U' L' B U' B
L B U' B L' U' B
B2 F U L U2 R' B'
B2 F U L' F U2 R'
B2 F U' L R' B' L'
B2 F U' R' L B' L'
B2 F U' D2 R' D B
B2 F U' D2 R' D' B
B2 F U' D2 R' D2 B
B2 F U' D2 R' B D
B2 F U' D2 R' B D'
B2 F U' D2 R' B D2
B2 F U2 L U R' B'
B2 F D F' R U' R2
B2 F D2 R U' R2 B
B' F D2 B' U' R' B
B2 F D2 U' R' D B
B2 F D2 U' R' D' B
B2 F D2 U' R' D2 B
B2 F D2 U' R' B D
B2 F D2 U' R' B D'
B2 F D2 U' R' B D2
B2 F D2 F U' R' B
B2 F D2 F' U' R' B
B2 F D2 F2 U' R' B
B2 F' U L U2 R' B'
B2 F' U L' F U2 R'
R' B' D2 B' U' R' B
B2 F' U' L R' B' L'
B2 F' U' R' L B' L'
B2 F' U' D2 R' D B
B2 F' U' D2 R' D' B
B2 F' U' D2 R' D2 B
B2 F' U' D2 R' B D
B2 F' U' D2 R' B D'
B2 F' U' D2 R' B D2
R2 B' D2 B' U' R' B
B2 F' U2 L U R' B'
R B' D2 B' U' R' B
B2 F' D F' R U' R2
B' F' D2 B' U' R' B
B2 F' D2 R U' R2 B
B2 F' D2 U' R' D B
B2 F' D2 U' R' D' B
B2 F' D2 U' R' D2 B
B2 F' D2 U' R' B D
B2 F' D2 U' R' B D'
B2 F' D2 U' R' B D2
B2 F' D2 F U' R' B
B2 F' D2 F' U' R' B
F' B' D2 B' U' R' B
B2 F' D2 F2 U' R' B
L2 B2 L2 U L U2 B'
F2 B' D2 B' U' R' B
L B2 L' U L U2 B
L B2 L' U' B2 R' B'
D B2 L2 D R' F2 B
D B2 L2 D R' B F2
D B2 L2 D F2 R' B
F B' D2 B' U' R' B
R' B2 U L U2 R' B'
R' B2 U L' F U2 R'
R' B2 U' L R' B' L'
R' B2 U' R' L B' L'
D2 B2 U' R' D' L2 B
D2 B2 U' R' D' B L2
D2 B2 U' R' B D' L2
R' B2 U' D2 R' D B
R' B2 U' D2 R' D' B
R' B2 U' D2 R' D2 B
R' B2 U' D2 R' B D
R' B2 U' D2 R' B D'
R' B2 U' D2 R' B D2
R2 B2 U L U2 R' B'
R2 B2 U L' F U2 R'
R' B2 U2 L U R' B'
R2 B2 U' L R' B' L'
D2 B2 U2 F2 U R' B
R2 B2 U' R' L B' L'
D B2 U' L2 D R' B
F' B2 U L U2 R' B'
R B2 U L U2 R' B'
F' B2 U L' F U2 R'
R B2 U L' F U2 R'
R2 B2 U' D2 R' D B
R2 B2 U' D2 R' D' B
R2 B2 U' D2 R' D2 B
R2 B2 U' D2 R' B D
R2 B2 U' D2 R' B D'
R2 B2 U' D2 R' B D2
B2 F2 U L U2 R' B'
B2 F2 U L' F U2 R'
F2 B2 U L U2 R' B'
F2 B2 U L' F U2 R'
U B2 U B2 L U2 B'
L B2 U' L' U' L B
R2 B2 U2 L U R' B'
R' B2 D F' R U' R2
F' B2 U' L R' B' L'
R B2 U' L R' B' L'
U B2 U' D2 R' F2 B
U B2 U' D2 R' B F2
U B2 U' D2 F2 R' B
B2 F2 U' L R' B' L'
F' B2 U' R' L B' L'
R B2 U' R' L B' L'
F2 B2 U' L R' B' L'
B2 F2 U' R' L B' L'
F' B2 U' D2 R' D B
F' B2 U' D2 R' D' B
F' B2 U' D2 R' D2 B
F' B2 U' D2 R' B D
F' B2 U' D2 R' B D'
F' B2 U' D2 R' B D2
R B2 U' D2 R' D B
R B2 U' D2 R' D' B
R B2 U' D2 R' D2 B
R B2 U' D2 R' B D
R B2 U' D2 R' B D'
R B2 U' D2 R' B D2
F2 B2 U' R' L B' L'
B2 F2 U' D2 R' D B
B2 F2 U' D2 R' D' B
B2 F2 U' D2 R' D2 B
B2 F2 U' D2 R' B D
B2 F2 U' D2 R' B D'
B2 F2 U' D2 R' B D2
F B2 U L U2 R' B'
F2 B2 U' D2 R' D B
F2 B2 U' D2 R' D' B
F2 B2 U' D2 R' D2 B
F2 B2 U' D2 R' B D
F2 B2 U' D2 R' B D'
F2 B2 U' D2 R' B D2
F B2 U L' F U2 R'
F' B2 U2 L U R' B'
R B2 U2 L U R' B'
B2 F2 U2 L U R' B'
R' B2 D2 R U' R2 B
R2 B2 D F' R U' R2
F2 B2 U2 L U R' B'
R' B2 D2 U' R' D B
R' B2 D2 U' R' D' B
R' B2 D2 U' R' D2 B
R' B2 D2 U' R' B D
R' B2 D2 U' R' B D'
R' B2 D2 U' R' B D2
R' B2 D2 F U' R' B
R' B2 D2 F' U' R' B
R' B2 D2 F2 U' R' B
F B2 U' L R' B' L'
F B2 U' R' L B' L'
F B2 U' D2 R' D B
F B2 U' D2 R' D' B
F B2 U' D2 R' D2 B
F B2 U' D2 R' B D
F B2 U' D2 R' B D'
F B2 U' D2 R' B D2
R' B2 F U' D2 R' B
F' B2 D F' R U' R2
R B2 D F' R U' R2
F B2 U2 L U R' B'
B2 F2 D F' R U' R2
R' B2 F D2 U' R' B
R2 B2 D2 R U' R2 B
F2 B2 D F' R U' R2
R2 B2 D2 U' R' D B
R2 B2 D2 U' R' D' B
R2 B2 D2 U' R' D2 B
R2 B2 D2 U' R' B D
R2 B2 D2 U' R' B D'
R2 B2 D2 U' R' B D2
R2 B2 D2 F U' R' B
R2 B2 D2 F' U' R' B
R2 B2 D2 F2 U' R' B
R' B2 F' U' D2 R' B
R' B2 F' D2 U' R' B
U B2 D2 U' R' F2 B
U B2 D2 U' R' B F2
U B2 D2 U' F2 R' B
R2 B2 F U' D2 R' B
F' B2 D2 R U' R2 B
R' B2 F2 U' D2 R' B
R B2 D2 R U' R2 B
B' F2 D2 B' U' R' B
B2 F2 D2 R U' R2 B
F' B2 D2 U' R' D B
F' B2 D2 U' R' D' B
F' B2 D2 U' R' D2 B
R2 B2 F D2 U' R' B
F' B2 D2 U' R' B D
F' B2 D2 U' R' B D'
F' B2 D2 U' R' B D2
R' B2 F2 D2 U' R' B
F B2 D F' R U' R2
R B2 D2 U' R' D B
R B2 D2 U' R' D' B
R B2 D2 U' R' D2 B
R B2 D2 U' R' B D
R B2 D2 U' R' B D'
R B2 D2 U' R' B D2
F2 B2 D2 R U' R2 B
F' B2 D2 F U' R' B
F' B2 D2 F' U' R' B
B2 F2 D2 U' R' D B
B2 F2 D2 U' R' D' B
B2 F2 D2 U' R' D2 B
B2 F2 D2 U' R' B D
B2 F2 D2 U' R' B D'
B2 F2 D2 U' R' B D2
R B2 D2 F U' R' B
F' B2 D2 F2 U' R' B
R B2 D2 F' U' R' B
B2 F2 D2 F U' R' B
F2 B2 D2 U' R' D B
F2 B2 D2 U' R' D' B
R B2 D2 F2 U' R' B
F2 B2 D2 U' R' D2 B
F2 B2 D2 U' R' B D
F2 B2 D2 U' R' B D'
F2 B2 D2 U' R' B D2
B2 F2 D2 F' U' R' B
D B2 F' R U' L2 R2
D B2 F' R U' R2 L2
B2 F2 D2 F2 U' R' B
F2 B2 D2 F U' R' B
R2 B2 F' U' D2 R' B
F2 B2 D2 F' U' R' B
F2 B2 D2 F2 U' R' B
R2 B2 F' D2 U' R' B
R B2 F U' D2 R' B
R2 B2 F2 U' D2 R' B
R B2 F D2 U' R' B
F B2 D2 R U' R2 B
R2 B2 F2 D2 U' R' B
F B2 D2 U' R' D B
F B2 D2 U' R' D' B
F B2 D2 U' R' D2 B
F B2 D2 U' R' B D
F B2 D2 U' R' B D'
F B2 D2 U' R' B D2
R B2 F' U' D2 R' B
F B2 D2 F U' R' B
F B2 D2 F' U' R' B
F B2 D2 F2 U' R' B
R B2 F' D2 U' R' B
R B2 F2 U' D2 R' B
R B2 F2 D2 U' R' B
