B2 U2 L B' U
L' R' F L B2 U'
R' L' F L B2 U'
B2 R U2 L B' U
D2 R F' R2 B U'
B2 R' U2 L B' U
D2 R' U2 F2 B U
D2 R' U2 B F2 U
D R' F' U' L2 R
D R' F' U' R L2
B2 R2 U2 L B' U
R' D F' U' L2 R
R' D F' U' R L2
B2 U2 L D B' U
B2 U2 L D' B' U
B2 U2 L D' B' U
B2 U2 L D2 B' U
B2 U2 L B' U D
B2 U2 L B' U D
B2 U2 L B' U D'
B2 U2 L B' U D2
B2 U2 L B' D U
B2 U2 L B' D' U
B2 U2 L B' D2 U
L' F L R' B2 U'
L' F R' L B2 U'
D F' R' U' L2 R2
D F' R' U' R2 L2
R' B D' B U' R'
B2 F U2 L B' U
B2 F' U2 L B' U
R' B2 L' F L U'
R' B2 D F' U' R
F' B2 U2 L B' U
F2 B2 U2 L B' U
B2 F2 U2 L B' U
R2 B2 D2 R F' U'
F B2 U2 L B' U
B2 R U2 L B' D U
B2 R U2 L B' D' U
B2 R U2 L B' D2 U
R' U' L' U F B2 U'
R' U' L' U B2 F U'
B2 R F U2 L B' U
D2 R F' R2 D B U'
D2 R F' R2 D' B U'
D2 R F' R2 D2 B U'
D2 R F' R2 B U' D
D2 R F' R2 B U' D'
D2 R F' R2 B U' D2
D2 R F' R2 B D U'
D2 R F' R2 B D' U'
D2 R F' R2 B D2 U'
B2 R F' U2 L B' U
D2 R F' B R2 B U'
D R F' R2 U' L2 R'
D R F' R2 U' R' L2
D2 R F' B' R2 B U'
D2 R F' B2 R2 B U'
B2 R F2 U2 L B' U
L' U' R' F L B2 U'
D2 R B F' R2 B U'
R' U' D L2 F' R F
B' R B' U2 L B' U
R' U' D F' R F L2
D2 R B' F' R2 B U'
D2 R B2 F' R2 B U'
L' U' F L R' B2 U'
L' U' F R' L B2 U'
F' R' L' F L B2 U'
U' R' L' F B2 U' F'
R' U' F D L2 F' R
R' U' F D F' L2 R
R' U' F D F' R L2
F2 R' L' F L B2 U'
U' R' L' B2 F U' F'
F R' L' F L B2 U'
D R' U' L2 F' R F
D R' U' F' R F L2
B2 R' U2 L D B' U
B2 R' U2 L D' B' U
B2 R' U2 L D2 B' U
B2 R' U2 L B' U D
B2 R' U2 L B' U D'
B2 R' U2 L B' U D2
B2 R' U2 L B' D U
B2 R' U2 L B' D' U
B2 R' U2 L B' D2 U
D2 R' U2 D' B U L2
D2 R' U2 F2 D B U
D2 R' U2 F2 D' B U
D2 R' U2 F2 D2 B U
D2 R' U2 F2 B U D
D2 R' U2 F2 B U D'
D2 R' U2 F2 B U D2
D2 R' U2 F2 B D U
D2 R' U2 F2 B D' U
D2 R' U2 F2 B D2 U
D2 R' U2 B U D' L2
D2 R' U2 B D' U L2
D2 R' U2 B F2 U D
D2 R' U2 B F2 U D'
D2 R' U2 B F2 U D2
D2 R' U2 B F2 D U
D2 R' U2 B F2 D' U
D2 R' U2 B F2 D2 U
D R' U2 F' U L2 R
D R' U2 F' U R L2
F' R' D F' U' L2 R
F' R' D F' U' R L2
F2 R' D F' U' L2 R
F2 R' D F' U' R L2
D2 R' D' U2 B U L2
F R' D F' U' L2 R
F R' D F' U' R L2
D2 R' D2 B2 U2 B' U
D2 R' F U2 F B U
D2 R' F U2 B F U
B2 R' F U2 L B' U
L2 U2 L2 R' F' B2 U'
L2 U2 L2 R' B2 F' U'
D R' F U L' U2 L'
D2 R' F' U2 F' B U
D2 R' F' U2 B F' U
B2 R' F' U2 L B' U
D R' F' U' L2 R D
D R' F' U' L2 R D'
D R' F' U' L2 R D2
D R' F' U' L2 D R
D R' F' U' L2 D' R
D R' F' U' L2 D2 R
D R' F' U' R L2 D
D R' F' U' R L2 D'
D R' F' U' R L2 D2
D R' F' D' B2 U' R
D R' F' B U' L2 R
D R' F' B U' R L2
U2 R' F2 L' F B2 U'
D R' F' B' U' L2 R
D R' F' B' U' R L2
U2 R' F2 L' B2 F U'
D R' F' B2 U' L2 R
D R' F' B2 U' R L2
B2 R' F2 U2 L B' U
L2 U2 R' L2 F' B2 U'
L2 U2 R' L2 B2 F' U'
L' U2 R' F L B2 U'
U2 R' F2 B2 L' F U'
L2 U2 R' F' L2 B2 U'
L2 U2 R' F' B2 L2 U'
F' R' B D' B U' R'
L2 U2 R' B2 L2 F' U'
L2 U2 R' B2 F' L2 U'
F2 R' B D' B U' R'
D2 R' B' U' D' L2 R2
D2 R' B' U' D' R2 L2
D2 R' B' U2 F2 B2 U
D2 R' B' U2 B2 F2 U
D R' B F' U' L2 R
D R' B F' U' R L2
B' R' B' U2 L B' U
D2 R' B' D' U' L2 R2
D2 R' B' D' U' R2 L2
F R' B D' B U' R'
D2 R' B' D2 F2 B2 U'
D2 R' B' D2 B2 F2 U'
R' U2 D F' U L2 R
R' U2 D F' U R L2
F' R' B2 L' F L U'
U' R' B2 L' F U' F'
F2 R' B2 L' F L U'
D2 R' B2 U2 F2 B' U
D2 R' B2 U2 B' F2 U
D R' B' F' U' L2 R
D R' B' F' U' R L2
F' R' B2 D F' U' R
F2 R' B2 D F' U' R
F R' B2 L' F L U'
U2 R' B2 F2 L' F U'
D R' B2 F' U' L2 R
D R' B2 F' U' R L2
F R' B2 D F' U' R
L' U2 F L R' B2 U'
L' U2 F R' L B2 U'
B2 R2 U2 L D B' U
B2 R2 U2 L D' B' U
B2 R2 U2 L D2 B' U
B2 R2 U2 L B' U D
B2 R2 U2 L B' U D'
B2 R2 U2 L B' U D2
B2 R2 U2 L B' D U
B2 R2 U2 L B' D' U
B2 R2 U2 L B' D2 U
D2 R2 U2 F2 L' B' U
B2 R2 F U2 L B' U
B2 R2 F' U2 L B' U
D R2 F' U' L2 R B
D R2 F' U' R L2 B
D R2 F' U' R B L2
B2 R2 F2 U2 L B' U
R2 D R F' U' L2 R
R2 D R F' U' R L2
L' D R' F L U' L
B' R2 B' U2 L B' U
R' D U' L2 F' R F
R' D U' F' R F L2
F' R2 B2 D2 R F' U'
F2 R2 B2 D2 R F' U'
R' D U2 F' U L2 R
R' D U2 F' U R L2
B2 U L U B' U B
F R2 B2 D2 R F' U'
L' D F L R' U' L
R' D F U L' U2 L'
L' D F R' L U' L
B2 U L' U L2 B' U
R' D F' U' L2 R D
R' D F' U' L2 R D'
R' D F' U' L2 R D2
R' D F' U' L2 D R
R' D F' U' L2 D' R
R' D F' U' L2 D2 R
R' D F' U' R L2 D
R' D F' U' R L2 D'
R' D F' U' R L2 D2
R' D F' D' B2 U' R
R' D F' B U' L2 R
R' D F' B U' R L2
R' D F' B' U' L2 R
R' D F' B' U' R L2
R' D F' B2 U' L2 R
R' D F' B2 U' R L2
R D F U' L2 B2 R'
R2 D F' U' L2 R B
R2 D F' U' R L2 B
R2 D F' U' R B L2
R D F' U' L2 R B2
R D F' U' L2 B2 R
R D F' U' R L2 B2
R D F' U' R B2 L2
R D F' U' B2 L2 R
R D F' U' B2 R L2
R' D B F' U' L2 R
R' D B F' U' R L2
R' D B' F' U' L2 R
R' D B' F' U' R L2
R' D B2 F' U' L2 R
R' D B2 F' U' R L2
B2 U F U L B' U
B2 U F' U L B' U
B2 U F2 U L B' U
B2 U' R U' L B' U
R' D' B U R2 U2 R
R' D' B U' D2 L2 R'
R' D' B U' D2 R' L2
B2 U' R' U' L B' U
R' D' B D2 U' L2 R'
R' D' B D2 U' R' L2
R' D' B' U L R2 U2
R' D' B' U R2 L U2
R' D' B' D B2 U' R'
B2 U' R2 U' L B' U
B2 U' D' B D' R' B
R2 D2 R D' F' U' L2
R2 D2 R D2 F' B2 U'
R2 D2 R D2 B2 F' U'
R2 D2 R F' U2 F' U
B2 U' B D' R' B R'
B2 U' B D' B R' B
L2 D2 R2 F2 L' B' U
B2 U2 L R' B' R U
B2 U2 L R2 B' R2 U
B2 U2 L D B' U D
B2 U2 L D B' U D'
B2 U2 L D B' U D2
B2 U2 L D B' D U
B2 U2 L D B' D' U
B2 U2 L D B' D2 U
B2 U2 L D' B' U D
B2 U2 L D' B' U D'
B2 U2 L D' B' U D2
B2 U2 L D' B' D U
B2 U2 L D' B' D' U
B2 U2 L D' B' D2 U
B2 U2 L D2 B' U D
B2 U2 L D2 B' U D'
B2 U2 L D2 B' U D2
B2 U2 L D2 B' D U
B2 U2 L D2 B' D' U
B2 U2 L D2 B' D2 U
B' U2 L B' L F U
B2 U2 L B U D' R2
B2 U2 L B D' U R2
B2 U2 L B2 D B U
B2 U2 L B2 D' B U
B2 U2 L B2 D2 B U
B2 U2 L' B L2 B' U
B2 U2 L' B' L2 B' U
B2 U2 L' B2 L2 B' U
B2 U2 L2 D L' B' U
B2 U2 L2 D' L' B' U
B2 U2 L2 D2 L' B' U
B2 U2 L2 B L' B' U
B2 U2 L2 B' L' B' U
B2 U2 L2 B2 L' B' U
B2 U2 R' L B' R U
B2 U2 R2 L B' R2 U
L' F L R B2 R2 U'
L' F L R' U' D L2
L' F L R' D U' L2
B2 U2 D' L B U R'
L' F L R' B2 U' D
L' F L R' B2 U' D'
L' F L R' B2 U' D2
L' F L R' B2 D U'
L' F L R' B2 D' U'
L' F L R' B2 D2 U'
L' F L R2 B2 R U'
L' F L D R' U' L2
L' F L B2 U2 L U
L' F L' R' B2 L2 U'
R' F L' F L B2 U'
B2 U2 F L F' B' U
B2 U2 F L B' F' U
L' F L2 R' B2 L' U'
L' F R L B2 R2 U'
B2 U2 F2 L F2 B' U
B2 U2 F2 L B' F2 U
L' F R' L U' D L2
L' F R' L D U' L2
L' F R' L B2 U' D
L' F R' L B2 U' D'
L' F R' L B2 U' D2
L' F R' L B2 D U'
L' F R' L B2 D' U'
L' F R' L B2 D2 U'
L' F R' L' B2 L2 U'
L' F R' L2 B2 L' U'
D2 F R' U2 F B U
D2 F R' U2 B F U
L' F R' D L U' L
B2 U2 B L B' L U
L' F R' B2 U2 R' U
L' F R2 L B2 R U'
D F R' U L' U2 L'
D F R' F2 U' L2 R
D F R' F2 U' R L2
L' F D L R' U' L
L' F D R' L U' L
R' F D F' U' L2 R
R' F D F' U' R L2
F' D R' F' U' L2 R
F' D R' F' U' R L2
F2 D R' F' U' L2 R
F2 D R' F' U' R L2
R' F B D' B U' R'
R' F B2 L' F L U'
F D R' F' U' L2 R
F D R' F' U' R L2
R' F B2 D F' U' R
L' F B2 U2 L R' U
L' F B2 U2 R' L U
L' F' L R' F2 B2 U'
L' F' L R' B2 F2 U'
L' F' L F2 R' B2 U'
R' F' L' F L B2 U'
F' D F' R' U' L2 R2
F' D F' R' U' R2 L2
F2 D F' R' U' L2 R2
F2 D F' R' U' R2 L2
D F' L2 R D F2 B2
D F' L2 R D B2 F2
B2 D F' U2 L U R
L' F' R' L F2 B2 U'
L' F' R' L B2 F2 U'
D F' R L2 D F2 B2
D F' R L2 D B2 F2
F D F' R' U' L2 R2
F D F' R' U' R2 L2
L' F' R' F2 L B2 U'
D F' R' U' L2 R2 D
D F' R' U' L2 R2 D'
D F' R' U' L2 R2 D2
D F' R' U' R2 L2 D
D F' R' U' R2 L2 D'
D F' R' U' R2 L2 D2
D F' R' D' F2 B2 U'
D F' R' D' B2 F2 U'
D F' R' F U' L2 R2
D F' R' F U' R2 L2
D F' R' F' U' L2 R2
D F' R' F' U' R2 L2
D F' R' F2 U' L2 R2
D F' R' F2 U' R2 L2
D F' R' B U' L2 R2
D F' R' B U' R2 L2
D F' R' B' U' L2 R2
D F' R' B' U' R2 L2
D F' R' B2 U' L2 R2
D F' R' B2 U' R2 L2
D F' U' L2 R D B2
D F' U' R L2 D B2
R' F' D F' U' L2 R
R' F' D F' U' R L2
D F' D' R' B2 U' R2
B' D' R' B' U' B2 R'
R' F' B D' B U' R'
R' F' B2 L' F L U'
R' F' B2 D F' U' R
L' F2 L F' R' B2 U'
B2 D' U' B D' R' B
B2 D' U2 L B U R'
R' F2 L' F L B2 U'
B' D' B' U' B2 R' B
D F2 R' F U' L2 R
D F2 R' F U' R L2
B D' B U2 L U R'
B D' B' R' B2 U' R'
R' F2 D F' U' L2 R
R' F2 D F' U' R L2
B' D2 R F' R B' U'
B' D2 R F' B' R U'
B' D2 R B' F' R U'
F' D2 R F' R2 B U'
B2 D2 R F' U2 L U
F2 D2 R F' R2 B U'
F' D2 R' U2 F2 B U
F' D2 R' U2 B F2 U
B2 D2 R' U2 L B U
F2 D2 R' U2 F2 B U
F2 D2 R' U2 B F2 U
R' F2 B D' B U' R'
F D2 R F' R2 B U'
R' F2 B2 L' F L U'
F D2 R' U2 F2 B U
F D2 R' U2 B F2 U
R' F2 B2 D F' U' R
R' B L' F L B U'
B' D2 F' R F' B' U'
B' D2 F' R B' F' U'
B' D2 F' B' R F' U'
B' D2 B' R F' R U'
B' D2 B' F' R F' U'
R' B D F' B U' R
R' B D B F' U' R
R' B D' F B U' R'
R' B D' F' B U' R'
R' B D' F2 B U' R'
R' B D' B U' R' D
R' B D' B U' R' D'
R' B D' B U' R' D2
R' B D' B U' D R'
R' B D' B U' D' R'
R' B D' B U' D2 R'
R' B D' B D U' R'
R' B D' B D' U' R'
R' B D' B D2 U' R'
R' B D' B F U' R'
R' B D' B F' U' R'
R' B D' B F2 U' R'
B2 F R U2 L B' U
R2 B D' B R U' R2
B2 F R' U2 L B' U
R' B F D' B U' R'
R2 B D2 B R F' U'
B2 F R2 U2 L B' U
R' B F' D' B U' R'
R' B F2 D' B U' R'
B2 F U2 L D B' U
B2 F U2 L D' B' U
B2 F U2 L D2 B' U
B2 F U2 L B' U D
B2 F U2 L B' U D'
B2 F U2 L B' U D2
B2 F U2 L B' D U
B2 F U2 L B' D' U
B2 F U2 L B' D2 U
R' B' L' F L B' U'
U2 B' L B' L F U
B2 F' R U2 L B' U
R' B' D F' B' U' R
B2 F' R' U2 L B' U
R' B' D B' F' U' R
B2 F' R2 U2 L B' U
R' B' D' B' U L U2
R2 B' D2 R F' B' U'
R2 B' D2 R B' F' U'
R2 B' D2 B' R F' U'
B2 F' U2 L D B' U
B2 F' U2 L D' B' U
B2 F' U2 L D2 B' U
B2 F' U2 L B' U D
B2 F' U2 L B' U D'
B2 F' U2 L B' U D2
B2 F' U2 L B' D U
B2 F' U2 L B' D' U
B2 F' U2 L B' D2 U
R' B2 L' D F L U'
R' B2 L' D' F L U'
R' B2 L' D2 F L U'
R' B2 L' F L U' D
R' B2 L' F L U' D'
R' B2 L' F L U' D2
R' B2 L' F L D U'
R' B2 L' F L D' U'
R' B2 L' F L D2 U'
R' B2 L' F D L U'
R' B2 L' F D' L U'
R' B2 L' F D2 L U'
R' B2 L' F' L F2 U'
R' B2 L' F2 L F' U'
U2 B2 L B' U2 B U'
R2 B2 L' R F L U'
L B2 L' U2 L2 B U
L B2 L' U2 B L2 U
L B2 L' D2 R2 F' U'
R B2 L' R2 F L U'
R B2 L' F L R2 U'
R B2 L' F R2 L U'
R' B2 R' D2 R F' U'
R2 B2 R L' F L U'
R2 B2 R D F' U' R
R' B2 U L U B' U
R' B2 U L' U' F U'
F' B2 R U2 L B' U
B2 F2 R U2 L B' U
R B2 R D2 R F' U'
F2 B2 R U2 L B' U
U' B2 U' L B' U L'
F' B2 R' U2 L B' U
B2 F2 R' U2 L B' U
R' B2 U' D F' R F
R' B2 U' D' B R' B'
F2 B2 R' U2 L B' U
R' B2 U' F D F' R
R' B2 U' B' D' B R'
R B2 R2 L' F L U'
F B2 R U2 L B' U
R' B2 U2 L B' L' U
F' B2 R2 U2 L B' U
R B2 R2 D F' U' R
B2 F2 R2 U2 L B' U
R' B2 U2 D' B U R'
F2 B2 R2 U2 L B' U
F B2 R' U2 L B' U
R' B2 D U' F' R F
R' B2 D F U L' U2
R' B2 D F' U' R D
R' B2 D F' U' R D'
R' B2 D F' U' R D2
R' B2 D F' U' D R
R' B2 D F' U' D' R
R' B2 D F' U' D2 R
R' B2 D F' D U' R
R' B2 D F' D' U' R
R' B2 D F' D2 U' R
F B2 R2 U2 L B' U
R' B2 D' U' B R' B'
R' B2 D' U2 B U R'
R2 B2 D R F' U' R
F' B2 U2 L D B' U
F' B2 U2 L D' B' U
F' B2 U2 L D2 B' U
F' B2 U2 L B' U D
F' B2 U2 L B' U D'
F' B2 U2 L B' U D2
F' B2 U2 L B' D U
F' B2 U2 L B' D' U
F' B2 U2 L B' D2 U
B2 F2 U2 L D B' U
B2 F2 U2 L D' B' U
B2 F2 U2 L D2 B' U
B2 F2 U2 L B' U D
B2 F2 U2 L B' U D'
B2 F2 U2 L B' U D2
B2 F2 U2 L B' D U
B2 F2 U2 L B' D' U
B2 F2 U2 L B' D2 U
R' B2 D2 R F' R' U'
R2 B2 D F' U' R B
F2 B2 U2 L D B' U
F2 B2 U2 L D' B' U
F2 B2 U2 L D2 B' U
F2 B2 U2 L B' U D
F2 B2 U2 L B' U D'
F2 B2 U2 L B' U D2
F2 B2 U2 L B' D U
F2 B2 U2 L B' D' U
F2 B2 U2 L B' D2 U
R' B2 F L' F L U'
R' B2 F D F' U' R
R B2 D F' U' R B2
R B2 D F' U' B2 R
F B2 U2 L D B' U
F B2 U2 L D' B' U
F B2 U2 L D2 B' U
R2 B2 D2 R D F' U'
R2 B2 D2 R D' F' U'
R2 B2 D2 R D2 F' U'
R2 B2 D2 R F' U' D
R2 B2 D2 R F' U' D'
R2 B2 D2 R F' U' D2
R2 B2 D2 R F' D U'
R2 B2 D2 R F' D' U'
R2 B2 D2 R F' D2 U'
F B2 U2 L B' U D
F B2 U2 L B' U D'
F B2 U2 L B' U D2
F B2 U2 L B' D U
F B2 U2 L B' D' U
F B2 U2 L B' D2 U
L' B2 F U2 L R' U
L' B2 F U2 R' L U
R' B2 F' L' F L U'
R' B2 F' D F' U' R
R' B2 F2 L' F L U'
R' B2 F2 D F' U' R
