F2 U R' F' R U
F2 U2 D' F' L' F
F2 D R U2 F' L'
F2 D R' B U2 L
F2 D B' R' B U2
F2 D' U2 F' L' F
F2 B' D R' B U2
B' F2 D R' B U2
F2 D R U2 F' L' D2
F2 D R U2 F' D L'
F2 D R U2 F' D' L'
F2 D R U2 F' D2 L'
F2 D R D U2 F' L'
F2 D R D' U2 F' L'
F2 D R D2 U2 F' L'
B' D R' U' R' U' F'
F2 D R B U2 L F'
F2 D R B U2 F' L
F2 D R' D B U2 L
F2 D R' D' B U2 L
F2 D R' D2 B U2 L
F2 D R' B R U2 L
F2 D R' B R' U2 L
F2 D R' B R2 U2 L
F2 D R' B U2 L D
F2 D R' B U2 L D'
F2 D R' B U2 L D2
F2 D R' B U2 D L
F2 D R' B U2 D' L
F2 D R' B U2 D2 L
F2 D R' B D U2 L
F2 D R' B D' U2 L
F2 D R' B D2 U2 L
F2 D R' B' R' B2 U2
F2 D R2 B U2 L F
F2 D R2 B' R' U2 F'
F2 D U2 R F' L' R'
F2 D U2 R F' R' L'
F2 D U2 F' D2 L' F
F2 D B R U2 L F'
F2 D B R U2 F' L
F2 D B R2 U2 L F
F2 D B' R' D B U2
F2 D B' R' D' B U2
F2 D B' R' D2 B U2
F2 D B' R' B U2 D
F2 D B' R' B U2 D'
F2 D B' R' B U2 D2
F2 D B' R' B D U2
F2 D B' R' B D' U2
F2 D B' R' B D2 U2
D2 F' U' L' B' U' B'
F2 D B2 R' B R' U2
D F' U' L' R2 B' U'
D F' U' L' B' R2 U'
D F' U' R2 L' B' U'
F2 D' L B' L' R' U2
F2 D' L B' R' L' U2
F2 D' R U2 F' L' F
F2 D' R' U2 F' L' F
F2 D' R2 U2 F' L' F
F2 D' U' L' B' U' F
B D' U L2 U L' F
F2 D' U2 L' F' L' F2
F2 D' U2 F' L' D F
F2 D' U2 F' L' D' F
F2 D' U2 F' L' D2 F
F2 D' U2 F' L' F D
F2 D' U2 F' L' F D'
F2 D' U2 F' L' F D2
F2 D' U2 F2 L' F L'
F2 D' B U2 L' F L2
R' F2 U R' F' R U
F2 D' B' D2 R' B U2
R2 F2 U R' F' R U
R' F2 U2 D' F' L' F
R F2 U R' F' R U
R' F2 D R U2 F' L'
R' F2 D R' B U2 L
R2 F2 U2 D' F' L' F
R' F2 D B' R' B U2
L' F2 D' L B' R' U2
R2 F2 D R U2 F' L'
L F2 U2 D R F' L'
R' F2 D' U2 F' L' F
R2 F2 D R' B U2 L
R F2 U2 D' F' L' F
R2 F2 D B' R' B U2
L F2 D U2 R F' L'
R F2 D R U2 F' L'
R F2 D R' B U2 L
R2 F2 D' U2 F' L' F
R F2 D B' R' B U2
R F2 D' U2 F' L' F
R' F2 B' D R' B U2
R2 F2 B' D R' B U2
F2 D2 U' L' B' L U'
R F2 B' D R' B U2
F2 D2 U2 F' D L' F
F2 D2 B U R' U L
D' B U L2 U L' F
F2 D2 B' R' U' L U'
B' F R' D F B2 U2
B' F R' D B2 F U2
B' F R' D' F U2 F
B' F R' F U R2 U
B' F R' F U2 D' F2
B' F R' F D B2 U2
B' F R' F D' U2 F2
F2 B U F' R U L
F2 B U F2 U L F
F2 B U2 L2 D' L' F
F2 B U2 D' L' F L2
F2 B U2 F L D F2
F2 B D R U2 L F'
F2 B D R U2 F' L
F2 B D R2 U2 L F
F2 B D B2 R' B U2
F2 B D' U2 L' F L2
D B' R' U' R' U' F'
F2 B' R2 D R U2 F'
F B' R' D F B2 U2
F B' R' D B2 F U2
F B' R' D' F U2 F
F B' R' F U R2 U
F B' R' F U2 D' F2
F B' R' F D B2 U2
F B' R' F D' U2 F2
R' B' F2 D R' B U2
F2 B' D R' D B U2
F2 B' D R' D' B U2
F2 B' D R' D2 B U2
F2 B' D R' B U2 D
F2 B' D R' B U2 D'
F2 B' D R' B U2 D2
F2 B' D R' B D U2
F2 B' D R' B D' U2
F2 B' D R' B D2 U2
R2 B' F2 D R' B U2
R B' F2 D R' B U2
B' F2 R2 D R U2 F'
B F2 U F' R U L
B F2 U F2 U L F
B' F2 D R' D B U2
B' F2 D R' D' B U2
B' F2 D R' D2 B U2
B' F2 D R' B U2 D
B' F2 D R' B U2 D'
B' F2 D R' B U2 D2
B' F2 D R' B D U2
B' F2 D R' B D' U2
B' F2 D R' B D2 U2
B F2 U2 L2 D' L' F
B F2 U2 D' L' F L2
B F2 U2 F L D F2
B F2 D R U2 L F'
B F2 D R U2 F' L
B F2 D R2 U2 L F
B F2 D B2 R' B U2
B F2 D' U2 L' F L2
