F2 U B' U' R' U
F2 U2 R' U' F' B'
F2 U2 R' U' B' F'
L F2 L' U F' B'
L F2 L' U B' F'
U B' U' R' F2 U
U B' U' F2 R' U
L F2 L' U D' F' B'
L F2 L' U D' B' F'
L F2 L' U D2 F' B'
L F2 L' U D2 B' F'
L F2 L' U F' D B'
L F2 L' U F' D' B'
L F2 L' U F' D2 B'
L F2 L' U F' B' D
L F2 L' U F' B' D'
L F2 L' U F' B' D2
L F2 L' U B' D F'
L F2 L' U B' D' F'
L F2 L' U B' D2 F'
L F2 L' U B' F' D
L F2 L' U B' F' D'
L F2 L' U B' F' D2
L F2 L' D U F' B'
L F2 L' D U B' F'
L F2 L' D' U F' B'
L F2 L' D' U B' F'
L F2 L' D2 U F' B'
L F2 L' D2 U B' F'
B2 D' B L R2 F L
B2 D' B L F L R2
B2 D' B L F R2 L
U F2 R U R' F' B'
U F2 R U R' B' F'
B2 D' B R2 L F L
L2 F2 R2 L' U F B
L2 F2 R2 L' U B F
R' F2 U B' U' R' U
R2 F2 U B' U' R' U
R' F2 U2 R' U' F' B'
R' F2 U2 R' U' B' F'
R F2 U B' U' R' U
R2 F2 U2 R' U' F' B'
R2 F2 U2 R' U' B' F'
R F2 U2 R' U' F' B'
R F2 U2 R' U' B' F'
L F2 D L' U F' B'
L F2 D L' U B' F'
L F2 D' L' U F' B'
L F2 D' L' U B' F'
L F2 D2 L' U F' B'
L F2 D2 L' U B' F'
F2 D2 U B' U' R' U
F2 D2 U2 R' U' F' B'
F2 D2 U2 R' U' B' F'
B' F U' F B R U
B' F U' B F R U
U B' L U' R' F2 U
U B' L U' F2 R' U
U B' L' U' R' F2 U
U B' L' U' F2 R' U
U B' L2 U' R' F2 U
U B' L2 U' F2 R' U
U B' R D' L2 R' F2
U B' R D' L2 F2 R'
U B' R D' R' L2 F2
U B' R D' R' F2 L2
U B' R D' F2 L2 R'
U B' R D' F2 R' L2
F2 B' L B U F B'
F2 B' L B U B' F
U B' U D2 B2 L U'
U B' U' R F2 R2 U
U B' U' R' U D' L2
U B' U' R' D' U L2
U B' U' R' F2 U D
U B' U' R' F2 U D'
U B' U' R' F2 U D2
U B' U' R' F2 D U
U B' U' R' F2 D' U
U B' U' R' F2 D2 U
U B' U' D' R' U L2
U B' U' F R' F U
U B' U' F2 R' U D
U B' U' F2 R' U D'
U B' U' F2 R' U D2
U B' U' F2 R' D U
U B' U' F2 R' D' U
U B' U' F2 R' D2 U
U B' U' F2 D R' U
U B' U' F2 D' R' U
U B' U' F2 D2 R' U
U B' D' L2 U' R' U
U B' D' U' R' U L2
U B' D2 U B2 L U'
F B' U' F B R U
U B' F U' R' F U
U B' F U' F R' U
F B' U' B F R U
U B' F' U' F' R' U
B' F2 L B U F B'
B' F2 L B U B' F
B2 F2 L B2 U F B'
B2 F2 L B2 U B' F
F2 B2 L B2 U F B'
F2 B2 L B2 U B' F
