F L R F2 B2 U
F L R B2 F2 U
U L F' B2 U F2
F' L B2 U D F2
F' L B2 U2 L2 U'
F' L B2 D U F2
F L B2 R F2 U
F' L B2 D2 R2 U
U L B2 F' U F2
F' L2 B2 L' R' U
F' L2 B2 L' R' U
F' L2 B2 R' L' U
F R L F2 B2 U
F R L B2 F2 U
F R F2 L B2 U
L F R F2 B2 U
L F R B2 F2 U
L' F' L2 B2 R' U
L F B2 R F2 U
U F' L B2 U F
L F' B2 U2 L' U'
B2 F' U2 L' R' U'
B2 F' U2 R' L' U'
F' B2 U2 L' R' U'
F' B2 U2 R' L' U'
L B2 F R F2 U
L B2 F' U2 L' U'
F' L B' D2 R2 B' U
F' L B' D2 B' R2 U
U2 L B' F' R' B' U
F' L B2 R U D F2
F' L B2 R U2 L2 U'
F' L B2 R D U F2
F' L B2 R D2 R2 U
F' L B2 R' U D F2
F' L B2 R' U2 L2 U'
F' L B2 R' D U F2
F' L B2 R' D2 R2 U
F' L B2 R2 U D F2
F' L B2 R2 U2 L2 U'
F' L B2 R2 D U F2
F' L B2 R2 D2 R2 U
F' L B2 U D F2 D
F' L B2 U D F2 D'
F' L B2 U D F2 D2
F L B2 R U D' L2
F' L B2 U F D F2
F' L B2 U F' D F2
F' L B2 U F2 D F2
F L B2 R D' U L2
F L B2 R F2 U D
F L B2 R F2 U D'
F L B2 R F2 U D2
F L B2 R F2 D U
F L B2 R F2 D' U
F L B2 R F2 D2 U
F' L B2 U' D' B2 U2
F L B2 R' F2 R2 U
F' L B2 U2 L2 U' D
F' L B2 U2 L2 U' D'
F' L B2 U2 L2 U' D2
F' L B2 U2 L2 D U'
F' L B2 U2 L2 D' U'
F' L B2 U2 L2 D2 U'
F L B2 R2 F2 R' U
F' L B2 D R U F2
F' L B2 D R' U F2
F' L B2 D R2 U F2
F' L B2 D U F2 D
F' L B2 D U F2 D'
F' L B2 D U F2 D2
F' L B2 D' U' B2 U2
F' L B2 D2 R2 U D
F' L B2 D2 R2 U D'
F' L B2 D2 R2 U D2
F' L B2 D2 R2 D U
F' L B2 D2 R2 D' U
F' L B2 D2 R2 D2 U
U L B2 U F D' L2
F L B2 D' R U L2
U2 L B2 D2 F' R U
U' L B2 F' R' U F'
U L B2 D F' U F2
U L B2 D' F' U F2
U L B2 D2 F' U F2
F L B2 F2 U2 L' U'
U L B2 F' R U F2
U L B2 F' R' U F2
U L B2 F' R2 U F2
U L B2 F' U F2 D
U L B2 F' U F2 D'
U L B2 F' U F2 D2
U L B2 F' D R2 U
F L' R F2 L2 B2 U
F L' R F2 B2 L2 U
F L' R B2 L2 F2 U
F L' R B2 F2 L2 U
L R' F R F' B2 U
L R' F R B2 F' U
L R' F B2 R F' U
R2 L' B2 L2 F R U
L R' B2 F R F' U
U L' F' L2 B2 U F
B2 L' F' U2 L' R' U'
B2 L' F' U2 R' L' U'
F L' F2 L2 B2 R' U
F' L' B2 L2 U D F2
F' L' B2 L2 U2 L2 U'
F' L' B2 L2 D U F2
F' L' B2 L2 D2 R2 U
F L' B2 L2 R F2 U
F L' B2 R L2 F2 U
F L' B2 R F2 L2 U
F' L2 R B2 L' R' U
F' L2 R B2 R' L' U
F L2 R B2 L' F2 U
F' L2 R' B2 L' R' U
F' L2 R' B2 R' L' U
F' L2 R2 B2 L' R' U
F' L2 R2 B2 R' L' U
L' R2 B2 L2 F R U
L U L F D' L2 R2
L U L F D' R2 L2
B2 L2 F' U2 L' R' U'
B2 L2 F' U2 R' L' U'
F' L2 B L' B R' U
F' L2 B2 L' R' U D
F' L2 B2 L' R' U D'
F' L2 B2 L' R' U D2
F' L2 B2 L' R' U D
F' L2 B2 L' R' U D'
F' L2 B2 L' R' U D2
F' L2 B2 L' R' D U
F' L2 B2 L' R' D' U
F' L2 B2 L' R' D2 U
F' L2 B2 L' D R' U
F' L2 B2 L' D' R' U
F' L2 B2 L' D2 R' U
F' L2 B2 R' L' U D
F' L2 B2 R' L' U D'
F' L2 B2 R' L' U D2
F' L2 B2 R' L' D U
F' L2 B2 R' L' D' U
F' L2 B2 R' L' D2 U
F' L2 B2 R' D L' U
F' L2 B2 R' D' L' U
F' L2 B2 R' D2 L' U
F' L2 B2 D L' R' U
F L2 B2 L' R F2 U
F' L2 B2 D R' L' U
F' L2 B2 D' L' R' U
F' L2 B2 D' R' L' U
F' L2 B2 D2 L' R' U
F' L2 B2 D2 R' L' U
F L2 B2 R L' F2 U
U L2 B2 L' F' U F2
F R L U D' L2 R2
F R L U D' R2 L2
F' R L B2 U D F2
F' R L B2 U2 L2 U'
F' R L B2 D U F2
F' R L B2 D2 R2 U
F R L D' U L2 R2
F R L D' U R2 L2
F R L F2 U D' R2
F R L F2 D' U R2
F R L F2 B2 U D
F R L F2 B2 U D'
F R L F2 B2 U D2
F R L F2 B2 D U
F R L F2 B2 D' U
F R L F2 B2 D2 U
F R L B2 U D' L2
F R L B2 D' U L2
F R L B2 F2 U D
F R L B2 F2 U D'
F R L B2 F2 U D2
F R L B2 F2 D U
F R L B2 F2 D' U
F R L B2 F2 D2 U
F R L' F2 L2 B2 U
F R L' F2 B2 L2 U
F R L' B2 L2 F2 U
F R L' B2 F2 L2 U
F' R L2 B2 L' R' U
F' R L2 B2 R' L' U
F R L2 B2 L' F2 U
F R D' L U L R2
F R D' L U R2 L
F R F' L F' B2 U
F R F' L B2 F' U
F R F2 L U D' R2
F R F2 L D' U R2
F R F2 L B2 U D
F R F2 L B2 U D'
F R F2 L B2 U D2
F R F2 L B2 D U
F R F2 L B2 D' U
F R F2 L B2 D2 U
F R F2 L' B2 L2 U
F R F2 L2 B2 L' U
F R F2 D' L U R2
F R F2 B2 U2 R' U'
F' R B2 U2 L' R' U'
F' R B2 U2 R' L' U'
F R B2 F2 U2 R' U'
F' R' L B2 U D F2
F' R' L B2 U2 L2 U'
F' R' L B2 D U F2
F' R' L B2 D2 R2 U
F R' L F2 R2 B2 U
F R' L F2 B2 R2 U
F R' L B2 R2 F2 U
F R' L B2 F2 R2 U
F' R' L2 B2 L' R' U
F' R' L2 B2 R' L' U
F R' F2 L R2 B2 U
F R' F2 L B2 R2 U
F R' F2 R2 L B2 U
F' R' B2 U2 L' R' U'
F' R' B2 U2 R' L' U'
F R' B2 R2 F2 L' U
F' R2 L B2 U D F2
F' R2 L B2 U2 L2 U'
F' R2 L B2 D U F2
F' R2 L B2 D2 R2 U
F R2 L F2 R' B2 U
F' R2 L2 B2 L' R' U
F' R2 L2 B2 R' L' U
B2 R2 U2 B L R U'
B2 R2 U2 B R L U'
B R2 F' L' B R' U'
B R2 F' B L' R' U'
B R2 F' B R' L' U'
F R2 F2 L R' B2 U
F R2 F2 R' L B2 U
B R2 B F' L' R' U'
B R2 B F' R' L' U'
F' R2 B2 U2 L' R' U'
F' R2 B2 U2 R' L' U'
D' U L F' U R2 F2
D' U L F' U F2 R2
F U L R F2 B2 U
F U L R B2 F2 U
F U L B2 R F2 U
F U R L F2 B2 U
F U R L B2 F2 U
F U R F2 L B2 U
D' U F' L U R2 F
D' U F' L U F R2
U D' L F' U R2 F2
U D' L F' U F2 R2
F U' L R F2 B2 U
F U' L R B2 F2 U
F U' L B2 R F2 U
L D' F' U2 L' U' R2
F U' R L F2 B2 U
F U' R L B2 F2 U
F U' R F2 L B2 U
U D' F' L U R2 F
U D' F' L U F R2
F' U2 L' U' D' R2 B2
F' U2 L' U' D' B2 R2
F' U2 L' U2 L2 B2 U
F' U2 L' U2 B2 L2 U
F U2 L R F2 B2 U
F U2 L R B2 F2 U
F' U2 L' D' U' R2 B2
F' U2 L' D' U' B2 R2
F' U2 L' D2 R2 F2 U'
F' U2 L' D2 F2 R2 U'
F U2 L B2 R F2 U
L D2 F' U2 L' F' U'
F U2 R L F2 B2 U
F U2 R L B2 F2 U
F U2 R F2 L B2 U
B2 U2 R2 B L R U'
B2 U2 R2 B R L U'
R' F L R F' B2 U
R' F L R B2 F' U
R' F L B2 R F' U
L' F L2 R F2 B2 U
L' F L2 R B2 F2 U
U F L F2 B2 U F'
U F L B2 F2 U F'
R' F R L F' B2 U
R' F R L B2 F' U
L' F L2 B2 R F2 U
L' F R L2 F2 B2 U
L' F R L2 B2 F2 U
B' U2 F' B' L' R' U
B' U2 F' B' R' L' U
R' F R F' L B2 U
L' F R F2 L2 B2 U
L' F R F2 B2 L2 U
L' F R B2 L2 F2 U
L' F R B2 F2 L2 U
L F R U D' L2 R2
L F R U D' R2 L2
L F R D' U L2 R2
L F R D' U R2 L2
L F R F2 U D' R2
L F R F2 D' U R2
L F R F2 B2 U D
L F R F2 B2 U D'
L F R F2 B2 U D2
L F R F2 B2 D U
L F R F2 B2 D' U
L F R F2 B2 D2 U
L F R B2 U D' L2
L F R B2 D' U L2
L F R B2 F2 U D
L F R B2 F2 U D'
L F R B2 F2 U D2
L F R B2 F2 D U
L F R B2 F2 D' U
L F R B2 F2 D2 U
B' U2 B' F' L' R' U
B' U2 B' F' R' L' U
L F R' F2 R2 B2 U
L F R' F2 B2 R2 U
L F R' B2 R2 F2 U
L F R' B2 F2 R2 U
L F R2 F2 R' B2 U
L F D' R U L2 R
L F D' R U R L2
L' F B2 L2 R F2 U
L' F B2 R L2 F2 U
L' F B2 R F2 L2 U
U' F' L R' B2 U F'
D' F' L U R2 D F2
D' F' L U2 L2 U' R2
D2 F' L U2 L2 F' U'
D2 F' L U2 F' L2 U'
D' F' L D B2 U F2
L F B' R F2 B' U
L F B' R B' F2 U
D2 F' L D2 R2 B U
U' F' L B2 R' U F'
L F B2 R U D' L2
L F B2 R D' U L2
L F B2 R F2 U D
L F B2 R F2 U D'
L F B2 R F2 U D2
L F B2 R F2 D U
L F B2 R F2 D' U
L F B2 R F2 D2 U
L F B2 R' F2 R2 U
L F B2 R2 F2 R' U
U2 F' L B' R' B' U
L F B2 D' R U L2
U F' L R B2 U F
U F' L R' B2 U F
U F' L R2 B2 U F
U F' L U D' R2 F
U F' L U D' F R2
U F' L U F D' R2
L' F' L2 R B2 R' U
L' F' L2 R' B2 R' U
U F' L D' U R2 F
U F' L D' U F R2
L' F' L2 R2 B2 R' U
U F' L B2 R U F
U F' L B2 R' U F
U F' L B2 R2 U F
U F' L B2 U D F
U F' L B2 U D' F
U F' L B2 U D2 F
U F' L B2 U F D
U F' L B2 U F D'
U F' L B2 U F D2
U F' L B2 D U F
U F' L B2 D' U F
U F' L B2 D2 U F
L' F' L2 B2 R' U D
L' F' L2 B2 R' U D'
L' F' L2 B2 R' U D2
L' F' L2 B2 R' D U
L' F' L2 B2 R' D' U
L' F' L2 B2 R' D2 U
L' F' L2 B2 D R' U
L' F' L2 B2 D' R' U
L' F' L2 B2 D2 R' U
L' F' R L2 B2 R' U
B2 D F' U2 L' R' U'
B2 D F' U2 R' L' U'
U' F' R' L B2 U F'
L' F' R' L2 B2 R' U
U F' L2 B2 L' U F
L F' L2 B2 L2 R' U
L F' L2 B2 R' L2 U
U F' R L B2 U F
L' F' R2 L2 B2 R' U
U F' R' L B2 U F
L F' R B2 U2 L' U'
U F' R2 L B2 U F
L F' R' B2 U2 L' U'
L F' R2 B2 U2 L' U'
F' D' L U R2 D F2
F' D' L U2 L2 U' R2
F' D' L D B2 U F2
F D' L R U L R
F D' L R U R L
L F' U2 L' U' D' R2
L F' U2 L' U2 B2 U
L F' U2 L' D' U' R2
L F' U2 L' D2 F2 U'
L F' U2 D' L' U' R2
L F' U2 D2 L' F2 U'
U F' D' L U R2 F
U F' D' L U F R2
F D' R L U L R
F D' R L U R L
L F' D' U2 L' U' R2
L F' D2 U2 L' F2 U'
L' F' B2 L2 U2 L U'
L F' B2 R U2 L' U'
L F' B2 R' U2 L' U'
L F' B2 R2 U2 L' U'
U F' B2 U2 R' U' F'
L F' B2 U2 L' U' D
L F' B2 U2 L' U' D'
L F' B2 U2 L' U' D2
L F' B2 U2 L' D U'
L F' B2 U2 L' D' U'
L F' B2 U2 L' D2 U'
L F' B2 U2 D L' U'
L F' B2 U2 D' L' U'
L F' B2 U2 D2 L' U'
L F' B2 D U2 L' U'
L F' B2 D' U2 L' U'
L F' B2 D2 U2 L' U'
B2 D' F' U2 L' R' U'
B2 D' F' U2 R' L' U'
F' D2 L U D R2 F2
F' D2 L U D F2 R2
F' D2 L U2 L2 F2 U'
F' D2 L U2 F2 L2 U'
F' D2 L D U R2 F2
F' D2 L D U F2 R2
F' D2 L D2 R2 B2 U
F' D2 L D2 B2 R2 U
B2 D2 F' U2 L' R' U'
B2 D2 F' U2 R' L' U'
F D2 F2 B2 L' R' U'
F D2 F2 B2 R' L' U'
F D2 B2 F2 L' R' U'
F D2 B2 F2 R' L' U'
B2 F R F2 U D B2
B2 F R F2 U2 R2 U'
B2 F R F2 D U B2
B2 F R F2 D2 L2 U
B2 F R2 F2 L' R' U
B2 F R2 F2 R' L' U
B2 F' L U2 L2 R' U'
B2 F' L U2 R' L2 U'
B2 F' L2 U2 L R' U'
B2 F' L2 U2 R' L U'
B2 F' R U2 L' R2 U'
B2 F' R U2 R2 L' U'
B2 F' R2 U2 L' R U'
B2 F' R2 U2 R L' U'
B2 F' U2 L' R' U' D
B2 F' U2 L' R' U' D'
B2 F' U2 L' R' U' D2
B2 F' U2 L' R' D U'
B2 F' U2 L' R' D' U'
B2 F' U2 L' R' D2 U'
B2 F' U2 L' D R' U'
B2 F' U2 L' D' R' U'
B2 F' U2 L' D2 R' U'
B2 F' U2 R' L' U' D
B2 F' U2 R' L' U' D'
B2 F' U2 R' L' U' D2
B2 F' U2 R' L' D U'
B2 F' U2 R' L' D' U'
B2 F' U2 R' L' D2 U'
B2 F' U2 R' D L' U'
B2 F' U2 R' D' L' U'
B2 F' U2 R' D2 L' U'
B2 F' U2 D L' R' U'
B2 F' U2 D R' L' U'
B2 F' U2 D' L' R' U'
B2 F' U2 D' R' L' U'
B2 F' U2 D2 L' R' U'
B2 F' U2 D2 R' L' U'
L B' F R F2 B' U
L B' F R B' F2 U
B2 F' D U2 L' R' U'
B2 F' D U2 R' L' U'
B2 F' D' U2 L' R' U'
B2 F' D' U2 R' L' U'
L2 B2 L' F R F2 U
L2 B2 L' F' U2 L' U'
B2 F' D2 U2 L' R' U'
B2 F' D2 U2 R' L' U'
L' B2 L2 F R F2 U
L' B2 L2 F' U2 L' U'
F' B2 L U2 L2 R' U'
F' B2 L U2 R' L2 U'
F' B2 L2 U2 L R' U'
F' B2 L2 U2 R' L U'
F' B2 R U2 L' R2 U'
F' B2 R U2 R2 L' U'
L B2 R' F R F' U
L B2 R2 U2 B L U'
F' B2 R2 U2 L' R U'
F' B2 R2 U2 R L' U'
R' B2 U2 R' B L U'
L B2 U L F D' L2
F B2 R F2 U D B2
F B2 R F2 U2 R2 U'
F B2 R F2 D U B2
F B2 R F2 D2 L2 U
F B2 R2 F2 L' R' U
F B2 R2 F2 R' L' U
F' B2 U2 L' R' U' D
F' B2 U2 L' R' U' D'
F' B2 U2 L' R' U' D2
F' B2 U2 L' R' D U'
F' B2 U2 L' R' D' U'
F' B2 U2 L' R' D2 U'
F' B2 U2 L' D R' U'
F' B2 U2 L' D' R' U'
F' B2 U2 L' D2 R' U'
F' B2 U2 R' L' U' D
F' B2 U2 R' L' U' D'
F' B2 U2 R' L' U' D2
F' B2 U2 R' L' D U'
F' B2 U2 R' L' D' U'
F' B2 U2 R' L' D2 U'
F' B2 U2 R' D L' U'
F' B2 U2 R' D' L' U'
F' B2 U2 R' D2 L' U'
F' B2 U2 D L' R' U'
F' B2 U2 D R' L' U'
F' B2 U2 D' L' R' U'
F' B2 U2 D' R' L' U'
F' B2 U2 D2 L' R' U'
F' B2 U2 D2 R' L' U'
L B2 D F R F2 U
L B2 D F' U2 L' U'
L' B2 F L2 R F2 U
F' B2 D U2 L' R' U'
F' B2 D U2 R' L' U'
L' B2 F R L2 F2 U
L' B2 F R F2 L2 U
L B2 D' F R F2 U
L B2 D' F' U2 L' U'
L' B2 F' L2 U2 L U'
F' B2 D' U2 L' R' U'
F' B2 D' U2 R' L' U'
L B2 D2 F R F2 U
L B2 D2 F' U2 L' U'
F' B2 D2 U2 L' R' U'
F' B2 D2 U2 R' L' U'
L B2 F R U D' L2
L B2 F R D' U L2
L B2 F R F2 U D
L B2 F R F2 U D'
L B2 F R F2 U D2
L B2 F R F2 D U
L B2 F R F2 D' U
L B2 F R F2 D2 U
L B2 F R' F2 R2 U
L B2 F R2 F2 R' U
L B2 F D' R U L2
L B2 F' R U2 L' U'
L B2 F' R' U2 L' U'
L B2 F' R2 U2 L' U'
L B2 F' U2 L' U' D
L B2 F' U2 L' U' D'
L B2 F' U2 L' U' D2
L B2 F' U2 L' D U'
L B2 F' U2 L' D' U'
L B2 F' U2 L' D2 U'
L B2 F' U2 D L' U'
L B2 F' U2 D' L' U'
L B2 F' U2 D2 L' U'
U B2 F' U2 R' U' F'
L B2 F' D U2 L' U'
L B2 F' D' U2 L' U'
L B2 F' D2 U2 L' U'
