F' L' D' F2 B'
F' L' D' B' F2
F' L' D' B' F2
F' L' B' D' F2
D' F' L' F' B'
D' F' L' B' F'
F' D' L' F2 B'
F' D' L' B' F2
F' D' L' B' F2
F D' F2 L' B'
L D' L' F' L' F' B'
L D' L' F' L' B' F'
U2 D B' R' F' B' U2
U2 D B' R' B' F' U2
L D' L2 F' B' L' F'
L D' L2 F2 D2 B' L
L D' L2 B' F' L' F'
U2 D B2 U2 L' B' L
U2 D' L F2 R B L
U D' L' B' R' U' F2
U2 D' R B L F2 R
U' D' R' F' L' U F'
D' U' R' F' L' U F'
L D' F R U2 R' F
L D' F R U2 F R'
L' D' F' D B' L' F'
U2 D' R' F' U2 F' L'
L' D' F' D' B' L' F'
L' D' F' D2 B' L' F'
L' D' F' B L' F' B2
L' D' F' B L' B2 F'
L' D' F' B' L F' L2
L' D' F' B' L' D F'
L' D' F' B' L' D' F'
L' D' F' B' L' D2 F'
L' D' F' B' L' F' D
L' D' F' B' L' F' D'
L' D' F' B' L' F' D2
L' D' F' B' L2 F' L
L' D' F' B' D L' F'
L' D' F' B' D' L' F'
L' D' F' B' D2 L' F'
L' D' F' B2 L' F' B
L' D' F' B2 L' B F'
L D' F' L' D2 F' B2
L D' F' L' D2 B2 F'
L' D' F2 D2 B' L D
L' D' F2 D2 B' L D'
L' D' F2 D2 B' L D2
L' D' F2 D2 B' D L
L' D' F2 D2 B' D' L
L' D' F2 D2 B' D2 L
L D' F' D2 L' F' B2
L D' F' D2 L' B2 F'
L D' F' D2 B2 L' F'
U' D' F' L' U F' L'
D' U' F' L' U F' L'
B' U' R' F' L' R' U
B' U' R' F' R' L' U
B2 U' R' F' L' R' U
L' D' B F' L' F' B2
L' D' B F' L' B2 F'
B2 U' R' F' R' L' U
L D' F2 U2 F' R U2
L' D' B' L F' L' F'
L' D' B' L' F' L' F'
L' D' B' L2 F' L' F'
F' U' R2 U L' D B'
F' U' R2 U L' D' B'
F' U' R2 U L' D2 B'
F' U' R2 U L' B' D
F' U' R2 U L' B' D'
F' U' R2 U L' B' D2
F' U' R2 U D L' B'
F' U' R2 U D' L' B'
F' U' R2 U D2 L' B'
F' U' R2 U B L' B'
F' U' R2 U B' L' B'
F' U' R2 U B2 L' B'
F' U' R2 D U L' B'
F' U' R2 D' U L' B'
F' U' R2 D2 U L' B'
U2 D' F' U2 F' L' B'
B U' R' F' L' R' U
B U' R' F' R' L' U
L' D' B' F' L F' L2
L' D' B' F' L' D F'
L' D' B' F' L' D' F'
L' D' B' F' L' D2 F'
L' D' B' F' L' F' D
L' D' B' F' L' F' D'
L' D' B' F' L' F' D2
L' D' B' F' L2 F' L
L' D' B' F' D L' F'
L' D' B' F' D' L' F'
L' D' B' F' D2 L' F'
F U' R2 U' R' F' U2
L' D' B2 F' L' F' B
L' D' B2 F' L' B F'
U2 D' B L F2 R B
U2 D' B' R' F' U2 F'
D' U2 L F2 R B L
U D2 L' B' L' R' U'
U D2 L' B' R' L' U'
D' U2 R B L F2 R
D' U2 R' F' U2 F' L'
D U2 R B2 U2 B' L
L' D2 F D F2 B' L'
L' D2 F D B' F2 L'
L' D2 F B' D F2 L'
D' U2 F' U2 F' L' B'
L' D2 F' D B' L' F2
L' D2 F' B' D L' F2
D' U2 B L F2 R B
D' U2 B' R' F' U2 F'
L' D2 B' D F' L' F'
L' D2 B' F D F2 L'
L' D2 B' F' D L' F2
D U2 B' R' F' B' U2
D U2 B' R' B' F' U2
F' U2 D B2 U2 L' B'
L' F L D' F2 L' B'
D U2 B2 U2 L' B' L
F U2 D R B2 U2 B'
L2 F L D' F2 B' L'
L2 F L D' B' F2 L'
F U2 D B2 R U2 B
L2 F L B' D' F2 L'
F U2 D' R U2 F2 B
F U2 D' R U2 B F2
D F L' D2 F2 B' L'
D F L' D2 B' F2 L'
L2 F L2 D' F2 L' B'
L F R U R U R2
L F R U2 R' D' F2
U' F R2 U2 R' B U'
D F R B2 L F U2
U F R2 B L F U
D' F U2 R U2 F B
D' F U2 R U2 B F
F' D L B' L2 F B'
F' D L B' L2 B' F
F' D L' U2 B2 U2 B
D2 F D L' F2 B' L'
D2 F D L' B' F2 L'
F' D L' D B' D F2
F' D L' D' B' D' F2
F' D L' D2 F2 D B'
F' D L' D2 F2 D' B'
F' D L' D2 F2 D2 B'
F' D L' D2 F2 B' D
F' D L' D2 F2 B' D'
F' D L' D2 F2 B' D2
F' D L' D2 B' F2 D
F' D L' D2 B' F2 D'
F' D L' D2 B' F2 D2
F' D L' F D2 F2 B'
F' D L' F D2 B' F2
F' D L' F' D2 F2 B'
F' D L' F' D2 B' F2
F' D L' F2 D2 F2 B'
F' D L' F2 D2 B' F2
F' D L' B' L2 F L2
D F U2 R B2 U2 B'
F' D L' B' U2 B' U2
D' F D F2 L' F' B'
D' F D F2 L' B' F'
D2 F D F2 L' D B'
D2 F D F2 L' D' B'
D2 F D F2 L' D2 B'
D2 F D F2 L' B' D
D2 F D F2 L' B' D'
D2 F D F2 L' B' D2
D2 F D F2 D L' B'
D2 F D F2 D' L' B'
D2 F D F2 D2 L' B'
D2 F D F2 B L' B'
D2 F D F2 B' L' B'
D2 F D F2 B2 L' B'
D2 F D B F2 L' B'
D2 F D B' F2 L' B'
D2 F D B2 F2 L' B'
L' F D' L F2 L' B'
D F U2 B2 R U2 B
D' F D' F2 L' F' B'
D' F D' F2 L' B' F'
F D L' D2 F2 B' L'
F D L' D2 B' F2 L'
L' F D' F2 D B' L'
L' F D' F2 D' B' L'
L' F D' F2 D2 B' L'
L' F D' F2 B L' B2
L' F D' F2 B' L' D
L' F D' F2 B' L' D'
L' F D' F2 B' L' D2
L' F D' F2 B' D L'
L' F D' F2 B' D' L'
L' F D' F2 B' D2 L'
L' F D' F2 B2 L' B
L' F D' B F2 L' B2
L' F D' B' L F2 L'
L' F D' B' L' F2 L'
L' F D' B' L2 F2 L'
L' F D' B' F2 L' D
L' F D' B' F2 L' D'
L' F D' B' F2 L' D2
L' F D' B' F2 D L'
L' F D' B' F2 D' L'
L' F D' B' F2 D2 L'
L F D R B2 L U2
L' F D' B2 F2 L' B
D' F D2 F2 L' F' B'
D' F D2 F2 L' B' F'
L F D B2 R U2 R'
L' F D2 B' D F2 L'
L F D' R U2 R' F2
L F D' R U2 F2 R'
D F D2 L' F2 B' L'
D F D2 L' B' F2 L'
L F D' F2 L' D2 B2
L F D' F2 D2 L' B2
L F D' F2 D2 B2 L'
D2 F B D F2 L' B'
L' F B' L D' F2 L'
D F D2 F2 L' D B'
D F D2 F2 L' D' B'
D F D2 F2 L' D2 B'
D F D2 F2 L' B' D
D F D2 F2 L' B' D'
D F D2 F2 L' B' D2
D F D2 F2 D L' B'
D F D2 F2 D' L' B'
D F D2 F2 D2 L' B'
D F D2 F2 B L' B'
D F D2 F2 B' L' B'
F D R B2 L F U2
D F D2 F2 B2 L' B'
L' F B' L' D' F2 L'
D F D2 B F2 L' B'
L' F B' L2 D' F2 L'
D F D2 B' F2 L' B'
D F D2 B2 F2 L' B'
D2 F B' D F2 L' B'
