R2 F2 L' U
R2 L F2 L' U
R2 L' F2 L' U
L' R2 F2 L' U
L R2 F2 L' U
R2 L2 F2 L' U
L2 R2 F2 L' U
F2 R2 U2 R U'
R2 F2 L' U D
R2 F2 L' U D'
R2 F2 L' U D2
R2 F2 L' D U
R2 F2 L' D' U
R2 F2 L' D2 U
R2 F2 D L' U
R2 F2 D' L' U
R2 F2 D2 L' U
D2 L' U2 L' R' B2 U'
R2 L' F' L F' L' U
D2 L' U2 R' L' B2 U'
R2 L' F' L' F' L' U
D2 L' U2 R' B2 L' U'
D' L' U2 R' U' L' F2
R2 L' F' L2 F' L' U
F2 L' U2 R' U2 R' U
U2 L' U2 R2 F2 L' U
F2 L' U2 D' R' U' F2
F2 L' U2 D2 L2 R' U'
F2 L' U2 D2 R' L2 U'
R2 L' F' D F' L' U
R2 L' F' D' F' L' U
R2 L' F' D2 F' L' U
R' L' F2 R' U2 R U'
R2 L' F2 L U D' B2
R2 L' F2 L D' U B2
L' R' F2 R' U2 R U'
R2 L' F2 L2 D L U
R2 L' F2 L2 D' L U
R2 L' F2 L2 D2 L U
L2 R' F2 R' U2 R U'
L R' F2 R' U2 R U'
R2 L' F2 D L' U D
R2 L' F2 D L' U D'
R2 L' F2 D L' U D2
R2 L' F2 D L' D U
R2 L' F2 D L' D' U
R2 L' F2 D L' D2 U
R L' F2 U2 L' R2 U'
R2 L' F2 D' L' U D
R2 L' F2 D' L' U D'
R2 L' F2 D' L' U D2
R2 L' F2 D' L' D U
R2 L' F2 D' L' D' U
R2 L' F2 D' L' D2 U
R L' F2 U2 R2 L' U'
R2 L' F2 D2 L' U D
R2 L' F2 D2 L' U D'
R2 L' F2 D2 L' U D2
R2 L' F2 D2 L' D U
R2 L' F2 D2 L' D' U
R2 L' F2 D2 L' D2 U
R2 L' F2 B' L' B U
R2 L' F2 B2 L' B2 U
B2 L' D' L2 R2 F2 B2
B2 L' D' L2 R2 B2 F2
B2 L' D' L2 F2 R2 B2
B2 L' D' L2 F2 B2 R2
B2 L' D' L2 B2 R2 F2
B2 L' D' L2 B2 F2 R2
U2 L' D' R' U' L2 F2
U2 L' D' R' U' F2 L2
B2 L' D' R2 L2 F2 B2
B2 L' D' R2 L2 B2 F2
B2 L' D' R2 F2 L2 B2
B2 L' D' R2 F2 B2 L2
B2 L' D' R2 B2 L2 F2
B2 L' D' R2 B2 F2 L2
D L' D' R2 F2 L' U
F2 L' D' U2 R' U' F2
B2 L' D' F2 L2 R2 B2
B2 L' D' F2 L2 B2 R2
B2 L' D' F2 R2 L2 B2
B2 L' D' F2 R2 B2 L2
B2 L' D' F2 B2 L2 R2
B2 L' D' F2 B2 R2 L2
B2 L' D' B2 L2 R2 F2
B2 L' D' B2 L2 F2 R2
B2 L' D' B2 R2 L2 F2
B2 L' D' B2 R2 F2 L2
B2 L' D' B2 F2 L2 R2
B2 L' D' B2 F2 R2 L2
U2 L' D2 L2 R' B2 U'
U2 L' D2 R' L2 B2 U'
U2 L' D2 R' B2 L2 U'
F2 L' D2 U2 L2 R' U'
F2 L' D2 U2 R' L2 U'
R2 L' B' F2 L' B U
F' L' F R2 F2 L' U
R2 L' B2 F2 L' B2 U
F' L' F' R2 U2 R U'
B2 L' F2 L2 R2 B2 U
B2 L' F2 L2 B2 R2 U
F2 L' F2 R2 F2 L' U
B2 L' F2 R2 L2 B2 U
B2 L' F2 R2 B2 L2 U
L' R2 U2 R U' D' L2
L' R2 U2 R U2 F2 U
L' R2 U2 R D' U' L2
L' R2 U2 R D2 B2 U'
B2 L' F2 B2 L2 R2 U
B2 L' F2 B2 R2 L2 U
L' R2 U2 D' R U' L2
L2 R2 U2 R U' D' L2
L' R2 U2 D2 R B2 U'
L2 R2 U2 R U2 F2 U
L2 R2 U2 R D' U' L2
B' L' B R2 F2 L' U
L2 R2 U2 R D2 B2 U'
R2 L2 U2 R U' D' L2
R2 L2 U2 R U2 F2 U
L' R2 U2 D2 B2 R U'
R2 L2 U2 R D' U' L2
R2 L2 U2 R D2 B2 U'
L R2 U2 R U' D' L2
L R2 U2 R U2 F2 U
L R2 U2 R D' U' L2
L R2 U2 R D2 B2 U'
L2 R2 U2 D' R U' L2
R2 L2 U2 D' R U' L2
L R2 U2 D' R U' L2
L2 R2 U2 D2 R B2 U'
R2 L2 U2 D2 R B2 U'
L2 R2 U2 D2 B2 R U'
L R2 U2 D2 R B2 U'
R2 L2 U2 D2 B2 R U'
L R2 U2 D2 B2 R U'
F2 L' B2 L R2 B2 U
F2 L' B2 L B2 R2 U
B2 L' B2 L2 R2 F2 U
B2 L' B2 L2 F2 R2 U
L' R2 D' U2 R U' L2
F2 L' B2 R2 L B2 U
B2 L' B2 R2 L2 F2 U
B2 L' B2 R2 F2 L2 U
L' R2 D' F2 L' U L'
L2 R2 D' U2 R U' L2
R2 L2 D' U2 R U' L2
L R2 D' U2 R U' L2
L2 R2 D' F2 L' U L'
R2 L2 D' F2 L' U L'
L R2 D' F2 L' U L'
B2 L' B2 F2 L2 R2 U
B2 L' B2 F2 R2 L2 U
F2 L2 R D R U B2
L' R2 D2 U2 R B2 U'
L' R2 D2 U2 B2 R U'
F2 L2 R D2 L2 R U
F2 L2 R D2 R L2 U
L2 R2 D2 U2 R B2 U'
L2 R2 D2 U2 B2 R U'
R2 L2 D2 U2 R B2 U'
R2 L2 D2 U2 B2 R U'
L R2 D2 U2 R B2 U'
L R2 D2 U2 B2 R U'
U2 L2 R' U2 R' F2 U
U2 L2 R' U2 F2 R' U
U2 L2 R' D2 B2 L U'
D2 L2 R' B2 U' D' R2
D2 L2 R' B2 U2 B2 U
D2 L2 R' B2 D' U' R2
D2 L2 R' B2 D2 F2 U'
F' L2 R2 U2 B R U'
L' R2 F' L F' L' U
F2 L2 R2 U2 R U' D
F2 L2 R2 U2 R U' D'
F2 L2 R2 U2 R U' D2
F2 L2 R2 U2 R D U'
F2 L2 R2 U2 R D' U'
F2 L2 R2 U2 R D2 U'
F2 L2 R2 U2 D R U'
F2 L2 R2 U2 D' R U'
F2 L2 R2 U2 D2 R U'
L' R2 F' L' F' L' U
F2 L2 R2 D U2 R U'
L' R2 F' L2 F' L' U
F2 L2 R2 D' U2 R U'
F2 L2 R2 D2 U2 R U'
L2 R2 F' L F' L' U
F L2 R2 U2 R B' U'
F L2 R2 U2 B' R U'
R2 L2 F' L F' L' U
L2 R2 F' L' F' L' U
F2 L2 R2 F2 L' F2 U
L R2 F' L F' L' U
R2 L2 F' L' F' L' U
L2 R2 F' L2 F' L' U
L R2 F' L' F' L' U
R2 L2 F' L2 F' L' U
L R2 F' L2 F' L' U
L' R2 F' D F' L' U
L' R2 F' D' F' L' U
B2 L2 R2 B2 L' F2 U
L' R2 F' D2 F' L' U
D' L2 U R' U' R F2
U L2 R2 F2 L' U R2
L2 R2 F' D F' L' U
L' R2 F2 L U D' B2
L' R2 F2 L D' U B2
R2 L2 F' D F' L' U
L2 R2 F' D' F' L' U
L R2 F' D F' L' U
R2 L2 F' D' F' L' U
L2 R2 F' D2 F' L' U
L' R2 F2 L2 D L U
L' R2 F2 L2 D' L U
L' R2 F2 L2 D2 L U
L R2 F' D' F' L' U
R2 L2 F' D2 F' L' U
R' L2 F2 R' U2 R U'
L R2 F' D2 F' L' U
L2 R2 F2 L U D' B2
L2 R2 F2 L D' U B2
R2 L2 F2 L U D' B2
R2 L2 F2 L D' U B2
L R2 F2 L U D' B2
L R2 F2 L D' U B2
L2 R2 F2 L2 D L U
L2 R2 F2 L2 D' L U
L2 R2 F2 L2 D2 L U
R2 L2 F2 L2 D L U
R2 L2 F2 L2 D' L U
R2 L2 F2 L2 D2 L U
L R2 F2 L2 D L U
L R2 F2 L2 D' L U
L' R2 F2 D L' U D
L R2 F2 L2 D2 L U
L' R2 F2 D L' U D'
L' R2 F2 D L' U D2
L' R2 F2 D L' D U
L' R2 F2 D L' D' U
L' R2 F2 D L' D2 U
L' R2 F2 D' L' U D
L' R2 F2 D' L' U D'
L' R2 F2 D' L' U D2
L' R2 F2 D' L' D U
L' R2 F2 D' L' D' U
L' R2 F2 D' L' D2 U
L' R2 F2 D2 L' U D
L' R2 F2 D2 L' U D'
L' R2 F2 D2 L' U D2
L' R2 F2 D2 L' D U
L' R2 F2 D2 L' D' U
L' R2 F2 D2 L' D2 U
L' R2 F2 B' L' B U
L' R2 F2 B2 L' B2 U
L2 R2 F2 D L' U D
L2 R2 F2 D L' U D'
L2 R2 F2 D L' U D2
L2 R2 F2 D L' D U
L2 R2 F2 D L' D' U
L2 R2 F2 D L' D2 U
R2 L2 F2 D L' U D
R2 L2 F2 D L' U D'
R2 L2 F2 D L' U D2
R2 L2 F2 D L' D U
R2 L2 F2 D L' D' U
R2 L2 F2 D L' D2 U
L2 R2 F2 D' L' U D
L2 R2 F2 D' L' U D'
L2 R2 F2 D' L' U D2
L2 R2 F2 D' L' D U
L2 R2 F2 D' L' D' U
L2 R2 F2 D' L' D2 U
L R2 F2 D L' U D
L R2 F2 D L' U D'
L R2 F2 D L' U D2
L R2 F2 D L' D U
L R2 F2 D L' D' U
L R2 F2 D L' D2 U
R2 L2 F2 D' L' U D
R2 L2 F2 D' L' U D'
R2 L2 F2 D' L' U D2
R2 L2 F2 D' L' D U
R2 L2 F2 D' L' D' U
R2 L2 F2 D' L' D2 U
L2 R2 F2 D2 L' U D
L2 R2 F2 D2 L' U D'
L2 R2 F2 D2 L' U D2
L2 R2 F2 D2 L' D U
L2 R2 F2 D2 L' D' U
L2 R2 F2 D2 L' D2 U
L R2 F2 D' L' U D
L R2 F2 D' L' U D'
L R2 F2 D' L' U D2
L R2 F2 D' L' D U
L R2 F2 D' L' D' U
L R2 F2 D' L' D2 U
R2 L2 F2 D2 L' U D
R2 L2 F2 D2 L' U D'
R2 L2 F2 D2 L' U D2
R2 L2 F2 D2 L' D U
R2 L2 F2 D2 L' D' U
R2 L2 F2 D2 L' D2 U
R L2 F2 U2 L' R2 U'
L R2 F2 D2 L' U D
L R2 F2 D2 L' U D'
L R2 F2 D2 L' U D2
L R2 F2 D2 L' D U
L R2 F2 D2 L' D' U
L R2 F2 D2 L' D2 U
R L2 F2 U2 R2 L' U'
L2 R2 F2 B' L' B U
R2 L2 F2 B' L' B U
L2 R2 F2 B2 L' B2 U
R2 L2 F2 B2 L' B2 U
L R2 F2 B' L' B U
L R2 F2 B2 L' B2 U
U L2 U' R2 F2 L' U
D' L2 U2 R' U' F2 L'
F2 L2 U2 R' U2 R' U
U2 L2 U2 R2 F2 L' U
F2 L2 U2 D' R' U' F2
F2 L2 U2 D2 L2 R' U'
F2 L2 U2 D2 R' L2 U'
L' R2 B' F2 L' B U
L2 R2 B' F2 L' B U
R2 L2 B' F2 L' B U
L R2 B' F2 L' B U
L' R2 B2 F2 L' B2 U
U2 L2 D' R' U' L2 F2
U2 L2 D' R' U' F2 L2
L2 R2 B2 F2 L' B2 U
D L2 D' R2 F2 L' U
F2 L2 D' U2 R' U' F2
R2 L2 B2 F2 L' B2 U
L R2 B2 F2 L' B2 U
R2 U L U' F2 L' U
U2 L2 D2 L2 R' B2 U'
U2 L2 D2 R' L2 B2 U'
U2 L2 D2 R' B2 L2 U'
F2 L2 D2 U2 L2 R' U'
F2 L2 D2 U2 R' L2 U'
R2 U L' U' F2 L' U
F' L2 F R2 F2 L' U
R2 U L2 U' F2 L' U
F' L2 F' R2 U2 R U'
D' L2 F2 U R' U' R
F2 L2 F2 R2 F2 L' U
B2 L2 F2 R2 B2 L U
B L2 F2 R2 B L U
R U R F2 L' U R'
B' L2 B R2 F2 L' U
L' U R2 F2 L' U R2
L2 U R2 F2 L' U R2
L U R2 F2 L' U R2
F2 L2 B2 L R2 B2 U
B2 L2 B2 L' R2 F2 U
F2 L2 B2 L B2 R2 U
B2 L2 B2 L' F2 R2 U
D2 L2 B2 U2 L B2 U
B2 L2 B2 R2 L' F2 U
F2 L2 B2 R2 L B2 U
R2 U D' L2 U R U'
F2 R L D R U B2
F2 R L D2 L2 R U
F2 R L D2 R L2 U
B2 R L B2 R F2 U
F2 R L' D R U B2
F2 R L' D2 L2 R U
F2 R L' D2 R L2 U
F2 R L2 D R U B2
F2 R L2 D2 L2 R U
F2 R L2 D2 R L2 U
D' R U L2 F2 D B2
U' R U R F2 L' U
D2 R U D L2 F2 B2
D2 R U D L2 B2 F2
D2 R U D F2 L2 B2
D2 R U D F2 B2 L2
D2 R U D B2 L2 F2
D2 R U D B2 F2 L2
D' R U F2 L2 D B2
D2 R U2 L2 R2 B2 U'
D2 R U2 L2 B2 R2 U'
D2 R U2 R2 L2 B2 U'
D2 R U2 R2 B2 L2 U'
D' R U2 R2 U' L2 F2
D' R U2 R2 U' F2 L2
R2 U B U' F2 L' U
U2 R U2 R F2 L' U
F2 R U2 R2 U2 R' U
D2 R U2 B2 L2 R2 U'
D2 R U2 B2 R2 L2 U'
F2 R D L R U B2
F2 R D L' R U B2
D2 R D U L2 F2 B2
D2 R D U L2 B2 F2
D' R D R2 F2 U B2
D2 R D U F2 L2 B2
D2 R D U F2 B2 L2
D2 R D U B2 L2 F2
D2 R D U B2 F2 L2
F2 R D L2 R U B2
F2 R D R L U B2
F2 R D R L' U B2
F2 R D R L2 U B2
F2 R D R U B2 D
F2 R D R U B2 D'
F2 R D R U B2 D2
F2 R D R D L2 U
R2 U B' U' F2 L' U
D' R D F2 R2 U B2
F R D R F U B2
F2 R D' R U D2 B2
F2 R D' R U' F2 U2
F2 R D' R D' L2 U
F2 R D' R D2 U B2
R2 U B2 U' F2 L' U
D2 R D2 L2 R2 F2 U
D2 R D2 L2 F2 R2 U
D2 R D2 R2 L2 F2 U
D2 R D2 R2 F2 L2 U
F2 R D2 L2 R U D
F2 R D2 L2 R U D'
F2 R D2 L2 R U D2
F2 R D2 L2 R D U
F2 R D2 L2 R D' U
F2 R D2 L2 R D2 U
F2 R D2 L2 D R U
F2 R D2 L2 D' R U
F2 R D2 L2 D2 R U
F2 R D2 R L2 U D
F2 R D2 R L2 U D'
F2 R D2 R L2 U D2
F2 R D2 R L2 D U
F2 R D2 R L2 D' U
F2 R D2 R L2 D2 U
F2 R D2 R U D' B2
F2 R D2 R D' U B2
D R D2 L2 U F2 L'
D2 R D2 F2 L2 R2 U
D2 R D2 F2 R2 L2 U
F R D2 R F L2 U
R2 U' R' D R2 U2 B2
R2 U' R' D' F2 U2 L2
R2 U' D R2 U' R' U'
D' R' L U' L F2 R
U2 R' L U2 R' F2 U
U2 R' L U2 F2 R' U
U2 R' L D2 B2 L U'
B2 R' L F2 R' B2 U
U2 R' L' U2 R' F2 U
U2 R' L' U2 F2 R' U
U2 R' L' D2 B2 L U'
R2 U' F U F L' U
U2 R' L2 U2 R' F2 U
U2 R' L2 U2 F2 R' U
D2 R' L2 B2 U' D' R2
D2 R' L2 B2 U2 B2 U
D2 R' L2 B2 D' U' R2
D2 R' L2 B2 D2 F2 U'
U2 R' L2 D2 B2 L U'
D' R' U L2 F2 D2 B2
D' R' U F' L2 F' B'
D' R' U F' L2 B' F'
D' R' U F2 L2 D2 B2
D R' U R' B2 U2 R
D' R' U' L F2 L R
D' R' U' L F2 R L
D' R' U' L2 F2 D2 R2
R2 U' F2 U L' U L
D' R' U' F2 L2 D2 R2
D R' U' R' B2 U2 B2
U R' U' R D' L2 F2
U R' U' R D' F2 L2
D R' U' B2 U2 L B2
U2 R' U2 R F2 R2 U
U2 R' U2 R' U D' L2
U2 R' U2 R' D' U L2
U2 R' U2 R' F2 U D
