U L' D' B U' R2
U L' D2 F2 B U'
U L' D2 B F2 U'
D2 L' F2 B U' B'
D' L' B U' R2 B'
D' L' B U' B' R2
D2 L' B F2 U' B'
U L' B U2 B U
D2 U L' F2 B U'
D2 U L' B F2 U'
D' U L' B U' R2
D2 U B L' F2 U'
D' U B L' U' R2
U D' L' B U' R2
L' D' B U' R2 B'
L' D' B U' B' R2
U D' B L' U' R2
U D2 L' F2 B U'
U D2 L' B F2 U'
L' D2 F2 B U' B'
L' D2 B F2 U' B'
U D2 B L' F2 U'
L' B R' U' B' R'
L' B R2 F' U' B'
U B L' U2 B U
L' B U' B' D' R2
L' B U2 B U B2
U' B2 U2 B' L' U'
R2 D' R2 U B L' U'
L2 D' U L B U' R2
U D' L B L2 U' R2
B2 U B2 U L' B U'
B2 U B2 U B L' U'
U D' L' D' F2 B U'
U D' L' D' B F2 U'
U D' L' F B U' R2
U D' L' F' B U' R2
L D' U B U' R2 F'
U D' L' F2 B U' R2
U D' L' B U' R2 D
U D' L' B U' R2 D'
U D' L' B U' R2 D2
U D' L' B D' F2 U'
U D' L' B F U' R2
U D' L' B F' U' R2
U D' L' B F2 U' R2
L' D' F B U' R2 B'
L' D' F B U' B' R2
L' D' F' B U' R2 B'
L' D' F' B U' B' R2
L' D' F2 B U' R2 B'
L' D' F2 B U' B' R2
L' D' B R U' R B'
L' D' B R U' B' R
L' D' B R' U' R' B'
L' D' B U' R B' R
L' D' B U' R2 D B'
L' D' B U' R2 D' B'
L' D' B U' R2 D2 B'
L' D' B U' R2 B' D
L' D' B U' R2 B' D'
L' D' B U' R2 B' D2
L' D' B U' B R2 B2
L' D' B U' B' R2 D
L' D' B U' B' R2 D'
L' D' B U' B' R2 D2
L' D' B D' F2 U' B'
L' D' B F U' R2 B'
L' D' B F U' B' R2
L' D' B F' U' R2 B'
L' D' B F' U' B' R2
L' D' B F2 U' R2 B'
L' D' B F2 U' B' R2
F' U' R2 F' R B2 U
F' U' R2 F' B2 R U
L D' B U' R2 F' B'
L D' B U' R2 B' F'
F2 U' R2 F' R' B2 U
F' U' R2 B2 F' R U
F U' R' B2 U F' L'
U D' B L' U' R2 D
U D' B L' U' R2 D'
U D' B L' U' R2 D2
U D' B L' D' F2 U'
U D' B L' F U' R2
U D' B L' F' U' R2
U D' B L' F2 U' R2
L2 D2 L F2 B U' B'
L2 D2 L B F2 U' B'
U D' B D' L' F2 U'
U D' B' L' B2 U' R2
U D2 L F2 L2 B U'
U D2 L F2 B L2 U'
U D2 L B L2 F2 U'
U D2 L B F2 L2 U'
U D2 L' D B U' R2
U D2 L' F2 D B U'
U D2 L' F2 D' B U'
U D2 L' F2 D2 B U'
U D2 L' F2 B U' D
U D2 L' F2 B U' D'
U D2 L' F2 B U' D2
U D2 L' F2 B D U'
U D2 L' F2 B D' U'
U D2 L' F2 B D2 U'
U D2 L' B U' D R2
U D2 L' B D U' R2
D U2 L2 U' L B U'
U D2 L' B F2 U' D
U D2 L' B F2 U' D'
U D2 L' B F2 U' D2
U D2 L' B F2 D U'
U D2 L' B F2 D' U'
U D2 L' B F2 D2 U'
L2 D2 U L F2 B U'
L2 D2 U L B F2 U'
U D2 L2 F2 L B U'
F2 U' B2 R U2 B' U'
L2 D2 U F2 L B U'
L2 D2 F2 L B U' B'
L' D2 F2 D B U' B'
L' D2 F2 D' B U' B'
L' D2 F2 D2 B U' B'
L' D2 F2 B R U' B'
L' D2 F2 B R' U' B'
L' D2 F2 B R2 U' B'
L' D2 F2 B U' D B'
L' D2 F2 B U' D' B'
L' D2 F2 B U' D2 B'
L' D2 F2 B U' B' D
L' D2 F2 B U' B' D'
L' D2 F2 B U' B' D2
L' D2 F2 B D U' B'
L' D2 F2 B D' U' B'
L' D2 F2 B D2 U' B'
L' D2 B R F2 U' B'
L' D2 B R' F2 U' B'
L' D2 B R2 F2 U' B'
L' D2 B U' D R2 B'
L' D2 B U' D B' R2
L' D2 B U' B' D R2
L' D2 B D U' R2 B'
L' D2 B D U' B' R2
L' D2 B F2 R U' B'
L' D2 B F2 R' U' B'
L' D2 B F2 R2 U' B'
L' D2 B F2 U' D B'
L' D2 B F2 U' D' B'
L' D2 B F2 U' D2 B'
L' D2 B F2 U' B' D
L' D2 B F2 U' B' D'
L' D2 B F2 U' B' D2
L' D2 B F2 D U' B'
L' D2 B F2 D' U' B'
L' D2 B F2 D2 U' B'
U D2 F2 B U2 R U
U D2 B L F2 L2 U'
U D2 B L' U' D R2
U D2 B L' D U' R2
U D2 B L' F2 U' D
U D2 B L' F2 U' D'
U D2 B L' F2 U' D2
U D2 B L' F2 D U'
U D2 B L' F2 D' U'
U D2 B L' F2 D2 U'
U D2 B L2 F2 L U'
U D2 B D L' U' R2
U D2 B F2 U2 R U
U D2 B' L' F2 B2 U'
U D2 B' L' B2 F2 U'
B2 U2 D' R2 B' L' U'
B2 U2 D' B' L' R2 U'
B2 U2 D' B' R2 L' U'
B2 U2 B L' B2 U' B'
B U2 B U2 L' U' B2
B2 U2 B2 L' B U' B'
B2 D L2 F U2 L U'
L' F D' B U' R2 B'
L' F D' B U' B' R2
L' F D2 F2 B U' B'
L' F D2 B F2 U' B'
L' F B R' U' B' R'
L' F B R2 F' U' B'
L' F B U' B' D' R2
L' F B U2 B U B2
B2 D F L2 F R U
B2 D F2 L2 R F U
B2 D F2 R L2 F U
D' F' R2 U' F' R U
U' F' R2 F' R B2 U
U' F' R2 F' B2 R U
U' F' R2 B2 F' R U
F' D' L' R2 F D' L2
L' F' D' B U' R2 B'
L' F' D' B U' B' R2
L' F' D2 F2 B U' B'
L' F' D2 B F2 U' B'
R F' D' L' R2 F L'
R F' D' L' F L' R2
R F' D' L' F R2 L'
L' F' B R' U' B' R'
L' F' B R2 F' U' B'
R F' D' R2 L' F L'
R F' D' R2 F L' F
L' F' B U' B' D' R2
L' F' B U2 B U B2
F' D' R2 L' F D' L2
R F' D' F L' R2 F
R F' D' F L' F R2
R F' D' F R2 L' F
F2 D' R2 U' F' R' U
B2 D' U2 R2 B' L' U'
B2 D' U2 B' L' R2 U'
B2 D' U2 B' R2 L' U'
R2 F2 R F B2 U B2
R2 F2 R B2 F U B2
D' F2 R2 U' F' R' U
U' F2 R2 F' R' B2 U
B2 D' B' L' R2 F' U'
R F2 R F' B2 U B2
B2 D' B' R2 L' F' U'
R F2 R B2 F' U B2
R2 F2 U' R F B2 U
R2 F2 U' R B2 F U
R2 F2 U' B2 R F U
R F2 U' R F' B2 U
R F2 U' R B2 F' U
R F2 U' B2 R F' U
L' F2 D' B U' R2 B'
L' F2 D' B U' B' R2
L' F2 D2 F2 B U' B'
L' F2 D2 B F2 U' B'
L' F2 B R' U' B' R'
L' F2 B R2 F' U' B'
D2 F2 B U2 R U B'
L' F2 B U' B' D' R2
L' F2 B U2 B U B2
U' F2 B2 R U2 B' U'
U F2 D2 F2 L' B U'
U F2 D2 F2 B L' U'
U F2 D2 B F2 L' U'
F2 D2 U F2 L' B U'
U F2 B U2 B R U
F2 D2 U F2 B L' U'
F2 D2 U B F2 L' U'
R2 F2 B2 R F U B2
U' B L' U2 L B U
R F2 B2 R F' U B2
U2 B L' U2 B U B'
D B L' U L' F U2
U B L' R2 F' R2 U'
U B L' U2 D B U
U B L' U2 D' B U
U B L' U2 D2 B U
U B L' U2 B U D
U B L' U2 B U D'
U B L' U2 B U D2
U B L' U2 B D U
U B L' U2 B D' U
U B L' U2 B D2 U
U B L' D U2 B U
U B L' D' U2 B U
U B L' D2 U2 B U
U B L' F U2 B U
U B L' F' U2 B U
U B L' F2 U2 B U
F2 D2 F2 L' B U' B'
B' D2 F2 B' R U B2
L' B R' U' R B' R'
L' B R' U' R' B' R'
L' B R' U' R2 B' R'
L' B R' U' D B' R'
L' B R' U' D' B' R'
L' B R' U' D2 B' R'
L' B R' U' B' R' D
L' B R' U' B' R' D'
L' B R' U' B' R' D2
L' B R' U' B' D R'
L' B R' U' B' D' R'
L' B R' U' B' D2 R'
L' B R' D U' B' R'
L' B R' D' U' B' R'
L' B R' D2 U' B' R'
L' B R' F U' B' R'
L' B R' F' U' B' R'
L' B R' F2 U' B' R'
L' B R2 D F' U' B'
L' B R2 D' F' U' B'
L' B R2 D2 F' U' B'
L' B R2 F' R U' B'
L' B R2 F' R' U' B'
L' B R2 F' R2 U' B'
L' B R2 F' U' D B'
L' B R2 F' U' D' B'
L' B R2 F' U' D2 B'
L' B R2 F' U' B' D
L' B R2 F' U' B' D'
L' B R2 F' U' B' D2
L' B R2 F' D U' B'
L' B R2 F' D' U' B'
L' B R2 F' D2 U' B'
B' D2 B' F2 R U B2
U B R2 L' F' R2 U'
L' B U' D B' D' R2
L' B U' D' B' D' R2
L' B U' D2 B' D' R2
L' B U' B' R D' R2
L' B U' B' R' D' R2
L' B U' B' R2 D' R2
L' B U' B' U' B2 U
L' B U' B' D' R2 D
L' B U' B' D' R2 D'
L' B U' B' D' R2 D2
L' B U2 D B U B2
L' B U2 D' B U B2
L' B U2 D2 B U B2
L' B U2 B L U B2
L' B U2 B L' U B2
L' B U2 B L2 U B2
L' B U2 B U B2 D
L' B U2 B U B2 D'
L' B U2 B U B2 D2
L' B U2 B D L2 U
L' B D R' U' B' R'
L' B D R2 F' U' B'
L2 B U2 B R' U B2
L' B D U' B' D' R2
L' B D U2 B U B2
L' B D' R' U' B' R'
B2 F L2 F R U B2
L' B D' R2 F' U' B'
L' B D' U' B' D' R2
L' B D' U2 B U B2
U B U2 B U2 L' U'
U B D L' U2 B U
L' B D2 R' U' B' R'
L' B D2 R2 F' U' B'
L' B D2 U' B' D' R2
L' B D2 U2 B U B2
U B D' L' U2 B U
L' B F R' U' B' R'
L' B F R2 F' U' B'
L' B F U' B' D' R2
L' B F U2 B U B2
B F R' U' B' R' F'
U B D2 L' U2 B U
L' B F' R' U' B' R'
L' B F' R2 F' U' B'
L' B F' U' B' D' R2
L' B F' U2 B U B2
F B R' U' B' R' F'
L' B F2 R' U' B' R'
D2 B F2 U2 R U B'
L' B F2 R2 F' U' B'
L' B F2 U' B' D' R2
L' B F2 U2 B U B2
D2 B' L' F2 B2 U' B'
D2 B' L' B2 F2 U' B'
U B F2 U2 B R U
D' B' L' B2 U' R2 B'
D' B' L' B2 U' B' R2
F2 B U2 B R U B2
B2 F D L2 F R U
U B' L2 F L B2 U'
L B' L2 F B2 U' B'
L B' L2 B2 F U' B'
U' B' D2 F2 R B' U
U' B' D2 F2 B' R U
U' B' D2 B' F2 R U
L2 B2 L2 R' F U B2
U' B2 R U2 B' L' U'
L2 B2 L2 F R' U B2
U' B2 R' U2 B' L' U'
U' B2 R2 U2 B' L' U'
L2 B2 R' L2 F U B2
B2 F2 L2 R F U B2
F2 B2 L2 R F U B2
L2 B2 R' U2 B' U' B'
L2 B2 R' D L2 F U
B2 F2 R L2 F U B2
F2 B2 R L2 F U B2
B2 F2 R U2 B' U' B'
B2 F2 R D L2 F U
F2 B2 R U2 B' U' B'
F2 B2 R D L2 F U
F B2 L2 F R U B2
R' B2 U2 L' B' U' B'
U' B2 U2 D B' L' U'
U' B2 U2 D' B' L' U'
U' B2 U2 D2 B' L' U'
U' B2 U2 B L' B2 U'
U' B2 U2 B' L' U' D
U' B2 U2 B' L' U' D'
U' B2 U2 B' L' U' D2
U' B2 U2 B' L' D U'
U' B2 U2 B' L' D' U'
U' B2 U2 B' L' D2 U'
U' B2 U2 B' D L' U'
U' B2 U2 B' D' L' U'
U' B2 U2 B' D2 L' U'
U' B2 U2 B2 L' B U'
U' B2 D U2 B' L' U'
U2 B2 U2 B' L' U' B
L2 B2 D L2 R' F U
L2 B2 D L2 F R' U
L2 B2 D R' L2 F U
U' B2 D' U2 B' L' U'
L' B2 D' B' R2 F' U'
U' B2 D2 U2 B' L' U'
L B2 D L2 F U F
B2 F2 D L2 R F U
B2 F2 D R L2 F U
F2 B2 D L2 R F U
F2 B2 D R L2 F U
B F2 U2 B R U B2
U' B2 F2 R U2 B' U'
F B2 D L2 F R U
R2 B2 F2 R F U B2
R B2 F2 R F' U B2
