D' L2 F' B' R' B'
B' L2 F2 U R' F
B' L2 F2 U F R'
U L2 F2 U F R
B L2 F2 U R F
D' L2 B' F' R' B'
D' L2 B2 D2 F' R
D R2 F2 B L U2
D R2 B L F2 U2
D R2 B F2 L U2
U2 D' F' L2 B2 R'
D' U2 F' L2 B2 R'
D' F' L2 B' R' B'
B' D' L2 F' R' B2
D' F' B' R' B' L2
B' D' F' L2 R' B2
B' D' F' R' L2 B2
B' D' F' R' B2 L2
B D' F' B2 L2 R'
B D' F' B2 R' L2
D F2 R2 U2 F R
B D' B2 L2 F' R'
B D' B2 F' L2 R'
B D' B2 F' R' L2
L2 F2 B' U R' F
L2 F2 B' U F R'
D' B' F' R' B' L2
L2 B' F2 U R' F
L2 B' F2 U F R'
D' B2 L2 D2 F' R
D' U2 F L2 R F2 B2
D' U2 F L2 R B2 F2
D' U2 F L2 B2 R F2
D' U2 F R L2 F2 B2
D' U2 F R L2 B2 F2
D' U2 F R F2 L2 B2
D' U2 F R F2 B2 L2
D' U2 F R B2 L2 F2
D' U2 F R B2 F2 L2
D' U2 F B2 L2 R F2
D' U2 F B2 R L2 F2
D' U2 F B2 R F2 L2
D' U2 F' L2 R B2 R'
D' U2 F' L2 R' B2 R'
D' U2 F' L2 R2 B2 R'
D' U2 F' L2 B2 R' D
D' U2 F' L2 B2 R' D'
D' U2 F' L2 B2 R' D2
D' U2 F' L2 B2 D R'
D' U2 F' L2 B2 D' R'
D' U2 F' L2 B2 D2 R'
D' U2 F' R L2 B2 R'
D' U2 F' R' L2 B2 R'
D' U2 F' R2 L2 B2 R'
D2 U2 F' D L2 B2 R'
B' U2 L2 F2 U R' F
B' U2 L2 F2 U F R'
U2 D2 F' D L2 B2 R'
B U2 L2 F2 U R F
D' U2 B2 L2 F R F2
D' U2 B2 F L2 R F2
D' U2 B2 F R L2 F2
D' U2 B2 F R F2 L2
B' U2 D' L2 F' R' B2
B' U2 D' F' L2 R' B2
B' U2 D' F' R' L2 B2
B' U2 D' F' R' B2 L2
B U2 D' F' B2 L2 R'
B U2 D' F' B2 R' L2
B U2 D' B2 L2 F' R'
B U2 D' B2 F' L2 R'
B U2 D' B2 F' R' L2
D' F L2 F2 B' R' B'
D' F L2 B' R' F2 B'
D' F L2 B' R' B' F2
D' F L2 B' F2 R' B'
D F R2 F U2 F R
B D L R2 F2 B U2
B D L R2 B F2 U2
B D L F2 R2 U2 F
D' F B L2 F2 B R
D' F B L2 B F2 R
D' F B' R' F2 B' L2
D' F B' R' B' L2 F2
D' F B' R' B' F2 L2
B' D R2 F2 L' B U2
B' D R2 F2 B L' U2
B' D R2 B F2 L' U2
B D R2 L F2 B U2
B D R2 L B F2 U2
B D R2 F2 L B U2
D' F' L' B' R' B' L'
D' F' L2 R B' R' B'
D' F' L2 R' B' R' B'
D' F' L2 R2 B' R' B'
D' F' L2 B' R B' R2
D' F' L2 B' R' D B'
D' F' L2 B' R' D' B'
D' F' L2 B' R' D2 B'
D' F' L2 B' R' B' D
D' F' L2 B' R' B' D'
D' F' L2 B' R' B' D2
D' F' L2 B' R2 B' R
D' F' L2 B' D R' B'
D' F' L2 B' D' R' B'
D' F' L2 B' D2 R' B'
D' F' R L2 B' R' B'
B' D F2 R2 U2 R F
D' F' R B' R' B' L2
D' F' R' L2 B' R' B'
U F' L2 F' U F R
D' F' R' B' R' B' L2
D' F' R2 L2 B' R' B'
D' F' R2 B' R' B' L2
B' D' L F' L R' B2
B' D' L F' R' L B2
D2 F' D L2 B' R' B'
B D' L U2 L F' B2
B D' L U2 L B2 F'
B D' L U2 F' L B2
D2 F' D B' R' B' L2
D F' U2 F' L' R2 U2
D F' U2 F' R2 L' U2
B' D' L2 F R' F2 B2
B' D' L2 F R' B2 F2
B' D' L2 F' R B2 R2
B' D' L2 F' R' B2 D
B' D' L2 F' R' B2 D'
B' D' L2 F' R' B2 D2
B' D' L2 F' R2 B2 R
B' D' L2 F2 R' F B2
B' D' L2 F2 R' B2 F
B2 D' L2 B2 D' F' R
B D' L2 F2 R F B2
B D' L2 F2 R B2 F
B D' L2 F2 B2 R F
B D' L2 B2 F2 R F
F D' L2 B' U' R' B'
B D' R B2 L2 R' F'
B D' R B2 R' L2 F'
B D' R B2 R' F' L2
D' F' B' R B' L2 R2
D' F' B' R B' R2 L2
D' F' B' R' B L2 B2
D' F' B' R' B' L2 D
D' F' B' R' B' L2 D'
D' F' B' R' B' L2 D2
D' F' B' R' B2 L2 B
D' F' B' R2 B' L2 R
D' F' B' R2 B' R L2
B' D' R2 B2 L2 R F
B' D' R2 B2 R L2 F
B' D' U L2 F' R' B2
D' F' B2 L2 B R' B'
B' D' U F' L2 R' B2
B' D' U F' R' L2 B2
B' D' U F' R' B2 L2
B' D' U' L2 F' R' B2
B' D' U' F' L2 R' B2
B' D' U' F' R' L2 B2
B' D' U' F' R' B2 L2
B D' R2 B2 L2 R' F
B D' R2 B2 L2 F R'
B D' R2 B2 R' L2 F
B' D' U2 L2 F' R' B2
B D' U F' B2 L2 R'
B D' U F' B2 R' L2
B' D' U2 F' L2 R' B2
B' D' U2 F' R' L2 B2
B' D' U2 F' R' B2 L2
B D' U B2 L2 F' R'
B D' U B2 F' L2 R'
B D' U B2 F' R' L2
B' D' F L2 R' F2 B2
B' D' F L2 R' B2 F2
B' D' F L2 F2 R' B2
B' D' F R' L2 F2 B2
B' D' F R' L2 B2 F2
B D' U' F' B2 L2 R'
B D' U' F' B2 R' L2
B' D' F R' F2 L2 B2
B' D' F R' F2 B2 L2
B' D' F R' B2 L2 F2
B' D' F R' B2 F2 L2
B D' U' B2 L2 F' R'
B D' U' B2 F' L2 R'
B D' U' B2 F' R' L2
B' D' F B2 L2 F2 R
B' D' F' L' R' B2 L'
B' D' F' L2 R B2 R2
B' D' F' L2 R' B2 D
B' D' F' L2 R' B2 D'
B' D' F' L2 R' B2 D2
B' D' F' L2 R2 B2 R
B D' U2 F' B2 L2 R'
B D' U2 F' B2 R' L2
B' D' F' R L2 B2 R2
B' D' F' R B2 L2 R2
B' D' F' R B2 R2 L2
B' D' F' R' L' B2 L'
B' D' F' R' L2 B2 D
B' D' F' R' L2 B2 D'
B' D' F' R' L2 B2 D2
B' D' F' R' B L2 B
B' D' F' R' B2 L2 D
B' D' F' R' B2 L2 D'
B' D' F' R' B2 L2 D2
B' D' F' R2 L2 B2 R
B D' U2 B2 L2 F' R'
B' D' F' R2 B2 L2 R
B' D' F' R2 B2 R L2
B D' U2 B2 F' L2 R'
B D' U2 B2 F' R' L2
B D' F L2 F2 R B2
B D' F L2 F2 B2 R
B D' F L2 B2 F2 R
D F2 L2 R2 B' U2 R'
B' D' F2 R' F L2 B2
B' D' F2 R' F B2 L2
B' D' F2 R' B2 F L2
B D' F B2 L2 R' F2
B D' F B2 L2 F2 R'
B D' F B2 R' L2 F2
B D' F B2 R' F2 L2
B D' F' R B2 L2 R'
B D' F' R B2 R' L2
B D' F' R' B2 L2 R'
B D' F' R' B2 R' L2
U F2 L2 U' B' U2 R'
D F2 L2 B' R2 U2 R
B D' F' R2 B2 L2 R'
B D' F' R2 B2 R' L2
L2 F2 R B' U R' F
L2 F2 R B' U F R'
B D' F' B L2 B R'
B D' F' B2 L2 R' D
B D' F' B2 L2 R' D'
B D' F' B2 L2 R' D2
B D' F' B2 L2 D R'
B D' F' B2 L2 D' R'
B D' F' B2 L2 D2 R'
B D' F' B2 R' L2 D
B D' F' B2 R' L2 D'
B D' F' B2 R' L2 D2
L2 F2 R' B' U R' F
L2 F2 R' B' U F R'
B D' F2 B2 R' F L2
F' D' B' R' D B' L
B D' B L2 F' B R'
B D' B L2 B F' R'
F2 D' B' U R' F B'
F2 D' B' U R' B' F
F2 D' B' U F R' B'
D F2 R2 L2 B' U2 R'
B' D' B2 L2 F2 R F
L2 F2 R2 B' U R' F
L2 F2 R2 B' U F R'
D F2 R2 U2 R F R
D F2 R2 U2 R' F R
D F2 R2 U2 R2 F R
D F2 R2 U2 D F R
D F2 R2 U2 D' F R
D F2 R2 U2 D2 F R
D F2 R2 U2 F R D
D F2 R2 U2 F R D'
D F2 R2 U2 F R D2
D F2 R2 U2 F D R
D F2 R2 U2 F D' R
D F2 R2 U2 F D2 R
B D' B F' L2 B R'
D F2 R2 D U2 F R
D F2 R2 D' U2 F R
D F2 R2 D2 U2 F R
L2 F2 U R' F D R2
B2 D' B2 L2 D' F' R
B' D' B2 F L2 F2 R
D F2 R2 B' U2 R' F
D F2 R2 B' U2 F R'
B D' B2 L F' L R'
B D' B2 L F' R' L
B D' B2 L2 D F' R'
B D' B2 L2 D' F' R'
B D' B2 L2 D2 F' R'
B D' B2 L2 F R' F2
B D' B2 L2 F' R' D
B D' B2 L2 F' R' D'
B D' B2 L2 F' R' D2
B D' B2 L2 F' D R'
B D' B2 L2 F' D' R'
B D' B2 L2 F' D2 R'
B D' B2 L2 F2 R' F
U F2 U D' F R B2
U F2 U D' F B2 R
U F2 U D' B2 F R
D' F2 U2 F L2 R B2
D' F2 U2 F L2 B2 R
D' F2 U2 F R L2 B2
D' F2 U2 F R B2 L2
U F2 U F R D' B2
U F2 U F D' R B2
U F2 U F D' B2 R
D' F2 U2 F B2 L2 R
D' F2 U2 F B2 R L2
B D' B2 F L2 R' F2
B D' B2 F L2 F2 R'
B D' B2 F R' L2 F2
B D' B2 F R' F2 L2
B D' B2 F' L2 R' D
B D' B2 F' L2 R' D'
B D' B2 F' L2 R' D2
B D' B2 F' L2 D R'
B D' B2 F' L2 D' R'
B D' B2 F' L2 D2 R'
B D' B2 F' R' L2 D
B D' B2 F' R' L2 D'
B D' B2 F' R' L2 D2
B D' B2 F2 R' F L2
D' F2 U2 B2 F L2 R
D' F2 U2 B2 F R L2
L2 F2 U2 F' U' F2 R
L2 F2 U2 F2 U' F' R
D F2 U2 D2 F L2 R
D F2 U2 D2 F R L2
D F2 U2 F D2 L2 R
D F2 U2 F D2 R L2
L2 F2 D B' U R' F
L2 F2 D B' U F R'
L2 F2 D' B' U R' F
L2 F2 D' B' U F R'
U F2 D' U F R B2
U F2 D' U F B2 R
U F2 D' U B2 F R
L2 F2 D2 B' U R' F
L2 F2 D2 B' U F R'
D F2 D2 U2 F L2 R
D F2 D2 U2 F R L2
D' F2 B' R' F B' L2
D' F2 B' R' B' F L2
L2 F2 B' R U R2 F
L2 F2 B' R U F R2
L2 F2 B' R2 U R F
L2 F2 B' U R F R2
L2 F2 B' U R' D F
L2 F2 B' U R' D' F
L2 F2 B' U R' D2 F
L2 F2 B' U R' F D
L2 F2 B' U R' F D'
L2 F2 B' U R' F D2
L2 F2 B' U D R' F
L2 F2 B' U D F R'
L2 F2 B' U D' R' F
L2 F2 B' U D' F R'
L2 F2 B' U D2 R' F
L2 F2 B' U D2 F R'
L2 F2 B' U F R' D
L2 F2 B' U F R' D'
L2 F2 B' U F R' D2
L2 F2 B' U F D R'
L2 F2 B' U F D' R'
L2 F2 B' U F D2 R'
L2 F2 B' U F' R' F2
L2 F2 B' D U R' F
L2 F2 B' D U F R'
L2 F2 B' D' U R' F
L2 F2 B' D' U F R'
L2 F2 B' D2 U R' F
L2 F2 B' D2 U F R'
D F2 B' R2 U2 R F
D' B L U2 L F' B
D' B L U2 L B F'
D' B L U2 F' L B
R2 B L U L F2 U
R2 B L U F2 L U
D B L R2 F2 B U2
D B L R2 B F2 U2
D B L F2 R2 U2 F
R' B L2 F2 U R F'
D' B L2 F' D2 B R'
D' B L2 F2 B R F
D' B L2 B F2 R F
B' D2 F' D L2 R' B2
B' D2 F' D R' L2 B2
B' D2 F' D R' B2 L2
B2 D2 F' D L2 R B2
B2 D2 F' D L2 B2 R
B2 D2 F' D R L2 B2
B2 D2 F' D R B2 L2
B2 D2 F' D B2 L2 R
B2 D2 F' D B2 R L2
B D2 F' D B2 L2 R'
B D2 F' D B2 R' L2
U B L2 F2 U F R
D B R2 L F2 B U2
D B R2 L B F2 U2
D B R2 F2 L B U2
R2 B U L2 F2 U R
R2 B U2 D' B2 L2 R'
R2 B U2 D' B2 R' L2
R2 B D L R2 F2 U2
F2 B L2 U' B' L' U2
R2 B D L F2 R2 U2
R2 B D R2 L F2 U2
R2 B D R2 F2 L U2
R2 B D F2 L R2 U2
R2 B D F2 R2 L U2
R2 B D' L U2 L B2
U2 B D' F' L2 B2 R'
R2 B D' U2 B2 L2 R'
R2 B D' U2 B2 R' L2
D' B F L2 F2 B R
D' B F L2 B F2 R
D B D2 F' B2 L2 R'
D B D2 F' B2 R' L2
D B D2 B2 L2 F' R'
D B D2 B2 F' L2 R'
D B D2 B2 F' R' L2
R B D' B2 L2 R' F'
R B D' B2 R' L2 F'
R B D' B2 R' F' L2
F2 B U D' F B2 R'
F2 B U D' B2 R' F
F2 B U D' B2 F R'
F2 B U F D' B2 R'
L' B' L' F2 U R' F
L' B' L' F2 U F R'
D' B' L2 F' R' D2 B2
D' B' L2 F' D2 R' B2
F2 B D' U F B2 R'
F2 B D' U B2 R' F
F2 B D' U B2 F R'
R' B' R' D' B2 L2 F
U B' L2 F2 U F R
D' B' U F' R' B' L2
R B' R' D' L2 F' B2
R B' R' D' L2 B2 F'
R B' R' D' F' L2 B2
R B' R' D' F' B2 L2
R B' R' D' B2 L2 F'
R B' R' D' B2 F' L2
D B' R2 F2 L' B U2
D B' R2 F2 B L' U2
L2 B' U D' L2 F' R'
L2 B' U D' F' L2 R'
L2 B' U D' F' R' L2
D B' R2 B F2 L' U2
B' F' L2 F' U R' F
B' F' L2 F' U F R'
D' B' U' F' R' B' L2
F' B' L2 F' U R' F
F' B' L2 F' U F R'
D' B' U2 F' R' B' L2
L2 B' D' U L2 F' R'
L2 B' D' U F' L2 R'
L2 B' D' U F' R' L2
U2 B' D' F' L2 B2 R'
F2 B' U R' D' F B2
F2 B' U R' D' B2 F
F2 B' U R' F D' B2
B' F' U' L2 F' U R'
F2 B' U D' R' F B2
F2 B' U D' R' B2 F
F2 B' U D' F R' B2
F2 B' U F R' D' B2
F2 B' U F D' R' B2
D' B' F R' F2 B' L2
D' B' F R' B' L2 F2
D' B' F R' B' F2 L2
F' B' U' L2 F' U R'
B' F' U' F' L2 U R'
D B' D2 L2 F' R' B2
R B' D' L2 R' F' B2
R B' D' L2 R' B2 F'
F' B' U' F' L2 U R'
R B' D' R' L2 F' B2
R B' D' R' L2 B2 F'
R B' D' R' F' L2 B2
R B' D' R' F' B2 L2
R B' D' R' B2 L2 F'
R B' D' R' B2 F' L2
D' B' F' R B' L2 R2
D' B' F' R B' R2 L2
D B' D2 F' L2 R' B2
D B' D2 F' R' L2 B2
D B' D2 F' R' B2 L2
D' B' F' R' B L2 B2
D' B' F' R' B' L2 D
D' B' F' R' B' L2 D'
D' B' F' R' B' L2 D2
D' B' F' R' B2 L2 B
D' B' F' R2 B' L2 R
D' B' F' R2 B' R L2
D' B' F2 R' F B' L2
D' B' F2 R' B' F L2
L2 B' F2 R U R2 F
L2 B' F2 R U F R2
L2 B' F2 R2 U R F
L2 B' F2 U R F R2
L2 B' F2 U R' D F
L2 B' F2 U R' D' F
L2 B' F2 U R' D2 F
L2 B' F2 U R' F D
L2 B' F2 U R' F D'
L2 B' F2 U R' F D2
L2 B' F2 U D R' F
L2 B' F2 U D F R'
L2 B' F2 U D' R' F
L2 B' F2 U D' F R'
L2 B' F2 U D2 R' F
L2 B' F2 U D2 F R'
L2 B' F2 U F R' D
L2 B' F2 U F R' D'
L2 B' F2 U F R' D2
L2 B' F2 U F D R'
L2 B' F2 U F D' R'
L2 B' F2 U F D2 R'
L2 B' F2 U F' R' F2
D' B2 L D2 L F' R
L2 B' F2 D U R' F
L2 B' F2 D U F R'
D' B2 L D2 F' L R
D' B2 L D2 F' R L
L2 B' F2 D' U R' F
L2 B' F2 D' U F R'
L2 B' F2 D2 U R' F
L2 B' F2 D2 U F R'
D B' F2 R2 U2 R F
F2 B' D' U R' F B2
F2 B' D' U R' B2 F
F2 B' D' U F R' B2
D' B2 L' D2 L' F' R
D' B2 L2 D2 F' R D
D' B2 L2 D2 F' R D'
D' B2 L2 D2 F' R D2
D' B2 L2 D2 F' D R
D' B2 L2 D2 F' D' R
D' B2 L2 D2 F' D2 R
D' B2 L2 F' B R' B'
D' B2 L2 B F' R' B'
U B2 L2 F2 U F R
D2 B2 R2 U B U2 R'
B2 F2 L2 U' B' L U2
F2 B2 L2 U' B' L U2
B F2 L2 U' B' L' U2
D B2 R2 F2 B U2 R'
D B2 R2 B F2 U2 R'
B' F2 U R' D' F B2
B' F2 U R' D' B2 F
B' F2 U R' F D' B2
B' F2 U D' R' F B2
B' F2 U D' R' B2 F
B' F2 U D' F R' B2
B' F2 U F R' D' B2
B' F2 U F D' R' B2
B F2 U D' F B2 R'
B F2 U D' B2 R' F
B F2 U D' B2 F R'
B F2 U F D' B2 R'
U2 B2 D' F' L2 B2 R'
D' B2 D2 F' D2 L2 R
D' B2 D2 F' D2 R L2
B' F2 D' U R' F B2
B' F2 D' U R' B2 F
B' F2 D' U F R' B2
D B2 D2 L2 F' R B2
D B2 D2 L2 F' B2 R
D B2 D2 L2 B2 F' R
D' B2 F' L2 B R' B'
D B2 D2 F' L2 R B2
D B2 D2 F' L2 B2 R
D B2 D2 F' R L2 B2
D B2 D2 F' R B2 L2
D B2 D2 F' B2 L2 R
D B2 D2 F' B2 R L2
D B2 D2 B2 L2 F' R
D B2 D2 B2 F' L2 R
D B2 D2 B2 F' R L2
