F' L R' U R2
F' R' L U R2
L F' R' U R2
F' L R' U R2 D
F' L R' U R2 D'
F' L R' U R2 D2
F' L R' D B2 U
F' L R' B U R2
F' L R' B' U R2
F' L R' B2 U R2
F' L U R D' F2
F' L D R' U R2
F' L D' R' U R2
F' L D2 R' U R2
D' L F' R' B' U
D L F' R' B U
U' L F' R' U R2
U2 L F' R' U R2
U L F' R' U R2
F' R' L U R2 D
F' R' L U R2 D'
F' R' L U R2 D2
F' R' L D B2 U
F' R' L B U R2
F' R' L B' U R2
F' R' L B2 U R2
F' R' D L B2 U
F2 R' F L U R
F R' F2 L U R
L D F' R' B U
L F R' F2 U R
F' D L R' U R2
F' D R' L U R2
U' F' L R' U R2
L' F' L2 R' U R2
U2 F' L R' U R2
D' F' L R' B' U
L' F' R' L2 U R2
D F' L R' B U
U F' L R' U R2
U' F' R' L U R2
U2 F' R' L U R2
D' F' R' L B' U
L F' R' U R2 D
L F' R' U R2 D'
L F' R' U R2 D2
L F' R' D B2 U
D F' R' L B U
L F' R' B U R2
L F' R' B' U R2
U F' R' L U R2
L F' R' B2 U R2
F' D' L R' U R2
L F' U R D' F2
L F' D R' U R2
F' D' R' L U R2
L F' D' R' U R2
L F' D2 R' U R2
L F2 R' F U R
F' D2 L R' U R2
F' D2 R' L U R2
D F R' L B F2 U
F U2 F2 R' L U R2
U2 F R' F2 L U R
L F R F2 R2 U R'
D F R' F2 L B U
U F R' F2 L U R
L F R' F2 U R D
L F R' F2 U R D'
L F R' F2 U R D2
L F R' F2 U D R
L F R' F2 U D' R
L F R' F2 U D2 R
L F R' F2 D U R
L F R' F2 D' U R
L F R' F2 D2 U R
L F R' F2 B U R
L F R' F2 B' U R
L F R' F2 B2 U R
L F R' B F2 U R
L F R' B' F2 U R
L F R' B2 F2 U R
F' D L R' U R2 D
F' D L R' U R2 D'
F' D L R' U R2 D2
F' D L R' D B2 U
F' D L R' B U R2
F' D L R' B' U R2
F' D L R' B2 U R2
F' D L U R D' F2
F' D L D R' U R2
F' D L D' R' U R2
F' D L D2 R' U R2
F' D R' L U R2 D
F' D R' L U R2 D'
F' D R' L U R2 D2
F' D R' L D B2 U
F' D R' L B U R2
F' D R' L B' U R2
F' D R' L B2 U R2
F' D R' D L B2 U
F2 D R' F L U R
U' F' L R' U R2 D
U' F' L R' U R2 D'
U' F' L R' U R2 D2
U' F' L R' D B2 U
U' F' L R' B U R2
U' F' L R' B' U R2
U' F' L R' B2 U R2
U' F' L U R D' F2
D' F' L R B' R2 U
D' F' L R' D B' U
D' F' L R' D' B' U
D' F' L R' D2 B' U
D' F' L R' B' U D
D' F' L R' B' U D'
D' F' L R' B' U D2
D' F' L R' B' D U
D' F' L R' B' D' U
D' F' L R' B' D2 U
D2 F' L R' B U R'
D' F' L R2 B' R U
U' F' L D R' U R2
U' F' L D' R' U R2
U' F' L D2 R' U R2
D' F' L D R' B' U
D' F' L D' R' B' U
D2 F' L D' R' B U
D' F' L D2 R' B' U
U2 F' L R' U R2 D
U2 F' L R' U R2 D'
U2 F' L R' U R2 D2
U2 F' L R' D B2 U
D2 F' L B U R' F'
U2 F' L R' B U R2
U2 F' L R' B' U R2
U2 F' L R' B2 U R2
U2 F' L U R D' F2
U2 F' L D R' U R2
U2 F' L D' R' U R2
U2 F' L D2 R' U R2
D F' L R' D B U
D F' L R' D' B U
D F' L R' D2 B U
D F' L R' B U D
D F' L R' B U D'
D F' L R' B U D2
D F' L R' B D U
D F' L R' B D' U
D F' L R' B D2 U
U F' L R' U R2 D
U F' L R' U R2 D'
U F' L R' U R2 D2
U F' L R' D B2 U
U F' L R' B U R2
U F' L R' B' U R2
U F' L R' B2 U R2
F2 D F L R' U R2
U F' L U R D' F2
U F' L D R' U R2
L' F' L2 R' U R2 D
L' F' L2 R' U R2 D'
L' F' L2 R' U R2 D2
F2 D F R' L U R2
L' F' L2 R' D B2 U
L' F' L2 R' B U R2
U F' L D' R' U R2
L' F' L2 R' B' U R2
L' F' L2 R' B2 U R2
U F' L D2 R' U R2
L' F' L2 U R D' F2
D F' L' R' B L2 U
L' F' L2 D R' U R2
L' F' L2 D' R' U R2
L' F' L2 D2 R' U R2
D' F' R L B' R2 U
D F' L2 R' B L' U
U' F' R' L U R2 D
U' F' R' L U R2 D'
U' F' R' L U R2 D2
U' F' R' L D B2 U
U' F' R' L B U R2
U' F' R' L B' U R2
U' F' R' L B2 U R2
D' F' R' L D B' U
D' F' R' L D' B' U
D' F' R' L D2 B' U
D2 F' R' L B U R'
D' F' R' L B' U D
D' F' R' L B' U D'
D' F' R' L B' U D2
D' F' R' L B' D U
D' F' R' L B' D' U
D' F' R' L B' D2 U
U' F' R' D L B2 U
L' F' R' L2 U R2 D
L' F' R' L2 U R2 D'
L' F' R' L2 U R2 D2
L' F' R' L2 D B2 U
L' F' R' L2 B U R2
L' F' R' L2 B' U R2
L' F' R' L2 B2 U R2
D2 F' R' D L B' U
L' F' R' U R2 D' B2
U2 F' R' L U R2 D
U2 F' R' L U R2 D'
U2 F' R' L U R2 D2
U2 F' R' L D B2 U
U2 F' R' L B U R2
U2 F' R' L B' U R2
U2 F' R' L B2 U R2
L' F' R' B L2 U R2
D' F' R2 L B' R U
L' F' R' B' L2 U R2
L' F' R' B2 L2 U R2
U2 F' R' D L B2 U
D F' R' L D B U
D F' R' L D' B U
D F' R' L D2 B U
D F' R' L B U D
D F' R' L B U D'
D F' R' L B U D2
D F' R' L B D U
D F' R' L B D' U
D F' R' L B D2 U
D F' R' L' B L2 U
D F' R' L2 B L' U
D F' R' D L B U
L F' R B R2 U R2
D F' R' D' L B U
L F' R B' R2 U R2
U F' R' L U R2 D
U F' R' L U R2 D'
U F' R' L U R2 D2
U F' R' L D B2 U
D F' R' D2 L B U
U F' R' L B U R2
U F' R' L B' U R2
L F' R B2 R2 U R2
U F' R' L B2 U R2
L F' R' U R D R
L F' R' U R D' R
L F' R' U R D2 R
L F' R' U R' D R'
L F' R' U R' D' R'
L F' R' U R' D2 R'
L F' R' U F' R2 F
L F' R' U F2 R2 F2
L F' R' U B R2 B'
L F' R' U B2 R2 B2
L F' R' U' L U2 R2
L F' R' U' L' U2 R2
L F' R' U' L2 U2 R2
L F' R' U' D2 L2 U2
U F' R' D L B2 U
L F' R' U2 D' F2 U'
L F' R' U2 F U' R2
L F' R' U2 F' U' R2
L F' R' U2 F2 U' R2
L F' R' D B2 U D
L F' R' D B2 U D'
L F' R' D B2 U D2
L F' R' D B2 D U
L F' R' D B2 D' U
L F' R' D B2 D2 U
L' F' U R D' F2 B2
L' F' U R D' B2 F2
L F' R' D' U2 F2 U'
L F' R' D2 U' L2 U2
L F' R' B U R2 D
L F' R' B U R2 D'
L F' R' B U R2 D2
L F' R' B D B2 U
L F' R' B' U R2 D
L F' R' B' U R2 D'
L F' R' B' U R2 D2
L F' R' B' D B2 U
L F' R' B2 U R2 D
L F' R' B2 U R2 D'
L F' R' B2 U R2 D2
L F' R' B2 D B2 U
L F' R2 U R' D' F2
L F' R2 D R U R2
L F' R2 D' R U R2
L F' R2 D2 R U R2
F' D' L R' U R2 D
F' D' L R' U R2 D'
F' D' L R' U R2 D2
F' D' L R' D B2 U
F' D' L R' B U R2
F' D' L R' B' U R2
F' D' L R' B2 U R2
F' D' L U R D' F2
F' D' L D R' U R2
L F' U R U' R2 U
L F' U R D' F2 D
L F' U R D' F2 D'
L F' U R D' F2 D2
L F' U R F D' F2
F' D' L D' R' U R2
L F' U R F' D' F2
L F' U R F2 D' F2
F' D' L D2 R' U R2
L F' U D R D' F2
L F' U D' R D' F2
L F' U D2 R D' F2
U' F' D L R' U R2
D2 F' D L R' B' U
U' F' D R' L U R2
D2 F' D R' L B' U
U' F' D' L R' U R2
U2 F' D L R' U R2
D2 F' D' L R' B U
U' F' D' R' L U R2
U2 F' D R' L U R2
L2 F' D R' U B R2
D2 F' D' R' L B U
L' F' D' R' U R2 B2
L' F' D' R' U B2 R2
U' F' D2 L R' U R2
U2 F' D' L R' U R2
U F' D L R' U R2
D' F' D2 L R' B U
U' F' D2 R' L U R2
U2 F' D' R' L U R2
U F' D R' L U R2
L F' D R' U R2 D
L F' D R' U R2 D'
L F' D R' U R2 D2
D' F' D2 R' L B U
L F' D R' D B2 U
L F' D R' B U R2
L F' D R' B' U R2
L F' D R' B2 U R2
L F' D U R D' F2
F' D' R' L U R2 D
F' D' R' L U R2 D'
F' D' R' L U R2 D2
F' D' R' L D B2 U
U2 F' D2 L R' U R2
F' D' R' L B U R2
F' D' R' L B' U R2
F' D' R' L B2 U R2
U F' D' L R' U R2
U2 F' D2 R' L U R2
F' D' R' D L B2 U
U F' D' R' L U R2
L F' D' R' U R2 D
L F' D' R' U R2 D'
L F' D' R' U R2 D2
L F' D' R' D B2 U
L F' D' R' B U R2
L F' D' R' B' U R2
L F' D' R' B2 U R2
D F' D2 L R' B' U
L F' D' U R D' F2
F2 D' R' F L U R
D F' D2 R' L B' U
U F' D2 L R' U R2
U F' D2 R' L U R2
L F' D2 R' U R2 D
L F' D2 R' U R2 D'
L F' D2 R' U R2 D2
L F' D2 R' D B2 U
L F' D2 R' B U R2
L F' D2 R' B' U R2
L F' D2 R' B2 U R2
L F' D2 U R D' F2
L F' B R2 U R' F'
L F' B U R' F' R2
L F' B' U D' R F'
L F' B' D' U R F'
L F' B2 U2 L U' R
F2 D' F L R' U R2
F2 D' F R' L U R2
U' F2 R' F L U R
D' F2 R' F L B' U
L' F2 R' F L2 U R
U2 F2 R' F L U R
L F2 R F R2 U R'
D F2 R' F L B U
L F2 R' D F U R
L F2 R' D' F U R
L F2 R' D2 F U R
U F2 R' F L U R
L F2 R' F U R D
L F2 R' F U R D'
L F2 R' F U R D2
L F2 R' F U D R
L F2 R' F U D' R
L F2 R' F U D2 R
L F2 R' F D U R
L F2 R' F D' U R
L F2 R' F D2 U R
L F2 R' F B U R
L F2 R' F B' U R
L F2 R' F B2 U R
L F2 R' B F U R
L F2 R' B' F U R
L F2 R' B2 F U R
F' D2 L R' U R2 D
F' D2 L R' U R2 D'
F' D2 L R' U R2 D2
F' D2 L R' D B2 U
F' D2 L R' B U R2
F' D2 L R' B' U R2
F' D2 L R' B2 U R2
F' D2 L U R D' F2
F' D2 L D R' U R2
F' D2 L D' R' U R2
F' D2 L D2 R' U R2
L F2 D R' F U R
L F2 D F R' U R2
F' D2 R' L U R2 D
F' D2 R' L U R2 D'
F' D2 R' L U R2 D2
F' D2 R' L D B2 U
F' D2 R' L B U R2
F' D2 R' L B' U R2
F' D2 R' L B2 U R2
F' D2 R' D L B2 U
L F2 D' R' F U R
L F2 D' F R' U R2
F2 D2 R' F L U R
L F2 D2 R' F U R
L F2 D2 F R' U R2
F2 D2 F L R' U R2
F2 D2 F R' L U R2
L B F' R2 U R' F'
L B F' U R' F' R2
B' F' U D' R F' B
B' F' U D' R B F'
F' B' U D' R F' B
F' B' U D' R B F'
B2 F' U2 L R' U' R2
B2 F' U2 R' L U' R2
B' F' D' U R F' B
B' F' D' U R B F'
L B' F' U D' R F'
F' B' D' U R F' B
F' B' D' U R B F'
L B' F' D' U R F'
F' B2 U2 L R' U' R2
F' B2 U2 R' L U' R2
L B2 F' U2 L U' R
