D L2 R2 U2 F
D' L2 F R2 B
D R2 L2 U2 F
D R2 B' L2 U2
B' U F2 B' U
B' U B' F2 U
U2 D' L2 R2 F
U2 D' L2 F R2
U2 D' R2 L2 F
D' U2 L2 R2 F
D' U2 L2 F R2
D' U2 R2 L2 F
D B' L2 R2 U2
D B' R2 L2 U2
D' B' U2 L2 R2
D' B' U2 R2 L2
U2 L2 D' R2 F L2 D
U2 L2 D' R2 F L2 D'
U2 L2 D' R2 F L2 D2
U2 L2 D' R2 F' L2 F2
U2 L2 D' R2 F2 L2 F'
D L2 D' U F2 U F'
U2 L2 D' F L2 R2 D
U2 L2 D' F L2 R2 D'
U2 L2 D' F L2 R2 D2
U2 L2 D' F R2 L2 D
U2 L2 D' F R2 L2 D'
U2 L2 D' F R2 L2 D2
U L2 D' L2 B2 R2 F'
U2 L2 D' F' L2 R2 F2
U2 L2 D' F' L2 F2 R2
U2 L2 D' F' R2 L2 F2
U2 L2 D' F' R2 F2 L2
U2 L2 D' F2 L2 F' R2
U L2 D' R2 F L2 B2
U L2 D' R2 F B2 L2
U L2 D' R2 B2 F L2
D' L2 D2 L2 U2 L2 F
D' L2 D2 L2 B' U2 L2
U L2 D' F L2 R2 B2
U L2 D' F L2 B2 R2
U L2 D' F R2 L2 B2
U L2 D' F R2 B2 L2
U L2 D' F B2 L2 R2
U L2 D' F B2 R2 L2
B' L2 D2 U' F B2 U'
B' L2 D2 U' B2 F U'
D' L2 D2 F D2 R2 B
D L2 D2 R U2 F L2
U L2 D' B2 R2 F L2
U L2 D' B2 F L2 R2
D L2 D2 R' U2 F L2
U L2 D' B2 F R2 L2
D L2 D2 R2 U2 F L2
U' L2 D2 F2 B2 U' F'
D L2 D2 U2 F L2 D
D L2 D2 U2 F L2 D'
D L2 D2 U2 F L2 D2
D L2 D2 U2 F' L2 F2
D L2 D2 U2 F2 L2 F'
D' L2 F L R2 B L'
U' L2 D2 B2 F2 U' F'
D' L2 F L2 R2 B L2
D' L2 F R D R B
D' L2 F R D' R B
D' L2 F R D2 R B
D L2 D2 B U2 F L2
D' L2 F R B R B
D' L2 F R B' R B
D' L2 F R B2 R B
D L2 D2 B' U2 F L2
D' L2 F R2 L B L'
D' L2 F R2 L2 B L2
D' L2 F R2 D B D
D' L2 F R2 D B D'
D' L2 F R2 D B D2
D' L2 F R2 D' B D
D' L2 F R2 D' B D'
D' L2 F R2 D' B D2
D' L2 F R2 D2 B D
D' L2 F R2 D2 B D'
D' L2 F R2 D2 B D2
D L2 D2 B2 U2 F L2
D' L2 F R2 B2 D B'
D' L2 F R2 B2 D' B'
D' L2 F R2 B2 D2 B'
D' L2 F U2 F' U2 R2
U2 L2 F U' F B2 U
U2 L2 F U' B2 F U
F' L2 F D' R2 B' L2
F' L2 F D' B' L2 R2
F' L2 F D' B' R2 L2
D' L2 F B R2 D B
D' L2 F B R2 D' B
D' L2 F B R2 D2 B
D' L2 F B R2 B D
D' L2 F B R2 B D'
D' L2 F B R2 B D2
D' L2 F B' R2 D B
D' L2 F B' R2 D' B
D' L2 F B' R2 D2 B
D' L2 F B' R2 B D
D' L2 F B' R2 B D'
D' L2 F B' R2 B D2
D' L2 F B2 R2 D B
D' L2 F B2 R2 D' B
D' L2 F B2 R2 D2 B
D' L2 F B2 R2 B D
D' L2 F B2 R2 B D'
D' L2 F B2 R2 B D2
D L2 F' R2 F U2 F
F' L2 F' B2 U F2 B
F' L2 F' B2 U B F2
L2 U R F2 B2 U F'
B2 L2 F2 U' F2 B U2
B2 L2 F2 U' B F2 U2
D L2 F2 R2 F2 B U2
D L2 F2 R2 B F2 U2
L2 U R B2 F2 U F'
U L2 F2 L2 B2 U F'
U2 L2 F2 B2 U F' B2
U2 L2 F2 B2 U B2 F'
L2 U R' F2 B2 U F'
U L2 F2 B2 L2 U F'
B2 L2 B U F2 B' U
B2 L2 B U B' F2 U
D L2 B R2 U2 D F
D L2 B R2 U2 D' F
D L2 B R2 U2 D2 F
D L2 B R2 U2 F D
D L2 B R2 U2 F D'
D L2 B R2 U2 F D2
D L2 B R2 D U2 F
D L2 B R2 D' U2 F
D L2 B R2 D2 U2 F
D L2 B R2 B U2 F
L2 U R' B2 F2 U F'
D L2 B R2 B' U2 F
D L2 B R2 B2 U2 F
D' L2 B F R2 D B
D' L2 B F R2 D' B
D' L2 B F R2 D2 B
D' L2 B F R2 B D
D' L2 B F R2 B D'
D' L2 B F R2 B D2
D L2 B U2 D2 F L2
D L2 B U2 F D2 L2
D L2 B D2 U2 F L2
L2 U R2 F2 B2 U F'
D L2 B' R2 U2 D F
D L2 B' R2 U2 D' F
D L2 B' R2 U2 D2 F
D L2 B' R2 U2 F D
D L2 B' R2 U2 F D'
D L2 B' R2 U2 F D2
D L2 B' R2 D U2 F
D L2 B' R2 D' U2 F
D L2 B' R2 D2 U2 F
D L2 B' R2 B U2 F
L2 U R2 B2 F2 U F'
D L2 B' R2 B' U2 F
D L2 B' R2 B2 U2 F
D' L2 B' F R2 D B
D' L2 B' F R2 D' B
D' L2 B' F R2 D2 B
D' L2 B' F R2 B D
D' L2 B' F R2 B D'
D' L2 B' F R2 B D2
D L2 B' U2 D2 F L2
D L2 B' U2 F D2 L2
D L2 B' D2 U2 F L2
F2 L2 B2 U D2 F B2
F2 L2 B2 U D2 B2 F
D L2 B2 R2 U2 D F
D L2 B2 R2 U2 D' F
D L2 B2 R2 U2 D2 F
D L2 B2 R2 U2 F D
D L2 B2 R2 U2 F D'
D L2 B2 R2 U2 F D2
F2 L2 B2 U' F2 U2 F'
D L2 B2 R2 D U2 F
D L2 B2 R2 D' U2 F
D L2 B2 R2 D2 U2 F
D L2 B2 R2 B U2 F
D L2 B2 R2 B' U2 F
D L2 B2 R2 B2 U2 F
D' L2 B2 F R2 D B
D' L2 B2 F R2 D' B
D' L2 B2 F R2 D2 B
D' L2 B2 F R2 B D
D' L2 B2 F R2 B D'
D' L2 B2 F R2 B D2
B L2 B2 U F2 B' U
F' L2 B2 F' U F2 B
F' L2 B2 F' U B F2
B L2 B2 U B' F2 U
D L2 B2 U2 D2 F L2
D L2 B2 U2 F D2 L2
F2 L2 B2 D2 U F B2
F2 L2 B2 D2 U B2 F
D L2 B2 D2 U2 F L2
U2 L2 B2 F2 U F' B2
U2 L2 B2 F2 U B2 F'
U L2 B2 F2 L2 U F'
D' R L' U2 L' R F
D' R L' U2 R L' F
U2 R L2 D' R2 F L2
U2 R L2 D' F L2 R2
U2 R L2 D' F R2 L2
D R L2 U2 F2 L' F'
D R L2 D R U2 F
D R L2 D' R U2 F
D R L2 D2 R U2 F
D R L2 B R U2 F
D R L2 B' R U2 F
D R L2 B2 R U2 F
B' R U D' B' U L2
B' R U F2 D B' U
B' R U F2 D' B' U
B' R U F2 D2 B' U
B' R U F2 B' U D
B' R U F2 B' U D'
B' R U F2 B' U D2
B' R U F2 B' D U
B' R U F2 B' D' U
B' R U F2 B' D2 U
B' R U B' U D' L2
B' R U B' D' U L2
B' R U B' F2 U D
B' R U B' F2 U D'
B' R U B' F2 U D2
B' R U B' F2 D U
B' R U B' F2 D' U
B' R U B' F2 D2 U
U R U D' L2 R2 F
U R U D' L2 F R2
U R U D' R2 L2 F
L2 U F2 U D' F' R2
L2 U F2 U F' D' R2
R' U F2 B2 R2 U F'
R' U F2 B2 U' B U2
L2 U F2 D' U F' R2
L2 U F2 B2 U D F'
L2 U F2 B2 U D' F'
L2 U F2 B2 U D2 F'
L2 U F2 B2 U F' D
L2 U F2 B2 U F' D'
L2 U F2 B2 U F' D2
L2 U F2 B2 D U F'
L2 U F2 B2 D' U F'
L2 U F2 B2 D2 U F'
R2 U F2 B2 R2 U F'
R2 U F2 B2 U' B U2
L U F2 B' R' B' U
D' R U2 L2 R D F
D' R U2 L2 R D' F
D' R U2 L2 R D2 F
D' R U2 L2 R F D
D' R U2 L2 R F D'
D' R U2 L2 R F D2
D' R U2 L2 R' F R2
D' R U2 L2 R2 F R'
D' R U2 L2 D R F
D' R U2 L2 D' R F
D' R U2 L2 D2 R F
D' R U2 R L2 D F
D' R U2 R L2 D' F
D' R U2 R L2 D2 F
D' R U2 R L2 F D
D' R U2 R L2 F D'
D' R U2 R L2 F D2
D' R U2 R F L2 F
D' R U2 R F' L2 F
D' R U2 R F2 L2 F
D' R U2 R' L2 F R2
R U F2 B2 R2 U F'
R U F2 B2 U' B U2
D' R U2 R2 L2 F R'
D2 R U2 D L2 R2 F
D2 R U2 D L2 F R2
D2 R U2 D R2 L2 F
D' R U2 F' L2 F R
D2 R D L2 F R2 B
B' R D R2 U B' U
D2 R D U2 L2 R2 F
D2 R D U2 L2 F R2
D2 R D U2 R2 L2 F
L U B' R' F2 B' U
L U B' R' B' F2 U
R' U B2 R2 F2 U F
D2 R D B' U2 L2 R2
D2 R D B' U2 R2 L2
D2 R D' L2 R2 U2 F
L2 U B2 R F2 U F'
L U B' F2 R' B' U
L2 U B2 R' F2 U F'
L2 U B2 R2 F2 U F'
D2 R D' R2 L2 U2 F
L2 U B2 U D' F L2
D2 R D' R2 B' L2 U2
R' U B2 F2 R2 U F'
R' U B2 F2 U' B U2
R2 U B2 R2 F2 U F
U2 R D' L2 R' F R'
F2 R D' L2 U R2 F
