F' L' U R' F
F' L' U F R'
F' L' R U R2 F
F' L' R U F R2
F' L' R2 U R F
F' L' U R F R2
F' L' U R' D F
F' L' U R' D' F
F' L' U R' D2 F
F' L' U R' F D
F' L' U R' F D'
F' L' U R' F D2
F' L' U D R' F
F' L' U D F R'
F' L' U D' R' F
F' L' U D' F R'
F' L' U D2 R' F
F' L' U D2 F R'
F' L' U F R' D
F' L' U F R' D'
F' L' U F R' D2
F' L' U F D R'
F' L' U F D' R'
F' L' U F D2 R'
F' L' U F' R' F2
F' L' D U R' F
F' L' D U F R'
F' L' D' U R' F
F' L' D' U F R'
F' L' D2 U R' F
F' L' D2 U F R'
F' R L' U R2 F
F' R L' U F R2
F' R2 L' U R F
L' F' L' U R' F2
L' F' L' U F2 R'
D F' L' R U R2
D F' R L' U R2
D F' L' U R' D' F2
D F' L' D R U R2
D F' L' D' R U R2
D F' L' D2 R U R2
U F' L' U R' F B'
U F' L' U R' B' F
U F' L' U F R' B'
D2 F' R L' U F' R2
L' F' R L' U R2 F2
L' F' R L' U F2 R2
D F' R L' U R2 D
D F' R L' U R2 D'
D F' R L' U R2 D2
D F' R L' D B2 U
D F' R L' B U R2
D F' R L' B' U R2
D F' R L' B2 U R2
D F' R D L' B2 U
D F' R D B2 L' U
D F' R B L' U R2
D F' R B' L' U R2
L' F' R2 L' U R F2
D F' R B2 L' U R2
L' F' U F2 R' D B2
D' F' D L' U R' F
D' F' D L' U F R'
L' F' D L' R2 U R
L' F' D R2 L' U R
D F' D L' R U R2
D F' D R L' U R2
D2 F' D2 L' U R' F
D2 F' D2 L' U F R'
D F' D' L' R U R2
D F' D' R L' U R2
D F' D2 L' R U R2
D F' D2 R L' U R2
F' D2 L' R U F' R2
F' D2 L' U R F' R2
F' D2 R L' U F' R2
F D2 R B2 U' F' R2
F D2 R' D B2 L2 F
B' D2 F' L' U R F'
R2 B L' U' R F B
R2 B L' U' R B F
R2 B U' D2 R F' B
R2 B U' D2 R B F'
F' B L' B' U R' F
F' B L' B' U F R'
R2 B D2 U' R F' B
R2 B D2 U' R B F'
B' F' L' B U R' F
B' F' L' B U F R'
B2 F' L' U D2 R2 F
B2 F' L' U D2 F R2
B2 F' L' U F D2 R2
B2 F' L' U' L2 B' U2
B2 F' L' D' B2 U F
B2 F' L' D2 U R2 F
B2 F' L' D2 U F R2
F' B' L' B U R' F
F' B' L' B U F R'
B F' L' B' U R' F
B F' L' B' U F R'
F' B2 L' U D2 R2 F
F' B2 L' U D2 F R2
F' B2 L' U F D2 R2
F' B2 L' U' L2 B' U2
F' B2 L' D' B2 U F
F' B2 L' D2 U R2 F
F' B2 L' D2 U F R2
