U R U F' B2
U R U B2 F'
U' R U' F' B2
U' R U' B2 F'
U2 R F' R' B2
R U2 F' B2 L
R U2 B2 L F'
R U2 B2 F' L
U2 B2 R F' R'
L' R F' B2 L R' D
L' R F' B2 L R' D'
L' R F' B2 L R' D2
L' R F' B2 L D R'
L' R F' B2 L D' R'
L' R F' B2 L D2 R'
L' R F' B2 R' L D
L' R F' B2 R' L D'
L' R F' B2 R' L D2
L' R F' B2 R' D L
L' R F' B2 R' D' L
L' R F' B2 R' D2 L
L' R F' B2 D L R'
L' R F' B2 D R' L
L' R F' B2 D' L R'
L' R F' B2 D' R' L
L' R F' B2 D2 L R'
L' R F' B2 D2 R' L
L2 R F' B2 D2 L R2
L2 R F' B2 D2 R2 L
L' R F2 B2 R' F L
L R F2 B2 R F L
R L F2 B2 R F L
D2 L F2 L2 U2 R F
F' L F2 R F' B2 L
F' L F2 R B2 L F'
F' L F2 R B2 F' L
F2 L F2 R F' B2 L
F2 L F2 R B2 L F'
F2 L F2 R B2 F' L
L' R B2 L D F' R'
L' R B2 L D' F' R'
L' R B2 L D2 F' R'
L' R B2 L F R' F2
L' R B2 L F' R' D
L' R B2 L F' R' D'
L' R B2 L F' R' D2
L' R B2 L F' D R'
L' R B2 L F' D' R'
L' R B2 L F' D2 R'
L' R B2 L F2 R' F
F L F2 R F' B2 L
F L F2 R B2 L F'
F L F2 R B2 F' L
L' R B2 L' F' L2 R'
L' R B2 L' F' R' L2
F' L F2 U2 R F' B2
F' L F2 U2 R B2 F'
F' L F2 U2 B2 R F'
D2 L F2 D B' U2 R
L R B2 L D2 F' R2
L R B2 L F' D2 R2
F2 L F2 U2 R F' B2
F2 L F2 U2 R B2 F'
B' L F2 U2 R F' B
B' L F2 U2 R B F'
D2 L F2 D' B' U2 R
R L B2 L D2 F' R2
R L B2 L F' D2 R2
F2 L F2 U2 B2 R F'
F L F2 U2 R F' B2
F L F2 U2 R B2 F'
D2 L F2 D2 B' U2 R
F L F2 U2 B2 R F'
D2 L F2 B' L U2 R
D2 L F2 B' L' U2 R
D2 L F2 B' L2 U2 R
B L F2 U2 B R F'
D2 L F2 B' U2 R D
D2 L F2 B' U2 R D'
D2 L F2 B' U2 R D2
D2 L F2 B' U2 D R
D2 L F2 B' U2 D' R
D2 L F2 B' U2 D2 R
D2 L F2 B' D U2 R
D2 L F2 B' D' U2 R
D2 L F2 B' D2 U2 R
L' R B2 D L F' R'
L' R B2 D F' L R'
L' R B2 D F' R' L
D2 L B L' F2 B2 U2
L' R B2 D' L F' R'
D2 L B L' B2 F2 U2
L' R B2 D' F' L R'
L' R B2 D' F' R' L
L' R B2 D2 L F' R'
L' R B2 D2 F' L R'
L' R B2 D2 F' R' L
L' R B2 F L R' F2
L' R B2 F L F2 R'
L' R B2 F R' L F2
L' R B2 F R' F2 L
L' R B2 F' L R' D
L' R B2 F' L R' D'
L' R B2 F' L R' D2
L' R B2 F' L D R'
L' R B2 F' L D' R'
L' R B2 F' L D2 R'
L' R B2 F' R' L D
L' R B2 F' R' L D'
L' R B2 F' R' L D2
L' R B2 F' R' D L
L' R B2 F' R' D' L
L' R B2 F' R' D2 L
L' R B2 F' D L R'
L' R B2 F' D R' L
L' R B2 F' D' L R'
L' R B2 F' D' R' L
L' R B2 F' D2 L R'
L' R B2 F' D2 R' L
L' R B2 F2 R' F L
L2 R B2 D2 L F' R2
L2 R B2 D2 F' L R2
L2 R B2 D2 F' R2 L
L2 R B2 F' D2 L R2
L2 R B2 F' D2 R2 L
L R B2 F2 R F L
R L B2 F2 R F L
U2 L B D2 L' F B
U2 L B D2 L' B F
U2 L B D2 B L' F
D2 L B' L F2 L2 U2
D2 L B' L' U2 D2 B2
D2 L B' L' D2 U2 B2
D2 L B' L' F2 U2 D
D2 L B' L' F2 U2 D'
D2 L B' L' F2 U2 D2
D2 L B' L' F2 D U2
D2 L B' L' F2 D' U2
D2 L B' L' F2 D2 U2
D2 L B' L2 F2 L U2
R L' U F' B2 L R'
R L' U F' B2 R' L
R L' U B2 L F' R'
R L' U B2 F' L R'
R L' U B2 F' R' L
D2 L B' D2 L' U2 B2
D2 L B' F2 L U2 R
D2 L B' F2 L' U2 R
D2 L B' F2 L2 U2 R
D2 L B' F2 U2 R D
D2 L B' F2 U2 R D'
D2 L B' F2 U2 R D2
D2 L B' F2 U2 D R
D2 L B' F2 U2 D' R
D2 L B' F2 U2 D2 R
D2 L B' F2 D U2 R
D2 L B' F2 D' U2 R
D2 L B' F2 D2 U2 R
U2 L B' D2 B' L' F
D2 L B2 L' F2 B U2
D2 L B2 L' B F2 U2
U2 L B2 L' R F' R'
U2 L B2 R L' F' R'
R L' U' F' B2 L R'
R L' U' F' B2 R' L
R L' U' B2 L F' R'
R L' U' B2 F' L R'
R L' U' B2 F' R' L
U2 L B2 D2 L' D F
U2 L B2 D2 L' D' F
U2 L B2 D2 L' D2 F
U2 L B2 D2 L' F D
U2 L B2 D2 L' F D'
U2 L B2 D2 L' F D2
U' L' R U' F' B2 D
U' L' R U' F' B2 D'
U' L' R U' F' B2 D2
U' L' R U' B2 D F'
U' L' R U' B2 D' F'
U' L' R U' B2 D2 F'
U' L' R U' B2 F' D
U' L' R U' B2 F' D'
U' L' R U' B2 F' D2
R L' U2 F' B2 L R'
R L' U2 F' B2 R' L
U L' R U F' B2 D
U L' R U F' B2 D'
U L' R U F' B2 D2
U L' R U B2 D F'
U L' R U B2 D' F'
U L' R U B2 D2 F'
U L' R U B2 F' D
U L' R U B2 F' D'
U L' R U B2 F' D2
F' L' R F' B2 L R'
F' L' R F' B2 R' L
U L' R D L2 U F'
R L' U2 B2 L F' R'
U2 L' R F' L R' B2
F2 L' R F' B2 L R'
U2 L' R F' R' L B2
F2 L' R F' B2 R' L
R L' U2 B2 F' L R'
R L' U2 B2 F' R' L
F' L' R B2 L F' R'
F L' R F' B2 L R'
F L' R F' B2 R' L
F' L' R B2 F' L R'
F' L' R B2 F' R' L
F2 L' R B2 L F' R'
F2 L' R B2 F' L R'
F2 L' R B2 F' R' L
U' L' R' U B U2 B
F L' R B2 L F' R'
F L' R B2 F' L R'
F L' R B2 F' R' L
U' L' R' D' R2 U' F'
U L' R' U' B U2 B
U L' U R F' R' B2
U' L' U' R F' R' B2
U L' U B2 R F' R'
U' L' U' B2 R F' R'
R L' F B2 L R' F2
R L' F B2 L F2 R'
R L' F B2 R' L F2
R L' F B2 R' F2 L
F' L' U2 R F' B2 R'
F' L' U2 R B2 F' R'
U' L' U2 R U F' B2
U' L' U2 R U B2 F'
F2 L' U2 R F' B2 R'
F2 L' U2 R B2 F' R'
F' L' U2 R2 B2 R' F'
D2 L' U2 D2 F B2 R'
D2 L' U2 D2 B2 R' F
D2 L' U2 D2 B2 F R'
F2 L' U2 R2 B2 R' F'
F L' U2 R F' B2 R'
F L' U2 R B2 F' R'
U L' U2 R U' F' B2
U L' U2 R U' B2 F'
F L' U2 R2 B2 R' F'
F' L' U2 B2 R F' R2
F2 L' U2 B2 R F' R2
R L' F' B2 L R' D
R L' F' B2 L R' D'
R L' F' B2 L R' D2
R L' F' B2 L D R'
R L' F' B2 L D' R'
R L' F' B2 L D2 R'
R L' F' B2 R' L D
R L' F' B2 R' L D'
R L' F' B2 R' L D2
R L' F' B2 R' D L
R L' F' B2 R' D' L
R L' F' B2 R' D2 L
R L' F' B2 D L R'
R L' F' B2 D R' L
R L' F' B2 D' L R'
R L' F' B2 D' R' L
R L' F' B2 D2 L R'
R L' F' B2 D2 R' L
F L' U2 B2 R F' R2
D' L' D' L F2 B' U2
D' L' D' L B' F2 U2
R L' F2 B2 R' F L
D' L' D' F2 L B' U2
F' L' D2 L F2 B' U2
F' L' D2 L B' F2 U2
F2 L' D2 L F2 B' U2
F2 L' D2 L B' F2 U2
B2 L' D2 L B' U2 B
U2 L' D2 L' F L2 B'
B L' D2 L B' U2 B2
F L' D2 L F2 B' U2
F L' D2 L B' F2 U2
D2 L' D2 U2 F B2 R'
D2 L' D2 U2 B2 R' F
D2 L' D2 U2 B2 F R'
F' L' D2 F2 L B' U2
F2 L' D2 F2 L B' U2
F L' D2 F2 L B' U2
R' L' B2 R' D2 L2 F
L' R' B2 R' D2 L2 F
R L' B2 L D F' R'
R L' B2 L D' F' R'
R L' B2 L D2 F' R'
R L' B2 L F R' F2
R L' B2 L F' R' D
R L' B2 L F' R' D'
R L' B2 L F' R' D2
R L' B2 L F' D R'
R L' B2 L F' D' R'
R L' B2 L F' D2 R'
R L' B2 L F2 R' F
R L' B2 L' F' L2 R'
R L' B2 L' F' R' L2
R2 L' B2 D2 L2 R' F'
R2 L' B2 D2 R' L2 F'
R2 L' B2 D2 R' F' L2
R L' B2 D L F' R'
R L' B2 D F' L R'
R L' B2 D F' R' L
D2 L' F' L F' U2 F'
R L' B2 D' L F' R'
R L' B2 D' F' L R'
R L' B2 D' F' R' L
R L' B2 D2 L F' R'
R L' B2 D2 F' L R'
R L' B2 D2 F' R' L
R L' B2 F L R' F2
R L' B2 F L F2 R'
R L' B2 F R' L F2
R L' B2 F R' F2 L
R L' B2 F' L R' D
R L' B2 F' L R' D'
R L' B2 F' L R' D2
R L' B2 F' L D R'
R L' B2 F' L D' R'
R L' B2 F' L D2 R'
R L' B2 F' R' L D
R L' B2 F' R' L D'
R L' B2 F' R' L D2
R L' B2 F' R' D L
R L' B2 F' R' D' L
R L' B2 F' R' D2 L
R L' B2 F' D L R'
R L' B2 F' D R' L
R L' B2 F' D' L R'
R L' B2 F' D' R' L
R L' B2 F' D2 L R'
R L' B2 F' D2 R' L
R L' B2 F2 R' F L
D2 L' F2 L U2 D F'
D2 L' F2 L U2 D' F'
D2 L' F2 L U2 D2 F'
D2 L' F2 L U2 F' D
D2 L' F2 L U2 F' D'
D2 L' F2 L U2 F' D2
D2 L' F2 L D U2 F'
D2 L' F2 L D' U2 F'
D2 L' F2 L D2 U2 F'
D2 L' F2 L B U2 F'
D2 L' F2 L B' U2 F'
D2 L' F2 L B2 U2 F'
D2 L' F2 D L U2 F'
D2 L' F2 D' L U2 F'
D2 L' F2 D2 L U2 F'
D2 L' F2 B2 U2 F' R'
U2 L' B2 U2 R' B U2
D2 L' B2 F2 U2 F' R'
U' L2 R U' F' B2 D
U' L2 R U' F' B2 D'
U' L2 R U' F' B2 D2
U' L2 R U' B2 D F'
U' L2 R U' B2 D' F'
U' L2 R U' B2 D2 F'
U' L2 R U' B2 F' D
U' L2 R U' B2 F' D'
U' L2 R U' B2 F' D2
U L2 R U F' B2 D
U L2 R U F' B2 D'
U L2 R U F' B2 D2
U L2 R U B2 D F'
U L2 R U B2 D' F'
U L2 R U B2 D2 F'
U L2 R U B2 F' D
U L2 R U B2 F' D'
U L2 R U B2 F' D2
U2 L2 R F' L2 R' B2
U2 L2 R F' R' L2 B2
U2 L2 R F' R' B2 L2
U L2 R D L2 U F'
U' L2 R' U B U2 B
U' L2 R' D' R2 U' F'
U L2 R' U' B U2 B
U2 L2 R' B2 L2 R F
U2 L2 R' B2 R L2 F
R L2 F' L B2 L R'
R L2 F' L B2 R' L
U L2 U R F' R' B2
R L2 F' B2 D2 L R2
R L2 F' B2 D2 R2 L
U' L2 U' R F' R' B2
U L2 U B2 R F' R'
U' L2 U' B2 R F' R'
U' L2 U2 R U F' B2
U' L2 U2 R U B2 F'
U L2 U2 R U' F' B2
U L2 U2 R U' B2 F'
L' R2 B2 D2 L2 R' F'
L' R2 B2 D2 R' L2 F'
L' R2 B2 D2 R' F' L2
R L2 B2 D2 L F' R2
R L2 B2 D2 F' L R2
R L2 B2 D2 F' R2 L
R L2 B2 F' D2 L R2
R L2 B2 F' D2 R2 L
R U L U F' B2 L
R U L U B2 L F'
R U L U B2 F' L
R U L' U F' B2 L
R U L' U B2 L F'
R U L' U B2 F' L
R U L2 U F' B2 L
R U L2 U B2 L F'
R U L2 U B2 F' L
L' U R U F' B2 R'
L' U R U B2 F' R'
D2 L2 F2 L' B' L' U2
R2 U R' U B2 L F
R' U R2 U F' B2 L
R' U R2 U B2 L F'
R' U R2 U B2 F' L
U2 L2 B2 L' D2 L' F
U2 L2 B2 L2 R F' R'
U2 L2 B2 R L2 F' R'
U2 L2 B2 R F' L2 R'
U2 L2 B2 R F' R' L2
U' R L U' F' B2 D
U' R L U' F' B2 D'
U' R L U' F' B2 D2
U' R L U' B2 D F'
U' R L U' B2 D' F'
U' R L U' B2 D2 F'
U' R L U' B2 F' D
U' R L U' B2 F' D'
U' R L U' B2 F' D2
U R L U F' B2 D
U R L U F' B2 D'
U R L U F' B2 D2
U R L U B2 D F'
U R L U B2 D' F'
U R L U B2 D2 F'
U R L U B2 F' D
U R L U B2 F' D'
U R L U B2 F' D2
U R L D L2 U F'
U' R L' U' F' B2 D
U' R L' U' F' B2 D'
U' R L' U' F' B2 D2
U' R L' U' B2 D F'
U' R L' U' B2 D' F'
U' R L' U' B2 D2 F'
U' R L' U' B2 F' D
U' R L' U' B2 F' D'
U' R L' U' B2 F' D2
F' R L' F' B2 L R'
F' R L' F' B2 R' L
U2 R L' F' L R' B2
U2 R L' F' R' L B2
F' R L' B2 L F' R'
F2 R L' F' B2 L R'
F2 R L' F' B2 R' L
U R L' U F' B2 D
U R L' U F' B2 D'
U R L' U F' B2 D2
F' R L' B2 F' L R'
F' R L' B2 F' R' L
U R L' U B2 D F'
U R L' U B2 D' F'
U R L' U B2 D2 F'
U R L' U B2 F' D
U R L' U B2 F' D'
U R L' U B2 F' D2
U R L' D L2 U F'
U' R L2 U' F' B2 D
U' R L2 U' F' B2 D'
U' R L2 U' F' B2 D2
U' R L2 U' B2 D F'
U' R L2 U' B2 D' F'
U' R L2 U' B2 D2 F'
F2 R L' B2 L F' R'
U' R L2 U' B2 F' D
U' R L2 U' B2 F' D'
U' R L2 U' B2 F' D2
F2 R L' B2 F' L R'
F2 R L' B2 F' R' L
F R L' F' B2 L R'
F R L' F' B2 R' L
F R L' B2 L F' R'
R U F U F2 B2 L
R U F U B2 L F2
R U F U B2 F2 L
F R L' B2 F' L R'
F R L' B2 F' R' L
U2 R L2 F' L2 R' B2
U2 R L2 F' R' L2 B2
U2 R L2 F' R' B2 L2
U R L2 U F' B2 D
U R L2 U F' B2 D'
U R L2 U F' B2 D2
U R L2 U B2 D F'
U R L2 U B2 D' F'
U R L2 U B2 D2 F'
U R L2 U B2 F' D
U R L2 U B2 F' D'
U R L2 U B2 F' D2
U R L2 D L2 U F'
U' R U D2 F2 U2 F
U' R U F U2 F2 B2
U' R U F U2 B2 F2
U' R U F2 U2 F B2
U' R U F2 U2 B2 F
U R U L B2 L' F'
U' R U B U2 F' B
U' R U B U2 B F'
U R U L' F' L B2
U' R U B' U2 F' B'
U' R U B' U2 B' F'
U R U L2 F' L2 B2
U R U L2 F' B2 L2
U R U L2 B2 L2 F'
U R U L2 B2 F' L2
U' R U' L B2 L' F'
U R U R' B2 R F'
U' R U' L' F' L B2
U R U D F' D' B2
U' R U' L2 F' L2 B2
R U F' B2 L D' R2
U' R U' L2 F' B2 L2
U' R U' L2 B2 L2 F'
U' R U' L2 B2 F' L2
R U F' B2 D' L R2
R U F' B2 D' R2 L
U R U D' F' D B2
U' R U' R' B2 R F'
U R U F' L B2 L'
U R U F' L2 B2 L2
U R U F' R' B2 R
U R U F' R2 B2 R2
U R U F' B D B
U R U F' B D' B
U R U F' B D2 B
U R U F' B' D B'
U' R U' D F' D' B2
U R U F' B' D' B'
U R U F' B' D2 B'
U' R U' D' F' D B2
U R U F2 B2 D F
U R U F2 B2 D' F
U R U F2 B2 D2 F
U R U B D F' B
U R U B D B F'
U R U B D' F' B
U R U B D' B F'
U R U B D2 F' B
U R U B D2 B F'
U R U B F' D B
U R U B F' D' B
U R U B F' D2 B
U R U B' D F' B'
U R U B' D B' F'
U R U B' D' F' B'
U R U B' D' B' F'
U R U B' D2 F' B'
U R U B' D2 B' F'
U' R U' F' L B2 L'
U R U B' F' D B'
U R U B' F' D' B'
U R U B' F' D2 B'
U' R U' F' L2 B2 L2
U R U B2 L' F' L
U' R U' F' R' B2 R
U R U B2 L2 F' L2
U' R U' F' R2 B2 R2
R U F2 U F B2 L
U' R U' F' B D B
U' R U' F' B D' B
U' R U' F' B D2 B
R U F2 U B2 F L
U R U B2 D F' D
U R U B2 D F' D'
U R U B2 D F' D2
U' R U' F' B' D B'
U' R U' F' B' D' B'
U' R U' F' B' D2 B'
U R U B2 D' F' D
U R U B2 D' F' D'
U R U B2 D' F' D2
U R U B2 D2 F' D
U R U B2 D2 F' D'
U R U B2 D2 F' D2
U R U B2 F2 D F
U R U B2 F2 D' F
U R U B2 F2 D2 F
U' R U' F2 B2 D F
U' R U' F2 B2 D' F
U' R U' F2 B2 D2 F
U' R U' B D F' B
U' R U' B D B F'
U' R U' B D' F' B
U' R U' B D' B F'
U' R U' B D2 F' B
U' R U' B D2 B F'
U' R U' B F' D B
U' R U' B F' D' B
U' R U' B F' D2 B
U' R U' B' D F' B'
U' R U' B' D B' F'
U' R U' B' D' F' B'
U' R U' B' D' B' F'
U' R U' B' D2 F' B'
U' R U' B' D2 B' F'
U' R U' B' F' D B'
U' R U' B' F' D' B'
U' R U' B' F' D2 B'
U' R U' B2 L' F' L
U' R U' B2 L2 F' L2
U' R U' B2 D F' D
U' R U' B2 D F' D'
U' R U' B2 D F' D2
U' R U' B2 D' F' D
U' R U' B2 D' F' D'
U' R U' B2 D' F' D2
U' R U' B2 D2 F' D
U' R U' B2 D2 F' D'
U' R U' B2 D2 F' D2
U' R U' B2 F2 D F
U' R U' B2 F2 D' F
U' R U' B2 F2 D2 F
F' R U2 L F' B2 L
U' R U2 L U F' B2
U' R U2 L U B2 F'
F' R U2 L B2 L F'
F' R U2 L B2 F' L
U' R U2 L' U F' B2
U' R U2 L' U B2 F'
F' R U2 L' F' B2 L
F' R U2 L' B2 L F'
F' R U2 L' B2 F' L
U' R U2 L2 U F' B2
U' R U2 L2 U B2 F'
F' R U2 L2 F' B2 L
F' R U2 L2 B2 L F'
F' R U2 L2 B2 F' L
F2 R U2 L F' B2 L
F2 R U2 L B2 L F'
F2 R U2 L B2 F' L
U R U' D2 F2 U2 F
F2 R U2 L' F' B2 L
F2 R U2 L' B2 L F'
F2 R U2 L' B2 F' L
U R U' F U2 F2 B2
U R U' F U2 B2 F2
F2 R U2 L2 F' B2 L
U' R U2 D L2 U F'
F2 R U2 L2 B2 L F'
F2 R U2 L2 B2 F' L
B2 R U2 R' U2 R F'
U R U' F2 U2 F B2
U R U' F2 U2 B2 F
U R U' B U2 F' B
U R U' B U2 B F'
F' R U2 F B2 L F2
F' R U2 F' L B2 L
F' R U2 F' L' B2 L
F' R U2 F' L2 B2 L
U R U' B' U2 F' B'
U R U' B' U2 B' F'
F R U2 L F' B2 L
F R U2 L B2 L F'
F R U2 L B2 F' L
F' R U2 F' B2 L D
F' R U2 F' B2 L D'
F' R U2 F' B2 L D2
F' R U2 F' B2 D L
F' R U2 F' B2 D' L
F' R U2 F' B2 D2 L
B' R U2 F' B2 L B
F R U2 L' F' B2 L
F R U2 L' B2 L F'
F R U2 L' B2 F' L
U R U2 L U' F' B2
U R U2 L U' B2 F'
F R U2 L2 F' B2 L
F R U2 L2 B2 L F'
F R U2 L2 B2 F' L
U R U2 L' U' F' B2
U R U2 L' U' B2 F'
F2 R U2 F B2 L F2
F2 R U2 F' L B2 L
F2 R U2 F' L' B2 L
U R U2 L2 U' F' B2
U R U2 L2 U' B2 F'
F2 R U2 F' L2 B2 L
