L2 R U' F2 L R
L2 R U' F2 R L
B2 L' R' F2 D B2
R L2 U' F2 L R
R L2 U' F2 R L
R U L U2 L2 F2
R U L U2 F2 L2
B2 R U' L' R2 F2
B2 R U' L' F2 R2
B2 R U' R2 L' F2
R U' L' F2 D2 R2
R U' L2 F2 L R
R U' L2 F2 R L
L U' R U' L2 F2
L U' R U' F2 L2
B2 R' L' F2 D B2
L2 F2 L R D' B2
L2 F2 L D' R B2
L2 F2 L D' B2 R
L2 F2 R L D' B2
R B2 U' L' R' F2
R B2 U' L' F2 R'
R B2 U' R' L' F2
R B2 U' R' L' F2
B2 R L U' R2 L2 F2
B2 R L U' R2 F2 L2
B2 R L U' F2 L2 R2
B2 R L U' F2 R2 L2
F2 R L D F2 U2 F2
R U D2 L B2 U2 L2
B2 R L' F2 R2 D B2
D' R L2 U L' U2 L2
R U D2 B2 U2 L' R'
R U D2 B2 U2 R' L'
D' R L2 U' L D2 R2
U' R L2 U' F2 L R
U' R L2 U' F2 R L
B2 R L2 U' L R2 F2
B2 R L2 U' L F2 R2
B2 R L2 U' R2 L F2
B2 R L2 U' R2 F2 L
B2 R L2 U' F2 L R2
B2 R L2 U' F2 R2 L
U2 R L2 U' F2 L R
U2 R L2 U' F2 R L
D' R L2 F2 U' L R
D' R L2 F2 U' R L
D2 R U L B2 U2 L2
U' R U L U2 L2 F2
U' R U L U2 F2 L2
U R L2 U' F2 L R
U R L2 U' F2 R L
U2 R U L U2 L2 F2
U2 R U L U2 F2 L2
U R U L U2 L2 F2
U R U L U2 F2 L2
L2 U F2 L R D' B2
D2 R U B2 U2 L' R'
D2 R U B2 U2 R' L'
L2 U F2 L D' R B2
L2 U F2 L D' B2 R
D2 R U' L' D2 R2 F2
D2 R U' L' D2 F2 R2
L2 U F2 R L D' B2
U' R U' L' F2 D2 R2
B2 R U' L R2 F2 L2
U' R U' L2 F2 L R
U' R U' L2 F2 R L
B2 R U' L F2 L2 R2
B2 R U' L F2 R2 L2
B2 R U' L' R' F2 R'
B2 R U' L' R2 F2 D
B2 R U' L' R2 F2 D'
B2 R U' L' R2 F2 D2
B2 R U' L' F R2 F
B2 R U' L' F2 R2 D
B2 R U' L' F2 R2 D'
B2 R U' L' F2 R2 D2
B2 R U' L2 R2 F2 L
B2 R U' L2 F2 L R2
B2 R U' L2 F2 L R2
B2 R U' L2 F2 R2 L
U2 R U' L' F2 D2 R2
U2 R U' L2 F2 L R
U2 R U' L2 F2 R L
B2 R U' R' L' F2 R'
B2 R U' R2 L F2 L2
B2 R U' R2 L' F2 D
B2 R U' R2 L' F2 D'
B2 R U' R2 L' F2 D2
B2 R U' R2 L2 F2 L
U R U' L' F2 D2 R2
U R U' L2 F2 L R
U R U' L2 F2 R L
B2 R D' L2 F2 U' L
R U B2 U2 L' R' F2
R U B2 U2 L' F2 R'
R U B2 U2 R' L' F2
L U' L R U' L F2
L U' L R U' F2 L
R U' L F2 L2 D2 R2
L U' L' R U' L' F2
R U' L' R F2 D2 R2
R U' L' R' F2 D2 R2
R U' L' R2 F2 D2 R2
R U' L' U2 L2 U2 F2
R U' L' D2 R2 D2 F2
R U' L' F D2 R2 F
R U' L' F D2 F R2
R U' L' F' D2 F' R2
R U' L' F2 R D2 R2
R U' L' F2 R' D2 R2
R U' L' F2 R2 D2 R2
R U' L' F2 U2 L2 U2
R U' L' F2 D2 R2 D
R U' L' F2 D2 R2 D'
R U' L' F2 D2 R2 D2
R U' L2 R F2 L R
R U' L2 R F2 R L
R U' L2 R' F2 L R
R U' L2 R' F2 R L
R U' L2 R2 F2 L R
R U' L2 R2 F2 R L
R U' L2 F' L F' R
R U' L2 F2 L R D
R U' L2 F2 L R D'
R U' L2 F2 L R D2
R U' L2 F2 L D R
R U' L2 F2 L D' R
R U' L2 F2 L D2 R
R U' L2 F2 R L D
R U' L2 F2 R L D'
R U' L2 F2 R L D2
R U' L2 F2 R D L
R U' L2 F2 R D' L
R U' L2 F2 R D2 L
R U' L2 F2 D L R
R U' L2 F2 D R L
R U' L2 F2 D' L R
R U' L2 F2 D' R L
R U' L2 F2 D2 L R
R U' L2 F2 D2 R L
L2 U' R U' F2 L R
L2 U' R U' F2 R L
L U' R L U' L F2
L U' R L U' F2 L
L U' R L' U' L' F2
R U' R L' F2 D2 R2
L U' R U' L F2 L
L U' R U' L2 F2 D
L U' R U' L2 F2 D'
L U' R U' L2 F2 D2
R U' R L2 F2 L R
R U' R L2 F2 R L
L U' R U' F' L2 F'
L U' R U' F2 L2 D
L U' R U' F2 L2 D'
L U' R U' F2 L2 D2
B2 R F2 R2 D B2 L
L U' R D' L2 B2 U'
L U' R D' B2 L2 U'
L U' R B U' L2 F2
L U' R B U' F2 L2
L U' R B' U' L2 F2
L U' R B' U' F2 L2
L U' R B2 U' L2 F2
L U' R B2 U' F2 L2
R U' R' L' F2 D2 R2
R U' R' L2 F2 L R
R U' R' L2 F2 R L
B2 R B U' L' R2 F2
B2 R B U' L' F2 R2
B2 R B U' R2 L' F2
B R B U' L' R' F2
B R B U' L' F2 R'
B R B U' R' L' F2
R U' R2 L' F2 D2 R2
R U' R2 L2 F2 L R
R U' R2 L2 F2 R L
B' R B' U' L' R' F2
B' R B' U' L' F2 R'
B' R B' U' R' L' F2
B2 R B' U' L' R2 F2
B2 R B' U' L' F2 R2
B2 R B' U' R2 L' F2
D' R B2 L2 U' L R'
D' R B2 L2 U' R' L
U' R B2 U' L' R' F2
U' R B2 U' L' F2 R'
U' R B2 U' R' L' F2
B2 R B2 U' L' R2 F2
B2 R B2 U' L' F2 R2
B2 R B2 U' R2 L' F2
U2 R B2 U' L' R' F2
U2 R B2 U' L' F2 R'
U2 R B2 U' R' L' F2
L U' D' L2 R B2 U'
L U' D' L2 B2 R U'
L U' D' R L2 B2 U'
L U' D' R B2 L2 U'
U R B2 U' L' R' F2
U R B2 U' L' F2 R'
U R B2 U' R' L' F2
B2 R' L F2 L2 D B2
L U' D' B2 L2 R U'
L U' D' B2 R L2 U'
B2 R' L' U R2 U' F2
R U' D2 L' D2 R2 F2
R U' D2 L' D2 F2 R2
B2 R' L' D B2 D' F2
B2 R' L' F D F B2
B2 R' L' F D B2 F
B2 R' L' F' D F' B2
B2 R' L' F' D B2 F'
B2 R' L' F2 U R2 U'
B2 R' L' F2 D B2 D
B2 R' L' F2 D B2 D'
B2 R' L' F2 D B2 D2
B2 R' L' F2 B D B2
B2 R' L' F2 B' D B2
B2 R' L' F2 B2 D B2
B2 R' L' B F2 D B2
B2 R' L' B' F2 D B2
B2 R' L' B2 F2 D B2
B2 R' L2 F2 L D B2
B2 R' L2 F2 D L B2
B2 R' U R2 U' L' F2
L2 U' F2 L R D' B2
L2 U' F2 L D' R B2
L2 U' F2 L D' B2 R
L2 U' F2 R L D' B2
R U' F2 U2 L R U2
R U' F2 U2 R L U2
L U' B R U' L2 F2
L U' B R U' F2 L2
B2 R' D L' B2 D' F2
L U' B' R U' L2 F2
L U' B' R U' F2 L2
D' R' D B2 L' R' F2
D' R' D B2 L' F2 R'
D' R' D B2 R' L' F2
B2 R' D B2 L' D' F2
B2 R' D B2 D' L' F2
R U' B2 L' R' F2 B2
R U' B2 L' R' B2 F2
R U' B2 L' F2 R' B2
L U' B2 R U' L2 F2
L U' B2 R U' F2 L2
R U' B2 R' L' F2 B2
R U' B2 R' L' B2 F2
R U' B2 R' B2 L' F2
L U2 L F2 L D' B2
L' U2 L2 U' R U' F2
L U2 L2 U R U' F2
L U2 L2 F2 U' L' U
L2 U2 R U' F2 L R
L2 U2 R U' F2 R L
L U2 R U' L2 R' F2
L U2 R U' L2 F2 R'
L U2 R U' R' L2 F2
L U2 R U' R' F2 L2
L U2 R U' F2 L2 R'
L U2 R U' F2 R' L2
B2 R' B L' F2 D B2
B2 R' B' L' F2 D B2
B2 R' B2 L' F2 D B2
L2 U2 F2 L R D' B2
L2 U2 F2 L D' R B2
L2 U2 F2 L D' B2 R
L2 U2 F2 R L D' B2
L U2 F2 L D' L B2
L U2 F2 L2 U' L U
L U2 F2 U' L' U L'
R U2 B2 U L' R' F2
R U2 B2 U L' F2 R'
R U2 B2 U R' L' F2
L' D R F2 L' U' L
R' D R2 U B2 L' R'
R' D R2 U B2 R' L'
L' D U R F2 L' U'
F2 R2 B2 L R' D' B2
F2 R2 B2 L D' R' B2
F2 R2 B2 R' L D' B2
D R2 B2 L U L2 R'
D R2 B2 L U R' L2
L D U F2 L' R2 U
L D U F2 R2 L' U
F' U L F U2 L' F2
B2 U L' R' F2 D B2
B2 U R U' L' R2 F2
B2 U R U' L' F2 R2
B2 U R U' R2 L' F2
B2 U R' L' F2 D B2
R' D B2 L' D' R' F2
R' D B2 L' D' F2 R'
R' D B2 D' L' R' F2
R' D B2 D' L' F2 R'
R' D B2 D' R' L' F2
R D' L2 U L' U2 L2
R D' L2 U' L D2 R2
R D' L2 F2 U' L R
R D' L2 F2 U' R L
L D' U' L2 R B2 U'
L D' U' L2 B2 R U'
L D' U' R L2 B2 U'
L D' U' R B2 L2 U'
B2 U' L' R' F2 D B2
L D' U' B2 L2 R U'
L D' U' B2 R L2 U'
F2 U' L' U' L2 R U2
F2 U' L' U' R L2 U2
B2 U' R U' L' R2 F2
B2 U' R U' L' F2 R2
B2 U' R U' R2 L' F2
B2 U' R' L' F2 D B2
R D' B2 L2 U' L R'
R D' B2 L2 U' R' L
L D2 R2 B2 U L U
R D2 U L B2 U2 L2
F2 U2 L R U L2 U
F2 U2 L R U2 D' B2
F2 U2 L R D F2 U2
F2 U2 L R D' U2 B2
F2 U2 L D R F2 U2
F2 U2 L D F2 U2 L'
F2 U2 L D' R U2 B2
R D2 U B2 U2 L' R'
R D2 U B2 U2 R' L'
R D2 U' L' D2 R2 F2
R D2 U' L' D2 F2 R2
B2 U2 L' R' F2 D B2
F2 U2 R L U L2 U
F2 U2 R L U2 D' B2
F2 U2 R L D F2 U2
F2 U2 R L D' U2 B2
B2 U2 R U' L' R2 F2
B2 U2 R U' L' F2 R2
B2 U2 R U' R2 L' F2
B2 U2 R' L' F2 D B2
L D2 B2 R2 U' R' U'
L2 F D' F L R B'
L2 F D' F L B' R
L2 F D' F R L B'
L2 F' U' L F' R B
L2 F' U' F' L R B
L2 F' U' F' R L B
B2 D' L2 R U' L R2
B2 D' L2 R U' R2 L
B D' L2 R F' U' L
B2 D' R L2 U' L R2
B2 D' R L2 U' R2 L
B D' R L2 F' U' L
B2 D' R' D L' F2 B2
B2 D' R' D L' B2 F2
B2 D' R' D B2 L' F2
L' F2 L D' B2 L' R'
L' F2 L D' B2 R' L'
L2 F2 L R U' L2 U
L2 F2 L R D' B2 D
L2 F2 L R D' B2 D'
L2 F2 L R D' B2 D2
L2 F2 L R B D' B2
L2 F2 L R B' D' B2
L2 F2 L R B2 D' B2
L2 F2 L R2 D' R' B2
L2 F2 L U' L2 U R
L2 F2 L D R D2 B2
L2 F2 L D' R B2 D
L2 F2 L D' R B2 D'
L2 F2 L D' R B2 D2
L2 F2 L D' R' B2 R2
L2 F2 L D' B' R B'
L2 F2 L D' B2 R D
L2 F2 L D' B2 R D'
L2 F2 L D' B2 R D2
L2 F2 L D' B2 D R
L2 F2 L D' B2 D' R
L2 F2 L D' B2 D2 R
L2 F2 L B R D' B2
L2 F2 L B D' R B2
L2 F2 L B D' B2 R
L2 F2 L B' R D' B2
L2 F2 L B' D' R B2
L2 F2 L B' D' B2 R
L2 F2 L B2 R D' B2
L2 F2 L B2 D' R B2
L2 F2 L B2 D' B2 R
L2 F2 R L U' L2 U
L2 F2 R L D' B2 D
L2 F2 R L D' B2 D'
L2 F2 R L D' B2 D2
L2 F2 R L B D' B2
L2 F2 R L B' D' B2
L2 F2 R L B2 D' B2
L2 F2 R U' L' U L2
L2 F2 R D L D' B2
L2 F2 R D' L D' B2
L2 F2 R D2 L D' B2
L2 F2 R2 L D' R' B2
L' F2 U D F2 R U'
L' F2 U' L' U' L' U2
L' F2 U' D' L' B2 U
L' F2 U' D' B2 L' U
L' F2 U' D2 L' U R2
R F2 R2 D B2 L R'
R F2 R2 D B2 R' L
L2 F2 U' L' U L2 R
L2 F2 U' L' U R L2
L' F2 U2 L2 U L U
R' F2 D R2 B2 L R'
R' F2 D R2 B2 R' L
L' F2 D U F2 R U'
L2 F2 D L R D' B2
L2 F2 D L D' R B2
L2 F2 D L D' B2 R
R' F2 D B2 R' D2 L2
L2 F2 D R L D' B2
L' F2 D' U' L' B2 U
L' F2 D' U' B2 L' U
L2 F2 D' L R D' B2
L2 F2 D' L D' R B2
L2 F2 D' L D' B2 R
L2 F2 D' R L D' B2
L' F2 D2 R2 U' L' U
L' F2 D2 U' L' U R2
L2 F2 D2 L R D' B2
L2 F2 D2 L D' R B2
L2 F2 D2 L D' B2 R
L2 F2 D2 R L D' B2
L B U' R U' L2 F2
L B U' R U' F2 L2
L B' U' R U' L2 F2
L B' U' R U' F2 L2
U' B2 L' R' F2 D B2
R2 B2 L U L2 R' F2
R2 B2 L U L2 F2 R'
R2 B2 L U R' L2 F2
R2 B2 L U R' F2 L2
R2 B2 L U F2 L2 R'
R2 B2 L U F2 R' L2
R' B2 L' F2 D R' B2
U2 B2 L' R' F2 D B2
D' B2 L2 R U' L R2
D' B2 L2 R U' R2 L
R2 B2 L' R' F2 D' B2
U' B2 R U' L' R2 F2
U' B2 R U' L' F2 R2
U' B2 R U' R2 L' F2
R B2 L U' L2 R' F2
R B2 L U' L2 F2 R'
R B2 L U' R' L2 F2
R B2 L U' R' F2 L2
R B2 L U' F2 L2 R'
R B2 L U' F2 R' L2
R2 B2 L' F2 R' D' B2
R2 B2 L' F2 D' R' B2
D' B2 R L2 U' L R2
D' B2 R L2 U' R2 L
U B2 L' R' F2 D B2
U' B2 R' L' F2 D B2
U2 B2 R U' L' R2 F2
U2 B2 R U' L' F2 R2
U2 B2 R U' R2 L' F2
D' B2 R' D L' F2 B2
D' B2 R' D L' B2 F2
D' B2 R' D B2 L' F2
U2 B2 R' L' F2 D B2
R B2 L2 U' L R' F2
R B2 L2 U' L F2 R'
R B2 L2 U' R' L F2
R B2 L2 U' R' F2 L
R B2 L2 U' F2 L R'
R B2 L2 U' F2 R' L
R' B2 R2 U' L' R F2
R' B2 R2 U' R L' F2
R2 B2 R' L' F2 D' B2
U B2 R U' L' R2 F2
U B2 R U' L' F2 R2
U B2 R U' R2 L' F2
U B2 R' L' F2 D B2
D2 B2 U' R U' L' R2
D2 B2 U' R U' R2 L'
D2 B2 U2 L' R' D B2
D2 B2 U2 R' L' D B2
D2 B2 U2 R' D L' B2
D2 B2 U2 R' D B2 L'
L B2 U' R U' L2 F2
L B2 U' R U' F2 L2
R B2 U' L R' F2 L2
R B2 U' L F2 L2 R'
R B2 U' L F2 R' L2
R B2 U' L' R F2 R2
R B2 U' L' R' F2 D
R B2 U' L' R' F2 D'
R B2 U' L' R' F2 D2
R B2 U' L' F R' F
R B2 U' L' F2 R' D
R B2 U' L' F2 R' D'
R B2 U' L' F2 R' D2
R B2 U' L' F2 D R'
R B2 U' L' F2 D' R'
R B2 U' L' F2 D2 R'
R B2 U' L2 R' F2 L
R B2 U' L2 F2 L R'
R B2 U' L2 F2 R' L
R B2 U' R L' F2 R2
R B2 U' R' L F2 L2
R B2 U' R' L' F2 D
R B2 U' R' L' F2 D'
R B2 U' R' L' F2 D2
R B2 U' R' L2 F2 L
R B2 U' F2 R' D2 L2
R B2 D' L2 U' L R'
R B2 D' L2 U' R' L
