U' L B' U R'
R U' L B U
F' L U L' F R
U' L U2 F U' R
U' L D B' U R'
U' L D' B' U R'
U' L D2 B' U R'
U' L B U' L U2
U' L B' U R' D
U' L B' U R' D'
U' L B' U R' D2
U' L B' U D R'
U' L B' U D' R'
U' L B' U D2 R'
U' L B' D U R'
U' L B' D' U R'
U' L B' D2 U R'
U2 L' U B' L2 U
U' L' B' L2 U R'
U' L2 B' L' U R'
R' U F' U2 L U
B2 R U R2 F' U'
D' R U' L B U
D2 R U' L B U
D R U' L B U
R' U' L U2 F' U'
R U' L D B U
R U' L D' B U
R U' L D2 B U
R U' L B U D
R U' L B U D'
R U' L B U D2
R U' L B D U
R U' L B D' U
R U' L B D2 U
R U' L' B L2 U
R U' L2 B L' U
R U' D L B U
R U' D' L B U
R2 U' D2 L B' U
R U' D2 L B U
B2 R2 U R F' U'
U' D L B' U R'
R D U' L B U
B2 U R' F U' R
R2 D B D' R' B
B2 U F R' U' R2
U' D' L B' U R'
D2 U' L B' U R'
D' U' L B' U R'
D U' L B' U R'
R D' U' L B U
U' D2 L B' U R'
B U' B' L U R'
R2 D2 U' L B' U
R D2 U' L B U
U F U2 L U R
L F' U F L' R
L F' U F R L'
U' B' U R B R2
R' B2 U F' R' U'
D2 R U' D L B U
D2 R U' D' L B U
D' R U' D L B U
D R U' L D B U
D R U' L D' B U
D2 R U' D2 L B U
D R U' L D2 B U
D' R U' D' L B U
D R U' L B U D
D R U' L B U D'
D R U' L B U D2
D R U' L B D U
D R U' L B D' U
D R U' L B D2 U
D' R U' D2 L B U
D R U' L' B L2 U
D R U' L2 B L' U
B2 R U' D B U B
B2 R U' D2 L2 B U
B2 R U' D2 B L2 U
D R U' D L B U
B' R U' B L' U B'
R U F2 U2 L B U
D R U' D' L B U
D R U' D2 L B U
B2 R U' B U D B2
B2 R U' B U2 R2 U'
B2 R U' B D U B2
B2 R U' B D2 L2 U
B R U' B U2 R' U'
B R U' B' L B2 U
U R U2 L B' U R'
D2 R D U' L B U
D' R D U' L B U
B2 R D U' B U B
D R D U' L B U
B2 R D B' D' R2 B'
B2 R D B' D' B' R2
B2 R D B2 U' B' U
R' U B2 F' R' B2 U'
D2 R D' U' L B U
D' R D' U' L B U
R' U' L R2 B R2 U
R' U' L U2 D F' U'
R' U' L U2 D' F' U'
R' U' L U2 D2 F' U'
R' U' L U2 F' U' D
R' U' L U2 F' U' D'
R' U' L U2 F' U' D2
R' U' L U2 F' D U'
R' U' L U2 F' D' U'
R' U' L U2 F' D2 U'
R' U' L D U2 F' U'
D R D' U' L B U
R' U' L D' U2 F' U'
R' U' L D2 U2 F' U'
R2 U' L R' B R U
R' U' L B U2 F' U'
R' U' L B' U2 F' U'
R' U' L B2 U2 F' U'
D2 R D2 U' L B U
D' R D2 U' L B U
R2 U' L D B U R'
B2 R D2 U' L2 B U
B2 R D2 U' B L2 U
R U' L D B U D
R U' L D B U D'
R U' L D B U D2
R U' L D B D U
R U' L D B D' U
R U' L D B D2 U
R U' L D' B U D
R U' L D' B U D'
R U' L D' B U D2
R U' L D' B D U
R U' L D' B D' U
R U' L D' B D2 U
D R D2 U' L B U
R U' L D2 B U D
R U' L D2 B U D'
R U' L D2 B U D2
R U' L D2 B D U
R U' L D2 B D' U
R U' L D2 B D2 U
B2 R D2 B' D' R2 B2
B2 R D2 B' D' B2 R2
R U' L B' U D' R2
R U' L B' D' U R2
R U' L B2 D B' U
R U' L B2 D' B' U
R U' L B2 D2 B' U
F' R F U' L B U
L2 U' L' B' U L' R'
L2 U' L' B' U R' L'
R U' L' D' B U B
R U' L' B L2 U D
R U' L' B L2 U D'
R U' L' B L2 U D2
R U' L' B L2 D U
R U' L' B L2 D' U
R U' L' B L2 D2 U
R U' L' B U D' B2
R U' L' B D' U B2
R U' L' B' L2 B2 U
L' U' L2 B' U L' R'
L' U' L2 B' U R' L'
U R F U2 L U R
R U' L2 D L' B U
R U' L2 D B L' U
R U' L2 D' L' B U
R U' L2 D' B L' U
R U' L2 D2 L' B U
R U' L2 D2 B L' U
R U' L2 B L' U D
R U' L2 B L' U D'
R U' L2 B L' U D2
R U' L2 B L' D U
R U' L2 B L' D' U
R U' L2 B L' D2 U
R U' L2 B D L' U
R U' L2 B D' L' U
R U' L2 B D2 L' U
R U' L2 B' L' B2 U
F2 R F2 U' L B U
R2 U' R' L B R U
R' U' R2 L B R2 U
B2 R B U R2 U' R2
B2 R B D B2 D' R2
B R B U R' U' R
R' U' D L U2 F' U'
B' R B' U' B2 L U
B2 R B' D B2 D2 R2
B2 R B' D' R2 D2 B2
B R B' U' L B2 U
R2 U' D L B U R'
R' U' D' L U2 F' U'
R U' D L D B U
R U' D L D' B U
R U' D L D2 B U
R U' D L B U D
R U' D L B U D'
R U' D L B U D2
R U' D L B D U
R U' D L B D' U
R U' D L B D2 U
R U' D L' B L2 U
R U' D L2 B L' U
B' R B2 U' B' L U
R' U' D2 L U2 F' U'
R U' D' L D B U
R U' D' L D' B U
R U' D' L D2 B U
R U' D' L B U D
R U' D' L B U D'
R U' D' L B U D2
R U' D' L B D U
R U' D' L B D' U
R U' D' L B D2 U
R U' D' L' B L2 U
R U' D' L2 B L' U
R2 U' D2 L D B' U
R2 U' D2 L D' B' U
R2 U' D2 L D2 B' U
R2 U' D2 L B' U D
R2 U' D2 L B' U D'
R2 U' D2 L B' U D2
R2 U' D2 L B' D U
R2 U' D2 L B' D' U
R2 U' D2 L B' D2 U
B2 R' L F' U' F L'
U' R' L B' R U R2
R U' D2 L D B U
R U' D2 L D' B U
R U' D2 L D2 B U
R U' D2 L B U D
R U' D2 L B U D'
R U' D2 L B U D2
R U' D2 L B D U
R U' D2 L B D' U
R U' D2 L B D2 U
R U' D2 L' B L2 U
R U' D2 L2 B L' U
B2 R' L' F' U' F L
R U' F L F' B U
R U' F L B F' U
B2 R' L2 F' U' F L2
D2 R' U F' U2 L U
D' R' U F' U2 L U
B' R' U F' R U' B
B2 R' U F' U F U2
D2 R' U' L U2 F' U'
D' R' U' L U2 F' U'
B R' U D2 F' R U'
D R' U F' U2 L U
R U' F2 L F2 B U
R U' F2 L B F2 U
D R' U' L U2 F' U'
L2 U' B' L' U L' R'
L2 U' B' L' U R' L'
U R' U2 L B' U R'
R U' B D L U B'
R' U' B2 U2 F' R' U'
B R' D' R' D B R'
R U2 L U B U B'
B R' D2 U F' R U'
R U2 L' U L2 B U
R U2 L' U B L2 U
B2 R' F' L U' L' F
B2 R' F' L2 U' L2 F
U R' F U2 L U R
R U2 L2 U L' B U
R U2 L2 U B L' U
B R' B U F' R' U'
B' R' B' U F' R' U'
D2 R' B2 U F' R' U'
D' R' B2 U F' R' U'
D R' B2 U F' R' U'
U' R2 L B' R2 U R
R U2 F U L B U
B' R2 U R F' U' B
B2 R2 U R D F' U'
B2 R2 U R D' F' U'
B2 R2 U R D2 F' U'
B2 R2 U R F' U' D
B2 R2 U R F' U' D'
B2 R2 U R F' U' D2
B2 R2 U R F' D U'
B2 R2 U R F' D' U'
B2 R2 U R F' D2 U'
B2 R2 U R F' D2 U'
R U2 F' U L B U
D2 R2 U' D2 L B' U
D' R2 U' D2 L B' U
R U2 F2 U L B U
D R2 U' D2 L B' U
U R2 U2 L B' U R'
D2 R2 D B D' R' B
D' R2 D B D' R' B
B2 R2 D B R' D B2
D R2 D B D' R' B
B R2 D B D2 R' B
B R2 D' R' D2 B R'
D2 R2 D2 U' L B' U
D' R2 D2 U' L B' U
D R2 D2 U' L B' U
U R2 F U2 L U R
R2 D R B D' R' B
R' D R2 U' L B U
B2 R2 B U R F' U'
R2 D R' B D' R' B
U' R2 B' R2 U R B
B2 R2 B' U R F' U'
R' D U F' U2 L U
R2 D R2 B D' R' B
R' D U' L U2 F' U'
B2 R2 B2 U R F' U'
R2 D U' L B U R'
U' D L U2 F U' R
U' D L D B' U R'
U' D L D' B' U R'
U' D L D2 B' U R'
R D U' L D B U
R D U' L D' B U
R D U' L D2 B U
R D U' L B U D
R D U' L B U D'
R D U' L B U D2
R D U' L B D U
R D U' L B D' U
R D U' L B D2 U
U' D L B U' L U2
R D U' L' B L2 U
U' D L B' U R' D
U' D L B' U R' D'
U' D L B' U R' D2
U' D L B' U D R'
U' D L B' U D' R'
U' D L B' U D2 R'
R D U' L2 B L' U
U' D L B' D U R'
U' D L B' D' U R'
U' D L B' D2 U R'
U2 D L' U B' L2 U
U' D L' B' L2 U R'
U' D L2 B' L' U R'
B' U R F U' B R
L D F' U F L' R
L D F' U F R L'
B2 U R F R2 U' R'
B2 U R' U2 B' U R'
B2 U R' D F U' R
B2 U R' D' F U' R
B2 U R' D2 F U' R
B2 U R' F U' R D
B2 U R' F U' R D'
B2 U R' F U' R D2
B2 U R' F U' D R
B2 U R' F U' D' R
B2 U R' F U' D2 R
B2 U R' F D U' R
B2 U R' F D' U' R
B2 U R' F D2 U' R
B2 U R' F' U L' U2
R2 D B D' R' D B
R2 D B D' R' D' B
R2 D B D' R' D2 B
R2 D B D' R' B D
R2 D B D' R' B D'
R2 D B D' R' B D2
R' D B2 U F' R' U'
D' U F U2 L U R
D2 U F U2 L U R
B2 U D R' F U' R
B2 U D F R' U' R2
R2 D B2 U R' F' U'
B2 U D' R' F U' R
D U F U2 L U R
B2 U D' F R' U' R2
U D F U2 L U R
B2 U D2 R' F U' R
B2 U D2 F R' U' R2
B' U F R' U' R2 B
B' U F R2 U' R' B
B2 U F R' U' R2 D
B2 U F R' U' R2 D'
B2 U F R' U' R2 D2
B2 U F R' D' F2 U'
B2 U F R' F U' R2
B2 U F R' F' U' R2
B2 U F R' F2 U' R2
B2 U F U' R D B2
B2 U F D R' U' R2
B2 U F D' R' U' R2
B2 U F D2 R' U' R2
B2 U F' R' U L' U2
B2 U F' R' F2 U' R
U' D B' U R B R2
B2 U F2 R' F' U' R
R' D' R2 U' L B U
D' U' L U2 F U' R
U' D' L U2 F U' R
D2 U' L U2 F U' R
D' U' L D B' U R'
U' D' L D B' U R'
D' U' L D' B' U R'
D2 U' L D B' U R'
U' D' L D' B' U R'
D' U' L D2 B' U R'
D2 U' L D' B' U R'
U' D' L D2 B' U R'
D2 U' L D2 B' U R'
D' U' L B U' L U2
U' D' L B U' L U2
D' U' L B' U R' D
D' U' L B' U R' D'
D' U' L B' U R' D2
D' U' L B' U D R'
D' U' L B' U D' R'
D' U' L B' U D2 R'
U' D' L B' U R' D
U' D' L B' U R' D'
U' D' L B' U R' D2
U' D' L B' U D R'
U' D' L B' U D' R'
U' D' L B' U D2 R'
D2 U' L B U' L U2
D' U' L B' D U R'
U' D' L B' D U R'
D' U' L B' D' U R'
U' D' L B' D' U R'
D' U' L B' D2 U R'
U' D' L B' D2 U R'
D2 U' L B' U R' D
D2 U' L B' U R' D'
D2 U' L B' U R' D2
D2 U' L B' U D R'
D2 U' L B' U D' R'
D2 U' L B' U D2 R'
D2 U' L B' D U R'
D2 U' L B' D' U R'
D2 U' L B' D2 U R'
R' D' U F' U2 L U
D U' L U2 F U' R
D U' L D B' U R'
D U' L D' B' U R'
D U' L D2 B' U R'
R' D' U' L U2 F' U'
D' U' L' B' L2 U R'
U' D' L' B' L2 U R'
U2 D' L' U B' L2 U
D U' L B U' L U2
D2 U' L' B' L2 U R'
D U' L B' U R' D
D U' L B' U R' D'
D U' L B' U R' D2
D U' L B' U D R'
D U' L B' U D' R'
D U' L B' U D2 R'
D U' L B' D U R'
D U' L B' D' U R'
D U' L B' D2 U R'
U' D' L2 B' L' U R'
D' U' L2 B' L' U R'
D2 U' L2 B' L' U R'
D U' L' B' L2 U R'
R D' U' L D B U
R D' U' L D' B U
R D' U' L D2 B U
R D' U' L B U D
R D' U' L B U D'
R D' U' L B U D2
R D' U' L B D U
R D' U' L B D' U
R D' U' L B D2 U
R D' U' L' B L2 U
R D' U' L2 B L' U
F2 U' L B' U R' F2
F2 U' L B' U F2 R'
D U' L2 B' L' U R'
B' U' L' B U B2 R'
B U' L B' L U R'
B' U' L' B2 U B R'
F U' L B' U F' R'
B U' L' B' L U R'
L D' F' U F L' R
L D' F' U F R L'
B U' L2 B' L U R'
U D' F U2 L U R
R' D' B2 U F' R' U'
U' D' B' U R B R2
D' U' B' U R B R2
D2 U' B' U R B R2
B U' D' B' U R' B
D U' B' U R B R2
U' D2 L U2 F U' R
U' D2 L D B' U R'
U' D2 L D' B' U R'
U' D2 L D2 B' U R'
U' D2 L B U' L U2
U' D2 L B' U R' D
U' D2 L B' U R' D'
U' D2 L B' U R' D2
U' D2 L B' U D R'
U' D2 L B' U D' R'
U' D2 L B' U D2 R'
U' D2 L B' D U R'
U' D2 L B' D' U R'
U' D2 L B' D2 U R'
D' U2 L' U B' L2 U
D2 U2 L' U B' L2 U
U' D2 L' B' L2 U R'
R2 D2 R U' L B' U
U2 D2 L' U B' L2 U
D U2 L' U B' L2 U
R' D2 R2 U' L B U
U' D2 L2 B' L' U R'
R2 D2 R' U' L B' U
B2 U' B U' L F U2
B' U' B' L' U R' B'
R2 D2 R2 U' L B' U
B2 U' B' U D' R' B
R' D2 U F' U2 L U
B2 U' B' D' U R' B
B U' B' L U R' D
B U' B' L U R' D'
B U' B' L U R' D2
R' D2 U' L U2 F' U'
B U' B' L U D R'
B U' B' L U D' R'
B U' B' L U D2 R'
B U' B' L D U R'
B U' B' L D' U R'
B U' B' L D2 U R'
B2 U' B2 L B U R'
B U' B' D L U R'
B U' B' D' L U R'
B2 U' B2 D L B' U
B U' B' D2 L U R'
R2 D2 U' L D B' U
R2 D2 U' L D' B' U
R2 D2 U' L D2 B' U
R2 D2 U' L B' U D
R2 D2 U' L B' U D'
R2 D2 U' L B' U D2
R2 D2 U' L B' D U
R2 D2 U' L B' D' U
R2 D2 U' L B' D2 U
B2 U2 L U' R' F U'
B2 U2 L U' F R' U'
B U' B2 U R B R'
R D2 U' L D B U
R D2 U' L D' B U
R D2 U' L D2 B U
R D2 U' L B U D
R D2 U' L B U D'
R D2 U' L B U D2
R D2 U' L B D U
R D2 U' L B D' U
R D2 U' L B D2 U
R D2 U' L' B L2 U
R D2 U' L2 B L' U
B U2 L' U B' L U
U D2 F U2 L U R
L D2 F' U F L' R
L D2 F' U F R L'
U' D2 B' U R B R2
R2 D2 B D' R' B R'
R2 D2 B D' B R' B
R' D2 B2 U F' R' U'
U' F L F' B' U R'
U' F L B' F' U R'
U2 F L' U B' L2 U
R F L B U L' F'
U F R' U2 L U R2
U2 F U L B' U R'
U F R2 U2 L U R'
F' D L U L' F R
U F U' R U' L U
R F U' L B U F'
U F U' B2 R D B2
U F U2 L U R D
U F U2 L U R D'
U F U2 L U R D2
U F U2 L U D R
U F U2 L U D' R
U F U2 L U D2 R
U F U2 L D U R
U F U2 L D' U R
U F U2 L D2 U R
U F U2 L B U R
U F U2 L B' U R
U F U2 L B2 U R
U F U2 D L U R
U F U2 D' L U R
U F U2 D2 L U R
U F U2 B' U R B
B2 D R U R2 F' U'
U F D U2 L U R
U F D' U2 L U R
B2 D R2 U R F' U'
U F D2 U2 L U R
B2 D U R' F U' R
B2 D U F R' U' R2
D' F' L U L' F R
D2 F' L U L' F R
U F B2 R' B2 U' R2
D F' L U L' F R
U2 F' L' U B' L2 U
R F' L B U L' F
L F' R B U F L'
U2 F' U L B' U R'
F' D' L U L' F R
U F' U L' U L2 U
U F' U L' U2 D' B2
U F' U L' D F2 U2
U F' U L' D' U2 B2
L F' U R F L' R
L F' U R F R L'
L F' U R' F L' R
L F' U R' F R L'
L F' U R2 F L' R
L F' U R2 F R L'
L F' U F L' R D
L F' U F L' R D'
L F' U F L' R D2
L F' U F L' D R
L F' U F L' D' R
L F' U F L' D2 R
L F' U F R L' D
L F' U F R L' D'
L F' U F R L' D2
L F' U F R D L'
L F' U F R D' L'
L F' U F R D2 L'
L F' U F D L' R
L F' U F D R L'
L F' U F D' L' R
L F' U F D' R L'
L F' U F D2 L' R
L F' U F D2 R L'
U F' U2 L U D2 R2
U F' U2 L U' L2 U2
U F' U2 L D' B2 U
U F' U2 L D2 U R2
B2 D' R U R2 F' U'
B D' R B' D' R2 B
B D' R' U F' U' B
B2 D' R2 U R F' U'
B D' R' B U F' U'
B2 D' U R' F U' R
B D' R2 D R B R'
B2 D' U F R' U' R2
L F' B U F L' R
L F' B U F R L'
U' F2 L F2 B' U R'
U' F2 L B' F2 U R'
L F' B' U F L' R
L F' B' U F R L'
L F' B2 U F L' R
L F' B2 U F R L'
B D' U' B' U R' B
U2 F2 L' U B' L2 U
R F2 L B U L' F2
U2 F2 U L B' U R'
F' D2 L U L' F R
L F2 U F R F L'
R F2 U' L B U F2
U F2 U2 D' L B' U
B2 D2 R U R2 F' U'
U F2 D' U2 L B' U
B D2 R' U F' R U'
B2 D2 R2 U R F' U'
B2 D2 U R' F U' R
B D2 R2 D R' B R'
B D2 R2 D B R' B
B2 D2 U F R' U' R2
U' B U D' B2 R' B
R' B U D2 F' R U'
U' B U' D L U2 B'
D2 B U' B' L U R'
D' B U' B' L U R'
U' B D U' L U2 B'
D B U' B' L U R'
U' B D' U B2 R' B
R' B D' R' D B R'
U' B D' B2 U R' B
R2 B D B D2 R' B
R' B D2 U F' R U'
R2 B D' R' D2 B R'
U' B' L U R B R2
U' B' L' U R B R2
L B F' U F L' R
L B F' U F R L'
U' B' L2 U R B R2
U' B' U R B R2 D
U' B' U R B R2 D'
U' B' U R B R2 D2
U' B' U R B' R2 B2
U' B' U R B2 R2 B'
U' B' U R' U2 F' U2
U' B' U D R B R2
U' B' U D' R B R2
U' B' U D2 R B R2
U' B' U B' R B R'
R' B' U F' R U' B
U' B' U' L F U2 R'
U' B' U' L' U2 R' B'
R2 B' U R F' U' B
U' B' U2 R2 U' R B
U' B' U2 F R U' R2
U' B' D U R B R2
R B' U' L' B2 U B
U' B' D' U R B R2
R B' U' B2 L' U B'
U' B' D2 U R B R2
L B' F' U F L' R
L B' F' U F R L'
D2 B2 R U R2 F' U'
D' B2 R U R2 F' U'
R2 B2 R U F' R2 U'
D B2 R U R2 F' U'
D2 B2 R2 U R F' U'
D' B2 R2 U R F' U'
R2 B2 R' U' B U B'
D2 B2 U R' F U' R
R' B2 U D F' R' U'
R' B2 U D' F' R' U'
D' B2 U R' F U' R
R' B2 U D2 F' R' U'
R' B2 U F R' F2 U'
D2 B2 U F R' U' R2
R' B2 U F' R' U' D
R' B2 U F' R' U' D'
R' B2 U F' R' U' D2
R' B2 U F' R' D U'
R' B2 U F' R' D' U'
R' B2 U F' R' D2 U'
R' B2 U F' D R' U'
R' B2 U F' D' R' U'
R' B2 U F' D2 R' U'
R' B2 U F2 R' F U'
D' B2 U F R' U' R2
D B2 R2 U R F' U'
U B2 R' F B2 U' R
R B2 R' U' B' U B
U B2 R' B2 F U' R
R2 B2 U R F' R2 U'
R2 B2 U R' U2 B U
D B2 U R' F U' R
D B2 U F R' U' R2
R B2 U R' U2 B' U
R' B2 D U F' R' U'
U' B2 D B2 L B' U
R' B2 D' U F' R' U'
R B2 U' B2 L B U
R' B2 D2 U F' R' U'
U B2 F R' B2 U' R2
L B2 F' U F L' R
L B2 F' U F R L'
