L2 F B L R U'
L2 F B R L U'
R2 F' B' L' R' U
R2 F' B' L' R' U
R2 F' B' R' L' U
L B L F R U'
L2 B F L R U'
L2 B F R L U'
R' B' R' F' L' U
R2 B' F' L' R' U
R2 B' F' R' L' U
R2 B' L2 F' L' R' U
R2 B' L2 F' R' L' U
R' B' R' L' F' L' U
R' B' R' L2 F' L' U
R' B' R' D F' L' U
R' B' R' D' F' L' U
B F D' L R U' R
R' B' R' D2 F' L' U
R' B' R' F' L' U D
R' B' R' F' L' U D'
R' B' R' F' L' U D2
R' B' R' F' L' D U
R' B' R' F' L' D' U
R' B' R' F' L' D2 U
B' F D2 F2 L' R' U
B' F D2 F2 R' L' U
R' B' R' F' D L' U
R' B' R' F' D' L' U
R' B' R' F' D2 L' U
B F D' R L U' R
F B D' L R U' R
F' B D2 F2 L R U'
F' B D2 F2 R L U'
F B D' R L U' R
B F D2 L R F2 U'
B F D2 R L F2 U'
B F D2 R F2 L U'
B' F' L' R' U D L2
B' F' L' R' U2 B2 U'
B' F' L' R' D U L2
B' F' L' R' D2 F2 U
F B D2 L R F2 U'
F B D2 R L F2 U'
B' F' L' U2 B2 L U'
F B D2 R F2 L U'
B' F' L' D R' U L2
F' B' L' R' U D L2
F' B' L' R' U2 B2 U'
F' B' L' R' D U L2
R B' R F' L' R2 U
F' B' L' R' D2 F2 U
R B' R F' R2 L' U
B' F' L' D2 R' F2 U
B' F' L' D2 F2 R' U
F' B' L' U2 B2 L U'
F' B' L' D R' U L2
B F' L U' D' R2 B2
B F' L U' D' B2 R2
B F' L U2 L2 B2 U
F' B' L' D2 R' F2 U
B F' L U2 B2 L2 U
F' B' L' D2 F2 R' U
B F' L D' U' R2 B2
B F' L D' U' B2 R2
B F' L D2 R2 F2 U'
B F' L D2 F2 R2 U'
B' F' R' L' U D L2
B' F' R' L' U2 B2 U'
B' F' R' L' D U L2
B' F' R' L' D2 F2 U
R' B' D R' F' L' U
B' F' R' D L' U L'
F' B' R' L' U D L2
F' B' R' L' U2 B2 U'
F' B' R' L' D U L2
F' B' R' L' D2 F2 U
B' F' R' D2 L' F2 U
F' B' R' D L' U L'
F' B' R' D2 L' F2 U
R' B' D' R' F' L' U
R2 B' D F' L' R' U
R2 B' D F' R' L' U
R' B' D2 R' F' L' U
F B' R' U D L2 B2
F B' R' U D B2 L2
F B' R' U2 R2 B2 U'
F B' R' U2 B2 R2 U'
F B' R' D U L2 B2
F B' R' D U B2 L2
F B' R' D2 L2 F2 U
F B' R' D2 F2 L2 U
R2 B' D' F' L' R' U
R2 B' D' F' R' L' U
R' B' F' L' R' F' U
R' B' F' R' L' F' U
R2 B' D2 F' L' R' U
R2 B' D2 F' R' L' U
B' F' D L' R' U L'
B' F' D R' L' U L'
R2 B' F' L' R' U D
R2 B' F' L' R' U D'
R2 B' F' L' R' U D2
R2 B' F' L' R' D U
R2 B' F' L' R' D' U
R2 B' F' L' R' D2 U
R2 B' F' L' D R' U
R2 B' F' L' D' R' U
R2 B' F' L' D2 R' U
F' B' D L' R' U L'
R2 B' F' R' L' U D
R2 B' F' R' L' U D'
R2 B' F' R' L' U D2
R2 B' F' R' L' D U
R2 B' F' R' L' D' U
R2 B' F' R' L' D2 U
R2 B' F' R' D L' U
R2 B' F' R' D' L' U
R2 B' F' R' D2 L' U
F' B' D R' L' U L'
R2 B' F' D L' R' U
R2 B' F' D R' L' U
F2 B' D R' U L2 B
F2 B' D R' U B L2
R2 B' F' D' L' R' U
R2 B' F' D' R' L' U
R2 B' F' D2 L' R' U
R2 B' F' D2 R' L' U
R2 B' F2 R' F L' U
B F' U2 B2 L' R' U
B F' U2 B2 R' L' U
B' F' D2 L' R' F2 U
B' F' D2 L' F2 R' U
F B' U2 B2 L R U'
F B' U2 B2 R L U'
B' F' D2 R' L' F2 U
F' B' D2 L' R' F2 U
F' B' D2 L' F2 R' U
F' B' D2 R' L' F2 U
B F' D2 F2 L R U'
B F' D2 F2 R L U'
F B' D2 F2 L' R' U
F B' D2 F2 R' L' U
B' F2 D R' U L2 B
B' F2 D R' U B L2
L2 B2 F R B' L U'
B F2 D' L U' R2 B'
B F2 D' L U' B' R2
R2 B2 F' L' B R' U
