R' D2 B' U L2 B'
R F U R2 B' U
R F U B' R2 U
R' B' U D2 L2 B'
R' B' U' R2 F U2
R' B' U' F R2 U2
R' B' D2 U L2 B'
R B' R2 U' F R2 U2
R B' R2 D2 U L2 B'
R' B' D' L2 F2 U B'
R' B' D' F2 U' F' U2
R' B' D2 L U L B'
R' B' D2 U L2 D B'
R' B' D2 U L2 D' B'
R' B' D2 U L2 D2 B'
R' B' D2 U L2 B' D
R' B' D2 U L2 B' D'
R' B' D2 U L2 B' D2
R' B' D2 U B L2 B'
R' B' D2 U B' L2 B'
R' B' D2 U B2 L2 B'
R' B' D2 U' F U2 L2
R' B' F' U D2 L2 B2
R' B' F' U D2 B2 L2
R' B' F' U' R2 F2 U2
R' B' F' U' F2 R2 U2
R' B' F' D' L2 F2 U
R' B' F' D' F2 L2 U
R' B' F' D2 U L2 B2
R' B' F' D2 U B2 L2
R' B' F2 U' R2 U2 B
R' B' F2 U' F' R2 U2
R B' F U R2 U R2
R' B2 D2 B U L2 B'
R B2 F U B R2 U
