B' L R U' R B
B' L U' R B R
B' L F R U' R
B' R L U' R B
F R B' L U' R
B' F L R U' R
B' F R L U' R
U2 B' L R' U' R'
R B' L U' R B
U2 B' R' L U' R'
F B' L R U' R
F B' R L U' R
U2 R2 B' L R' U' R
U2 R2 B' R' L U' R
F U R B' L U' R
F U B' L R U' R
F U B' R L U' R
B' U' R B D' R F'
F U' R B' L U' R
R D' B' U' R F' B
R D' B' U' R B F'
F U' B' L R U' R
F U' B' R L U' R
F U2 R B' L U' R
D' F R F B' U' F2
R' F R B' L U' R2
D' F R B' F U' F2
F U2 B' L R U' R
R2 F U R B' L U'
F U2 B' R L U' R
R2 F U B' L R U'
R2 F U B' R L U'
D' F B' R F U' F2
U2 F B' L R' U' R'
U2 F B' R' L U' R'
R2 F B' L R U' R'
R2 F B' R L U' R'
B' D' L F R F U'
F D' R F2 B' U' F
F D' R B' F2 U' F
U2 F' B' L R' U' R'
U2 F' B' R' L U' R'
B' D' F R F L U'
F' D' F2 R B' U' F'
B' D' F2 D' L U' B'
F' D' F2 B' R U' F'
F' D' B' F2 R U' F'
B' D2 L U L F U2
F D' B' R F2 U' F
U2 F2 B' L R' U' R'
U2 F2 B' R' L U' R'
B' F L R U' R D
B' F L R U' R D'
B' F L R U' R D2
B' F L R U' D R
B' F L R U' D' R
B' F L R U' D2 R
B' F L R D U' R
B' F L R D' U' R
B' F L R D2 U' R
B' F L D' R F2 U'
B' F R L U' R D
B' F R L U' R D'
B' F R L U' R D2
B' F R L U' D R
B' F R L U' D' R
B' F R L U' D2 R
B' F R L D U' R
B' F R L D' U' R
B' F R L D2 U' R
B' F R D L U' R
B' F R D' L U' R
B' F R D2 L U' R
U' B' L R U' B R
R' B' L U' R B R'
U2 B' L R' U' R' D
U2 B' L R' U' R' D'
U2 B' L R' U' R' D2
U2 B' L R' U' D R'
U2 B' L R' U' D' R'
U2 B' L R' U' D2 R'
U2 B' L R' D U' R'
U2 B' L R' D' U' R'
U2 B' L R' D2 U' R'
U2 B' L R' F U' R'
U2 B' L R' F' U' R'
U2 B' L R' F2 U' R'
U2 B' L D' R' F2 U'
U2 B' L D' F2 R' U'
R2 B' L R' U' R B
U2 B' L F R' U' R'
U2 B' L F' R' U' R'
U2 B' L F2 R' U' R'
R2 B' L F R U' R'
U B' L U F U2 R2
U' B' R L U' B R
B' F D' L R F2 U'
U B' L F2 U' R2 B
R B' L U' R D B
R B' L U' R D' B
R B' L U' R D2 B
R B' L U' R B D
R B' L U' R B D'
R B' L U' R B D2
R B' L U' D R B
R B' L U' D' R B
R B' L U' D2 R B
R B' L U' B R B
R B' L U' B' R B
R B' L U' B2 R B
B' F D' R L F2 U'
R B' L D U' R B
B' F D' R F2 L U'
R B' L D' U' R B
R B' L D2 U' R B
U2 B' R' L U' R' D
U2 B' R' L U' R' D'
U2 B' R' L U' R' D2
U2 B' R' L U' D R'
U2 B' R' L U' D' R'
U2 B' R' L U' D2 R'
U2 B' R' L D U' R'
U2 B' R' L D' U' R'
U2 B' R' L D2 U' R'
U2 B' R' L F U' R'
U2 B' R' L F' U' R'
U2 B' R' L F2 U' R'
B' F' L U' R2 D' B2
B' F' L U2 L2 U R2
U2 B' R' D L U' R'
U2 B' R' D' L U' R'
R2 B' R' L U' R B
B' F' L D' F2 U' B2
U2 B' R' D2 L U' R'
U2 B' R' F L U' R'
U2 B' R' F' L U' R'
F' B' L U' R2 D' B2
U2 B' R' F2 L U' R'
F' B' L U2 L2 U R2
F' B' L D' F2 U' B2
F2 B' L F' R U' R
F B' L R U' R D
F B' L R U' R D'
F B' L R U' R D2
F B' L R U' D R
F B' L R U' D' R
F B' L R U' D2 R
F B' L R D U' R
F B' L R D' U' R
F B' L R D2 U' R
F B' L D' R F2 U'
F B' R L U' R D
F B' R L U' R D'
F B' R L U' R D2
F B' R L U' D R
F B' R L U' D' R
F B' R L U' D2 R
F B' R L D U' R
F B' R L D' U' R
F B' R L D2 U' R
F B' R D L U' R
F B' R D' L U' R
F B' R D2 L U' R
U2 B' D' L R' F2 U'
U2 B' D' L F2 R' U'
U2 B' D' R' L F2 U'
U2 B' D' R' F2 L U'
U2 B' D' F2 L R' U'
U2 B' D' F2 R' L U'
R B' D L U' R B
D' B' F R F U' F2
R B' D' L U' R B
U2 B' F L R' U' R'
U2 B' F R' L U' R'
R2 B' F L R U' R'
R2 B' F R L U' R'
U2 B' F' L R' U' R'
R B' D2 L U' R B
U2 B' F' R' L U' R'
U2 B' F2 L R' U' R'
U2 B' F2 R' L U' R'
B' F' D' F2 L R U'
B' F' D' F2 R L U'
F2 B' D' L F2 U' B'
F' B' D' F2 L R U'
F' B' D' F2 R L U'
F2 B' D' F2 L U' B'
F B' D' L R F2 U'
F B' D' R L F2 U'
F B' D' R F2 L U'
B' F2 L F' R U' R
D B2 R2 F' L' U F
B' F2 D' L F2 U' B'
B' F2 D' F2 L U' B'
