U2 F2 D R' B
U' L' U' R' F2 B'
U' L' U' R' B' F2
U' L' U' F2 R' B'
R2 U R F2 L' B
R2 U R F2 B L'
R2 U R B F2 L'
U R U F2 B R2
U R U B R2 F2
U R U B F2 R2
R2 U' R F2 L' B'
R U' R2 F2 L' B'
U R' F2 D' L2 B'
L' U2 F2 D R' B
L2 U2 F2 D R' B
L U2 F2 D R' B
F U2 F R' D B2
U2 F R' D F B2
U2 F R' D B2 F
U2 F R' F D B2
U2 F2 D R' D B
U2 F2 D R' D' B
U2 F2 D R' D2 B
U2 F2 D R' B D
U2 F2 D R' B D'
U2 F2 D R' B D2
R' F2 B L' D' B2
R' B F2 L' D' B2
D2 B2 D L U2 B'
U2 D' F2 D R' B F2
U2 D' F2 D F2 R' B
U D2 R U B R2 F'
D' U2 F R' D F2 B2
D' U2 F R' D B2 F2
D' U2 F2 D R' F2 B
D' U2 F2 D R' B F2
D' U2 F2 D F2 R' B
F U2 R' F U R U'
L' D2 B2 D L U2 B'
L2 D2 B2 D L U2 B'
F U2 D F R' D B2
L D2 B2 D L U2 B'
F U2 D' F R' D B2
F' U2 F R' F2 D B2
F U2 D2 F R' D B2
F' U2 F' R' U' L' U
F' U2 F' U' L' U R'
F U2 F R' U R2 U'
F U2 F R' D B2 D
F U2 F R' D B2 D'
F U2 F R' D B2 D2
F U2 F R' B D B2
F U2 F R' B' D B2
F U2 F R' B2 D B2
F U2 F U R U' R2
F U2 F D R' D B2
F U2 F D' R' D B2
F U2 F D2 R' D B2
U2 F R F R2 D B2
F' U2 F2 D R' F B
F' U2 F2 D R' B F
F' U2 F2 D F R' B
B2 U2 F2 D' B2 R' B
U2 F R' U R2 U' F
U2 F R' D F B2 D
U2 F R' D F B2 D'
U2 F R' D F B2 D2
U2 F R' D B2 D F
U2 F R' D B2 D' F
U2 F R' D B2 D2 F
U2 F R' D B2 F D
U2 F R' D B2 F D'
U2 F R' D B2 F D2
U2 F R' D2 F D' B2
U2 F R' F U R2 U'
U2 F R' F D B2 D
U2 F R' F D B2 D'
U2 F R' F D B2 D2
U2 F R' F B D B2
U2 F R' F B' D B2
U2 F R' F B2 D B2
U2 F R' F2 D F' B2
U2 F R' F2 D B2 F'
U2 F R' B D F B2
U2 F R' B D B2 F
U2 F R' B F D B2
U2 F R' B' D F B2
U2 F R' B' D B2 F
U2 F R' B' F D B2
U2 F R' B2 D F B2
U2 F R' B2 D B2 F
U2 F R' B2 F D B2
F U2 F2 D F' R' B
U2 F U R U' R2 F
U2 F U R U' F R2
U' F U' F R' D B2
B2 D L U R2 U B'
B2 D L U2 D' F2 B'
B2 D L U2 D' B' F2
B2 D L U2 B' D' F2
B2 D L D B2 U2 B
B2 D L D' U2 F2 B'
B2 D L D' U2 B' F2
L' F U2 F R' D B2
L2 F U2 F R' D B2
U2 F D R' D F B2
U2 F D R' D B2 F
U2 F D R' F D B2
U2 F D F D R' B
L F U2 F R' D B2
U2 F D' R' D F B2
U2 F D' R' D B2 F
U2 F D' R' F D B2
U2 F D' F D R' B
U2 F D2 R' D F B2
U2 F D2 R' D B2 F
U2 F D2 R' F D B2
U2 F D2 F D R' B
D2 F B2 D L U2 B'
U' F' L' U' F' R' B'
U2 F' L' U L F' R'
U2 F' L' U F' L R'
U2 F' L' U F' R' L
F D U2 F R' D B2
U2 F' U' L' U F' R'
U2 F' D F' D R' B
U2 F' D' F' D R' B
U2 F' D2 F' D R' B
D2 F' B2 D L U2 B'
R' F2 L' U R U' B
U2 F2 L D L' R' B
U2 F2 L D R' L' B
U2 F2 L D R' B L'
R' F2 L' U' L' U B'
R' F2 L' B U' L U
R' F2 L' B' U R' U'
U2 F2 L' R' D' L B'
U2 F2 L' D L R' B
U2 F2 L' D R' L B
U2 F2 L' D' L R' B'
U2 F2 L' D' R' L B'
F D' U2 F R' D B2
U2 F2 R' L' D' L B'
U2 F2 R' D R' B R
U2 F2 R' D' L B' L'
U F2 R B R2 D' L2
R' F2 U R U' L' B
R' F2 U R U' B L'
U2 F2 R2 D R' B R2
R' F2 U' L U L2 B'
R' F2 U' L2 U L B'
U2 F2 U F' R U' R2
R' F2 D B L' D' B2
U2 F2 D L R' B L'
U2 F2 D L2 R' B L2
U2 F2 D R B R2 B
U2 F2 D R B' R2 B
U2 F2 D R B2 R2 B
U2 F2 D R' L B L'
U2 F2 D R' L2 B L2
U2 F2 D R' D B D
U2 F2 D R' D B D'
U2 F2 D R' D B D2
U2 F2 D R' D' B D
U2 F2 D R' D' B D'
U2 F2 D R' D' B D2
U2 F2 D R' D2 B D
U2 F2 D R' D2 B D'
U2 F2 D R' D2 B D2
U2 F2 D R' B2 D B'
U2 F2 D R' B2 D' B'
U2 F2 D R' B2 D2 B'
U2 F2 D R2 D R B
U2 F2 D R2 D' R B
U2 F2 D R2 D2 R B
U2 F2 D R2 B R B
U2 F2 D R2 B' R B
U2 F2 D R2 B2 R B
U2 F2 D F' R' F B
U2 F2 D F' R' B F
U2 F2 D F2 R' F2 B
U2 F2 D F2 R' B F2
U2 F2 D B' R' B R'
R' F2 D' B L' D' B2
U2 F2 D' L R' B' L'
U2 F2 D' R' L B' L'
R' F2 D2 B L' D' B2
R' F2 B L' U' L2 U
R' F2 B L' D' B2 D
R' F2 B L' D' B2 D'
R' F2 B L' D' B2 D2
R' F2 B L' B D' B2
R' F2 B L' B' D' B2
R' F2 B L' B2 D' B2
U F2 D' L2 R B R2
U F2 D' R L2 B R2
U F2 D' R B L2 R2
U F2 D' R B R2 L2
R' F2 B U' L U L2
R' F2 B D L' D' B2
R' F2 B D' L' D' B2
R' F2 B D2 L' D' B2
R' F2 B' L' U R' U'
R' F2 B' U R' U' L'
U2 F2 B D B' R' B
R' F2 B2 L2 D L B'
R' F2 B2 D L B' L2
D2 F2 B2 D L U2 B'
U2 F2 B2 D B2 R' B
R2 B L U R F2 L'
R' B L' F2 D' L' B2
R' B L' F2 D' B2 L'
R F2 B2 R2 D L B'
F D2 U2 F R' D B2
R2 B R F2 L' D' B2
R' B U' L U F2 L'
B2 D2 B2 U2 D R' B
B2 D2 B2 D U2 R' B
R' B F2 L' U' L2 U
R' B F2 L' D' B2 D
R' B F2 L' D' B2 D'
R' B F2 L' D' B2 D2
R' B F2 L' B D' B2
R' B F2 L' B' D' B2
R' B F2 L' B2 D' B2
R' B F2 U' L U L2
R' B F2 D L' D' B2
R' B F2 D' L' D' B2
R' B F2 D2 L' D' B2
U2 B F2 D B' R' B
R' B' R' U' R F2 L'
R2 B' R F2 L' D B2
R2 B' R F2 D L' B2
R2 B' R F2 D B2 L'
U B' R U F2 B R'
U B' R U B R' F2
U B' R U B F2 R'
R2 B' R' U' R2 F2 L'
R' B' F2 L' U R' U'
R' B' F2 U R' U' L'
B2 F' D L U2 F' B'
B2 F' D L U2 B' F'
D2 B2 L2 D L' F U2
D2 B2 U2 D' B2 R' B
R B2 R2 F2 D L B'
D2 B2 D L U2 D B'
D2 B2 D L U2 D' B'
D2 B2 D L U2 D2 B'
D2 B2 D L U2 B' D
D2 B2 D L U2 B' D'
D2 B2 D L U2 B' D2
D2 B2 D L D U2 B'
D2 B2 D L D' U2 B'
D2 B2 D L D2 U2 B'
D2 B2 D L F U2 B'
D2 B2 D L F' U2 B'
D2 B2 D L F2 U2 B'
D2 B2 D L' F L2 U2
D' B2 D L U2 F2 B'
D' B2 D L U2 B' F2
D2 B2 D F L U2 B'
D2 B2 D F' L U2 B'
D2 B2 D F2 L U2 B'
D2 B2 D' U2 B2 R' B
D B2 D L B2 U2 B
D' B2 D' B2 U2 R' B
F' B2 D L U2 F' B'
F' B2 D L U2 B' F'
D2 B2 F D L U2 B'
D2 B2 F' D L U2 B'
R' B2 F2 L2 D L B'
R' B2 F2 D L B' L2
D2 B2 F2 D L U2 B'
U2 B2 F2 D B2 R' B
R B2 F2 R2 D L B'
