L' R' F' U' F' L'
R' L' F' U' F' L'
L2 R' F' B' U' F'
L2 R' B' F' U' F'
D' L2 R' F' B' U'
D' L2 R' B' F' U'
R' L2 F' B' U' F'
R' L2 B' F' U' F'
D' R' L2 F' B' U'
D' R' L2 B' F' U'
R' D' L2 F' B' U'
R' D' L2 B' F' U'
F U F R D B2
F U2 R' U' F R
R' F' U' D' L2 F'
R' F' U' D' F' L2
R' F' U2 F2 U F
R' F' D' U' L2 F'
R' F' D' U' F' L2
R' F' D2 B2 U' F'
B F U F R B
F B U F R B
D' R' L2 B' F' U' D2
D' R' L2 B' F' D U'
D' R' L2 B' F' D' U'
D' R' L2 B' F' D2 U'
U' R' L2 B' U' R' F2
U' R' L2 B' U' F2 R'
F R' U F D R2 B
U' R' U2 F U R F
U2 R' U2 F U F R
D2 R' D L2 F' B' U'
D2 R' D L2 B' F' U'
U' R' D' L2 B' U' R'
D' R' F' L2 U' D' L2
D' R' F' L2 U2 F2 U
D' R' F' L2 D' U' L2
D' R' F' L2 D2 B2 U'
D2 R' F' D2 B2 U' F2
F2 R' F' U' D' F L'
R' U2 R F U F R
F2 R' F' D' U' F L'
F R' F' L2 B' U' F2
D R' F' U2 R' F2 U
D R' F' U2 F2 R' U
D R' F' D2 B2 L U'
F R' F' U2 F U F
F R' F' D' L2 B' U'
D' R' B L2 F' B' U'
D' R' B L2 B' F' U'
R' U2 R2 F B U F
R' U2 R2 B F U F
D' R' B' L2 F' B' U'
D' R' B' L2 B' F' U'
R' U2 D R2 F B U
R' U2 D R2 B F U
D' R' B2 L2 F' B' U'
D' R' B2 L2 B' F' U'
R' U2 F U D R2 F
R' U2 F U D F R2
R' U2 F U2 F2 U' F'
R' U2 F D U R2 F
R' U2 F D U F R2
R' U2 F D2 B2 U F
D' R2 L2 B' R F' U'
F2 R2 U B R F' U'
F R2 U2 R F' U' F2
F2 R2 B R F' U' F
R' D U2 R2 F B U
R' D U2 R2 B F U
R' D F' U' D' L2 F2
R' D F' U' D' F2 L2
R' D F' U2 R2 F2 U
R' D F' U2 F2 R2 U
R' D F' D' U' L2 F2
R' D F' D' U' F2 L2
R' D F' D2 L2 B2 U'
R' D F' D2 B2 L2 U'
F U R D F R B2
F U R D F B2 R
F U R D B2 F R
F U R F D R B2
F U R F D B2 R
R' D' L F' L B' U'
F U D F R D B2
F U D' F R D B2
R' D' L2 D F' B' U'
R' D' L2 D B' F' U'
R' D' L2 D' F' B' U'
R' D' L2 D' B' F' U'
R' D' L2 D2 F' B' U'
R' D' L2 D2 B' F' U'
F U D2 F R D B2
R' D' L2 F' D B' U'
R' D' L2 F' D' B' U'
R' D' L2 F' D2 B' U'
R' D' L2 F' B' U' D
R' D' L2 F' B' U' D'
R' D' L2 F' B' U' D2
R' D' L2 F' B' D U'
R' D' L2 F' B' D' U'
R' D' L2 F' B' D2 U'
R' D' L2 B' D F' U'
R' D' L2 B' D' F' U'
R' D' L2 B' D2 F' U'
R' D' L2 B' F' U' D
R' D' L2 B' F' U' D'
R' D' L2 B' F' U' D2
R' D' L2 B' F' D U'
R' D' L2 B' F' D' U'
R' D' L2 B' F' D2 U'
F U F R U R2 U'
F U F R D B2 D
F U F R D B2 D'
F U F R D B2 D2
F U F R B D B2
F U F R B' D B2
F U F R B2 D B2
F U F U R' U' R2
F U F D R D B2
F U F D' R D B2
F U F D2 R D B2
L2 D' R' F' B' L2 U'
L2 D' R' B' L2 F' U'
L2 D' R' B' F' L2 U'
U' D' L2 R' B' U' R'
D' U' L2 R' B' U' R'
U' D' R' L2 B' U' R'
D' U' R' L2 B' U' R'
R' D' F' L2 U' D' L2
R' D' F' L2 U2 F2 U
R' D' F' L2 D' U' L2
R' D' F' L2 D2 B2 U'
R' D' B L2 F' B' U'
R' D' B L2 B' F' U'
R' D' B' L2 F' B' U'
R' D' B' L2 B' F' U'
R' D' B2 L2 F' B' U'
R' D' B2 L2 B' F' U'
R' D2 F' D2 B2 U' F2
F U2 R' U' R F R
F U2 R' U' R' F R
F U2 R' U' R2 F R
F U2 R' U' D F R
F U2 R' U' D' F R
F U2 R' U' D2 F R
F U2 R' U' F R D
F U2 R' U' F R D'
F U2 R' U' F R D2
F U2 R' U' F D R
F U2 R' U' F D' R
F U2 R' U' F D2 R
F U2 R' D U' F R
F U2 R' D' U' F R
F U2 R' D2 U' F R
F U2 D R' U' F R
F U2 D' R' U' F R
F U2 D2 R' U' F R
D' F R' F' L2 B' U'
L2 F R' F' B' U' F2
L2 F R' B' F' U' F2
U F R' U F R2 B
R' F U D F R2 B
D F R2 U2 R F' U'
U F U R D F B2
U F U R D B2 F
U F U R F D B2
U2 F U2 R' F' U' F2
R' F D U F R2 B
U F U2 R' U' R2 F
U F U2 R' U' F R2
R F U2 R2 F' U' F2
R F D B U F B
R F D B U B F
U F B U R F B
U F B U R B F
R F B U D F B2
R F B U D B2 F
R F B U F D B2
R F B U2 R2 U' F
R' F' L U' D' L2 F'
R' F' L U' D' F' L2
R F B D U F B2
R F B D U B2 F
R' F' L U2 F2 U F
R' F' L D' U' L2 F'
R' F' L D' U' F' L2
R' F' L D2 B2 U' F'
F D U F R D B2
R' F' L' U' D' L2 F'
R' F' L' U' D' F' L2
R' F' L' U2 F2 U F
R' F' L' D' U' L2 F'
R' F' L' D' U' F' L2
R' F' L' D2 B2 U' F'
R' F' L2 U' D' L2 F'
R' F' L2 U' D' F' L2
R' F' L2 U2 F2 U F
R' F' L2 D' U' L2 F'
R' F' L2 D' U' F' L2
R' F' L2 D2 B2 U' F'
F D U2 R' U' F R
R' F' U D R2 B U2
F D B U F R B
R' F' U' L D' L2 F'
R' F' U' L D' F' L2
R' F' U' L' D' L2 F'
R' F' U' L' D' F' L2
R' F' U' L2 D' L2 F'
R' F' U' L2 D' F' L2
R' F' U' D F' D2 L2
R' F' U' D' L F' L
R' F' U' D' L2 D F'
R' F' U' D' L2 D' F'
R' F' U' D' L2 D2 F'
R' F' U' D' L2 F' D
R' F' U' D' L2 F' D'
R' F' U' D' L2 F' D2
R' F' U' D' F L2 F2
R' F' U' D' F' L2 D
R' F' U' D' F' L2 D'
R' F' U' D' F' L2 D2
R' F' U' D2 F' D L2
R' F' U' F' U' F' U
R' F' U2 F2 R U F
R' F' U2 F2 R' U F
R' F' U2 F2 R2 U F
R' F' U2 F2 U D F
R' F' U2 F2 U D' F
R' F' U2 F2 U D2 F
R' F' U2 F2 U F D
R' F' U2 F2 U F D'
R' F' U2 F2 U F D2
R' F' U2 F2 D U F
R' F' U2 F2 D' U F
R' F' U2 F2 D2 U F
R' F' D U R2 B U2
R' F' D U' F' D2 L2
R' F' D' L U' L F'
R' F' D' L U' F' L
R' F' D' L' U' L' F'
R' F' D' U' L F' L
R' F' D' U' L2 D F'
R' F' D' U' L2 D' F'
R' F' D' U' L2 D2 F'
R' F' D' U' L2 F' D
R' F' D' U' L2 F' D'
R' F' D' U' L2 F' D2
R' F' D' U' F L2 F2
R' F' D' U' F' L2 D
R' F' D' U' F' L2 D'
R' F' D' U' F' L2 D2
R' F' D' B U' L2 F'
R' F' D' B U' F' L2
R' F' D' B' U' L2 F'
R' F' D' B' U' F' L2
R' F' D' B2 U' L2 F'
R' F' D' B2 U' F' L2
R' F' D2 L B2 U' F'
R' F' D2 L' B2 U' F'
R' F' D2 L2 B2 U' F'
R' F' D2 U' F' D L2
B D' L2 B' R' F' U'
R' F' D2 B2 L U' F'
R' F' D2 B2 L' U' F'
R' F' D2 B2 L2 U' F'
R' F' D2 B2 U' D F'
R' F' D2 B2 U' D' F'
R' F' D2 B2 U' D2 F'
R' F' D2 B2 U' F' D
R' F' D2 B2 U' F' D'
R' F' D2 B2 U' F' D2
R' F' D2 B2 D U' F'
R' F' D2 B2 D' U' F'
R' F' D2 B2 D2 U' F'
R' F' B U' D' L2 F'
R' F' B U' D' F' L2
R' F' B U2 F2 U F
R' F' B D' U' L2 F'
R' F' B D' U' F' L2
R' F' B D2 B2 U' F'
R' F' B' U' D' L2 F'
R' F' B' U' D' F' L2
R' F' B' U2 F2 U F
R' F' B' D' U' L2 F'
R' F' B' D' U' F' L2
R' F' B' D2 B2 U' F'
R' F' B2 U' D' L2 F'
R' F' B2 U' D' F' L2
R' F' B2 U2 F2 U F
R' F' B2 D' U' L2 F'
R' F' B2 D' U' F' L2
R' F' B2 D2 B2 U' F'
F D' U F R D B2
F D' U2 R' U' F R
L2 F2 R' F' B' U' F
L2 F2 R' B' F' U' F
F D' B U F R B
R F2 R2 F' B U' F
R F2 R2 B F' U' F
R F2 U R2 F' B U'
R F2 U R2 B F' U'
F D2 U F R D B2
R' B L' F' U' F' L'
R' B L2 F' B' U' F'
R' B L2 B' F' U' F'
F D2 U2 R' U' F R
D' B L2 B' R' F' U'
F D2 B U F R B
R' B D' L2 F' B' U'
R' B D' L2 B' F' U'
R B D R2 F U B2
R B D F R2 U B2
R' B F' U' D' L2 F'
R' B F' U' D' F' L2
R' B F' U2 F2 U F
R' B F' D' U' L2 F'
R' B F' D' U' F' L2
R' B F' D2 B2 U' F'
U B F U R F B
U B F U R B F
R B F U D F B2
R B F U D B2 F
R B F U F D B2
B F U R F B R
B F U R B F R
R B F U2 R2 U' F
R B F D U F B2
R B F D U B2 F
B F U D F R B
B F U D' F R B
B F U D2 F R B
B F U F R D B
B F U F R D' B
B F U F R D2 B
B F U F R B D
B F U F R B D'
B F U F R B D2
B F U F D R B
B F U F D' R B
B F U F D2 R B
B F U F B R B
B F U F B' R B
B F U F B2 R B
F B U R F B R
F B U R B F R
B F U B F R B
B F U B' F R B
F B U D F R B
B F U B2 F R B
F B U D' F R B
F B U D2 F R B
F B U F R D B
F B U F R D' B
F B U F R D2 B
F B U F R B D
F B U F R B D'
F B U F R B D2
F B U F D R B
F B U F D' R B
F B U F D2 R B
F B U F B R B
F B U F B' R B
F B U F B2 R B
R' B' L' F' U' F' L'
F B U B F R B
F B U B' F R B
F B U B2 F R B
R' B' L2 F' B' U' F'
R' B' L2 B' F' U' F'
B F D U F R B
F B D U F R B
B F D' U F R B
F B D' U F R B
B F D2 U F R B
B2 F' L F2 U F R
F B D2 U F R B
R' B' D' L2 F' B' U'
R' B' D' L2 B' F' U'
R' B' F' U' D' L2 F'
R' B' F' U' D' F' L2
R' B' F' U2 F2 U F
R' B' F' D' U' L2 F'
R' B' F' D' U' F' L2
R' B' F' D2 B2 U' F'
L' B2 L F U F R
R' B2 L' F' U' F' L'
R' B2 L2 F' B' U' F'
R' B2 L2 B' F' U' F'
F' B2 L F2 U F R
B2 F2 L F' U F R
F2 B2 L F' U F R
D2 B2 U F L U R
R' B2 D' L2 F' B' U'
R' B2 D' L2 B' F' U'
R' B2 F' U' D' L2 F'
R' B2 F' U' D' F' L2
R' B2 F' U2 F2 U F
R' B2 F' D' U' L2 F'
R' B2 F' D' U' F' L2
R' B2 F' D2 B2 U' F'
