U L R2 F B'
U L R2 B' F
U L F R2 B'
U L F B' R2
U L B' R2 F
U L B' F R2
U R2 L F B'
U R2 L B' F
R U L R' F B' R2
R U L R' B' R2 F
R U L R' B' F R2
R U L R2 F R' B'
R U L D R F B'
R U L D R B' F
R U L D B' R F
R U L D' R F B'
R U L D' R B' F
R U L D' B' R F
R U L D2 R F B'
R U L D2 R B' F
R U L D2 B' R F
R U L B R F B2
R U L B R B2 F
R U L B' R D F
R U L B' R D' F
R U L B' R D2 F
R U L B' R F D
R U L B' R F D'
R U L B' R F D2
R U L B' R' F R2
R U L B' R2 F R'
R U L B' D R F
R U L B' D' R F
R U L B' D2 R F
R2 U L' U' L2 F B'
R2 U L' U' L2 B' F
R' U R L F R2 B'
R' U R L F B' R2
R' U R L B' R2 F
R' U R L B' F R2
R U R L D F B'
R U R L D B' F
R U R L D' F B'
R U R L D' B' F
R U R L D2 F B'
R U R L D2 B' F
R U R L F D B'
R U R L F D' B'
R U R L F D2 B'
R U R L F B' D
R U R L F B' D'
R U R L F B' D2
R U R L B' D F
R U R L B' D' F
R U R L B' D2 F
R U R L B' F D
R U R L B' F D'
R U R L B' F D2
R' U R' L D F B'
R' U R' L D B' F
R' U R' L D' F B'
R' U R' L D' B' F
R' U R' L D2 F B'
R' U R' L D2 B' F
R' U R' L F D B'
R' U R' L F D' B'
R' U R' L F D2 B'
R' U R' L F B' D
R' U R' L F B' D'
R' U R' L F B' D2
R' U R' L B' D F
R' U R' L B' D' F
R' U R' L B' D2 F
R' U R' L B' F D
R' U R' L B' F D'
R' U R' L B' F D2
R U R F L F B'
R U R F L B' F
R U R F' L F B'
R U R F' L B' F
R U R F2 L F B'
R U R F2 L B' F
R' U R' F L F B'
R' U R' F L B' F
R' U R' F' L F B'
R' U R' F' L B' F
R' U R' F2 L F B'
R' U R' F2 L B' F
R U R' L F R2 B'
R U R' L F B' R2
R U R' L B' R2 F
R U R' L B' F R2
R' U R2 L B' R F
L' U R2 L F L B'
U L2 B L' R2 F B'
U L2 B L' R2 B' F
U L2 B L' F R2 B'
U L2 B L' F B' R2
U L2 B L' B' R2 F
U L2 B L' B' F R2
U L2 B R2 L' F B'
U L2 B R2 L' B' F
R U R2 L F R' B'
U L2 B' L' R2 F B'
U L2 B' L' R2 B' F
U L2 B' L' F R2 B'
U L2 B' L' F B' R2
U L2 B' L' B' R2 F
U L2 B' L' B' F R2
U L2 B' R2 L' F B'
U L2 B' R2 L' B' F
U L2 B2 L' R2 F B'
U L2 B2 L' R2 B' F
U L2 B2 L' F R2 B'
U L2 B2 L' F B' R2
U L2 B2 L' B' R2 F
U L2 B2 L' B' F R2
R' U D2 L R' F B
R' U D2 L R' B F
U L2 B2 R2 L' F B'
U L2 B2 R2 L' B' F
R' U D2 L F R' B
F' R L D R F2 B'
F' R L D R B' F2
F' R L D B' R F2
R' U D2 R' L F B
R' U D2 R' L B F
F2 R L D R F' B'
F2 R L D R B' F'
F2 R L D B' R F'
F' R L B' R D F2
F' R L B' D R F2
U' R L B' R D2 F2
U' R L B' D2 R F2
R' U F L R' F B'
R' U F L R' B' F
R' U F L F R' B'
F' R L' U' L2 R B'
F' R L' U' L2 B' R
F' R L' U' R L2 B'
U2 R L B' R D' F2
U R L D R F B'
U R L D R B' F
F2 R L B' D R F'
U R L D B' R F
U R L D' R F B'
U R L D' R B' F
U R L D' B' R F
U R L D2 R F B'
U R L D2 R B' F
R' U F R' L F B'
R' U F R' L B' F
U R L D2 B' R F
U R L B R F B2
U R L B R B2 F
F R L' U L2 R B'
F R L' U L2 B' R
F R L' U R L2 B'
U R L B' R D F
U R L B' R D' F
U R L B' R D2 F
U R L B' R F D
U R L B' R F D'
U R L B' R F D2
U R L B' R' F R2
U R L B' R2 F R'
U R L B' D R F
U R L B' D' R F
U R L B' D2 R F
R' U F' L R' F B'
R' U F' L R' B' F
R' U F' L F R' B'
R' U F' R' L F B'
R' U F' R' L B' F
R U F' L F R B'
R U F' L F B' R
R U F' L B' F R
R' U F2 L R' F B'
R' U F2 L R' B' F
R' U F2 L F R' B'
F R U L R D B'
F R U L R D' B'
F R U L R D2 B'
F R U L R B' D
F R U L R B' D'
F R U L R B' D2
F R U L R' B' R2
F R U L D R B'
F R U L D B' R
F R U L D' R B'
F R U L D' B' R
F R U L D2 R B'
F R U L D2 B' R
R' U F2 R' L F B'
F R U L B R B2
R' U F2 R' L B' F
F R U L B' R D
F R U L B' R D'
F R U L B' R D2
F R U L B' D R
F R U L B' D' R
F R U L B' D2 R
F R U R L D B'
F R U R L D' B'
F R U R L D2 B'
F R U R L B' D
F R U R L B' D'
F R U R L B' D2
F R U R' L B' R2
U2 R U' L R F B'
U2 R U' L R B' F
U2 R U' L B' R F
U2 R U' R L F B'
U2 R U' R L B' F
R' U' L R' D F' B'
R' U' L R' D B' F'
R' U' L R' D' F' B'
R' U' L R' D' B' F'
R' U' L R' D2 F' B'
R' U' L R' D2 B' F'
R' U' L R' F' D B'
R' U' L R' F' D' B'
R' U' L R' F' D2 B'
R' U' L R' F' B' D
R' U' L R' F' B' D'
R' U' L R' F' B' D2
R' U' L R' B' D F'
R' U' L R' B' D' F'
R' U' L R' B' D2 F'
R' U' L R' B' F' D
R' U' L R' B' F' D'
R' U' L R' B' F' D2
R' U' L R2 B' R F'
R' U' L D R' F' B'
R' U' L D R' B' F'
R' U' L D' R' F' B'
R' U' L D' R' B' F'
R' U' L D2 R' F' B'
R' U' L D2 R' B' F'
R' U' L F R' F' B'
R' U' L F R' B' F'
R' U' L F' R' F' B'
R' U' L F' R' B' F'
R' U' L F2 R' F' B'
R' U' L F2 R' B' F'
R U' L R B' D2 F2
R U' L R' F' R2 B'
R U' L R' F' B' R2
R U' L R' B' F' R2
R U' L B' R' F' R2
L' U' L2 R' F' R' B'
L' U' L2 B' R' F' R'
U R F' L F R B'
U R F' L F B' R
U R F' L B' F R
R' U' R' L D F' B'
R' U' R' L D B' F'
R' U' R' L D' F' B'
R U' R L B' D2 F2
R' U' R' L D' B' F'
R' U' R' L D2 F' B'
R' U' R' L D2 B' F'
R' U' R' L F' D B'
R' U' R' L F' D' B'
R' U' R' L F' D2 B'
R' U' R' L F' B' D
R' U' R' L F' B' D'
R' U' R' L F' B' D2
R' U' R' L B' D F'
R' U' R' L B' D' F'
R' U' R' L B' D2 F'
R' U' R' L B' F' D
R' U' R' L B' F' D'
R' U' R' L B' F' D2
L' U' R' L2 F' R' B'
R' U' R' F L F2 B'
R' U' R' F L B' F2
R' U' R' F' L D B'
R' U' R' F' L D' B'
R' U' R' F' L D2 B'
R' U' R' F' L B' D
R' U' R' F' L B' D'
R' U' R' F' L B' D2
R2 U' R' U L F' B'
R2 U' R' U L B' F'
R2 U' R' U F' L B'
R U' R' L F' R2 B'
R U' R' L F' B' R2
R' U' R2 L B' R F'
R U' R' L B' F' R2
L U' R' U F' R' B'
R U' R' F' L R2 B'
R U' R' F' L B' R2
R U' R' F' R2 L B'
R' U' D2 L R' F' B
R' U' D2 L R' B F'
R' U' D2 R' L F' B
R' U' D2 R' L B F'
R' U' D2 R' F' L B
U' R' L D F' R' B'
F' R' L D R' F2 B'
F' R' L D R' B' F2
F' R' L D F2 R' B'
U' R' L D' F' R' B'
U' R' L D2 F' R' B'
U' R' L F R' F2 B'
U' R' L F R' B' F2
U' R' L F' R B' R2
U' R' L F' R' D B'
U' R' L F' R' D' B'
U' R' L F' R' D2 B'
U' R' L F' R' B' D
U' R' L F' R' B' D'
U' R' L F' R' B' D2
U' R' L F' R2 B' R
U' R' L F' D R' B'
U' R' L F' D' R' B'
U' R' L F' D2 R' B'
U' R' L F2 R' F B'
U' R' L F2 R' B' F
R' U' F L R' F' B'
R' U' F L R' B' F'
U' R' L B' D2 F' R
F' R' L' U' L2 R' B'
F' R' L' U' R' L2 B'
R' U' F R' L F' B'
R' U' F R' L B' F'
R' U' F R' F' L B'
F R' L D' R' F2 B'
F R' L D' R' B' F2
U R' L D R' F B'
U R' L D R' B' F
U R' L D F R' B'
F R' L D' F2 R' B'
U R' L D' R' F B'
U R' L D' R' B' F
U R' L D' F R' B'
U R' L D2 R' F B'
U R' L D2 R' B' F
U R' L D2 F R' B'
U R' L F R B' R2
U R' L F R' D B'
U R' L F R' D' B'
U R' L F R' D2 B'
U R' L F R' B' D
U R' L F R' B' D'
U R' L F R' B' D2
U R' L F R2 B' R
U R' L F D R' B'
U R' L F D' R' B'
U R' L F D2 R' B'
U R' L F' R' F2 B'
U R' L F' R' B' F2
R' U' F' L R' F' B'
R' U' F' L R' B' F'
R' U' F' R' L F' B'
R' U' F' R' L B' F'
R' U' F' R' F' L B'
U' R' U L F' R' B'
R' U' F2 L R' F' B'
R' U' F2 L R' B' F'
U2 R' U L R' F' B'
U2 R' U L R' B' F'
R' U' F2 R' L F' B'
R' U' F2 R' L B' F'
R' U' F2 R' F' L B'
U2 R' U R' L F' B'
U2 R' U R' L B' F'
U2 R' U R' F' L B'
U' R' U F' L R' B'
U' R' U F' R' L B'
U' R' U' L F' R' B'
U2 R' U' L R' F B'
U2 R' U' L R' B' F
U2 R' U' L F R' B'
U2 R' U' R' L F B'
U2 R' U' R' L B' F
