R2 L F' B' U B'
R2 L B' F' U B'
L R2 F' B' U B'
L R2 B' F' U B'
R2 D L2 F' U R
R2 D F' L2 U R
B U' D' F2 B R'
B U' D' B R' F2
B U' D' B F2 R'
R2 F' L B' U B'
B D' U' F2 B R'
B D' U' B R' F2
B D' U' B F2 R'
D' B R2 U' R F2
L2 R2 F' B' U B' R'
R2 L2 F' B' U B' R'
L R2 F' B' U D B'
L R2 F' B' U D' B'
L R2 F' B' U D2 B'
L R2 F' B' U B' D
L R2 F' B' U B' D'
L R2 F' B' U B' D2
L R2 F' B' D U B'
L R2 F' B' D' U B'
L R2 F' B' D2 U B'
B2 L2 U' R2 F U R
B2 L2 U' F R2 U R'
L R2 B' D F' U B'
L R2 B' D' F' U B'
L2 R2 B' F' U B' R'
L R2 B' D2 F' U B'
R2 L2 B' F' U B' R'
D2 L2 D B R2 U' R
L R2 B' F' U D B'
L R2 B' F' U D' B'
L R2 B' F' U D2 B'
L R2 B' F' U B' D
L R2 B' F' U B' D'
L R2 B' F' U B' D2
L R2 B' F' D U B'
L R2 B' F' D' U B'
L R2 B' F' D2 U B'
D' L2 B R2 U' R F2
L U R2 F' B' U B'
L U R2 B' F' U B'
L U' R2 F' B' U B'
L U' R2 B' F' U B'
L U2 R2 F' B' U B'
L U2 R2 B' F' U B'
R2 U2 D' R2 B U' R'
F' R2 L F' B' U B'
U' R2 L F' B' U B'
F' R2 L B' F' U B'
U' R2 L B' F' U B'
F2 R2 L F' B' U B'
U2 R2 L F' B' U B'
B2 R2 L B' U B L
F2 R2 L B' F' U B'
U2 R2 L B' F' U B'
F R2 L F' B' U B'
U R2 L F' B' U B'
F R2 L B' F' U B'
U R2 L B' F' U B'
U' R2 D L2 F' U R
F' R2 D L2 F' U R
F2 R2 D L2 F' U R
U2 R2 D L2 F' U R
U' R2 D F' L2 U R
F' R2 D F' L2 U R
F2 R2 D F' L2 U R
U2 R2 D F' L2 U R
F R2 D L2 F' U R
U R2 D L2 F' U R
F R2 D F' L2 U R
U R2 D F' L2 U R
R2 D L F' L U R
R' D L2 R' F' U R
U' R2 F' L B' U B'
F' R2 F' L B' U B'
F2 R2 F' L B' U B'
U2 R2 F' L B' U B'
R2 D L2 F' U R D
R2 D L2 F' U R D'
R2 D L2 F' U R D2
R2 D L2 F' U D R
R2 D L2 F' U D' R
R2 D L2 F' U D2 R
R2 D L2 F' D U R
R2 D L2 F' D' U R
R2 D L2 F' D2 U R
R2 D L2 F' B U R
R2 D L2 F' B' U R
R2 D L2 F' B2 U R
R2 D L2 B F' U R
R2 D L2 B' F' U R
F R2 F' L B' U B'
R2 D L2 B2 F' U R
U R2 F' L B' U B'
R' D R' L2 F' U R
R' D R' F' L2 U R
R2 D F' L2 U R D
R2 D F' L2 U R D'
R2 D F' L2 U R D2
R2 D F' L2 U D R
R2 D F' L2 U D' R
R2 D F' L2 U D2 R
R2 D F' L2 D U R
R2 D F' L2 D' U R
R2 D F' L2 D2 U R
R2 D F' L2 B U R
R2 D F' L2 B' U R
R2 D F' L2 B2 U R
R2 D F' U R D' B2
R2 D F' U D' R B2
R2 D F' U D' B2 R
R2 D F' D' U R B2
R2 D F' D' U B2 R
R2 D F' B L2 U R
R2 D F' B' L2 U R
R2 D F' B2 L2 U R
R2 D B L2 F' U R
R2 D B F' L2 U R
R2 D B' L2 F' U R
R2 D B' F' L2 U R
R2 D B2 L2 F' U R
R2 D B2 F' L2 U R
B U D' B R' F2 L'
D' U B R2 U' R F2
R2 D' U2 R2 B U' R'
L' D' F B R2 U' F
L' D' B R2 F U' F
L' D' B F R2 U' F
D' U' B R2 U' R F2
U' D' B R2 U' R F2
U2 D' B R2 U' R F2
B U' D B R2 F' R
U D' B R2 U' R F2
B U' D' F B R' F
B U' D' F2 B R' D
B U' D' F2 B R' D'
B U' D' F2 B R' D2
B U' D' F2 B D R'
B U' D' F2 B D' R'
B U' D' F2 B D2 R'
B U' D' B R F2 R2
B U' D' B R' F2 D
B U' D' B R' F2 D'
B U' D' B R' F2 D2
B U' D' B F R' F
B U' D' B F2 R' D
B U' D' B F2 R' D'
B U' D' B F2 R' D2
B U' D' B F2 D R'
B U' D' B F2 D' R'
B U' D' B F2 D2 R'
B U' F D' F2 B R'
B U' F D' B R' F2
B U' F D' B F2 R'
B U' F' D' F2 B R'
B U' F' D' B R' F2
B U' F' D' B F2 R'
B U' F2 D' F2 B R'
B U' F2 D' B R' F2
B U' F2 D' B F2 R'
L' D2 F L2 B U' B2
L' D2 F B L2 U' B'
B U2 L B' R2 U B2
D' U2 B R2 U' R F2
L' D2 B F L2 U' B'
R2 F L F2 B' U B'
R2 F L B' F2 U B'
L F R2 F' B' U B'
L F R2 B' F' U B'
L' F U2 R2 F' U B2
L' F D' B R2 U' F2
D' F B R2 U' R F
L' F B U' D' F2 B
L' F B U' D' B F2
L' F B U' B D' F2
L' F B D' U' F2 B
L' F B D' U' B F2
L' F B D2 L2 U' B
R2 F' L D B' L2 U
B D U' B R2 F' R
R2 F' L B' U D B'
R2 F' L B' U D' B'
R2 F' L B' U D2 B'
R2 F' L B' U B' D
R2 F' L B' U B' D'
R2 F' L B' U B' D2
R2 F' L B' D U B'
R2 F' L B' D' U B'
R2 F' L B' D2 U B'
R2 F' L' U2 F U' B2
R2 F' L' D L2 B' U
B' D F' R B' L2 F
B' D F' B' L2 R F
R2 F' L2 U B' R' B'
B' D F' B' R L2 F
R2 F' L2 B' U B' R'
B' D F2 B' L2 F R
B' D B' L2 F' R F2
B' D B' F' L2 R F
B' D B' F' R L2 F
B' D B' F2 L2 F R
L F' R2 F' B' U B'
L F' R2 B' F' U B'
R2 F' U B D' B R'
B D' L U' F2 B R'
B D' L U' B R' F2
B D' L U' B F2 R'
B D' L' U' F2 B R'
B D' L' U' B R' F2
B D' L' U' B F2 R'
B D' L2 U' F2 B R'
B D' L2 U' B R' F2
B D' L2 U' B F2 R'
R2 F' B L B' U B2
R2 F' B U D' B R'
R2 F' B D' U B R'
R2 F' B2 L B' U B
B D' U B R' F2 L'
B D' U' F B R' F
B D' U' F2 B R' D
B D' U' F2 B R' D'
B D' U' F2 B R' D2
B D' U' F2 B D R'
B D' U' F2 B D' R'
B D' U' F2 B D2 R'
B D' U' B R F2 R2
B D' U' B R' F2 D
B D' U' B R' F2 D'
B D' U' B R' F2 D2
B D' U' B F R' F
B D' U' B F2 R' D
B D' U' B F2 R' D'
B D' U' B F2 R' D2
B D' U' B F2 D R'
B D' U' B F2 D' R'
B D' U' B F2 D2 R'
B D' F U' F B R'
B D' F U' B R' F
B D' F U' B F R'
B' D' F2 B R' B2 L
B D' F' U' F' B R'
B D' F' U' B F' R'
B' D' B R' F2 B2 L
B' D' B R' B2 L F2
B' D' B R' B2 F2 L
F' D' B R2 U' R F2
B' D' B F2 R' B2 L
F2 D' B R2 U' R F2
L' F2 R2 F' B U B
L' F2 R2 B F' U B
F D' B R2 U' R F2
D' F2 U B R2 U' R
L F2 R2 F' B' U B'
L F2 R2 B' F' U B'
B D2 L2 U' D B R'
B D2 L2 D U' B R'
D' F2 B' D B2 L2 R'
D' F2 B' D B2 R' L2
D' B L R2 U' R F2
D' B L' R2 U' R F2
R2 B L F' B' U B2
D' B L2 R2 U' R F2
R2 B L B' F' U B2
D' B R2 L U' R F2
D' B R2 L' U' R F2
D' B R2 L2 U' R F2
D' B R2 U' R F2 D
D' B R2 U' R F2 D'
D' B R2 U' R F2 D2
D' B R2 U' R' F2 R2
D' B R2 U' R2 F2 R'
D' B R2 D' L2 U' R
U' B U' D' F2 B R'
U' B U' D' B R' F2
U' B U' D' B F2 R'
D' B U' F2 D R' B2
U2 B U' D' F2 B R'
U2 B U' D' B R' F2
U2 B U' D' B F2 R'
L B U' D' F2 B R2
L B U' D' B R2 F2
L B U' D' B F2 R2
U B U' D' F2 B R'
U B U' D' B R' F2
U B U' D' B F2 R'
U' B D' U' F2 B R'
U' B D' U' B R' F2
U' B D' U' B F2 R'
L' B D' F U' F B
L' B D' F U' B F
R2 B D F' U B R
L B U2 B2 R2 U B'
U2 B D' U' F2 B R'
U2 B D' U' B R' F2
U2 B D' U' B F2 R'
L' B D2 F L2 U' B
R2 B D' F' U B R'
D' B F R2 U' R F
U B D' U' F2 B R'
U B D' U' B R' F2
L B D' U' F2 B R2
U B D' U' B F2 R'
L B D' U' B R2 F2
L B D' U' B F2 R2
L' B F U' D' F2 B
L' B F U' D' B F2
L' B F U' B D' F2
L' B F D' U' F2 B
L' B F D' U' B F2
L' B F D2 L2 U' B
L B D2 L2 F2 U' B
L B D2 F2 L2 U' B
R2 B F' L B' U B2
R2 B F' U D' B R'
R2 B F' D' U B R'
F' B U' D' F2 B R'
F' B U' D' B R' F2
F' B U' D' B F2 R'
F2 B U' D' F2 B R'
F2 B U' D' B R' F2
F2 B U' D' B F2 R'
B F U' D' F2 B R'
B F U' D' B R' F2
B F U' D' B F2 R'
F B U' D' F2 B R'
F B U' D' B R' F2
F B U' D' B F2 R'
F' B D' U' F2 B R'
F' B D' U' B R' F2
F' B D' U' B F2 R'
F2 B D' U' F2 B R'
F2 B D' U' B R' F2
F2 B D' U' B F2 R'
B F D' U' F2 B R'
B F D' U' B R' F2
B F D' U' B F2 R'
F B D' U' F2 B R'
F B D' U' B R' F2
F B D' U' B F2 R'
D' B' R2 B2 U' R' F2
D' B' R2 B2 U' F2 R'
L B' R2 U D B' L2
L B' R2 U2 B2 U' B
L B' R2 D U B' L2
L B' R2 D2 F2 U B'
L B' U D B' L2 F
R2 B' D F' U R B'
R2 B' D F' U B' R
L B' D U B' L2 F
B F' U' D' F2 B R'
B F' U' D' B R' F2
B F' U' D' B F2 R'
D' B' F2 D B2 L2 R'
D' B' F2 D B2 R' L2
R2 B2 L F' B' U B
R2 B2 L B' F' U B
B F' D' U' F2 B R'
B F' D' U' B R' F2
B F' D' U' B F2 R'
D' B2 R2 B' U' R' F2
D' B2 R2 B' U' F2 R'
B F2 U' D' F2 B R'
B F2 U' D' B R' F2
B F2 U' D' B F2 R'
R2 B2 F' L B' U B
B F2 D' U' F2 B R'
B F2 D' U' B R' F2
B F2 D' U' B F2 R'
