U' R B U2 R U
D2 U' L2 R B U'
D2 U' R L2 B U'
U' D' R B U' F2
D2 U' R B L2 U'
D' U' R B U' F2
U' D2 L2 R B U'
U' D2 R L2 B U'
U' D2 R B L2 U'
F D R F' B2 U2
F D R B2 F' U2
F D B2 R F' U2
D B2 U' R B U'
F D' U2 F2 L B' L2
U F2 L' R2 U2 B' U'
U F2 R2 L F L2 U
U F2 R2 L' U2 B' U'
U2 F2 B L D' F2 B2
U2 F2 B L D' B2 F2
B' D2 U' L2 R B U'
B' D2 U' R L2 B U'
B' D2 U' R B L2 U'
B2 D2 U' L2 R B U'
B2 D2 U' R L2 B U'
B2 D2 U' R B L2 U'
B D2 U' L2 R B U'
B D2 U' R L2 B U'
B D2 U' R B L2 U'
U' B R B U2 R U
D2 B U' L2 R B U'
D2 B U' R L2 B U'
D2 B U' R B L2 U'
D' B U' R B U' F2
U' B D' R B U' F2
U' B D2 L2 R B U'
U' B D2 R L2 B U'
U' B D2 R B L2 U'
U2 B D' F2 L D' B2
U2 B F D' L F2 B'
U2 B F D' L B' F2
U2 B F D' F2 L B'
U2 B F2 L D' F2 B2
U2 B F2 L D' B2 F2
B' F D R F' B2 U2
B' F D R B2 F' U2
B2 F D R F' B2 U2
B2 F D R B2 F' U2
B' F D B2 R F' U2
B2 F D B2 R F' U2
U' B' R B U2 R U
B F D R F' B2 U2
B F D R B2 F' U2
F B D R F' B2 U2
F B D R B2 F' U2
B F D B2 R F' U2
F B D B2 R F' U2
D2 B' U' L2 R B U'
D2 B' U' R L2 B U'
D2 B' U' R B L2 U'
D' B' U' R B U' F2
U' B' D' R B U' F2
U' B' D2 L2 R B U'
U' B' D2 R L2 B U'
U' B' D2 R B L2 U'
F B' D R F' B2 U2
F B' D R B2 F' U2
F B' D B2 R F' U2
U' B2 R B U2 R U
D2 B2 U' L2 R B U'
D2 B2 U' R L2 B U'
D2 B2 U' R B L2 U'
D' B2 U' R B U' F2
R2 B2 U L F U F'
U B2 R2 B2 L F U
D B2 U' R D B U'
D B2 U' R D' B U'
D B2 U' R D2 B U'
D B2 U' R B U' D
D B2 U' R B U' D'
D B2 U' R B U' D2
D B2 U' R B D U'
D B2 U' R B D' U'
D B2 U' R B D2 U'
D B2 U' D R B U'
D B2 U' D' R B U'
D B2 U' D2 R B U'
D B2 U' B R B U'
D B2 U' B' R B U'
D B2 U' B2 R B U'
U' B2 D' R B U' F2
U' B2 D2 L2 R B U'
U' B2 D2 R L2 B U'
U' B2 D2 R B L2 U'
D B2 D U' R B U'
D B2 D' U' R B U'
D B2 D2 U' R B U'
F B2 D R F' B2 U2
F B2 D R B2 F' U2
D B2 F D R F' U2
F B2 D B2 R F' U2
