U2 L R U' L' F'
U2 L' R U' L F'
U2 L' R U' F' L
U2 L2 R U' L2 F'
U2 L2 R U' L2 F'
U2 L2 R U' F' L2
R U R' U2 R F'
U2 R L U' L' F'
U2 R L' U' L F'
U2 R L' U' F' L
U2 R L2 U' L2 F'
U2 R L2 U' F' L2
U R U' F R' F2 L'
U' R U2 R2 U R2 F'
B2 R U2 B2 U L F'
B2 R U2 B2 U F' L
U2 R D L U' L' F'
U2 R D L' U' L F'
U2 R D L' U' F' L
U2 R D L2 U' L2 F'
U2 R D L2 U' F' L2
R U B' F' L2 B' L
U2 R D' L U' L' F'
U2 R D' L' U' L F'
U2 R D' L' U' F' L
R U B2 L' F' L2 B'
U2 R D' L2 U' L2 F'
U2 R D' L2 U' F' L2
R U B2 F' L2 B' L'
U2 R D2 L U' L' F'
U2 R D2 L' U' L F'
U2 R D2 L' U' F' L
U2 R D2 L2 U' L2 F'
U2 R D2 L2 U' F' L2
U' R F L U' F2 R
U' R F U' F2 D R2
R' U' R U' R U' F'
U2 R B L U' L' F'
U2 R B L' U' L F'
U2 R B L' U' F' L
U2 R B L2 U' L2 F'
U2 R B L2 U' F' L2
U2 R B' L U' L' F'
U2 R B' L' U' L F'
U2 R B' L' U' F' L
U2 R B' L2 U' L2 F'
U2 R B' L2 U' F' L2
R U' R2 B R U2 B'
U2 R B2 L U' L' F'
U2 R B2 L' U' L F'
U2 R B2 L' U' F' L
U2 R B2 L2 U' L2 F'
U2 R B2 L2 U' F' L2
R' U' D' F2 B U2 L'
R' U' D' B R F2 U2
R' U' D' B F2 U2 L'
F2 R' L' U' B R U2
R U' F' U2 R' U2 R
R' U' B R U' R U'
F' R' U' B R U2 B
R' U' B D R U2 B2
R' U' B D' R F2 U2
R' U' B D' F2 U2 L'
R U' B U2 F' B' L'
R U' B U2 B' F' L'
U R' U2 R2 U' F' R'
L' U2 L R U' L' F'
L2 U2 L R U' L' F'
R U' B2 U2 L F' B2
R U' B2 U2 L B2 F'
R U' B2 U2 F' L B2
L U2 L R U' L' F'
L' U2 L' R U' L F'
L' U2 L' R U' F' L
L2 U2 L' R U' L F'
L2 U2 L' R U' F' L
L U2 L' R U' L F'
L U2 L' R U' F' L
L' U2 L2 R U' L2 F'
L' U2 L2 R U' F' L2
L2 U2 L2 R U' L2 F'
L2 U2 L2 R U' F' L2
L U2 L2 R U' L2 F'
L U2 L2 R U' F' L2
L' U2 R L U' L' F'
L' U2 R L' U' L F'
L' U2 R L' U' F' L
L' U2 R L2 U' L2 F'
L' U2 R L2 U' F' L2
L2 U2 R L U' L' F'
L2 U2 R L' U' L F'
L2 U2 R L' U' F' L
L2 U2 R L2 U' L2 F'
L2 U2 R L2 U' F' L2
L U2 R L U' L' F'
L U2 R L' U' L F'
L U2 R L' U' F' L
L U2 R L2 U' L2 F'
L U2 R L2 U' F' L2
U2 R' F2 D R2 F' B2
U2 R' F2 D R2 B2 F'
U' R' B U' R2 B' U'
U' R' B U' B' R2 U'
R' U2 R2 B2 U' L F'
R' U2 R2 B2 U' F' L
R' D R2 U F' B2 L
R' D R2 U B2 L F'
R' D R2 U B2 F' L
R D U R' U2 R F'
F2 U L' R U F' R'
F2 U R L' U F' R'
U2 D R B' L U' L'
U2 D B' L R U' L'
U2 D B' R L U' L'
B' U B U2 R U' F'
B U B' U2 R U' F'
R' D' U' F2 B U2 L'
R' D' U' B R F2 U2
R' D' U' B F2 U2 L'
B2 U B2 U2 R U' F'
R D' U R' U2 R F'
B U' L2 R F U' F2
B' U' R U' D' F' R
B' U' R D' U' F' R
B2 U' R U' D' F' R2
B2 U' R U' F' D' R2
B2 U' R U2 B2 U F'
B2 U' R D' U' F' R2
B2 U' R D2 F2 U' F
B U' R L2 F U' F2
B U' R U2 B' U F'
B' U' R2 F' R' U' F'
R' D2 L2 U' B R U2
D2 U2 L' R U' F L
U2 D2 L' R U' F L
R2 D2 R' U F' L2 B'
D2 U2 R L' U' F L
U2 D2 R L' U' F L
D U2 R B' L U' L'
R D2 U R' U2 R F'
D U2 B' L R U' L'
D U2 B' R L U' L'
U2 F U F' R U' F'
R F U R' U2 R F2
R F U F2 D2 B2 L
D' F' R U' R' F' U2
U2 F2 U F2 R U' F'
R' F2 U2 R2 U' L' F'
R F2 U R' U2 R F
U2 B L R U' L' F'
U2 B L' R U' L F'
U2 B L' R U' F' L
U2 B L2 R U' L2 F'
U2 B L2 R U' F' L2
U2 B R L U' L' F'
U2 B R L' U' L F'
U2 B R L' U' F' L
U2 B R L2 U' L2 F'
U2 B R L2 U' F' L2
U' B U' R B' U' F'
U' B U' B' R U' F'
U2 B' L R U' L' F'
U2 B' L' R U' L F'
U2 B' L' R U' F' L
U2 B' L2 R U' L2 F'
U2 B' L2 R U' F' L2
U2 B' R L U' L' F'
U2 B' R L' U' L F'
U2 B' R L' U' F' L
U2 B' R L2 U' L2 F'
U2 B' R L2 U' F' L2
U' B' U' B R U' F'
U2 B2 L R U' L' F'
U2 B2 L' R U' L F'
U2 B2 L' R U' F' L
U2 B2 L2 R U' L2 F'
U2 B2 L2 R U' F' L2
U2 B2 R L U' L' F'
U2 B2 R L' U' L F'
U2 B2 R L' U' F' L
U2 B2 R L2 U' L2 F'
U2 B2 R L2 U' F' L2
U' B2 U' R B2 U' F'
U' B2 U' B2 R U' F'
R B2 U' L D' F' R2
R B2 U' L F' D' R2
R B2 U' D' L F' R2
R B2 U' D' F' L R2
R B2 U' D' F' R2 L
R B2 U' F' L D' R2
R B2 U' F' D' L R2
R B2 U' F' D' R2 L
R B2 D' U' L F' R2
R B2 D' U' F' L R2
R B2 D' U' F' R2 L
R B2 D2 F2 U' F L
