L2 R' F B' U B
L2 R' B' F U B
R' L2 F B' U B
R' L2 B' F U B
R' U F B' U' F'
R' U B' F U' F'
L2 U' R' F B' U
L2 U' R' B' F U
L2 U' F R' B' U
U' R' U2 F B' U'
U' R' U2 B' F U'
L2 F R' B' U B
U F B2 L B U'
B' D2 F L' U' B
B2 F L B U' B
U B' D2 F L' U'
F B2 L B U' B
U B2 F L B U'
R2 U' R U2 F B' U'
R2 U' R U2 B' F U'
L2 U' R F R2 B' U
L2 U' R F B' R2 U
L2 U' R B' R2 F U
L2 U' R B' F R2 U
L2 U' R' D F B' U
L2 U' R' D B' F U
L2 U' R' D' F B' U
L2 U' R' D' B' F U
L2 U' R' D2 F B' U
L2 U' R' D2 B' F U
L2 U' R' F D B' U
L2 U' R' F D' B' U
L2 U' R' F D2 B' U
L2 U' R' F B' U D
L2 U' R' F B' U D'
L2 U' R' F B' U D2
L2 U' R' F B' D U
L2 U' R' F B' D' U
L2 U' R' F B' D2 U
L2 U' R' B' D F U
L2 U' R' B' D' F U
L2 U' R' B' D2 F U
L2 U' R' B' F U D
L2 U' R' B' F U D'
L2 U' R' B' F U D2
L2 U' R' B' F D U
L2 U' R' B' F D' U
L2 U' R' B' F D2 U
L2 U' R2 B' R F U
R U' R2 U2 F B' U'
R U' R2 U2 B' F U'
L2 U' D R' F B' U
L2 U' D R' B' F U
L2 U' D F R' B' U
F R B' U' D' F2 B
F R B' U' D' B F2
F R B' U' B D' F2
F R B' D' U' F2 B
F R B' D' U' B F2
F R B' D2 L2 U' B
L2 U' D' R' F B' U
L2 U' D' R' B' F U
L2 U' D' F R' B' U
L2 U' D2 R' F B' U
L2 U' D2 R' B' F U
L2 U' D2 F R' B' U
L2 U' F R B' R2 U
L2 U' F R' D B' U
L2 U' F R' D' B' U
L2 U' F R' D2 B' U
L2 U' F R' B' U D
L2 U' F R' B' U D'
L2 U' F R' B' U D2
L2 U' F R' B' D U
L2 U' F R' B' D' U
L2 U' F R' B' D2 U
L2 U' F R2 B' R U
L2 U' F D R' B' U
L2 U' F D' R' B' U
D2 R' L2 F B' U B
D' R' L2 F B' U B
L2 U' F D2 R' B' U
U' R' L2 F B' L2 U
D2 R' L2 B' F U B
D' R' L2 B' F U B
U' R' L2 B' F L2 U
L2 U' F' R' F2 B' U
L2 U' F' R' B' F2 U
D R' L2 F B' U B
D R' L2 B' F U B
D2 R' U F B' U' F'
D' R' U F B' U' F'
D2 R' U B' F U' F'
F' R' U F2 B' U' F2
D' R' U B' F U' F'
F' R' U B' F2 U' F2
D R' U F B' U' F'
D R' U B' F U' F'
U' R' U2 D F B' U'
U' R' U2 D B' F U'
U' R' U2 D' F B' U'
U' R' U2 D' B' F U'
U' R' U2 D2 F B' U'
U' R' U2 D2 B' F U'
U' R' U2 F D B' U'
U' R' U2 F D' B' U'
U' R' U2 F D2 B' U'
U' R' U2 F B' U' D
U' R' U2 F B' U' D'
U' R' U2 F B' U' D2
U' R' U2 F B' D U'
U' R' U2 F B' D' U'
U' R' U2 F B' D2 U'
U' R' U2 B' D F U'
U' R' U2 B' D' F U'
U' R' U2 B' D2 F U'
U' R' U2 B' F U' D
U' R' U2 B' F U' D'
U' R' U2 B' F U' D2
U' R' U2 B' F D U'
U' R' U2 B' F D' U'
U' R' U2 B' F D2 U'
U2 R' U2 F B' U' B
U R' U2 R F B' U'
U R' U2 R B' F U'
U2 R' U2 B' F U' B
U' R' D U2 F B' U'
U' R' D U2 B' F U'
U R' U2 B' R F U'
U' R' D' U2 F B' U'
U' R' D' U2 B' F U'
U' R' D2 U2 F B' U'
U' R' D2 U2 B' F U'
U' R' F' U2 F2 B' U'
U' R' F' U2 B' F2 U'
U' R' F2 U2 F' B' U'
U' R' F2 U2 B' F' U'
U' R' B U2 F B2 U'
U' R' B U2 B2 F U'
U' R' B2 U2 F B U'
U' R' B2 U2 B F U'
R' U2 F R2 B' U' B2
R' U2 F B' R2 U' B
R' U2 F B' U F' U2
F' R2 U F2 B' L' U'
F' R2 U B' F2 L' U'
R' U2 B' F R2 U' B
R' U2 B' F U F' U2
R' D L2 F B' U B
R' D L2 B' F U B
F' R2 F2 B' L' U' B
L2 D R' F B' U B
L2 D R' B' F U B
R' D U F B' U' F'
F' R2 B' F2 L' U' B
R' D U B' F U' F'
L2 D U' R' F B' U
L2 D U' R' B' F U
L2 D U' F R' B' U
L2 D F R' B' U B
U' D R' U2 F B' U'
U' D R' U2 B' F U'
D' U F B2 L B U'
D2 U F B2 L B U'
D U F B2 L B U'
U D F B2 L B U'
B2 U F L B U' B
R' D' L2 F B' U B
R' D' L2 B' F U B
D' U B' D2 F L' U'
D2 U B' D2 F L' U'
F2 U F' B2 L B U'
F' U F2 B2 L B U'
D' U B2 F L B U'
D U B' D2 F L' U'
D2 U B2 F L B U'
U D B' D2 F L' U'
L2 D' R' F B' U B
L2 D' R' B' F U B
D U B2 F L B U'
U D B2 F L B U'
R' D' U F B' U' F'
R' D' U B' F U' F'
F' U B2 L F2 B U'
F' U B2 L B F2 U'
F2 U B2 L F' B U'
F2 U B2 L B F' U'
F' U B2 F2 L B U'
L2 D' U' R' F B' U
L2 D' U' R' B' F U
F2 U B2 F' L B U'
L2 D' U' F R' B' U
R D' U F B' U' F
R D' U B' F U' F
U' D' R' U2 F B' U'
D' U' R' U2 F B' U'
U' D' R' U2 B' F U'
D' U' R' U2 B' F U'
D2 U' R' U2 F B' U'
D2 U' R' U2 B' F U'
L2 D' F R' B' U B
D U' R' U2 F B' U'
D U' R' U2 B' F U'
R D' F B' U' F B
R D' F B' U' B F
F' U' R' U2 F2 B' U'
F' U' R' U2 B' F2 U'
R D' F2 U F' B' U'
R D' F2 U B' F' U'
U D' F B2 L B U'
F U' R' U2 B' U' R
R D' B' F U' F B
R D' B' F U' B F
B2 U' F L B U' B
R' D2 L2 F B' U B
R' D2 L2 B' F U B
U D' B' D2 F L' U'
U D' B2 F L B U'
L2 D2 R' F B' U B
L2 D2 R' B' F U B
R' D2 U F B' U' F'
R' D2 U B' F U' F'
U' D2 R' U2 F B' U'
U' D2 R' U2 B' F U'
L2 D2 U' R' F B' U
L2 D2 U' R' B' F U
L2 D2 U' F R' B' U
R D2 U F B' L2 U'
R D2 U B' F L2 U'
L2 D2 F R' B' U B
U D2 F B2 L B U'
R D2 F B' L2 U' B
F U2 R' U2 B' U' B
U D2 B' D2 F L' U'
R D2 B' F L2 U' B
U D2 B2 F L B U'
B2 U2 F L B U' B
U F L U2 R' F' U
U F L' B2 L B' U'
U F L2 U2 R' F U
U F L2 U2 F R' U
L2 F R' D B' U B
L2 F R' D' B' U B
L2 F R' D2 B' U B
L2 F R' B' L U B
L2 F R' B' L' U B
L2 F R' B' L2 U B
L2 F R' B' U D B
L2 F R' B' U D' B
L2 F R' B' U D2 B
L2 F R' B' U B D
L2 F R' B' U B D'
L2 F R' B' U B D2
L2 F R' B' D U B
L2 F R' B' D' U B
L2 F R' B' D2 U B
B' D L' U' F B R
B' D L' U' B F R
U F U2 R' U2 B' U'
L2 F D R' B' U B
L2 F D' R' B' U B
U F D B2 L B U'
L2 F D2 R' B' U B
U F D' B2 L B U'
R2 F D2 B' L U' B
R F D' B' U' F2 B
R F D' B' U' B F2
D' F B2 L B U' B
D2 F B2 L B U' B
U F D2 B2 L B U'
R F D2 B' L2 U' B
D F B2 L B U' B
U F B' D L' U' F
R F B' U' D' F2 B
R F B' U' D' B F2
R F B' U' B D' F2
U F B2 L D B U'
U F B2 L D' B U'
U F B2 L D2 B U'
U F B2 L B U' D
U F B2 L B U' D'
U F B2 L B U' D2
U F B2 L B D U'
U F B2 L B D' U'
U F B2 L B D2 U'
U F B2 L' B L2 U'
R F B' D' U' F2 B
R F B' D' U' B F2
U F B2 L2 B L' U'
R F B' D2 L2 U' B
B' D F L' U' F B
B' D F L' U' B F
U F B2 D L B U'
U F B2 D' L B U'
U F B2 D2 L B U'
U' F' R' U2 F2 B' U'
U' F' R' U2 B' F2 U'
L2 F' R' F2 B' U B
L2 F' R' B' F2 U B
R' F' U F2 B' U' F2
R' F' U B' F2 U' F2
L2 F' U' R' F2 B' U
L2 F' U' R' B' F2 U
F D B2 L B U' B
L2 F' U' F2 R' B' U
U F' B2 L F2 B U'
U F' B2 L B F2 U'
B2 D' F L B R2 U'
R' F2 U F' B' U' F
R' F2 U B' F' U' F
R2 F2 U B' L' F' U'
F D' B2 L B U' B
L2 F2 U' F' R' B' U
R2 F2 B' L' F' U' B
U F2 B2 L F' B U'
U F2 B2 L B F' U'
B' D2 F L' U' D B
B' D2 F L' U' D' B
B' D2 F L' U' D2 B
B' D2 F L' U' B D
B' D2 F L' U' B D'
B' D2 F L' U' B D2
B' D2 F L' D U' B
B' D2 F L' D' U' B
B' D2 F L' D2 U' B
B' D2 F D L' U' B
B' D2 F D' L' U' B
B' D2 F D2 L' U' B
B2 F L D' B R2 U'
F D2 B2 L B U' B
R' B U2 F B2 U' B
B2 F L B U' D B
B2 F L B U' D' B
B2 F L B U' D2 B
B2 F L B U' B D
B2 F L B U' B D'
B2 F L B U' B D2
B2 F L B D U' B
B2 F L B D' U' B
B2 F L B D2 U' B
R' B U2 B2 F U' B
B2 F L' B L2 U' B
B2 F L2 B L' U' B
B' F U' B U' R' U
B' F D L' U' F B
B' F D L' U' B F
B2 F D' L B R2 U'
B2 F' L F2 B U' B
B2 F' L B F2 U' B
U B' D L' U' F R
D2 B' D2 F L' U' B
D' B' D2 F L' U' B
U B' D F L' U' F
D B' D2 F L' U' B
R B' D' F U' F B
R B' D' F U' B F
U B' D2 F L' U' D
U B' D2 F L' U' D'
U B' D2 F L' U' D2
U B' D2 F L' D U'
U B' D2 F L' D' U'
U B' D2 F L' D2 U'
U B' D2 F D L' U'
U B' D2 F D' L' U'
U B' D2 F D2 L' U'
R B' D2 F L2 U' B
F B' U' B U' R' U
U B' F D L' U' F
R2 B' F2 L' F' U' B
R B' F U' D' F2 B
R B' F U' D' B F2
R B' F U' B D' F2
L' B2 L F B' U' B'
R B' F D' U' F2 B
R B' F D' U' B F2
R B' F D2 L2 U' B
L' B2 L B' F U' B'
F B' D L' U' F B
F B' D L' U' B F
U B2 L D' B U' R'
F' B2 L F2 B U' B
F' B2 L B F2 U' B
B2 F2 L F' B U' B
B2 F2 L B F' U' B
F2 B2 L F' B U' B
F2 B2 L B F' U' B
F B2 L D' B R2 U'
F B2 L B U' D B
F B2 L B U' D' B
F B2 L B U' D2 B
F B2 L B U' B D
F B2 L B U' B D'
F B2 L B U' B D2
F B2 L B D U' B
F B2 L B D' U' B
F B2 L B D2 U' B
F B2 L' B L2 U' B
F B2 L2 B L' U' B
U' B2 U2 F L B U'
U2 B2 U' F L B U'
R' B2 U2 F B U' B
R' B2 U2 B F U' B
D2 B2 F L B U' B
U B2 D F L B U'
D' B2 F L B U' B
U B2 D' F L B U'
D B2 F L B U' B
U B2 D2 F L B U'
U B2 F L D B U'
U B2 F L D' B U'
U B2 F L D2 B U'
U B2 F L B U' D
U B2 F L B U' D'
U B2 F L B U' D2
U B2 F L B D U'
U B2 F L B D' U'
U B2 F L B D2 U'
U B2 F L' B L2 U'
U B2 F L2 B L' U'
F B2 D' L B R2 U'
U B2 F D L B U'
U B2 F D' L B U'
U B2 F D2 L B U'
U B2 F' L F2 B U'
U B2 F' L B F2 U'
U B2 F2 L F' B U'
U B2 F2 L B F' U'
