F' R U' F' R'
F' L R U' F' R'
F' L' R U' F' R'
F' L2 R U' F' R'
F' R L U' F' R'
F' R L' U' F' R'
F' R L2 U' F' R'
F' R U' D F' R'
F' R U' D' F' R'
F' R U' D2 F' R'
F' R U' F R' F2
F' R U' F' R' D
F' R U' F' R' D'
F' R U' F' R' D2
F' R U' F' D R'
F' R U' F' D' R'
F' R U' F' D2 R'
F' R U' F2 R' F
F' R D U' F' R'
F' R D' U' F' R'
F' R D2 U' F' R'
F' R F U' R' F2
F' R F U' F2 R'
F' R F2 U' R' F
F' R F2 U' F R'
R U' D F' R' B
R U' F' R' D B2
R D U' F' R' B
L' F' R U' F' R'
L2 F' R U' F' R'
L F' R U' F' R'
R F' R F U' F' R2
R F' R F' U' R2 F
R F' R F' U' F R2
R F' R F2 U' R2 F2
R F' R F2 U' F2 R2
U' F' U R U' F' R'
R F' R' D B2 D L2
R F' R' B2 D L2 B2
R F' R' B2 D B2 L2
U F' U' R F U' F2
F' D' R F L' U' R'
F' D' R F2 U' R' F'
F2 D' F L' R U' R'
F2 D' F R L' U' R'
F D' F2 R U' R' F'
R' F2 U L' B U2 B2
R' F2 U L' B U2 B2
R' F2 U B L' U2 B'
R F2 R2 U' R F B
R F2 R2 U' R B F
F' D2 L' R U' R' F
F' D2 L' R U' F R'
R F2 U' R F B R2
R F2 U' R B R2 F
R F2 U' R B F R2
R F2 U' R' F D2 B2
R F2 U' F R B R2
F' D2 R L' U' R' F
F' D2 R L' U' F R'
F D2 U' L' U F L
F' B U R B' U' F'
F' B U B' R U' F'
B' F' U B R U' F'
B2 F' U R B2 U' F'
F' B' U B R U' F'
B2 F' U B2 R U' F'
B F' U R B' U' F'
B F' U B' R U' F'
F' B2 U R B2 U' F'
F' B2 U B2 R U' F'
