B' L' F U B2
D' B' U L B2
B' L U2 B' U' B'
B' L D L2 F U
B' L' D F L2 U
B' L' F L U B2
B' L' F L' U B2
B' L' F L2 U B2
B' L' F U B2 D
B' L' F U B2 D'
B' L' F U B2 D2
B' L' F D L2 U
B L' F B2 U B2
B L' B2 F U B2
B' L2 U B L B
L2 U2 F U' B L
B' U B' D' B' L
L' D' F U B R'
L' F L B' U B2
L' F U D' B R'
L' F D' U B R'
B' D L2 F U L'
D' F B' U L B2
D F B' U L' B2
D F B' U B2 L'
B' D F L2 U L
B' D F L2 U L
D' F' B' U L B2
F' D' B' U L B2
B2 D' B U B2 L
F2 D' B' U L B2
F D' B' U L B2
D' F2 B' U L B2
B' F L' F U B2
D' B' L' U L2 B2
D' B' L' U B2 L2
D' B' L2 U L' B2
D' B' L2 U B2 L'
F' B' L' F U B2
F' B' L' F U B2
D' B' U L B2 D
D' B' U L B2 D'
D' B' U L B2 D2
B' F' L' F U B2
B' F' L' F U B2
D' B' U L' B2 L2
D' B' U L2 B2 L'
F2 B' L' F U B2
F2 B' L' F U B2
F B' L' F U B2
F B' L' F U B2
D' B' D L2 U L'
D' B' F U L B2
D' B' F' U L B2
D B' F U L' B2
D B' F U B2 L'
D' B' F2 U L B2
B' F2 L' F U B2
D B' F L U B2 L2
D B' F L2 U L B2
D' B' F2 L' U L2 B2
D' B' F2 L' U B2 L2
D' B' F2 L2 U L' B2
D' B' F2 L2 U B2 L'
F B' U B' D' B' L
D B' F U L B2 L2
D B' F U L' B2 D
D B' F U L' B2 D'
D B' F U L' B2 D2
B' F' D L2 F U L'
D B' F U B L' B
D B' F U B2 L' D
D B' F U B2 L' D'
D B' F U B2 L' D2
D B' F U B2 D L'
D B' F U B2 D' L'
D B' F U B2 D2 L'
D' B' F2 U L B2 D
D' B' F2 U L B2 D'
D' B' F2 U L B2 D2
D' B' F2 U L' B2 L2
D' B' F2 U L2 B2 L'
D B' F D L2 U L
D' B' F2 D L2 U L'
B' F' D F L2 U L
F' B' D L2 F U L'
F2 B' D L2 F U L'
F' B' D F L2 U L
D B' F' U' R U2 B2
F2 B' D F L2 U L
F B' D L2 F U L'
B2 F' D' B U B2 L
D' B2 L' B U L B'
F B' D F L2 U L
B' F2 L U2 B' U' B'
B' F2 L D L2 F U
B' F2 L' D F L2 U
B' F2 L' F L U B2
B' F2 L' F L' U B2
B' F2 L' F L2 U B2
B' F2 L' F U B2 D
B' F2 L' F U B2 D'
B' F2 L' F U B2 D2
B' F2 L' F D L2 U
B' F2 L2 U B L B
B F2 L' F B2 U B2
B F2 L' B2 F U B2
B' F2 U B' D' B' L
L B2 U B' R' D L2
L B2 U B' D L2 R'
L B2 U B' D R' L2
D2 B2 D B U B2 L
D' B2 D B U L B2
D' B2 D' B U L B2
B' F2 D L2 F U L'
B' F2 D F L2 U L
D' B2 D2 B U L B2
U B2 D' B' L D' R2
U B2 D' B' D' L R2
U B2 D' B' D' R2 L
D B2 D2 B U B2 L
F' B2 D' B U B2 L
B2 F2 D' B U B2 L
F2 B2 D' B U B2 L
F B2 D' B U B2 L
