U' L U2 L2 F' U'
U' L U2 F' L2 U'
U' L D2 R2 B U
U L' D' F' U' B2
U L' D2 F' R2 U'
B2 L' F' R' U' L
U L' F' U' D' B2
U L' F' U2 L2 U
U L' F' D' U' B2
U L' F' D2 R2 U'
L U2 L2 F' U' L
B2 U L' F' R' U'
L' D' F' U' L B2
L D2 R2 B U L'
L' D2 F' R2 U' L
L' F' U' D' L B2
L' F' U2 L2 U L'
L' F' D' U' L B2
L' F' D2 R2 U' L
L' D' F' U' L B2 D
L' D' F' U' L B2 D'
L' D' F' U' L B2 D2
L' D' F' U' L' B2 L2
L' D' F' U' L2 B2 L'
L' D' F' D' R2 U' L
F2 U' L2 B' L' R U
F2 U' L2 B' R L' U
F2 U' R L2 B' L' U
U' D2 L U2 L2 F' U'
U' D2 L U2 F' L2 U'
U' D2 L D2 R2 B U
U D2 L' D' F' U' B2
U D2 L' D2 F' R2 U'
U D2 L' F' U' D' B2
U D2 L' F' U2 L2 U
U D2 L' F' D' U' B2
U D2 L' F' D2 R2 U'
L D2 R2 D B U L'
L D2 R2 D' B U L'
L D2 R2 D2 B U L'
L D2 R2 B U L' D
L D2 R2 B U L' D'
L D2 R2 B U L' D2
L D2 R2 B U D L'
L D2 R2 B U D' L'
L D2 R2 B U D2 L'
L D2 R2 B D U L'
L D2 R2 B D' U L'
L D2 R2 B D2 U L'
L' D2 F R2 F2 U' L
L' D2 F' R2 U' L D
L' D2 F' R2 U' L D'
L' D2 F' R2 U' L D2
L' D2 F' R2 U' D L
L' D2 F' R2 U' D' L
L' D2 F' R2 U' D2 L
L' D2 F' R2 D U' L
L' D2 F' R2 D' U' L
L' D2 F' R2 D2 U' L
L' D2 F' U' L D B2
L' D2 F' U' D L B2
L' D2 F' D U' L B2
L' D2 F2 R2 F U' L
L D2 B R2 B U L'
L D2 B' R2 B U L'
L D2 B2 R2 B U L'
L' F U' D' L B2 R'
B2 D L' F' R' U' L
L' F D' U' L B2 R'
B2 D U L' F' R' U'
L2 F' L U' D' L B'
L2 F' L D' U' L B'
L' F' R U' D' L B2
L' F' R U2 L2 U L'
L' F' R D' U' L B2
L' F' R D2 R2 U' L
L' F' R' U' D' L B2
L' F' R' U2 L2 U L'
L' F' R' D' U' L B2
L' F' R' D2 R2 U' L
L' F' R2 U' D' L B2
L' F' R2 U2 L2 U L'
L' F' R2 D' U' L B2
L' F' R2 D2 R2 U' L
L' F' U D F2 U2 L
L' F' U' L U' L U
L' F' U' D L D2 B2
L' F' U' D' L B2 D
L' F' U' D' L B2 D'
L' F' U' D' L B2 D2
L' F' U' D' L' B2 L2
L' F' U' D' L2 B2 L'
L' F' U' D2 L D B2
L' F' U' B2 D' B2 L
L' F' U2 L2 U L' D
L' F' U2 L2 U L' D'
L' F' U2 L2 U L' D2
L' F' U2 L2 U D L'
L' F' U2 L2 U D' L'
L' F' U2 L2 U D2 L'
L' F' U2 L2 D U L'
L' F' U2 L2 D' U L'
L' F' U2 L2 D2 U L'
L' F' U2 F L2 U L'
L' F' U2 F' L2 U L'
L' F' U2 F2 L2 U L'
B2 D' L' F' R' U' L
L' F' D U F2 U2 L
L' F' D U' L D2 B2
L' F' D' R U' L B2
L' F' D' R' U' L B2
L' F' D' R2 U' L B2
L' F' D' U' L B2 D
L' F' D' U' L B2 D'
L' F' D' U' L B2 D2
L' F' D' U' L' B2 L2
L' F' D' U' L2 B2 L'
L2 F' D' L B2 U' B
L' F' D2 R2 U' L D
L' F' D2 R2 U' L D'
L' F' D2 R2 U' L D2
L' F' D2 R2 U' D L
L' F' D2 R2 U' D' L
L' F' D2 R2 U' D2 L
L' F' D2 R2 D U' L
L' F' D2 R2 D' U' L
L' F' D2 R2 D2 U' L
L' F' D2 U' L D B2
B2 D' U L' F' R' U'
L' F' B2 U' D' B2 L
L' F' B2 D' U' B2 L
R2 F2 L B R U L'
R F2 L R B U L'
L2 F2 R F L U' L
R F2 R L B U L'
R2 F2 U' L B R U
L' F2 U2 L2 B' U L'
B2 D2 L' F' R' U' L
B D2 L' F' R U' L
L' F2 D' F U' L B2
L' F2 D2 R2 F U' L
L' F2 D2 F R2 U' L
B2 D2 U L' F' R' U'
B D2 U L' F' R U'
F' D2 B' L U' L' B'
L B U2 L2 F' U' L
L B D2 R2 B U L'
U2 B' U' L' F' U' B'
L B' U2 L2 F' U' L
L B' D2 R2 B U L'
D2 B2 L' F' R' U' L
D' B2 L' F' R' U' L
D B2 L' F' R' U' L
R B2 L' R' F' U' L
U B2 L' F' R' B2 U'
D2 B2 U L' F' R' U'
D' B2 U L' F' R' U'
R B2 R' L' F' U' L
U' B2 U2 L' F' R' U'
D B2 U L' F' R' U'
U2 B2 U' L' F' R' U'
L B2 U2 L2 F' U' L
L' B2 D' F' U' B2 L
L' B2 F' U' D' B2 L
L B2 D2 R2 B U L'
L' B2 F' D' U' B2 L
