U L' U2 F B'
U L' U2 B' F
U L F L2 U2 F
U L F B' L2 U2
U L B' L2 U2 B'
U L B' F L2 U2
U L' U2 D F B'
U L' U2 D B' F
U L' U2 D' F B'
U L' U2 D' B' F
U L' U2 D2 F B'
U L' U2 D2 B' F
U L' U2 F D B'
U L' U2 F D' B'
U L' U2 F D2 B'
U L' U2 F B' D
U L' U2 F B' D'
U L' U2 F B' D2
U L' U2 B' D F
U L' U2 B' D' F
U L' U2 B' D2 F
U L' U2 B' F D
U L' U2 B' F D'
U L' U2 B' F D2
U L' D U2 F B'
U L' D U2 B' F
U L' D' U2 F B'
U L' D' U2 B' F
U L' D2 U2 F B'
U L' D2 U2 B' F
U L' F' U2 F2 B'
U L' F' U2 B' F2
U L' F2 U2 F' B'
U L' F2 U2 B' F'
U L' B U2 F B2
U L' B U2 B2 F
U L' B2 U2 F B
U L' B2 U2 B F
R' U L' U2 F B'
R' U L' U2 B' F
R2 U L' U2 F B'
R2 U L' U2 B' F
R U L' U2 F B'
R U L' U2 B' F
D2 U' F2 R F' B
D2 U' F2 R B F'
U' D2 F2 R F' B
U' D2 F2 R B F'
U' F2 D2 R F' B
U' F2 D2 R B F'
U B L' U2 F B'
U B L' U2 B' F
U B' L' U2 F B'
U B' L' U2 B' F
U B2 L' U2 F B'
U B2 L' U2 B' F
U L B' F L2 D' U2
U L B' F L2 D2 U2
U L B' F U2 D2 R2
U L B' F D2 U2 R2
U L B' F' L2 F2 U2
U L B' F2 L2 F' U2
U L B2 L2 B U2 B2
U L B2 F L2 B U2
U' L' R U2 F L B
F L' R F' U' F2 R
F L' R F2 U' F' R
U' L' R' F' U2 L F2
U' L' R' F' U2 F2 L
U L' U R U F B'
U L' U R U B' F
U L' U R' U F B'
U L' U R' U B' F
U L' U R2 U F B'
U L' U R2 U B' F
U L' U' R U' F B'
U L' U' R U' B' F
U L' U' R' U' F B'
U L' U' R' U' B' F
U L' U' R2 U' F B'
U L' U' R2 U' B' F
U' L' U2 F L' B' L2
U L' U2 R F R' B'
U L' U2 R' B' R F
U L' U2 R2 F R2 B'
U L' U2 R2 F B' R2
U L' U2 R2 B' R2 F
U L' U2 R2 B' F R2
U L' U2 D F D B'
U L' U2 D F D' B'
U L' U2 D F D2 B'
U L' U2 D F B' D
U L' U2 D F B' D'
U L' U2 D F B' D2
U L' U2 D B' D F
U L' U2 D B' D' F
U L' U2 D B' D2 F
U L' U2 D B' F D
U L' U2 D B' F D'
U L' U2 D B' F D2
U L' U2 D' F D B'
U L' U2 D' F D' B'
U L' U2 D' F D2 B'
U L' U2 D' F B' D
U L' U2 D' F B' D'
U L' U2 D' F B' D2
U L' U2 D' B' D F
U L' U2 D' B' D' F
U L' U2 D' B' D2 F
U L' U2 D' B' F D
U L' U2 D' B' F D'
U L' U2 D' B' F D2
U L' U2 D2 F D B'
U L' U2 D2 F D' B'
U L' U2 D2 F D2 B'
U L' U2 D2 F B' D
U L' U2 D2 F B' D'
U L' U2 D2 F B' D2
U L' U2 D2 B' D F
U L' U2 D2 B' D' F
U L' U2 D2 B' D2 F
U L' U2 D2 B' F D
U L' U2 D2 B' F D'
U L' U2 D2 B' F D2
U L' U2 F R' B' R
U L' U2 F R2 B' R2
U L' U2 F D B' D
U L' U2 F D B' D'
U L' U2 F D B' D2
U L' U2 F D' B' D
U L' U2 F D' B' D'
U L' U2 F D' B' D2
U L' U2 F D2 B' D
U L' U2 F D2 B' D'
U L' U2 F D2 B' D2
U L' U2 F B2 D B
U L' U2 F B2 D' B
U L' U2 F B2 D2 B
U L' U2 F2 D F' B'
U L' U2 F2 D B' F'
U L' U2 F2 D' F' B'
U L' U2 F2 D' B' F'
U L' U2 F2 D2 F' B'
U L' U2 F2 D2 B' F'
U L' U2 F2 B' D F'
U L' U2 F2 B' D' F'
U L' U2 F2 B' D2 F'
U L' U2 B' R F R'
U L' U2 B' R2 F R2
U L' U2 B' D F D
U L' U2 B' D F D'
U L' U2 B' D F D2
U L' U2 B' D' F D
U L' U2 B' D' F D'
U L' U2 B' D' F D2
U L' U2 B' D2 F D
U L' U2 B' D2 F D'
U L' U2 B' D2 F D2
U L' U2 B' F2 D F'
U L' U2 B' F2 D' F'
U L' U2 B' F2 D2 F'
U L' U2 B2 D F B
U L' U2 B2 D B F
U L' U2 B2 D' F B
U L' U2 B2 D' B F
U L' U2 B2 D2 F B
U L' U2 B2 D2 B F
U L' U2 B2 F D B
U L' U2 B2 F D' B
U L' U2 B2 F D2 B
U L' D U2 F D B'
U L' D U2 F D' B'
U L' D U2 F D2 B'
U L' D U2 F B' D
U L' D U2 F B' D'
U L' D U2 F B' D2
U L' D U2 B' D F
U L' D U2 B' D' F
U L' D U2 B' D2 F
U L' D U2 B' F D
U L' D U2 B' F D'
U L' D U2 B' F D2
U L' D F' U2 F2 B'
U L' D F' U2 B' F2
U L' D F2 U2 F' B'
U L' D F2 U2 B' F'
U L' D B U2 F B2
U L' D B U2 B2 F
U L' D B2 U2 F B
U L' D B2 U2 B F
U L' D' U2 F D B'
U L' D' U2 F D' B'
U L' D' U2 F D2 B'
U L' D' U2 F B' D
U L' D' U2 F B' D'
U L' D' U2 F B' D2
U L' D' U2 B' D F
U L' D' U2 B' D' F
U L' D' U2 B' D2 F
U L' D' U2 B' F D
U L' D' U2 B' F D'
U L' D' U2 B' F D2
U L' D' F' U2 F2 B'
U L' D' F' U2 B' F2
U L' D' F2 U2 F' B'
U L' D' F2 U2 B' F'
U L' D' B U2 F B2
U L' D' B U2 B2 F
U L' D' B2 U2 F B
U L' D' B2 U2 B F
U L' D2 U2 F D B'
U L' D2 U2 F D' B'
U L' D2 U2 F D2 B'
U L' D2 U2 F B' D
U L' D2 U2 F B' D'
U L' D2 U2 F B' D2
U L' D2 U2 B' D F
U L' D2 U2 B' D' F
U L' D2 U2 B' D2 F
U L' D2 U2 B' F D
U L' D2 U2 B' F D'
U L' D2 U2 B' F D2
U L' D2 F' U2 F2 B'
U L' D2 F' U2 B' F2
U L' D2 F2 U2 F' B'
U L' D2 F2 U2 B' F'
U L' D2 B U2 F B2
U L' D2 B U2 B2 F
U L' D2 B2 U2 F B
U L' D2 B2 U2 B F
U' L' F' L F2 R B
F L' F' U' F2 R B
U L' F' U2 F2 D B'
U L' F' U2 F2 D' B'
U L' F' U2 F2 D2 B'
U L' F' U2 F2 B' D
U L' F' U2 F2 B' D'
U L' F' U2 F2 B' D2
U L' F' U2 B' F2 D
U L' F' U2 B' F2 D'
U L' F' U2 B' F2 D2
U L' F' D2 B2 U2 B
U L' F' B U2 F2 B2
U L' F' B U2 B2 F2
U L' F' B2 U2 F2 B
U L' F' B2 U2 B F2
U L' F2 U2 D F' B'
U L' F2 U2 D B' F'
U L' F2 U2 D' F' B'
U L' F2 U2 D' B' F'
U L' F2 U2 D2 F' B'
U L' F2 U2 D2 B' F'
U L' F2 U2 F' D B'
U L' F2 U2 F' D' B'
U L' F2 U2 F' D2 B'
U L' F2 U2 F' B' D
U L' F2 U2 F' B' D'
U L' F2 U2 F' B' D2
U L' F2 U2 B' D F'
U L' F2 U2 B' D' F'
U L' F2 U2 B' D2 F'
U L' F2 U2 B' F' D
U L' F2 U2 B' F' D'
U L' F2 U2 B' F' D2
U L' F2 D U2 F' B'
U L' F2 D U2 B' F'
U L' F2 D' U2 F' B'
U L' F2 D' U2 B' F'
U L' F2 D2 U2 F' B'
U L' F2 D2 U2 B' F'
U L' F2 B U2 F' B2
U L' F2 B U2 B2 F'
U L' F2 B2 U2 F' B
U L' F2 B2 U2 B F'
U L' B U2 F B2 D
U L' B U2 F B2 D'
U L' B U2 F B2 D2
U L' B U2 B2 D F
U L' B U2 B2 D' F
U L' B U2 B2 D2 F
U L' B U2 B2 F D
U L' B U2 B2 F D'
U L' B U2 B2 F D2
U L' B D2 F2 U2 F'
U L' B F' U2 F2 B2
U L' B F' U2 B2 F2
U L' B F2 U2 F' B2
U L' B F2 U2 B2 F'
U' L' B2 R' F' U2 F2
U L' B2 U2 D F B
U L' B2 U2 D B F
U L' B2 U2 D' F B
U L' B2 U2 D' B F
U L' B2 U2 D2 F B
U L' B2 U2 D2 B F
U L' B2 U2 F D B
U L' B2 U2 F D' B
U L' B2 U2 F D2 B
U L' B2 U2 F B D
U L' B2 U2 F B D'
U L' B2 U2 F B D2
U L' B2 U2 B D F
U L' B2 U2 B D' F
U L' B2 U2 B D2 F
U L' B2 U2 B F D
U L' B2 U2 B F D'
U L' B2 U2 B F D2
U L' B2 D U2 F B
U L' B2 D U2 B F
U L' B2 D' U2 F B
U L' B2 D' U2 B F
U L' B2 D2 U2 F B
U L' B2 D2 U2 B F
U L' B2 F' U2 F2 B
U L' B2 F' U2 B F2
U L' B2 F2 U2 F' B
U L' B2 F2 U2 B F'
R' U L F L2 U2 F
R' U L F B' L2 U2
R' U L B' L2 U2 B'
R' U L B' F L2 U2
R2 U L F L2 U2 F
R2 U L F B' L2 U2
L U L F L U2 F
R' U L' U2 D F B'
R' U L' U2 D B' F
R' U L' U2 D' F B'
R' U L' U2 D' B' F
R' U L' U2 D2 F B'
R' U L' U2 D2 B' F
R' U L' U2 F D B'
R' U L' U2 F D' B'
R' U L' U2 F D2 B'
R' U L' U2 F B' D
R' U L' U2 F B' D'
R' U L' U2 F B' D2
R U L F L2 U2 F
R' U L' U2 B' D F
R' U L' U2 B' D' F
R' U L' U2 B' D2 F
R' U L' U2 B' F D
R' U L' U2 B' F D'
R' U L' U2 B' F D2
R2 U L B' L2 U2 B'
R U L F B' L2 U2
R' U L' D U2 F B'
R' U L' D U2 B' F
R2 U L B' F L2 U2
R' U L' D' U2 F B'
R' U L' D' U2 B' F
R' U L' D2 U2 F B'
R' U L' D2 U2 B' F
R U L B' L2 U2 B'
R U L B' F L2 U2
R' U L' F' U2 F2 B'
R' U L' F' U2 B' F2
R' U L' F2 U2 F' B'
R' U L' F2 U2 B' F'
R' U L' B U2 F B2
R' U L' B U2 B2 F
R2 U L' U2 D F B'
R2 U L' U2 D B' F
R2 U L' U2 D' F B'
R2 U L' U2 D' B' F
R2 U L' U2 D2 F B'
R2 U L' U2 D2 B' F
R2 U L' U2 F D B'
R2 U L' U2 F D' B'
R2 U L' U2 F D2 B'
R2 U L' U2 F B' D
R2 U L' U2 F B' D'
R2 U L' U2 F B' D2
R2 U L' U2 B' D F
R2 U L' U2 B' D' F
R2 U L' U2 B' D2 F
R2 U L' U2 B' F D
R2 U L' U2 B' F D'
R2 U L' U2 B' F D2
R2 U L' D U2 F B'
R2 U L' D U2 B' F
R' U L' B2 U2 F B
R' U L' B2 U2 B F
R2 U L' D' U2 F B'
R2 U L' D' U2 B' F
R2 U L' D2 U2 F B'
R2 U L' D2 U2 B' F
R U L' U2 D F B'
R U L' U2 D B' F
R U L' U2 D' F B'
R U L' U2 D' B' F
R U L' U2 D2 F B'
R U L' U2 D2 B' F
R U L' U2 F D B'
R U L' U2 F D' B'
R U L' U2 F D2 B'
R U L' U2 F B' D
R U L' U2 F B' D'
R U L' U2 F B' D2
R U L' U2 B' D F
R U L' U2 B' D' F
R U L' U2 B' D2 F
R U L' U2 B' F D
R U L' U2 B' F D'
R U L' U2 B' F D2
R U L' D U2 F B'
R U L' D U2 B' F
R2 U L' F' U2 F2 B'
R2 U L' F' U2 B' F2
R U L' D' U2 F B'
R U L' D' U2 B' F
R2 U L' F2 U2 F' B'
R2 U L' F2 U2 B' F'
R U L' D2 U2 F B'
R U L' D2 U2 B' F
R2 U L' B U2 F B2
R2 U L' B U2 B2 F
U L2 F L U2 F B'
U L2 F L U2 B' F
R U L' F' U2 F2 B'
R U L' F' U2 B' F2
R2 U L' B2 U2 F B
R2 U L' B2 U2 B F
R U L' F2 U2 F' B'
R U L' F2 U2 B' F'
R U L' B U2 F B2
R U L' B U2 B2 F
R U L' B2 U2 F B
R U L' B2 U2 B F
U L2 F' L U2 F B'
U L2 F' L U2 B' F
U L2 F2 L U2 F B'
U L2 F2 L U2 B' F
U' R L' U2 F L B
F R L' F' U' F2 R
F R L' F2 U' F' R
D2 R U L' U2 F' B'
D2 R U L' U2 B' F'
U2 R U' L' U2 F B'
U2 R U' L' U2 B' F
R' U B L' U2 F B'
R' U B L' U2 B' F
D2 R U' F2 R F B
D2 R U' F2 R B F
R2 U B L' U2 F B'
R2 U B L' U2 B' F
U' R U2 L' U2 F B
U' R U2 L' U2 B F
R U B L' U2 F B'
R U B L' U2 B' F
R' U B' L' U2 F B'
R' U B' L' U2 B' F
R2 U B' L' U2 F B'
R2 U B' L' U2 B' F
L U B' L F L U2
R U B' L' U2 F B'
R U B' L' U2 B' F
R' U B2 L' U2 F B'
R' U B2 L' U2 B' F
R2 U B2 L' U2 F B'
R2 U B2 L' U2 B' F
F R D F L' U' R
R U B2 L' U2 F B'
R U B2 L' U2 B' F
U' R D2 F2 B R F'
U' R D2 B F2 R F'
F R D2 F U' R F'
F R F L' U' R F
F R F U' D2 R F'
F R F D2 U' R F'
F R F' U L' U2 F
U' R F2 D2 B R F'
U' R F2 B D2 R F'
L U' R B D2 R2 F2
L U' R B D2 F2 R2
U' R B U2 L' U2 F
U' R B D2 F2 R F'
U' R B F2 D2 R F'
R' U' D2 F2 R F' B
R' U' D2 F2 R B F'
R2 U' D2 F2 R F' B
R2 U' D2 F2 R B F'
U' R' L' F' U2 L F2
U' R' L' F' U2 F2 L
R U' D2 F2 R F' B
R U' D2 F2 R B F'
D2 R' U L' B U2 B2
D2 R' U B L' U2 B'
R' U' F2 D2 R F' B
R' U' F2 D2 R B F'
U2 R' U' L' U2 F B'
U2 R' U' L' U2 B' F
R2 U' F2 D2 R F' B
R2 U' F2 D2 R B F'
U' R' U2 L' F' U2 F2
R U' F2 D2 R F' B
R U' F2 D2 R B F'
L' U2 R' U R F B
L' U2 R' U R B F
U R' F2 L' R F B'
U R' F2 L' R B' F
U R' F2 L' B' R F
U R' F2 R L' F B'
U R' F2 R L' B' F
U2 R2 U' L' U2 F B'
U2 R2 U' L' U2 B' F
D2 U F2 U2 R F' B
D2 U F2 U2 R B F'
D2 U' R F' D2 B R'
D2 U' R F2 B R F
D2 U' R B F2 R F
D2 U' F' R F' B R
D2 U' F' R B F' R
D2 U' F2 R D F' B
D2 U' F2 R D B F'
D2 U' F2 R D' F' B
D2 U' F2 R D' B F'
D2 U' F2 R D2 F' B
D2 U' F2 R D2 B F'
D2 U' F2 R F' D B
D2 U' F2 R F' D' B
D2 U' F2 R F' D2 B
D2 U' F2 R F' B D
D2 U' F2 R F' B D'
D2 U' F2 R F' B D2
D2 U' F2 R B D F'
D2 U' F2 R B D' F'
D2 U' F2 R B D2 F'
D2 U' F2 R B F' D
D2 U' F2 R B F' D'
D2 U' F2 R B F' D2
D' U' F2 D' R F' B
D' U' F2 D' R B F'
U' D' F2 D' R F' B
U' D' F2 D' R B F'
D2 U' F2 B R F' B
D2 U' F2 B R B F'
D2 U' F2 B' R F' B
D2 U' F2 B' R B F'
D2 U' F2 B2 R F' B
D2 U' F2 B2 R B F'
D2 U' B F2 R F' B
D2 U' B F2 R B F'
D2 U' B' F2 R F' B
D2 U' B' F2 R B F'
D2 U' B2 F2 R F' B
D2 U' B2 F2 R B F'
U' D2 R F' D2 B R'
U' D2 R F2 B R F
U' D2 R B F2 R F
R' D2 U' F2 R F' B
R' D2 U' F2 R B F'
R2 D2 U' F2 R F' B
R2 D2 U' F2 R B F'
F' U2 L' U F' R F2
R D2 U' F2 R F' B
R D2 U' F2 R B F'
U' D2 F' R F' B R
U' D2 F' R B F' R
U' D2 F2 R D F' B
U' D2 F2 R D B F'
U' D2 F2 R D' F' B
U' D2 F2 R D' B F'
U' D2 F2 R D2 F' B
U' D2 F2 R D2 B F'
U' D2 F2 R F' D B
U' D2 F2 R F' D' B
U' D2 F2 R F' D2 B
U' D2 F2 R F' B D
U' D2 F2 R F' B D'
U' D2 F2 R F' B D2
U' D2 F2 R B D F'
U' D2 F2 R B D' F'
U' D2 F2 R B D2 F'
U' D2 F2 R B F' D
U' D2 F2 R B F' D'
U' D2 F2 R B F' D2
U' D2 F2 B R F' B
U' D2 F2 B R B F'
U' D2 F2 B' R F' B
U' D2 F2 B' R B F'
U' D2 F2 B2 R F' B
U' D2 F2 B2 R B F'
U' D2 B F2 R F' B
U' D2 B F2 R B F'
U D2 F2 U2 R F' B
U D2 F2 U2 R B F'
U' D2 B' F2 R F' B
U' D2 B' F2 R B F'
U' D2 B2 F2 R F' B
U' D2 B2 F2 R B F'
U' F L' F L R B
U' F L' F R L B
D F L' R F U' R
U F L F B' U2 R
U F L B' F U2 R
U F L' U2 F B' R'
U F L' U2 B' R' F
U F L' U2 B' F R'
D2 F R F U' R F2
D F R L' F U' R
L F R U L2 U2 F
L F R U B' L2 U2
U' F D2 F R F' B
U' F D2 F R B F'
F D R F L' U' R
U F' L F B' L' U2
U F' L B' F L' U2
F' D F2 R F' L' U'
U' F' D2 R F' B R'
U' F' D2 R B F' R'
U' F2 L' R F L B
U' F2 R L' F L B
U F2 L' U2 R F B'
U F2 L' U2 R B' F
U F2 L' U2 B' R F
U' F2 R B L' F L
U F2 U2 D2 R F' B
U F2 U2 D2 R B F'
U' F2 D2 R D F' B
U' F2 D2 R D B F'
U' F2 D2 R D' F' B
U' F2 D2 R D' B F'
U' F2 D2 R D2 F' B
U' F2 D2 R D2 B F'
U' F2 D2 R F' D B
U' F2 D2 R F' D' B
U' F2 D2 R F' D2 B
U' F2 D2 R F' B D
U' F2 D2 R F' B D'
U' F2 D2 R F' B D2
U' F2 D2 R B D F'
U' F2 D2 R B D' F'
U' F2 D2 R B D2 F'
U' F2 D2 R B F' D
U' F2 D2 R B F' D'
U' F2 D2 R B F' D2
U' F2 D2 B R F' B
U' F2 D2 B R B F'
U' F2 D2 B' R F' B
U' F2 D2 B' R B F'
U' F2 D2 B2 R F' B
U' F2 D2 B2 R B F'
U' F2 B D2 R F' B
U' F2 B D2 R B F'
F D2 R F U' R F2
U' F2 B' D2 R F' B
U' F2 B' D2 R B F'
U F2 D2 U2 R F' B
U F2 D2 U2 R B F'
U' F2 B2 D2 R F' B
U' F2 B2 D2 R B F'
U2 B L U' L2 U2 F
U2 B L U' B' L2 U2
U B L F L2 U2 F
U B L F B' L2 U2
U B L B' L2 U2 B'
U B L B' F L2 U2
U B L' U2 D F B'
U B L' U2 D B' F
U B L' U2 D' F B'
U B L' U2 D' B' F
U B L' U2 D2 F B'
U B L' U2 D2 B' F
U B L' U2 F D B'
U B L' U2 F D' B'
U B L' U2 F D2 B'
U B L' U2 F B' D
U B L' U2 F B' D'
U B L' U2 F B' D2
U B L' U2 B' D F
U B L' U2 B' D' F
U B L' U2 B' D2 F
U B L' U2 B' F D
U B L' U2 B' F D'
U B L' U2 B' F D2
U B L' D U2 F B'
U B L' D U2 B' F
U B L' D' U2 F B'
U B L' D' U2 B' F
U B L' D2 U2 F B'
U B L' D2 U2 B' F
U B L' F' U2 F2 B'
U B L' F' U2 B' F2
U B L' F2 U2 F' B'
U B L' F2 U2 B' F'
U B L' B U2 F B2
U B L' B U2 B2 F
U B L' B2 U2 F B
U B L' B2 U2 B F
U' B U2 L' U2 F B'
U' B U2 L' U2 B' F
U' B D2 F2 R F' B
U' B D2 F2 R B F'
U' B F2 D2 R F' B
U' B F2 D2 R B F'
U B' L F L2 U2 F
U B' L F B' L2 U2
U B' L B' L2 U2 B'
U B' L B' F L2 U2
U B' L' U2 D F B'
U B' L' U2 D B' F
U B' L' U2 D' F B'
U B' L' U2 D' B' F
U B' L' U2 D2 F B'
U B' L' U2 D2 B' F
U B' L' U2 F D B'
U B' L' U2 F D' B'
U B' L' U2 F D2 B'
U B' L' U2 F B' D
U B' L' U2 F B' D'
U B' L' U2 F B' D2
U B' L' U2 B' D F
U B' L' U2 B' D' F
U B' L' U2 B' D2 F
U B' L' U2 B' F D
U B' L' U2 B' F D'
U B' L' U2 B' F D2
U B' L' D U2 F B'
U B' L' D U2 B' F
U B' L' D' U2 F B'
U B' L' D' U2 B' F
U B' L' D2 U2 F B'
U B' L' D2 U2 B' F
U B' L' F' U2 F2 B'
U B' L' F' U2 B' F2
U B' L' F2 U2 F' B'
U B' L' F2 U2 B' F'
U B' L' B U2 F B2
U B' L' B U2 B2 F
U B' L' B2 U2 F B
U B' L' B2 U2 B F
U' B' U2 L' U2 F B'
U' B' U2 L' U2 B' F
U' B' D2 F2 R F' B
U' B' D2 F2 R B F'
U' B' F2 D2 R F' B
U' B' F2 D2 R B F'
U B2 L F L2 U2 F
U B2 L F B' L2 U2
U B2 L B' L2 U2 B'
U B2 L B' F L2 U2
U B2 L' U2 D F B'
U B2 L' U2 D B' F
U B2 L' U2 D' F B'
U B2 L' U2 D' B' F
U B2 L' U2 D2 F B'
U B2 L' U2 D2 B' F
U B2 L' U2 F D B'
U B2 L' U2 F D' B'
U B2 L' U2 F D2 B'
U B2 L' U2 F B' D
U B2 L' U2 F B' D'
U B2 L' U2 F B' D2
U B2 L' U2 B' D F
U B2 L' U2 B' D' F
U B2 L' U2 B' D2 F
U B2 L' U2 B' F D
U B2 L' U2 B' F D'
U B2 L' U2 B' F D2
U B2 L' D U2 F B'
U B2 L' D U2 B' F
U B2 L' D' U2 F B'
U B2 L' D' U2 B' F
U B2 L' D2 U2 F B'
U B2 L' D2 U2 B' F
U B2 L' F' U2 F2 B'
U B2 L' F' U2 B' F2
U B2 L' F2 U2 F' B'
U B2 L' F2 U2 B' F'
U B2 L' B U2 F B2
U B2 L' B U2 B2 F
U B2 L' B2 U2 F B
U B2 L' B2 U2 B F
U' B2 U2 L' U2 F B'
U' B2 U2 L' U2 B' F
U' B2 D2 F2 R F' B
U' B2 D2 F2 R B F'
U' B2 F2 D2 R F' B
U' B2 F2 D2 R B F'
