B L U F U
B L R U F U
B L R' U F U
B L R2 U F U
B L U D F U
B L U D' F U
B L U D2 F U
B L U F U D
B L U F U D'
B L U F U D2
B L U F D U
B L U F D' U
B L U F D2 U
B L D U F U
B L D' U F U
B L D2 U F U
B R L U F U
B R' L U F U
B R2 L U F U
L2 D' B L R' U2
L2 D' B R' L U2
B D L U F U
B D' L U F U
B D2 L U F U
L' B L U' B2 U'
L' B L U2 D L2
L' B L D U2 L2
L' B L D' R2 U2
D2 B L U F U
D' B L U F U
L2 B L U' B' U'
D B L U F U
L' B U' B2 U' R'
L' B D L U2 L
L' B D' L R2 U2
L' B D' R2 L U2
B L' U' B' D2 U' R2
B L' D U' F2 B' U'
B L' D U' B' F2 U'
B L' D2 U' B' U' R2
D' L' B L U' B2 U'
D' L' B L U2 D L2
D' L' B L D U2 L2
D2 L' B L U' B2 U'
D2 L' B L U2 D L2
D' L' B L D' R2 U2
D2 L' B L D U2 L2
D2 L' B L D' R2 U2
D L' B L U' B2 U'
D L' B L U2 D L2
D L' B L D U2 L2
D L' B L D' R2 U2
D' L' B U' B2 U' R'
D2 L' B U' B2 U' R'
D' L' B D L U2 L
D2 L' B D L U2 L
D' L' B D' L R2 U2
D2 L' B D' L R2 U2
D' L' B D' R2 L U2
D2 L' B D' R2 L U2
D L' B U' B2 U' R'
D L' B D L U2 L
D L' B D' L R2 U2
D L' B D' R2 L U2
B' L' B2 L U' B U'
L R2 F' D' L2 B' R'
D2 L2 D' B L R' U2
D2 L2 D' B R' L U2
D' L2 D' B L R' U2
D' L2 D' B R' L U2
D L2 D' B L R' U2
D L2 D' B R' L U2
R' U R B U L F
D2 L2 B L U' B' U'
D' L2 B L U' B' U'
R U R B U L F'
R U R B U F' L
D L2 B L U' B' U'
B' L2 B2 L U' B' U'
B R L U D F U
B R L U D' F U
B R L U D2 F U
B R L U F U D
B R L U F U D'
B R L U F U D2
B R L U F D U
B R L U F D' U
B R L U F D2 U
B R L D U F U
B R L D' U F U
B R L D2 U F U
R' U F R B U L
L U F U' B L U2
R' U B U L F R
B R D L U F U
B R D' L U F U
U R D B R' U L
B R D2 L U F U
R2 U' L F U' F2 L'
U R B R U L F'
U R B R U F' L
B2 R B' L U F U
B R' L U D F U
B R' L U D' F U
B R' L U D2 F U
B R' L U F U D
B R' L U F U D'
B R' L U F U D2
B R' L U F D U
B R' L U F D' U
B R' L U F D2 U
B R' L D U F U
B R' L D' U F U
B R' L D2 U F U
R2 U' F2 U' F L' R
R2 U' F2 U' F R L'
B R' D L U F U
B R' D' L U F U
B R' D2 L U F U
B2 R' B' L U F U
B R2 L U D F U
B R2 L U D' F U
B R2 L U D2 F U
B R2 L U F U D
B R2 L U F U D'
B R2 L U F U D2
B R2 L U F D U
B R2 L U F D' U
B R2 L U F D2 U
B R2 L D U F U
B R2 L D' U F U
B R2 L D2 U F U
B R2 D L U F U
B R2 D' L U F U
U2 R2 D' F L' R F2
U2 R2 D' F R L' F2
B R2 D2 L U F U
B2 R2 B' L U F U
L' D B L U' B2 U'
L' D B L U2 D L2
L' D B L D U2 L2
L' D B L D' R2 U2
L' D B U' B2 U' R'
L' D B D L U2 L
L' D B D' L R2 U2
L' D B D' R2 L U2
L2 D' L B L R' U2
L2 D' L B R' L U2
L2 D' L' B L R' U2
L2 D' L' B R' L U2
L2 D' L2 B L R' U2
L2 D' L2 B R' L U2
L' D' B L U' B2 U'
L' D' B L U2 D L2
L' D' B L D U2 L2
L' D' B L D' R2 U2
L2 D' B L R' U2 D
L2 D' B L R' U2 D'
L2 D' B L R' U2 D2
L2 D' B L R' D U2
L2 D' B L R' D' U2
L2 D' B L R' D2 U2
L2 D' B L D R' U2
L2 D' B L D' R' U2
L2 D' B L D2 R' U2
L' D' B U' B2 U' R'
L' D' B D L U2 L
L' D' B D' L R2 U2
L' D' B D' R2 L U2
L2 D' B R' L U2 D
L2 D' B R' L U2 D'
L2 D' B R' L U2 D2
L2 D' B R' L D U2
L2 D' B R' L D' U2
L2 D' B R' L D2 U2
L2 D' B R' D L U2
L2 D' B R' D' L U2
L2 D' B R' D2 L U2
L2 D' B D L R' U2
L2 D' B D R' L U2
L2 D' B D' L R' U2
L2 D' B D' R' L U2
L2 D' B D2 L R' U2
L2 D' B D2 R' L U2
B U' F U L R U2
B U' F U R L U2
B U' F' U L U2 L2
B U' F' U' L' D2 R2
B U' F' B2 U' L' R'
B U' F' B2 U' R' L'
B U' B2 F' U' L' R'
B U' B2 F' U' R' L'
L' D2 B L U' B2 U'
L' D2 B L U2 D L2
L' D2 B L D U2 L2
L' D2 B L D' R2 U2
L' D2 B U' B2 U' R'
L' D2 B D L U2 L
L' D2 B D' L R2 U2
L' D2 B D' R2 L U2
U' F U B L R U2
U' F U B R L U2
B D L R U F U
B D L R' U F U
B D L R2 U F U
B D L U D F U
B D L U D' F U
B D L U D2 F U
B D L U F U D
B D L U F U D'
B D L U F U D2
B D L U F D U
B D L U F D' U
B D L U F D2 U
B D L D U F U
B D L D' U F U
B D L D2 U F U
B D R L U F U
B D R' L U F U
B D R2 L U F U
R2 F' L2 D' B' L R'
R2 F' L2 D' B' R' L
U' F' U B L U2 L2
B D' L R U F U
B D' L R' U F U
B D' L R2 U F U
B D' L U D F U
B D' L U D' F U
B D' L U D2 F U
B D' L U F U D
B D' L U F U D'
B D' L U F U D2
B D' L U F D U
B D' L U F D' U
B D' L U F D2 U
B D' L D U F U
B D' L D' U F U
B D' L D2 U F U
B D' R L U F U
B D' R' L U F U
B D' R2 L U F U
B D2 L R U F U
B D2 L R' U F U
B D2 L R2 U F U
B D2 L U D F U
B D2 L U D' F U
B D2 L U D2 F U
B D2 L U F U D
B D2 L U F U D'
B D2 L U F U D2
B D2 L U F D U
B D2 L U F D' U
B D2 L U F D2 U
B D2 L D U F U
B D2 L D' U F U
B D2 L D2 U F U
B D2 R L U F U
B D2 R' L U F U
B D2 R2 L U F U
D2 B L R U F U
D' B L R U F U
D2 B L R' U F U
D' B L R' U F U
D2 B L R2 U F U
R' B L U F R U
D' B L R2 U F U
L' B L R U' B2 U'
L' B L R U2 D L2
L' B L R D U2 L2
L' B L R D' R2 U2
D2 B L U D F U
D2 B L U D' F U
D2 B L U D2 F U
D2 B L U F U D
D2 B L U F U D'
D2 B L U F U D2
D2 B L U F D U
D2 B L U F D' U
D2 B L U F D2 U
D' B L U D F U
D' B L U D' F U
L' B L R' U' B2 U'
D' B L U D2 F U
L' B L R' U2 D L2
D' B L U F U D
D' B L U F U D'
D' B L U F U D2
D' B L U F D U
D' B L U F D' U
L' B L R' D U2 L2
D' B L U F D2 U
L' B L R' D' R2 U2
L' B L R2 U' B2 U'
L' B L R2 U2 D L2
L' B L R2 D U2 L2
L' B L R2 D' R2 U2
L' B L U D2 F2 U
D2 B L D U F U
D' B L D U F U
D2 B L D' U F U
L' B L U' B2 U' D
L' B L U' B2 U' D'
L' B L U' B2 U' D2
L' B L U' B2 D U'
L' B L U' B2 D' U'
L' B L U' B2 D2 U'
L' B L U2 L D L2
L' B L U2 L' D L2
L' B L U2 L2 D L2
D' B L D' U F U
L' B L U2 D L2 D
L' B L U2 D L2 D'
L' B L U2 D L2 D2
D2 B L D2 U F U
L' B L D R U2 L2
L' B L D R' U2 L2
L' B L D R2 U2 L2
D' B L D2 U F U
L' B L D U2 L2 D
L' B L D U2 L2 D'
L' B L D U2 L2 D2
L' B L D' R2 U2 D
L' B L D' R2 U2 D'
L' B L D' R2 U2 D2
L' B L D' R2 D U2
L' B L D' R2 D' U2
L' B L D' R2 D2 U2
L' B L D2 U F2 U
L2 B L R U' B' U'
L2 B L R' U' B' U'
L2 B L R2 U' B' U'
L2 B L U' D B' U'
L2 B L U' D' B' U'
L2 B L U' D2 B' U'
L2 B L U' B' U' D
L2 B L U' B' U' D'
L2 B L U' B' U' D2
L2 B L U' B' D U'
L2 B L U' B' D' U'
L2 B L U' B' D2 U'
L2 B L D U' B' U'
L2 B L D' U' B' U'
L2 B L D2 U' B' U'
R2 B L U F U F2
D B L R U F U
D B L R' U F U
D B L R2 U F U
R2 B L U2 F' D' L2
D B L U D F U
D B L U D' F U
D B L U D2 F U
D B L U F U D
D B L U F U D'
D B L U F U D2
D B L U F D U
D B L U F D' U
D B L U F D2 U
D B L D U F U
D B L D' U F U
D B L D2 U F U
L' B L2 D L' U2 L'
L' B L2 D' L' R2 U2
L' B L2 D' R2 L' U2
D2 B R L U F U
D' B R L U F U
L' B R L U' B2 U'
L' B R L U2 D L2
L' B R L D U2 L2
L' B R L D' R2 U2
L' B R U' B2 U' R'
L' B R D L U2 L
L' B R D' L R2 U2
L' B R D' R2 L U2
L2 B R L U' B' U'
D2 B R' L U F U
D' B R' L U F U
L' B R' L U' B2 U'
L' B R' L U2 D L2
L' B R' L D U2 L2
L' B R' L D' R2 U2
L' B R' U' B2 U' R'
D B R L U F U
L' B R' D L U2 L
L' B R' D' L R2 U2
L' B R' D' R2 L U2
L2 B R' L U' B' U'
D2 B R2 L U F U
D' B R2 L U F U
L' B R2 L U' B2 U'
L' B R2 L U2 D L2
L' B R2 L D U2 L2
L' B R2 L D' R2 U2
L' B R2 U' B2 U' R'
D B R' L U F U
L' B R2 D L U2 L
L' B R2 D' L R2 U2
L' B R2 D' R2 L U2
L2 B R2 L U' B' U'
D B R2 L U F U
L' B U' F B2 U' R'
L' B U' F' B2 U' R'
L' B U' F2 B2 U' R'
L' B U' B2 U' R' D
L' B U' B2 U' R' D'
L' B U' B2 U' R' D2
L' B U' B2 U' D R'
L' B U' B2 U' D' R'
L' B U' B2 U' D2 R'
L' B U' B2 D U' R'
L' B U' B2 D' U' R'
L' B U' B2 D2 U' R'
L' B U' B2 F U' R'
L' B U' B2 F' U' R'
L' B U' B2 F2 U' R'
L B U F U' L U2
L B U F B2 U R'
F2 B L F2 U F' U
D2 B D L U F U
D' B D L U F U
L B U B2 F U R'
L' B D L R U2 L
L' B D L R' U2 L
L' B D L R2 U2 L
L' B D L U2 L D
L' B D L U2 L D'
L' B D L U2 L D2
L' B D L U2 D L
L' B D L U2 D' L
L' B D L U2 D2 L
L' B D L D U2 L
L' B D L D' U2 L
L' B D L D2 U2 L
L' B D R L U2 L
L' B D R' L U2 L
L' B D R2 L U2 L
B F L F' U F2 U
B F L F' U2 D' L2
B F L F' D R2 U2
B F L F' D' U2 L2
D2 B D' L U F U
D' B D' L U F U
F B L F' U F2 U
F B L F' U2 D' L2
F B L F' D R2 U2
F B L F' D' U2 L2
L' B D' L R2 U2 D
L' B D' L R2 U2 D'
L' B D' L R2 U2 D2
L' B D' L R2 D U2
L' B D' L R2 D' U2
L' B D' L R2 D2 U2
L' B D' L U2 D2 L2
L' B D' L D2 U2 L2
D B D L U F U
L' B D' R2 L U2 D
L' B D' R2 L U2 D'
L' B D' R2 L U2 D2
L' B D' R2 L D U2
L' B D' R2 L D' U2
L' B D' R2 L D2 U2
L' B D' R2 D L U2
L' B D' R2 D' L U2
L' B D' R2 D2 L U2
D2 B D2 L U F U
D' B D2 L U F U
L' B D2 L U F2 U
L' B D2 L U2 D' L2
L' B D2 L D R2 U2
L' B D2 L D' U2 L2
D B D' L U F U
D B D2 L U F U
B F2 L F2 U F' U
U B2 U' B' U2 L R'
U B2 U' B' U2 R' L
