D2 L B2 D' R2 F'
D2 L' U F L2 B2
D2 L' U F B2 L2
D2 L' U B2 F L2
D' L2 U D' L' F
D' L2 D' U L' F
U L2 D2 L' F B2
U L2 D2 L' B2 F
R U L D2 F' B2
R U L D2 B2 F'
U L2 D2 B2 L' F
L2 U D2 L' F B2
L2 U D2 L' B2 F
L2 U D2 B2 L' F
R U D2 L F' B2
R U D2 L B2 F'
R U D2 F' L B2
U' R F2 U2 F L
L2 U' F2 R U2 F'
R U' F2 U2 F L
U' R2 F2 U2 L F
D2 U L' F L2 B2
D2 U L' F B2 L2
D2 U L' B2 F L2
R D' L2 U L' F'
U D2 L' F L2 B2
U D2 L' F B2 L2
U D2 L' B2 F L2
L2 D2 U L' F B2
L2 D2 U L' B2 F
L2 D2 U B2 L' F
R D2 U L F' B2
R D2 U L B2 F'
R D2 U F' L B2
D' F' L2 R U L'
D' F' R L2 U L'
U' F2 R U2 L F'
U' F2 R U2 F' L
U' F2 R2 U2 L F
U' F2 B2 R' B U2
U' B2 R' F2 B U2
U' B2 R' B F2 U2
U' B2 F2 R' B U2
U' R2 D2 U2 L B2 F
U R2 D2 L B2 R' F'
D' R2 F' L2 R U L'
D' R2 F' R L2 U L'
U' R2 F2 R' U2 L F'
U' R2 F2 R' U2 F' L
U' R2 F2 U2 L D F
U' R2 F2 U2 L D' F
U' R2 F2 U2 L D2 F
U' R2 F2 U2 L F D
U' R2 F2 U2 L F D'
U' R2 F2 U2 L F D2
U' R2 F2 U2 D L F
U' R2 F2 U2 D' L F
U' R2 F2 U2 D2 L F
U' R2 F2 U2 F L F
U' R2 F2 U2 F' L F
U' R2 F2 U2 F2 L F
U' R2 F2 D U2 L F
U' R2 F2 D' U2 L F
U' R2 F2 D2 U2 L F
U' R2 F2 B2 R' U2 F'
U R2 F2 U2 L R2 F
U R2 F2 U2 L F R2
U R2 F2 U2 R2 L F
U' R2 B2 R' F2 U2 F
R D U L D F' B2
R D U L D B2 F'
R D U L F' D B2
U' R2 B2 F2 R' U2 F'
D2 U L R2 B2 R2 F'
R' D U2 R2 U' L F'
R' D U2 R2 U' F' L
D2 U L U2 B' U2 B'
R D U F' L D B2
R D U F' D L B2
D2 U L B D2 F2 B
D2 U L B D2 B F2
D2 U L B2 R2 F' R2
D2 U L B2 U2 B U2
D2 U L' F L' B2 L'
D2 U L' F L2 B2 D
D2 U L' F L2 B2 D'
D2 U L' F L2 B2 D2
D2 U L' F B L2 B
D2 U L' F B2 L2 D
D2 U L' F B2 L2 D'
D2 U L' F B2 L2 D2
D2 U L' F' L2 F2 B2
D2 U L' F' L2 B2 F2
D2 U L' F' B2 L2 F2
D2 U L' F2 L2 F' B2
D2 U L' F2 L2 B2 F'
D2 U L' F2 B2 L2 F'
D2 U L' B F L2 B
D2 U L' B2 F L2 D
D2 U L' B2 F L2 D'
D2 U L' B2 F L2 D2
D2 U L' B2 F' L2 F2
D2 U L' B2 F2 L2 F'
D2 U L2 B2 L F L2
D U L2 D L' F B2
D U L2 D L' B2 F
D U L2 D B2 L' F
F2 U R U L F' R'
F2 U R U F' L R'
F2 U R U F' R' L
U D L2 D L' F B2
U D L2 D L' B2 F
U D L2 D B2 L' F
F U L2 D2 B' L' F
F U L2 B' D2 L' F
D2 U R2 L B2 R2 F'
D2 U F L' F L2 B2
D2 U F L' F B2 L2
D2 U F L' B2 F L2
D2 U F' L' F L2 B2
D2 U F' L' F B2 L2
D2 U F' L' B2 F L2
D2 U F2 L' F L2 B2
D2 U F2 L' F B2 L2
D2 U F2 L' B2 F L2
R' D' L2 R2 U L' F'
R' D' L2 U' B U2 L'
R2 D' L2 R' U L' F'
L2 D' L2 F' R U L
L2 D' L2 F2 U L F
R D' L2 U L F' L2
R D' L2 U L' D F'
R D' L2 U L' D' F'
R D' L2 U L' D2 F'
R D' L2 U L' F' D
R D' L2 U L' F' D'
R D' L2 U L' F' D2
R D' L2 U L2 F' L
R D' L2 U D L' F'
R D' L2 U D' L' F'
R D' L2 U D2 L' F'
R D' L2 D U L' F'
R D' L2 D' U L' F'
L D' L2 F' R U L2
R D' L2 D2 U L' F'
R' D' R2 L2 U L' F'
R2 D' R' L2 U L' F'
D2 U' L' F B2 L2 R'
D2 U' L' F B2 R' L2
D2 U' L' B2 R' F L2
D2 U' L' B2 F L2 R'
D2 U' L' B2 F R' L2
R D' U F' D' L B2
R D' F L2 U L' F2
L D' F' L2 R U L2
L D' F' R L2 U L2
F U' R F U2 L F2
F U' R F U2 F2 L
F' U' R2 U2 L F B
F' U' R2 U2 L B F
F U' R2 F U2 L F
L2 D2 L U L2 F B2
L2 D2 L U L2 B2 F
R' D2 L' U B2 L2 F
L2 D2 L' F B2 D' R2
R D2 L F' B2 D' R2
L2 D2 L' B2 D' R2 F
L2 D2 L' B2 D' F R2
L2 D2 L' B2 F D' R2
R D2 L B2 D' F' R2
R D2 L B2 F' D' R2
L D2 L' U F L B2
F' U' F' R U2 L F'
F' U' F' R U2 F' L
R D2 L' U L2 F' B2
R D2 L' U L2 B2 F'
R D2 L' U F' L2 B2
R D2 L' U F' B2 L2
R D2 L' U B2 L2 F'
R D2 L' U B2 F' L2
F' U' F' R2 U2 L F
F U' F R U2 L F'
F U' F R U2 F' L
F U' F R2 U2 L F
F' U' F' B2 R' B U2
D2 U2 L' U' F L2 B2
D2 U2 L' U' F B2 L2
D2 U2 L' U' B2 F L2
L2 D2 R U L' F B2
L2 D2 R U L' B2 F
L2 D2 R U B2 L' F
U' D2 L' F B2 L2 R'
U' D2 L' F B2 R' L2
R D2 L2 U L' F' B2
R D2 L2 U L' B2 F'
R D2 L2 U B2 L' F'
F U' F B2 R' B U2
U D2 L R2 B2 R2 F'
U' D2 L' B2 R' F L2
U' D2 L' B2 F L2 R'
U' D2 L' B2 F R' L2
U D2 L U2 B' U2 B'
U2 D2 L' U' F L2 B2
U2 D2 L' U' F B2 L2
U2 D2 L' U' B2 F L2
L2 D2 R' U L' F B2
L2 D2 R' U L' B2 F
U D2 L B D2 F2 B
U D2 L B D2 B F2
L2 D2 R' U B2 L' F
U D2 L B2 R2 F' R2
U D2 L B2 U2 B U2
R' D2 R2 U L F' B2
R' D2 R2 U L B2 F'
R' D2 R2 U F' L B2
R2 D2 R' U L F' B2
R2 D2 R' U L B2 F'
R2 D2 R' U F' L B2
U D2 L' F L' B2 L'
U D2 L' F L2 B2 D
U D2 L' F L2 B2 D'
U D2 L' F L2 B2 D2
U D2 L' F B L2 B
U D2 L' F B2 L2 D
U D2 L' F B2 L2 D'
U D2 L' F B2 L2 D2
U D2 L' F' L2 F2 B2
U D2 L' F' L2 B2 F2
U D2 L' F' B2 L2 F2
U D2 L' F2 L2 F' B2
U D2 L' F2 L2 B2 F'
U D2 L' F2 B2 L2 F'
L2 D2 R2 U L' F B2
L2 D2 R2 U L' B2 F
U D2 L' B F L2 B
L2 D2 R2 U B2 L' F
R' D2 U L' B2 L2 F
U D2 L' B2 F L2 D
U D2 L' B2 F L2 D'
U D2 L' B2 F L2 D2
U D2 L' B2 F' L2 F2
U D2 L' B2 F2 L2 F'
L2 D2 U L' F B2 D
L2 D2 U L' F B2 D'
L2 D2 U L' F B2 D2
L2 D2 U L' B2 D F
L2 D2 U L' B2 D' F
L2 D2 U L' B2 D2 F
L2 D2 U L' B2 F D
L2 D2 U L' B2 F D'
L2 D2 U L' B2 F D2
U D2 L2 B2 L F L2
L2 D2 U B L' F B
L2 D2 U B L' B F
L2 D2 U B2 L' D F
L2 D2 U B2 L' D' F
L2 D2 U B2 L' D2 F
L2 D2 U B2 L' F D
L2 D2 U B2 L' F D'
L2 D2 U B2 L' F D2
F' U' B2 F' R' B U2
L2 D2 U' L' F B2 R'
L2 D2 U' L' B2 R' F
L2 D2 U' L' B2 F R'
R D2 U L F' B2 D
R D2 U L F' B2 D'
R D2 U L F' B2 D2
R D2 U L B2 D F'
R D2 U L B2 D' F'
R D2 U L B2 D2 F'
R D2 U L B2 F' D
R D2 U L B2 F' D'
R D2 U L B2 F' D2
R D2 U L' F' L2 B2
R D2 U L' F' B2 L2
R D2 U L' B2 L2 F'
R D2 U L' B2 F' L2
R D2 U L2 B2 L' F'
R D2 U F L F2 B2
R D2 U F L B2 F2
R D2 U F' L B2 D
R D2 U F' L B2 D'
R D2 U F' L B2 D2
R D2 U F' L' B2 L2
R D2 U F' L2 B2 L'
F U' B2 R' F B U2
F U' B2 R' B F U2
F U' B2 F R' B U2
U D2 R2 L B2 R2 F'
U D2 F L' F L2 B2
U D2 F L' F B2 L2
U D2 F L' B2 F L2
R D2 F U L F2 B2
R D2 F U L B2 F2
R D2 F U F2 L B2
U D2 F' L' F L2 B2
U D2 F' L' F B2 L2
U D2 F' L' B2 F L2
R D2 F' L B2 D' R2
U D2 F2 L' F L2 B2
U D2 F2 L' F B2 L2
U D2 F2 L' B2 F L2
R D2 F2 U F L B2
L2 D2 B2 L' D' R2 F
L2 D2 B2 L' D' F R2
L2 D2 B2 L' F D' R2
D2 F L B2 D' R2 F'
D2 F L' U F L2 B2
D2 F L' U F B2 L2
D2 F L' U B2 F L2
D' F L2 U L' D F2
D' F L2 U2 L U' L2
L' F R U L2 F' B'
L' F R U L2 B' F'
U' F R F U2 L F2
U' F R F U2 F2 L
R F L2 U B' L' F2
U F L2 D2 B' L' F
U F L2 B' D2 L' F
U' F R2 F U2 L F
D2 F U L' F L2 B2
D2 F U L' F B2 L2
D2 F U L' B2 F L2
R F U L2 B' L' F2
R F U' F U2 F L
U' F B2 R' F B U2
U' F B2 R' B F U2
D2 F' L B2 D' R2 F'
D2 F' L' U F L2 B2
D2 F' L' U F B2 L2
D2 F' L' U B2 F L2
D' F' L2 R U L' D
D' F' L2 R U L' D'
D' F' L2 R U L' D2
D' F' L2 R U D L'
D' F' L2 R U D' L'
D' F' L2 R U D2 L'
D' F' L2 R D U L'
D' F' L2 R D' U L'
D' F' L2 R D2 U L'
D' F' L2 D R U L'
D' F' L2 D' R U L'
D' F' L2 D2 R U L'
R F' L B2 D' R2 B
D' F' R L2 U L' D
D' F' R L2 U L' D'
D' F' R L2 U L' D2
D' F' R L2 U D L'
D' F' R L2 U D' L'
D' F' R L2 U D2 L'
D' F' R L2 D U L'
D' F' R L2 D' U L'
D' F' R L2 D2 U L'
D' F' R U D' L B2
D' F' R D' U L B2
D' F' R F L2 U L'
D' F' R F' L2 U L'
D' F' R F2 L2 U L'
R' F' R2 U L F' B
R' F' R2 U L B F'
U' F' R2 U2 L F B
U' F' R2 U2 L B F
R' F' R2 U F' L B
D2 F' U L' F L2 B2
D2 F' U L' F B2 L2
D2 F' U L' B2 F L2
L2 F' U' F' R U2 F'
D' F' D' R U L B2
D2 F2 L B2 D' R2 F'
D2 F2 L' U F L2 B2
D2 F2 L' U F B2 L2
D2 F2 L' U B2 F L2
D' F2 L2 U L F L2
U' F2 R U2 L D F'
U' F2 R U2 L D' F'
U' F2 R U2 L D2 F'
U' F2 R U2 L F' D
U' F2 R U2 L F' D'
U' F2 R U2 L F' D2
U' F2 R U2 L' F' L2
U' F2 R U2 D L F'
U' F2 R U2 D F' L
U' F2 R U2 D' L F'
U' F2 R U2 D' F' L
U' F2 R U2 D2 L F'
U' F2 R U2 D2 F' L
U' F2 R U2 F L F2
U' F2 R U2 F' L D
U' F2 R U2 F' L D'
U' F2 R U2 F' L D2
U' F2 R U2 F' D L
U' F2 R U2 F' D' L
U' F2 R U2 F' D2 L
U' F2 R D U2 L F'
U' F2 R D U2 F' L
U' F2 R D' U2 L F'
U' F2 R D' U2 F' L
U' F2 R D2 U2 L F'
U' F2 R D2 U2 F' L
U' F2 R B' U2 F' L'
U' F2 R' B2 R' B' U2
U' F2 R2 U2 L D F
U' F2 R2 U2 L D' F
U' F2 R2 U2 L D2 F
U' F2 R2 U2 L F D
U' F2 R2 U2 L F D'
U' F2 R2 U2 L F D2
U' F2 R2 U2 D L F
U' F2 R2 U2 D' L F
U' F2 R2 U2 D2 L F
U' F2 R2 U2 F L F
U' F2 R2 U2 F' L F
U' F2 R2 U2 F2 L F
U' F2 R2 D U2 L F
U' F2 R2 D' U2 L F
U' F2 R2 D2 U2 L F
