B L R D B2 R'
B R L D B2 R'
D' R D' R2 B L
D2 R' D R' B L
D' R' D' B L R2
D' R' D' B R2 L
D2 R2 D' B L B'
D2 R2 B D' L B'
D B L D R2 B'
D B L D B' R2
D B L B' D R2
D2 B R2 D' L B'
D B L B' R' D R2
D B L B' R2 D R2
D B L B' U F2 U'
D B L B' D R2 D
D B L B' D R2 D'
D B L B' D R2 D2
D B L B2 D B R2
R B L R D B2 R'
R' B R L D B2 R'
D2 B R D' L R B'
D2 B R D' L B' R
D2 B R D' R L B'
D B L2 D L' R2 B'
D B L2 D L' B' R2
D B L2 D R2 L' B'
D2 B R' L D R' B
R2 B R L D B2 R'
D2 B R' D L R' B
D2 B R' D R' L B
D2 B R' D' L R' B'
D2 B R' D' R' L B'
D B R L D R2 B'
D B R L D B' R2
D B R L B' D R2
D2 B R2 D' L D B'
D2 B R2 D' L D' B'
D2 B R2 D' L D2 B'
D2 B R2 D' L B' D
D2 B R2 D' L B' D'
D2 B R2 D' L B' D2
D B R' L D R2 B'
D B R' L D B' R2
D B R' L B' D R2
R B R L D B2 R'
D B R2 L D R2 B'
D B R2 L D B' R2
D B R2 L B' D R2
D B U F2 U' L B'
D2 B D' L D R2 B'
D2 B D' L D B' R2
D2 B D' L B' D R2
U' B D' B2 L F U
D B D R2 D' L B'
D' B D2 L B' D' R2
U' B' L F U' L U2
U' B' L F B2 U R'
U' B' L B2 F U R'
D B F2 U' L F2 B'
D B F2 U' L B' F2
D B F2 U' F2 L B'
L2 B' L' D' B2 L R'
L2 B' L' D' B2 R' L
U' B' D' L F B2 U
U' B' D' L B2 F U
U' B' D2 L F U R2
D B2 L B' L D R2
D B2 L B' D L R2
D B2 L B' D R2 L
D2 B2 R2 B' D' L B'
