F' L' F U' L'
U' L' R' F' D R2
F' L' F U' L' D
F' L' F U' L' D'
F' L' F U' L' D2
F' L' F U' D L'
F' L' F U' D' L'
F' L' F U' D2 L'
F' L' F D U' L'
F' L' F D' U' L'
F' L' F D2 U' L'
F' L' F B U' L'
F' L' F B' U' L'
F' L' F B2 U' L'
F' L' B F U' L'
F' L' B' F U' L'
F' L' B2 F U' L'
U' R' L' F' D R2
U' R' D L' F' R
L U2 B' R' U L2
U' D L' R' F' R
U' D R' L' F' R
U' D R' L' F' R
D U' L' R' F' R
D U' R' L' F' R
L' F' L' F2 U' L
D' B U' L' R' F'
D' B U' R' L' F'
F' B L' F U' L'
F' B' L' F U' L'
B' F' L' F U' L'
B2 F' L' F U' L'
B F' L' F U' L'
F' B2 L' F U' L'
F' L' F U' D2 L' D2
F' L' F U' B' L' B
F' L' F U' B2 L' B2
F' L' F D U' L' D
F' L' F D U' L' D'
F' L' F D U' L' D2
F' L' F D B U' L'
F' L' F D B' U' L'
F' L' F D B2 U' L'
F' L' F D' U' L' D
F' L' F D' U' L' D'
F' L' F D' U' L' D2
F' L' F D' B U' L'
F' L' F D' B' U' L'
F' L' F D' B2 U' L'
F' L' F D2 U' L' D
F' L' F D2 U' L' D'
F' L' F D2 U' L' D2
F' L' F D2 B U' L'
F' L' F D2 B' U' L'
F' L' F D2 B2 U' L'
F' L' F B U' L' D
F' L' F B U' L' D'
F' L' F B U' L' D2
F' L' F B U' D L'
F' L' F B U' D' L'
F' L' F B U' D2 L'
F' L' F B D U' L'
F' L' F B D' U' L'
F' L' F B D2 U' L'
F' L' F B' U' L' D
F' L' F B' U' L' D'
F' L' F B' U' L' D2
F' L' F B' U' D L'
F' L' F B' U' D' L'
F' L' F B' U' D2 L'
F' L' F B' D U' L'
F' L' F B' D' U' L'
F' L' F B' D2 U' L'
F' L' F B2 U' L' D
F' L' F B2 U' L' D'
F' L' F B2 U' L' D2
F' L' F B2 U' D L'
F' L' F B2 U' D' L'
F' L' F B2 U' D2 L'
F' L' F B2 D U' L'
F' L' F B2 D' U' L'
F' L' F B2 D2 U' L'
B' L' F' L' F2 U' L
U' L' F' R D R2 F'
B2 L' F' L' F2 U' L
D L' F' L' U' L R
D L' F' L' U' R L
U' L' F' R' D F' R2
B L' F' L' F2 U' L
U' L' F' D R' F' R'
U' L' F2 R' D' F' R
U' L' F2 U F' L' U'
F' L' F2 D F' U' L'
F' L' F2 D' F' U' L'
F' L' F2 D2 F' U' L'
F' L' B F U' L' D
F' L' B F U' L' D'
F' L' B F U' L' D2
F' L' B F U' D L'
F' L' B F U' D' L'
F' L' B F U' D2 L'
F' L' B F D U' L'
F' L' B F D' U' L'
F' L' B F D2 U' L'
F' L' B' F U' L' D
F' L' B' F U' L' D'
F' L' B' F U' L' D2
F' L' B' F U' D L'
F' L' B' F U' D' L'
F' L' B' F U' D2 L'
F' L' B' F D U' L'
F' L' B' F D' U' L'
F' L' B' F D2 U' L'
F' L' B2 F U' L' D
F' L' B2 F U' L' D'
F' L' B2 F U' L' D2
F' L' B2 F U' D L'
F' L' B2 F U' D' L'
F' L' B2 F U' D2 L'
F' L' B2 F D U' L'
F' L' B2 F D' U' L'
F' L' B2 F D2 U' L'
D L2 U' L R' F' R
D L2 U' R' L F' R
D L2 U' R' F' L R
D L2 U' R' F' R L
F L2 U2 R B U L
F' L2 D' L F B' U'
F' L2 D' L B' F U'
F' L2 F L F U' L2
L2 U L' U2 L2 F R
L2 U L' B' U2 L2 R'
L2 U L' B' U2 R' L2
L2 U L2 U2 L' F R
D L2 F' L' U' L2 R
D L2 F' L' U' R L2
F' R L' F R' U' L'
U' R L' F' D R2 F'
U' R D L' R2 F' R
U' R D R2 L' F' R
L2 U B' U2 R' F' L'
L2 U' L R' F R F2
L2 U' L R2 F R F'
L2 U' L F R' F' R2
L2 U' L F2 R' F' R
L U' L2 R' F' D R2
L2 U' R' L F R F2
L U' R' L2 F' D R2
L2 U' R' F L R F2
L2 U' R' F R L F2
L2 U' R' F R F2 L
L2 U' R' F' L D2 R2
L2 U' R2 L F R F'
L2 U' R2 F L R F'
L2 U' R2 F R L F'
L2 U' R2 F R F' L
U' R' L' U F U' F2
U' R' L' D F' D R2
U' R' L' D' F' D R2
U' R' L' D2 F' D R2
L2 U' F L R' F' R2
U' R' L' F' R D R2
U' R' L' F' R' D R2
U' R' L' F' R2 D R2
U' R' L' F' U F2 U'
U' R' L' F' D R2 D
U' R' L' F' D R2 D'
U' R' L' F' D R2 D2
L2 U' F R' L F' R2
L2 U' F R' F' L R2
L2 U' F R' F' R2 L
L2 U' F2 L R' F' R
L2 U' F2 R' L F' R
L2 U' F2 R' F' L R
L2 U' F2 R' F' R L
U' R' D L F' L2 R
U' R' D L F' R L2
U' R' D L' F' R D
U' R' D L' F' R D'
U' R' D L' F' R D2
U' R' D L' F' D R
U' R' D L' F' D' R
U' R' D L' F' D2 R
U' R' D L2 F' L R
U' R' D L2 F' R L
U' R' D' L' D2 F' R
U' R' D2 L' D' F' R
L U2 R B' R' U L2
L U2 R' B' R' U L2
L U2 R2 B' R' U L2
L U2 D F2 B' R' U
L U2 D B' R' F2 U
L U2 D B' F2 R' U
F' R2 L' F R2 U' L'
L U2 F B' R' U L2
L U2 F' B' R' U L2
L U2 F2 B' R' U L2
L U2 B' R' U L2 D
L U2 B' R' U L2 D'
L U2 B' R' U L2 D2
L U2 B' R' D F2 U
L U2 B' R' F U L2
L U2 B' R' F' U L2
L U2 B' R' F2 U L2
L U2 B' D R' F2 U
L U2 B' D F2 R' U
L U2 B' F R' U L2
L U2 B' F' R' U L2
L U2 B' F2 R' U L2
U' D L R' F' L2 R
U' D L R' F' R L2
U' D L' R' F' R D
U' D L' R' F' R D'
U' D L' R' F' R D2
U' D L' R' F' D R
U' D L' R' F' D' R
U' D L' R' F' D2 R
U' D L' R2 F' R F'
U' D L' F' R' F' R2
D' U L' B' L U2 L'
L D U2 F2 B' R' U
U' D L2 R' F' L R
U' D L2 R' F' R L
L D U2 B' R' F2 U
L D U2 B' F2 R' U
L' D F' L' F2 U' L
U' D R' L F' L2 R
U' D R' L F' R L2
U' D R' L' F' R D
U' D R' L' F' R D'
U' D R' L' F' R D2
U' D R' L' F' D R
U' D R' L' F' D' R
U' D R' L' F' D2 R
U' D R' L2 F' L R
U' D R' L2 F' R L
U' D R2 L' F' R F'
F2 U D R U2 F' R
D' U B U2 L' R' F'
D' U B U2 R' L' F'
D' U B' L U2 F L2
U' D' L' R' D2 F' R
D' U' L' R' D2 F' R
D U' L R' F' L2 R
D U' L R' F' R L2
U' D' L' D2 R' F' R
D' U' L' D2 R' F' R
D2 U' L' D' R' F' R
D' U' L' B R' F' B'
U' D' L' B R' F' B'
U' D' L' B R' B' F'
D' U' L' B R' B' F'
D U' L' R' F' R D
D U' L' R' F' R D'
D U' L' R' F' R D2
D U' L' R' F' D R
D U' L' R' F' D' R
D U' L' R' F' D2 R
D U' L' R2 F' R F'
D U' L' F' R' F' R2
D U' L2 R' F' L R
D U' L2 R' F' R L
U D' L' B' L U2 L'
B' U' L' R' F' D R2
B2 U' L' R' F' D R2
U' D' R' L' D2 F' R
D' U' R' L' D2 F' R
U' D' R' D2 L' F' R
D' U' R' D2 L' F' R
L' D' F' L' F2 U' L
B U' L' R' F' D R2
D U' R' L F' L2 R
D U' R' L F' R L2
D U' R' L' F' R D
D U' R' L' F' R D'
D U' R' L' F' R D2
D U' R' L' F' D R
D U' R' L' F' D' R
D U' R' L' F' D2 R
D U' R' L2 F' L R
D U' R' L2 F' R L
D U' R2 L' F' R F'
B' U' R' L' F' D R2
B2 U' R' L' F' D R2
B' U' R' D L' F' R
B2 U' R' D L' F' R
B U' R' L' F' D R2
B U' R' D L' F' R
B' U' D L' R' F' R
B' U' D R' L' F' R
B2 U' D L' R' F' R
B2 U' D R' L' F' R
D' U' B R' B' L' F'
U' D' B R' B' L' F'
F2 U' D F' R F' L'
B U' D L' R' F' R
B U' D R' L' F' R
U D' B U2 L' R' F'
U D' B U2 R' L' F'
U D' B' L U2 F L2
U' D2 L' D' R' F' R
L' D2 F' L' F2 U' L
D2 U2 B' R' B U L'
U2 D2 B' R' B U L'
L' F L U2 R U L'
L' F L' U2 R U L
L' F L2 U2 R U L2
U' F R' D F' L' R
U' F R' D F' R L'
L' F U2 R U' R' U2
U' F D R' F' L' R
U' F D R' F' R L'
L F U2 R B' U L2
L F U2 B' R U L2
F2 D U R U2 F' R
B' D U' L' R' F' R
B' D U' R' L' F' R
B2 D U' L' R' F' R
B2 D U' R' L' F' R
F2 D U' F' R F' L'
B D U' L' R' F' R
L2 F' L F L2 U' L2
B D U' R' L' F' R
L' F' L' U' L D R2
L' F' L' U' D L R2
L' F' L' U' D R2 L
R' F' L' F R U' L'
L' F' L' D U' L R2
L' F' L' D U' R2 L
L' F' L' F2 U' L D
L' F' L' F2 U' L D'
L' F' L' F2 U' L D2
L' F' L' F2 U' D L
L' F' L' F2 U' D' L
L' F' L' F2 U' D2 L
L' F' L' F2 D U' L
L' F' L' F2 D' U' L
L' F' L' F2 D2 U' L
L2 F' L' U2 B' U L2
R2 F' L' R2 F U' L'
R2 F' L' F R2 U' L'
L' F' L2 F2 L U' L
R F' L' R' F U' L'
R F' L' F R' U' L'
L F' L2 F L U' L'
R2 F' R2 L' F U' L'
R F' R' L' F U' L'
L' F' D L' U' L R2
L' F' D L' U' R2 L
L' F' B L' F2 U' L
L' F' B' L' F2 U' L
L' F' B2 L' F2 U' L
L2 F2 L F L' U' L
L F2 L2 F L' U' L
B' D' B U' L' R' F'
B' D' B U' R' L' F'
B2 D' B U' L' R' F'
B2 D' B U' R' L' F'
B D' B U' L' R' F'
B D' B U' R' L' F'
D' B L U' L2 R' F'
D' B L U' R' L2 F'
D' B L U' R' F' L2
D' B L2 U' L R' F'
D' B L2 U' R' L F'
D' B L2 U' R' F' L
D' B U' L R' F' L2
D' B U' L' R' D F'
D' B U' L' R' D' F'
D' B U' L' R' D2 F'
D' B U' L' R' F' D
D' B U' L' R' F' D'
D' B U' L' R' F' D2
D' B U' L' D R' F'
D' B U' L' D' R' F'
D' B U' L' D2 R' F'
D' B U' L' F R' F'
D' B U' L' F' R' F'
D' B U' L' F2 R' F'
D' B U' L2 R' F' L
D' B U' R' L F' L2
D' B U' R' L' D F'
D' B U' R' L' D' F'
D' B U' R' L' D2 F'
D' B U' R' L' F' D
D' B U' R' L' F' D'
D' B U' R' L' F' D2
D' B U' R' L2 F' L
D' B U' R' D L' F'
D' B U' R' D' L' F'
D' B U' R' D2 L' F'
D' B U' D L' R' F'
D' B U' D R' L' F'
D' B U' D' L' R' F'
D' B U' D' R' L' F'
D' B U' D2 L' R' F'
D' B U' D2 R' L' F'
D' B U' F R' F' L'
D B U' L' R' F' R
D B U' R' L' F' R
F' B L' F U' L' D
F' B L' F U' L' D'
F' B L' F U' L' D2
F' B L' F U' D L'
F' B L' F U' D' L'
F' B L' F U' D2 L'
F' B L' F D U' L'
F' B L' F D' U' L'
F' B L' F D2 U' L'
F' B L' F B U' L'
F' B L' F B' U' L'
F' B L' F B2 U' L'
D' B D U' L' R' F'
D' B D U' R' L' F'
F' B L' B F U' L'
F' B L' B' F U' L'
F' B L' B2 F U' L'
D' B D' U' L' R' F'
D' B D' U' R' L' F'
D' B D2 U' L' R' F'
D' B D2 U' R' L' F'
L' B F' L' F2 U' L
D' B' U L U2 F L2
B' F' L' F U' L' D
B' F' L' F U' L' D'
B' F' L' F U' L' D2
B' F' L' F U' D L'
B' F' L' F U' D' L'
B' F' L' F U' D2 L'
B' F' L' F D U' L'
B' F' L' F D' U' L'
B' F' L' F D2 U' L'
B' F' L' F B U' L'
B' F' L' F B' U' L'
B' F' L' F B2 U' L'
B' F' L' B F U' L'
B' F' L' B' F U' L'
B' F' L' B2 F U' L'
F' B' L' F U' L' D
F' B' L' F U' L' D'
F' B' L' F U' L' D2
F' B' L' F U' D L'
F' B' L' F U' D' L'
F' B' L' F U' D2 L'
F' B' L' F D U' L'
F' B' L' F D' U' L'
F' B' L' F D2 U' L'
F' B' L' F B U' L'
F' B' L' F B' U' L'
F' B' L' F B2 U' L'
B2 F' L' F U' L' D
B2 F' L' F U' L' D'
B2 F' L' F U' L' D2
B2 F' L' F U' D L'
B2 F' L' F U' D' L'
B2 F' L' F U' D2 L'
B2 F' L' F D U' L'
B2 F' L' F D' U' L'
B2 F' L' F D2 U' L'
B2 F' L' F B U' L'
F' B' L' B F U' L'
B2 F' L' F B' U' L'
B2 F' L' F B2 U' L'
F' B' L' B' F U' L'
F' B' L' B2 F U' L'
B2 F' L' B F U' L'
B2 F' L' B' F U' L'
B2 F' L' B2 F U' L'
B F' L' F U' L' D
B F' L' F U' L' D'
B F' L' F U' L' D2
B F' L' F U' D L'
B F' L' F U' D' L'
B F' L' F U' D2 L'
B F' L' F D U' L'
B F' L' F D' U' L'
B F' L' F D2 U' L'
B F' L' F B U' L'
B F' L' F B' U' L'
B F' L' F B2 U' L'
B F' L' B F U' L'
B F' L' B' F U' L'
B F' L' B2 F U' L'
D B' U' L' R' F' R
D B' U' R' L' F' R
U' B' D' L' B R' F'
U' B' D' B L' R' F'
U' B' D' B R' L' F'
U2 B' D2 R' B U L'
L' B' F' L' F2 U' L
F' B2 L' F U' L' D
F' B2 L' F U' L' D'
F' B2 L' F U' L' D2
F' B2 L' F U' D L'
F' B2 L' F U' D' L'
F' B2 L' F U' D2 L'
F' B2 L' F D U' L'
F' B2 L' F D' U' L'
F' B2 L' F D2 U' L'
F' B2 L' F B U' L'
F' B2 L' F B' U' L'
F' B2 L' F B2 U' L'
F' B2 L' B F U' L'
F' B2 L' B' F U' L'
F' B2 L' B2 F U' L'
D B2 U' L' R' F' R
D B2 U' R' L' F' R
L' B2 F' L' F2 U' L
