U' L F2 U' L
U' F2 L U' L
F2 L U F2 U2 L
F2 L U' L D2 B2
U' L U' L D R2
F2 L U' D2 L B2
U' L U' D L R2
U' L U' D R2 L
F2 L D R2 U' L
U' L D U' L R2
U' L D U' R2 L
F2 L D2 U' L B2
F' L F' U' L B'
U L F2 R U' L
U' L F2 U' L D
U' L F2 U' L D'
U' L F2 U' L D2
U' L F2 U' D L
U' L F2 U' D' L
U' L F2 U' D2 L
U' L F2 D U' L
U' L F2 D' U' L
U' L F2 D2 U' L
U2 L' D L' R2 F2
U2 L' D L' F2 R2
U2 L' D R2 L' F2
U2 L2 U L' F2 U'
D' L2 U' L' B2 U'
D' L2 U' B2 L' U'
R' U' L F2 U' L
R2 U' L F2 U' L
L' U' L2 F2 U' L
R U' L F2 U' L
R' U' F2 L U' L
R2 U' F2 L U' L
L U' F2 U' L F2
L U' F2 U' F2 L
R U' F2 L U' L
L' U2 D L' R2 F2
L' U2 D L' F2 R2
L' U2 D R2 L' F2
D2 R2 U B2 R' U
L' D U2 L' R2 F2
L' D U2 L' F2 R2
L' D U2 R2 L' F2
L' D' L2 B2 R' U2
U' D' L B2 U' R'
D' U' L B2 U' R'
L' D' B2 L2 U2 L
U' F' L F' U' L
F2 D' L B2 R' U'
U' F2 L U' L D
U' F2 L U' L D'
U' F2 L U' L D2
U' F2 L U' D L
U' F2 L U' D' L
U' F2 L U' D2 L
U' F2 L D U' L
U' F2 L D' U' L
U' F2 L D2 U' L
L F2 U F2 U2 L
L F2 U' L D2 B2
L F2 U' D2 L B2
U' F2 D' L B2 U'
L F2 D R2 U' L
L F2 D2 U' L B2
L' U' L F2 L U' L
R2 U' L U' L D R2
R2 U' L U' D L R2
R2 U' L U' D R2 L
L U' L R2 D R2 B2
L U' L R2 D B2 R2
R2 U' L D U' L R2
R2 U' L D U' R2 L
R U' L U' L D R2
L U' L D R2 D B2
R U' L U' D L R2
R U' L U' D R2 L
R U' L D U' L R2
R U' L D U' R2 L
R2 U' L F2 U' L D
R2 U' L F2 U' L D'
R2 U' L F2 U' L D2
R2 U' L F2 U' D L
R2 U' L F2 U' D' L
R2 U' L F2 U' D2 L
R2 U' L F2 D U' L
R2 U' L F2 D' U' L
R2 U' L F2 D2 U' L
R U' L F2 U' L D
R U' L F2 U' L D'
R U' L F2 U' L D2
R U' L F2 U' D L
R U' L F2 U' D' L
R U' L F2 U' D2 L
R U' L F2 D U' L
R U' L F2 D' U' L
R U' L F2 D2 U' L
L2 U' L' F2 U' D' L2
L2 U' L' F2 U2 F2 U
L2 U' L' F2 D' U' L2
L2 U' L' F2 D2 B2 U'
L' U' L2 U' L D R2
L' U' L2 U' D L R2
L' U' L2 U' D R2 L
L' U' L2 D U' L R2
L' U' L2 D U' R2 L
L U' L' F2 U' L2 F2
L U' L' F2 U' F2 L2
L' U' L2 F2 U' L D
L' U' L2 F2 U' L D'
L' U' L2 F2 U' L D2
L' U' L2 F2 U' D L
L' U' L2 F2 U' D' L
L' U' L2 F2 U' D2 L
L' U' L2 F2 D U' L
L' U' L2 F2 D' U' L
L' U' L2 F2 D2 U' L
L U' L2 F2 U' F2 L'
U' R F2 L R' U' L
U' R F2 R' L U' L
L U' R2 L D R2 B2
L U' R2 L D B2 R2
L U' R2 D L R2 B2
L U' R2 D L B2 R2
L U' R2 D R2 L B2
R' U' D' L B2 U' R'
L U' D L R2 D B2
L U' D R2 L D B2
L U' D R2 D L B2
R2 U' D' L B2 U' R'
R U' D' L B2 U' R'
F2 R' L U F2 U2 L
F2 R' L U' L D2 B2
F2 R' L U' D2 L B2
F2 R' L D R2 U' L
F2 R' L D2 U' L B2
U2 R' L' D L' R2 F2
U2 R' L' D L' F2 R2
U2 R' L' D R2 L' F2
U R' L F2 R U' L
D' R' L2 U' L' B2 U'
D' R' L2 U' B2 L' U'
R' U' F' L F' U' L
U2 R' L2 U L' F2 U'
R2 U' F' L F' U' L
R' U' F2 L U' L D
R' U' F2 L U' L D'
R' U' F2 L U' L D2
R' U' F2 L U' D L
R' U' F2 L U' D' L
R' U' F2 L U' D2 L
R' U' F2 L D U' L
R' U' F2 L D' U' L
R' U' F2 L D2 U' L
U2 R' U L F2 U' L
R U' F' L F' U' L
L' U' F2 L2 U R U2
D2 R' U B2 R' U L
L' U' F2 U' D F2 L'
R' U' F2 D' L B2 U'
D' R' U' L B2 U' R'
R2 U' F2 L U' L D
R2 U' F2 L U' L D'
R2 U' F2 L U' L D2
R2 U' F2 L U' D L
R2 U' F2 L U' D' L
R2 U' F2 L U' D2 L
R2 U' F2 L D U' L
R2 U' F2 L D' U' L
R2 U' F2 L D2 U' L
U2 R' U F2 L U' L
L' U' F2 D U' F2 L'
L U' F2 L' U' L2 F2
L U' F2 L' U' F2 L2
L2 U' F2 U2 R F2 U
R U' F2 L U' L D
R U' F2 L U' L D'
R U' F2 L U' L D2
R U' F2 L U' D L
R U' F2 L U' D' L
R U' F2 L U' D2 L
R U' F2 L D U' L
R U' F2 L D' U' L
L U' F2 L2 U' L' F2
R U' F2 L D2 U' L
L' U' B L2 F2 U' L
R2 U' F2 D' L B2 U'
L U' F2 U' L F2 D
L U' F2 U' L F2 D'
L U' F2 U' L F2 D2
L U' F2 U' L' F2 L2
L U' F2 U' F' L F'
L U' F2 U' F2 L D
L U' F2 U' F2 L D'
L U' F2 U' F2 L D2
L U' F2 U' F2 D L
L U' F2 U' F2 D' L
L U' F2 U' F2 D2 L
L U' F2 D' L2 U' L'
R U' F2 D' L B2 U'
B2 R' U2 L2 D R2 F2
B2 R' U2 L2 D F2 R2
L' U' B' L2 F2 U' L
U R' U2 L F2 U' L
L' U' B2 L2 F2 U' L
U R' U2 F2 L U' L
F2 R' D' L B2 R' U'
L U2 L U F2 U' F2
L' U2 L' U L' F2 U'
R' U2 L' D L' R2 F2
R' U2 L' D L' F2 R2
R' U2 L' D R2 L' F2
L U2 L D R2 D' F2
R2 U2 L' D L' R2 F2
R2 U2 L' D L' F2 R2
R2 U2 L' D R2 L' F2
R' U2 L2 U L' F2 U'
R U2 L' D L' R2 F2
R U2 L' D L' F2 R2
R U2 L' D R2 L' F2
R2 U2 L2 U L' F2 U'
R U2 L2 U L' F2 U'
L' U2 R D L' R2 F2
L' U2 R D L' F2 R2
L' U2 R D R2 L' F2
L' U2 R' D L' R2 F2
L' U2 R' D L' F2 R2
L' U2 R' D R2 L' F2
L' U2 R2 D L' R2 F2
L' U2 R2 D L' F2 R2
L' U2 R2 D R2 L' F2
L' U2 D L R2 F2 L2
L' U2 D L F2 L2 R2
L' U2 D L F2 R2 L2
L' U2 D L' R' F2 R'
L' U2 D L' R2 F2 D
L' U2 D L' R2 F2 D'
L' U2 D L' R2 F2 D2
L' U2 D L' F R2 F
L' U2 D L' F2 R2 D
L' U2 D L' F2 R2 D'
L' U2 D L' F2 R2 D2
L' U2 D L2 R2 F2 L
L' U2 D L2 F2 L R2
L' U2 D L2 F2 R2 L
L' U2 D R' L' F2 R'
L' U2 D R2 L F2 L2
L' U2 D R2 L' F2 D
L' U2 D R2 L' F2 D'
L' U2 D R2 L' F2 D2
L' U2 D R2 L2 F2 L
L U2 D L R2 D' F2
L' U2 D' L' D2 F2 R
L U2 D R2 L D' F2
L U2 D R2 D' L F2
L U2 D R2 D' F2 L
L' U2 D2 L' D' R2 F2
L' U2 D2 L' D' F2 R2
F2 R2 L U F2 U2 L
F2 R2 L U' L D2 B2
F2 R2 L U' D2 L B2
F2 R2 L D R2 U' L
U' R2 L F2 R2 U' L
F2 R2 L D2 U' L B2
D2 R2 L' D L2 U2 F2
D2 R2 L' D' B2 U2 R2
U2 R2 L' D L' R2 F2
U2 R2 L' D L' F2 R2
U2 R2 L' D R2 L' F2
U R2 L F2 R U' L
D' R2 L2 U' L' B2 U'
D' R2 L2 U' B2 L' U'
L U2 D2 B2 U B2 L
U2 R2 L2 U L' F2 U'
D2 R2 U R B2 R' U
D2 R2 U R' B2 R' U
D2 R2 U R2 B2 R' U
U2 R2 U L F2 U' L
D2 R2 U B2 R' U D
D2 R2 U B2 R' U D'
D2 R2 U B2 R' U D2
D2 R2 U B2 R' D U
D2 R2 U B2 R' D' U
D2 R2 U B2 R' D2 U
D2 R2 U B2 D R' U
D2 R2 U B2 D' R' U
D2 R2 U B2 D2 R' U
D2 R2 U' L U' D' R2
D2 R2 U' L U2 B2 U
D2 R2 U' L D' U' R2
D2 R2 U' L D2 F2 U'
D' R2 U' L B2 U' R'
U2 R2 U F2 L U' L
D2 R2 U' D' L U' R2
D2 R2 U' D2 L F2 U'
D2 R2 U' D2 F2 L U'
B2 R2 U' F2 L' U' L'
D2 R2 D L2 U' L' U'
U R2 U2 L F2 U' L
U R2 U2 F2 L U' L
F2 R2 D' L B2 R' U'
D2 R2 D' U' L U' R2
L' D L U2 L2 R2 F2
L' D L U2 L2 F2 R2
L' D L U2 R2 L2 F2
L' D L U2 R2 F2 L2
L' D L U2 F2 L2 R2
L' D L U2 F2 R2 L2
D2 R2 D2 U' L F2 U'
D2 R2 D2 U' F2 L U'
L' D L' R2 F2 D2 B2
L' D L' F R2 F B
L' D L' F R2 B F
L' D L' F2 R2 D2 B2
L' D L2 U2 L R2 F2
L' D L2 U2 L F2 R2
L' D L2 U2 R2 L F2
L' D L2 U2 R2 F2 L
L' D L2 U2 F2 L R2
L' D L2 U2 F2 R2 L
F R2 F L U' L B
L' D R U2 L' R F2
L' D R U2 R L' F2
U' R2 F2 L R2 U' L
U' R2 F2 R2 L U' L
L' D R' U2 L' R' F2
L' D R' U2 L' F2 R'
L' D R' U2 R' L' F2
D2 R2 B U B R' U
L' D R2 L' F2 D2 B2
D2 R2 B2 U R' U R
L' D U2 L R2 F2 L2
U' D L U' R2 D' L2
L' D U2 L F2 L2 R2
L' D U2 L F2 R2 L2
L' D U2 L' R' F2 R'
L' D U2 L' R2 F2 D
L' D U2 L' R2 F2 D'
L' D U2 L' R2 F2 D2
L' D U2 L' F R2 F
L' D U2 L' F2 R2 D
L' D U2 L' F2 R2 D'
L' D U2 L' F2 R2 D2
U' D L U2 F2 U R2
L' D U2 L2 R2 F2 L
L' D U2 L2 F2 L R2
L' D U2 L2 F2 R2 L
U' D L D' F2 U' L2
L' D U2 R' L' F2 R'
L' D U2 R2 L F2 L2
L' D U2 R2 L' F2 D
L' D U2 R2 L' F2 D'
L' D U2 R2 L' F2 D2
L' D U2 R2 L2 F2 L
L D U' L R2 D B2
F' U L F' U' L B'
L D U' R2 L D B2
L D U' R2 D L B2
L D U2 L R2 D' F2
L D U2 R2 L D' F2
L D U2 R2 D' L F2
L D U2 R2 D' F2 L
L D F U' L R2 B
L D F U' R2 L B
L' D F2 R2 D2 B2 L
B2 U R' U L2 D R2
B2 U R' U2 F2 U' L2
L' D B U2 L' R2 F2
L' D B U2 L' F2 R2
L' D B U2 R2 L' F2
B2 U R' D F2 U R2
D2 U R' B2 R' U L
L' D B' U2 L' R2 F2
L' D B' U2 L' F2 R2
L' D B' U2 R2 L' F2
B2 U D R' F2 U R'
L' D B2 U2 L' R2 F2
L' D B2 U2 L' F2 R2
L' D B2 U2 R2 L' F2
B2 U D F2 R' U R'
L' D' L B2 U2 L2 R'
L' D' L B2 U2 R' L2
B2 U D2 R' B2 U L
L' D' L' B2 L' U2 L
R' D' L2 U' L' B2 U'
L' D' L2 R B2 R' U2
R' D' L2 U' B2 L' U'
L' D' L2 R' B2 R' U2
L' D' L2 R2 B2 R' U2
L' D' L2 U2 L D2 F2
L' D' L2 U2 D2 L F2
L' D' L2 U2 D2 F2 L
D U F2 U2 L U' R2
L' D' L2 D2 U2 L F2
L' D' L2 D2 U2 F2 L
D U F2 D B2 R' U
L2 D' L2 U' L U' L
D U F2 B2 R' U R'
U D F2 U2 L U' R2
L' D' L2 B2 R' U2 D
L' D' L2 B2 R' U2 D'
L' D' L2 B2 R' U2 D2
L' D' L2 B2 R' D U2
L' D' L2 B2 R' D' U2
L' D' L2 B2 R' D2 U2
L' D' L2 B2 D R' U2
L' D' L2 B2 D' R' U2
L' D' L2 B2 D2 R' U2
R2 D' L2 U' L' B2 U'
U D F2 D B2 R' U
R2 D' L2 U' B2 L' U'
L' D' R L2 B2 R' U2
U D F2 B2 R' U R'
L D' L2 U' L2 U' L
L D' L2 U2 D L' F2
R D' L2 U' L' B2 U'
L D' L2 D U2 L' F2
R D' L2 U' B2 L' U'
L D' L2 D' B2 U2 L'
L' D' R B2 L2 U2 L
L' D' R' L2 B2 R' U2
D2 U B2 R' U' R' U2
F2 U F2 U' L U' L
D2 U B2 D' R' F2 U
D2 U B2 D' F2 R' U
D2 U B2 D2 R' U L2
L' D' R' B2 L2 U2 L
