R2 U L' D R2 B'
R2 U L' D B' R2
R2 U L' B' D R2
R2 U D L' R2 B'
R2 U D L' B' R2
R2 U D R2 L' B'
R2 D U L' R2 B'
R2 D U L' B' R2
R2 D U R2 L' B'
D' U L' F2 R B'
D' U L' F2 B' R
D' U L' B' F2 R
U' D' L' F2 R B
D' U' L' F2 R B
U D' L' F2 R B'
U D' L' F2 B' R
U D' L' B' F2 R
R2 D2 B2 U L' B'
U D' R L' F2 R B'
U D' R L' F2 B' R
U D' R L' B' F2 R
U D' R' L' F2 R B'
U D' R' L' F2 B' R
U D' R' L' B' F2 R
U D' R2 L' F2 R B'
U D' R2 L' F2 B' R
U D' R2 L' B' F2 R
U' D' B L' F2 R B
D' U' B L' F2 R B
B' U' D' L' F2 R B
B2 U' D' L' F2 R B
F2 U' D' L F2 B' L'
F2 U' D' L B' F2 L'
U' D' B' L' F2 R B
D' U' B' L' F2 R B
F2 U' D' L2 F2 L' B'
F2 U' D' F2 L B' L2
U D' B L' F2 R B'
U D' B L' F2 B' R
U D' B L' B' F2 R
B U' D' L' F2 R B
D' U' B2 L' F2 R B
U' D' B2 L' F2 R B
U D' B' L' F2 R B'
U D' B' L' F2 B' R
U D' B' L' B' F2 R
U D' B2 L' F2 R B'
U D' B2 L' F2 B' R
U D' B2 L' B' F2 R
D U' B2 U2 L' R2 B'
D U' B2 U2 L' B' R2
D U' B2 U2 R2 L' B'
R' D2 R' B2 U L' B'
R D2 R B2 U L' B'
R2 D2 U L' D' R2 B'
R2 D2 U L' D' B' R2
R2 D2 B2 U L' D B'
R2 D2 B2 U L' D' B'
R2 D2 B2 U L' D2 B'
R2 D2 B2 U L' B' D
R2 D2 B2 U L' B' D'
R2 D2 B2 U L' B' D2
R2 D2 B2 U D L' B'
R2 D2 B2 U D' L' B'
R2 D2 B2 U D2 L' B'
R2 D2 B2 U B L' B'
R2 D2 B2 U B' L' B'
R2 D2 B2 U B2 L' B'
R2 D2 B2 D U L' B'
R2 D2 B2 D' U L' B'
R2 D2 B2 D2 U L' B'
R D2 B2 R U L' B'
F2 U2 F2 R2 U L' B'
F2 D U R F' B2 U2
F2 D U R B2 F' U2
F2 D U B2 R F' U2
L2 F' L' R2 B U L2
L F' L' R2 B U L'
L2 F' R2 L' B U L2
L' F' R2 B L' U L
L F' R2 L' B U L'
L' F' U' L' R2 B U
L' F' U' R2 L' B U
L' F' U' R2 B L' U
L F' R2 B L' U L'
F2 D' L U' F2 B' L'
F2 D' L U' B' F2 L'
B' D' U L' F2 R B'
B' D' U L' F2 B' R
B' D' U L' B' F2 R
B2 D' U L' F2 R B'
B2 D' U L' F2 B' R
B2 D' U L' B' F2 R
B' D' U' L' F2 R B
B2 D' U' L' F2 R B
F2 D' U' L F2 B' L'
F2 D' U' L B' F2 L'
B D' U L' F2 R B'
B D' U L' F2 B' R
B D' U L' B' F2 R
F2 D' U' L2 F2 L' B'
F2 D' U' F2 L B' L2
B D' U' L' F2 R B
L2 F2 U' D' L F2 B'
L2 F2 U' D' L B' F2
U2 F2 U' D' F2 L' B'
L2 F2 U' D' F2 L B'
L2 F2 D' U' L F2 B'
L2 F2 D' U' L B' F2
U2 F2 D' U' F2 L' B'
L2 F2 D' U' F2 L B'
D' B U L' F2 R B'
D' B U L' F2 B' R
D' B U L' B' F2 R
D' B U' L' F2 R B
R2 B U L' D R2 B'
R2 B U L' D B' R2
R2 B U L' B' D R2
D B U L' R2 F' B'
D B U L' R2 B' F'
R2 B U D L' R2 B'
R2 B U D L' B' R2
R2 B U D R2 L' B'
D B U R2 L' F' B'
D B U R2 L' B' F'
U' B D' L' F2 R B
R2 B D U L' R2 B'
R2 B D U L' B' R2
R2 B D U R2 L' B'
U B D' L' F2 R B'
U B D' L' F2 B' R
U B D' L' B' F2 R
R2 B D2 B2 U L' B'
D2 B' L2 F R U' L
D' B' U L' F2 R B'
D' B' U L' F2 B' R
D' B' U L' B' F2 R
D' B' U' L' F2 R B
R2 B' U L' D R2 B'
R2 B' U L' D B' R2
R2 B' U L' B' D R2
R2 B' U D L' R2 B'
R2 B' U D L' B' R2
R2 B' U D R2 L' B'
U' B' D' L' F2 R B
R2 B' D U L' R2 B'
R2 B' D U L' B' R2
R2 B' D U R2 L' B'
U B' D' L' F2 R B'
U B' D' L' F2 B' R
U B' D' L' B' F2 R
R2 B' D2 B2 U L' B'
D' B2 U L' F2 R B'
D' B2 U L' F2 B' R
D' B2 U L' B' F2 R
D2 B2 U D L' F2 B'
D2 B2 U D L' B' F2
D' B2 U' L' F2 R B
R2 B2 U L' D R2 B'
R2 B2 U L' D B' R2
R2 B2 U L' B' D R2
R2 B2 U D L' R2 B'
R2 B2 U D L' B' R2
R2 B2 U D R2 L' B'
D2 B2 D U L' F2 B'
D2 B2 D U L' B' F2
U' B2 D' L' F2 R B
R2 B2 D U L' R2 B'
R2 B2 D U L' B' R2
R2 B2 D U R2 L' B'
D2 B2 D2 R2 U L' B'
U B2 D' L' F2 R B'
U B2 D' L' F2 B' R
U B2 D' L' B' F2 R
R2 B2 D2 B2 U L' B'
