L2 R F U' F2 B
L2 R F U' B F2
R L2 F U' F2 B
R L2 F U' B F2
R U' F' B D' R2
R U' B D' F' R2
R U' B F' D' R2
R U2 B' U F' B2
R U2 B' U B2 F'
L2 F R U' F' B
L2 F R U' B F'
R2 L2 F R' U' F' B
R2 L2 F R' U' B F'
R L2 F L' U' F2 B
R L2 F L' U' B F2
R L2 F L2 U' F2 B
R L2 F L2 U' B F2
R L2 F U' F2 D B
R L2 F U' F2 D' B
R L2 F U' F2 D2 B
R L2 F U' F2 B D
R L2 F U' F2 B D'
R L2 F U' F2 B D2
R L2 F U' B F2 D
R L2 F U' B F2 D'
R L2 F U' B F2 D2
R L2 F D' L2 U' B
D' L2 F L' R U' B
D' L2 F R L' U' B
F' L2 F R U' F' B
F' L2 F R U' B F'
F2 L2 F R U' F' B
F2 L2 F R U' B F'
F L2 F R U' F' B
F L2 F R U' B F'
D' R L2 F L' U' B
F' R L2 F U' F2 B
F' R L2 F U' B F2
F2 R L2 F U' F2 B
F2 R L2 F U' B F2
F R L2 F U' F2 B
F R L2 F U' B F2
R' U F' B U B2 U
R' U F' B U2 D' R2
R' U F' B D L2 U2
R' U F' B D' U2 R2
F' R U' F' B D' R2
F' R U' B D' F' R2
F' R U' B F' D' R2
F2 R U' F' B D' R2
R' U B U2 D' R2 B
R' U B D L2 F' U2
R' U B D F' L2 U2
F2 R U' B D' F' R2
F2 R U' B F' D' R2
R' U B D' U2 R2 B
R' U B D' F' U2 R2
R' U B F' U B2 U
R' U B F' U2 D' R2
R' U B F' D L2 U2
R' U B F' D' U2 R2
F R U' F' B D' R2
F R U' B D' F' R2
F R U' B F' D' R2
F' R U2 B' U F' B2
F' R U2 B' U B2 F'
F2 R U2 B' U F' B2
F2 R U2 B' U B2 F'
B2 R D L2 F' B R'
B2 R D L2 B F' R'
F R U2 B' U F' B2
F R U2 B' U B2 F'
B2 R D F' L2 B R'
B2 R D F' B L2 R'
B2 R D F' B R' L2
B2 R D B L2 F' R'
B2 R D B L2 F' R'
B2 R D B F' L2 R'
B2 R D B F' R' L2
B2 R F' D L2 B R'
B2 R F' D B L2 R'
B2 R F' D B R' L2
R' U' R2 F' B D' R2
R' U' R2 B D' F' R2
R' U' R2 B F' D' R2
U2 R B' L' U F' B'
U2 R B' L' U B' F'
R U' D F' B D' R2
R U' D B D' F' R2
R U' D B F' D' R2
R U' D' F' B D' R2
R U' D' B D' F' R2
R U' D' B F' D' R2
R U' D2 F' B D' R2
R U' D2 B D' F' R2
R U' D2 B F' D' R2
R U' F' U' B' U B2
R U' F' D B D' R2
R U' F' D' B D' R2
R U' F' D2 B D' R2
R U' F' B R D' R2
R U' F' B R' D' R2
R U' F' B R2 D' R2
R U' F' B U' B2 U
R U' F' B D' R2 D
R U' F' B D' R2 D'
R U' F' B D' R2 D2
B' R' U' F' B U2 L
B' R' U' B F' U2 L
R U' F2 B D' R2 F
R U' F2 B D' F R2
R U' B R2 D' R2 F'
R U' B U' B2 U F'
R U' B D F' D2 R2
R U' B D' F R2 F2
R U' B D' F' R2 D
R U' B D' F' R2 D'
R U' B D' F' R2 D2
R U' B D' F2 R2 F
R U' B F' R D' R2
R U' B F' R' D' R2
R U' B F' R2 D' R2
R U' B F' U' B2 U
R U' B F' D' R2 D
R U' B F' D' R2 D'
R U' B F' D' R2 D2
R U' B F2 D' R2 F
R U' B F2 D' F R2
R' U2 R2 B' U F' B2
R' U2 R2 B' U B2 F'
R2 U2 D B' L U F
R U2 D B' U F' B2
R U2 D B' U B2 F'
R U2 D' B' U F' B2
R U2 D' B' U B2 F'
R U2 D2 B' U F' B2
R U2 D2 B' U B2 F'
R' U2 B' U' F' B2 U2
R' U2 B' U' B2 F' U2
R' U2 B' D' R2 U B
R U2 B' L U F' B2
R U2 B' L U B2 F'
R U2 B' L' U F' B2
R U2 B' L' U B2 F'
R U2 B' L2 U F' B2
R U2 B' L2 U B2 F'
R U2 B' U F' B2 D
R U2 B' U F' B2 D'
R U2 B' U F' B2 D2
R U2 B' U B2 D F'
R U2 B' U B2 D' F'
R U2 B' U B2 D2 F'
R U2 B' U B2 F' D
R U2 B' U B2 F' D'
R U2 B' U B2 F' D2
R U2 B' D L2 U F'
B' R2 F' R' U F' B
B' R2 F' R' U B F'
R D L2 F U' F2 B
R D L2 F U' B F2
R D U' F' B D' R2
R D U' B D' F' R2
R D U' B F' D' R2
R2 D U2 B' L U F
R D U2 B' U F' B2
R D U2 B' U B2 F'
R D' L2 F U' F2 B
R D' L2 F U' B F2
L2 D' R F L' U' B
R D' U' F' B D' R2
R D' U' B D' F' R2
R D' U' B F' D' R2
L2 D' F L' R U' B
L2 D' F R L' U' B
R D' U2 B' U F' B2
R D' U2 B' U B2 F'
R D2 L2 F U' F2 B
R D2 L2 F U' B F2
R D2 U' F' B D' R2
R D2 U' B D' F' R2
R D2 U' B F' D' R2
R D2 U2 B' U F' B2
R D2 U2 B' U B2 F'
D2 U2 B' L' U F B'
D2 U2 B' L' U B' F
U2 D2 B' L' U F B'
U2 D2 B' L' U B' F
L2 F L R U' F' B
L2 F L R U' B F'
L2 F L' R U' F' B
L2 F L' R U' B F'
L2 F L2 R U' F' B
L2 F L2 R U' B F'
L2 F R L U' F' B
L2 F R L U' B F'
L2 F R L' U' F' B
L2 F R L' U' B F'
L2 F R L2 U' F' B
L2 F R L2 U' B F'
L2 F R U' D F' B
L2 F R U' D B F'
L2 F R U' D' F' B
L2 F R U' D' B F'
L2 F R U' D2 F' B
L2 F R U' D2 B F'
L2 F R U' F' D B
L2 F R U' F' D' B
L2 F R U' F' D2 B
L2 F R U' F' B D
L2 F R U' F' B D'
L2 F R U' F' B D2
L2 F R U' B D F'
L2 F R U' B D' F'
L2 F R U' B D2 F'
L2 F R U' B F' D
L2 F R U' B F' D'
L2 F R U' B F' D2
L2 F R D U' F' B
L2 F R D U' B F'
L2 F R D' U' F' B
L2 F R D' U' B F'
L2 F R D2 U' F' B
L2 F R D2 U' B F'
R F L2 F U' F B
R F L2 F U' B F
L2 F R' U F' B U2
L2 F R' U B F' U2
R F U' F2 B D' R2
R F U' B F2 D' R2
R F U2 B' U F2 B2
R F U2 B' U B2 F2
R F D' L2 F U' B
L2 F' R F2 U' F B
L2 F' R F2 U' B F
R F' L2 F U' F' B
R F' L2 F U' B F'
R F2 U' F B D' R2
R F2 U' B D' R2 F
R F2 U' B D' F R2
R F2 U' B F D' R2
R F2 U2 B' U F B2
R F2 U2 B' U B2 F
R B L2 F' D' L2 R2
R B L2 F' D' R2 L2
U2 B' L' R U F' B'
U2 B' L' R U B' F'
U2 B' R L' U F' B'
U2 B' R L' U B' F'
R2 B' R' U F' L' B
R2 B' R' U F' B L'
R2 B' R' U B F' L'
U2 B' U2 R U' F' B
U2 B' U2 R U' B F'
R' B' D' R2 F' U B
R B' U2 B U' F' B
R B' U2 B U' B F'
U2 B' D2 L' U F B'
U2 B' D2 L' U B' F
