R' L' U' R' F L'
L' R' U' R' F L'
R' L' U' F L' R'
R' L' U' F R' L'
L' R' U' F L' R'
L' R' U' F R' L'
R' U' L' R' F L'
R' U' L' F L' R'
R' U' L' F R' L'
R' U' R' L' F L'
R' U' R' F L' F
R' U' F L' R' F
R' U' F L' F R'
R' U' F R' L' F
F R' U' L' R' F
F R' U' L' F R'
F R' U' R' L' F
R' F U' L' R' F
R' F U' L' F R'
R' F U' R' L' F
L' F R2 L' U R U'
L' F R2 U R U' L'
U F R' U' L' R' F
U F R' U' L' F R'
U F R' U' R' L' F
L' F U R' U' L' R'
L' F U R' U' R' L'
R' F U' L' R F R2
R' F U' L' R' D F
R' F U' L' R' D' F
R' F U' L' R' D2 F
R' F U' L' R' F D
R' F U' L' R' F D'
R' F U' L' R' F D2
R' F U' L' D R' F
R' F U' L' D F R'
R' F U' L' D' R' F
R' F U' L' D' F R'
R' F U' L' D2 R' F
R' F U' L' D2 F R'
R' F U' L' F R' D
R' F U' L' F R' D'
R' F U' L' F R' D2
R' F U' L' F D R'
R' F U' L' F D' R'
R' F U' L' F D2 R'
R' F U' L' F' R' F2
R' F U' R L' F R2
R' F U' R' L' D F
R' F U' R' L' D' F
R' F U' R' L' D2 F
R' F U' R' L' F D
R' F U' R' L' F D'
R' F U' R' L' F D2
L' F B2 L' R2 D' B2
L' F B2 R2 L' D' B2
R' F' U' F2 L' R' F
R' F' U' F2 L' F R'
R' F' U' F2 R' L' F
D' F2 L R' B' L U'
D F' B2 L R F' U
D F' B2 R L F' U
D F' B2 R F' L U
D' F2 R' L B' L U'
D' F2 R' B' L B' U'
L' B U' R2 F L' B'
L' B U' F L' R2 B'
L' B U' F L' B' R2
L' B U' F R2 L' B'
B2 F L U L2 R2 F
B2 F L U L2 F R2
B2 F L U R2 L2 F
B2 F L' R2 D' F B2
B2 F L' R2 D' B2 F
B2 F L' R2 F D' B2
B2 F L' F R2 D' B2
B2 F R2 L' D' F B2
B2 F R2 L' D' B2 F
B2 F R2 L' F D' B2
B F U' L' R2 F B'
B F U' L' R2 B' F
B F U' L' F R2 B'
B F U' L' F B' R2
B F U' L' B' R2 F
B F U' L' B' F R2
B F U' R2 L' F B'
B F U' R2 L' B' F
F B U' L' R2 F B'
F B U' L' R2 B' F
F B U' L' F R2 B'
F B U' L' F B' R2
F B U' L' B' R2 F
F B U' L' B' F R2
F B U' R2 L' F B'
F B U' R2 L' B' F
L2 B2 L U R2 F L'
L2 B2 L U F L' R2
L2 B2 L U F R2 L'
D B2 L R F' R U
D B2 L F' R F' U
D B2 R L F' R U
F B2 L U L2 R2 F
F B2 L U L2 F R2
F B2 L U R2 L2 F
D B2 R F' L R U
D B2 R F' R L U
F B2 L' R2 D' F B2
F B2 L' R2 D' B2 F
F B2 L' R2 F D' B2
L' B2 R2 F L' D' B2
F B2 L' F R2 D' B2
F B2 R2 L' D' F B2
F B2 R2 L' D' B2 F
F B2 R2 L' F D' B2
L' B2 F L' R2 D' B2
L' B2 F R2 L' D' B2
D B2 F' L R F' U
D B2 F' R L F' U
D B2 F' R F' L U
